bgg_id,name,year,kennerspiel_score
14870,Aéropostale,1983,8.550914383792055e-16
7762,Transfer,1983,0.00036452380259102804
508,Blue Max,1983,0.9766779121921351
2280,Marco Polo,1983,6.292402735563434e-12
10723,The Mining Game,1983,5.796616767608808e-12
32128,Wat ben ik?,1983,5.848306280185738e-07
39448,Eiertanz,1983,5.503909026085622e-06
28905,Dostihy a sázky,1983,1.4883623631424242e-13
23201,Dammi il malloppo,1983,2.6640412889539712e-08
5571,Siege,1983,0.9999999999999991
21400,Shoestring Racer,1983,2.407572370113091e-05
1465,Wizard,1984,0.0001545364894728036
5078,End of the Line,1984,6.011990691805349e-22
9685,Bounce It-In Game,1984,3.248197446014829e-25
1712,Showbiz,1984,1.4614787673526644e-05
1815,Spanish Main,1984,0.9999999726617613
16727,Play on Wordz,1984,1.16040325567125e-08
5281,Octiles,1984,6.956586910205466e-09
163,Balderdash,1984,4.315484983681777e-11
2689,British Rails,1984,0.9999999999987563
9063,Brettfußball,1984,0.9999918691295107
1021,Harun,1984,0.33579304250814546
934,Die Kette von Saba,1984,4.5076381715782874e-18
1548,Libero,1984,0.1947968177875029
1523,Pharao,1984,1.8650644741238535e-13
11628,Trivial Pursuit: Young Players Edition Master Game,1984,5.50497926252833e-08
2401,Globetrotters,1984,1.2689243899673842e-07
13893,Quizwrangle,1984,3.328721746232817e-14
11882,3-A-Side,1984,5.833305620557969e-05
23695,Robot Face Race,1984,2.9035117452866186e-28
6685,Arbora,1984,3.924215964153317e-28
8983,I.Q. 2000,1984,7.363135819137326e-08
16262,Race,1984,2.023654034584648e-05
3232,Fraggle Rock,1984,5.562394501051078e-23
94941,Trivial Pursuit: Genus Editie,1984,0.9996029011324551
18090,Abordagem,1984,3.364355034029646e-14
772,Ausbrecher AG,1985,3.4021017301651345e-15
18794,SuperGang,1985,1.0
2554,Auf Fotosafari in Ombagassa,1985,2.4717148327310773e-24
488,Stake Your Claim,1985,7.2071015136702865e-25
20111,The Golf Game: Par Excellence,1985,3.0078808460593545e-10
8895,Wyatt Earp,1985,0.5300938238210577
1070,Shadows in the Forest,1985,3.148229329992946e-21
23831,Ruck Zuck,1985,2.6099600114756854e-25
2767,Snail's Pace Race,1985,2.9337881060506046e-27
14370,Speechless,1985,2.294430594908082e-07
2281,Pictionary,1985,1.9530338816276518e-07
788,Tales of the Arabian Nights,1985,0.9999999999890441
15066,Cat & Mouse,1985,1.2530325396832657e-22
3033,Bus Boss,1985,0.046728397797177315
16342,Het Grote DE Koffiespel,1985,3.986686626483723e-08
3031,Flightplan: The Airline Game,1985,2.181720956699236e-25
11407,Matching Madness,1985,1.523131371372989e-21
4877,How to Host a Murder: The Watersdown Affair,1985,1.0
472,DungeonQuest,1985,0.9990435433756433
3051,How to Host a Murder: The Last Train from Paris,1985,0.9999999999998945
9830,Moskitojagd,1985,4.223407338938766e-31
4870,Tiers-Mondopoly,1985,1.0140297508318902e-12
9727,Play Net,1985,1.0
3149,Lost Valley of the Dinosaurs,1985,3.059182564779161e-13
1193,The Bottom Line,1985,8.724632380046315e-09
414,Around the World in 80 Days,1986,2.0180440181050584e-07
515,6-Tage Rennen,1986,0.18659428879811626
24037,Escape from Atlantis,1986,0.008122121919704085
5770,Orchard,1986,3.5692492977875035e-31
4637,Max,1986,5.002578274816481e-34
4862,Outburst!,1986,0.6289217512082607
1768,Fireball Island,1986,2.4912120502318334e-23
16719,Manhattan,1986,0.00012689788007398225
22283,Der Räuber Hotzenplotz,1986,2.2131353854421867e-27
380,Polarity,1986,5.952712179843236e-14
9272,Jade König,1986,1.2873394703760228e-05
421,1830: Railways & Robber Barons,1986,1.0
11632,Veleno,1986,2.1678649210159795e-07
17510,Sponsor,1986,6.61601915487181e-18
4355,Therapy,1986,0.9999988463866291
4585,Seaside Frolics,1986,3.0199577960055045e-21
563,Doolittle & Waite,1986,0.16657414544944338
4427,Super Cluedo Challenge,1986,0.9819600567015142
1398,Chicago,1986,0.9999999979563441
2801,Goldraub in London,1986,0.9999999997377176
240,Britannia,1986,1.0
4764,Casino Yahtzee,1986,3.2571487632945124e-16
7118,Ace of Aces: Handy Rotary Deluxe Edition,1986,0.003308981879379054
10371,Orient-Express,1986,1.4862223310354278e-22
2175,Willi Wacker,1986,2.9334656090273642e-21
1396,Ben Hur,1987,0.0008259196124228267
1744,Monster Mash,1987,3.718794960683952e-23
2203,Suppenkasper,1987,8.231996291692858e-13
6660,Cubus,1987,2.98762369224712e-14
756,Black Vienna,1987,0.9999999998285876
1950,The Mysteries of Peking,1987,8.430386587930113e-16
2546,Elixir,1987,2.558725781448685e-09
2230,Ayanu,1987,0.9904102288410173
2963,Stockmarket,1987,0.9996888758374467
7256,Digit,1987,4.151992617093556e-20
6414,Genius Rules,1987,1.4191217047796807e-18
15589,Money,1987,1.0
3898,Glebdo,1987,0.9933043139968875
3030,Baggage Claim,1987,4.6648285945757475e-27
498,Sufferin' Spirits,1987,0.974759268080504
6513,Don't Panic!,1987,7.446041578776065e-22
1303,The Squirrel Game,1987,4.278035687311669e-25
9170,Aladdins Erbe,1987,0.9999990517793059
2731,Upthrust,1987,1.4590630882672742e-21
1184,Zug nach Westen,1987,0.0009288252689041508
8775,Bremer Stadtmusikanten,1987,1.9294340170292392e-18
2013,Till Eulenspiegel,1987,0.9777042520034478
40583,Triomph,1987,0.8446748964887846
2945,Teufel nochmal!,1987,3.2355350293065956e-18
7758,La Pétanque,1987,2.609752806824813e-13
602,Animal Poker,1988,3.238306499678703e-10
1924,Maloney's Inheritance,1988,0.6800355781184663
1252,Pyramidis,1988,3.5522089429565583e-07
5155,Dorada,1988,4.298240072965669e-05
20,Full Metal Planète,1988,1.0
362,Elefantenparade,1988,6.666322233825436e-18
943,Ligretto,1988,1.425850519766136e-12
7683,Ronda Magica,1988,1.5825257311681132e-26
28266,Das Spiele-Buch,1988,0.20284156978966114
2350,Eureka,1988,6.105103215521121e-06
17909,PS,1988,0.033382526672871025
1029,Lieber bairisch sterben,1988,1.0
24964,Reinhold Wittig's SPIELECOLLECTION No. 1 Spiele zur Schatzinsel,1988,0.2955097705389044
230,Merchant of Venus,1988,1.0
900,City,1988,5.266431141709612e-19
1211,Race Through Space,1988,1.2322729431620026e-21
2364,Black Monday,1988,1.8008451644539856e-05
15520,Kids On Stage,1988,1.3045628685782532e-30
18464,White Rabbit,1988,2.3562116055961097e-12
2381,Scattergories,1988,1.7838989355119073e-09
11836,Code Stack!,1988,6.324763659024574e-20
2349,Inspector Higgins,1988,8.080595049915867e-24
8899,Rimini,1988,5.944184607935091e-21
820,Axiom,1988,0.9999999999321914
291,Courtisans of Versailles,1988,1.4659481768258511e-10
494,Ave Caesar,1989,8.984185295479224e-18
8939,Der wahre Walter,1989,0.6055489272033965
126,The Really Nasty Horse Racing Game,1989,3.136814049752917e-07
167,Dicke Kartoffeln,1989,1.0
4485,Hotel Life,1989,0.8220737819793753
6,Mare Mediterraneum,1989,1.0
7973,My Haunted Castle,1989,1.643703554380292e-24
12644,Echelon,1989,4.114962023320035e-12
30951,Nanu?,1989,6.397450863884182e-24
4957,Timberland,1989,2.4226776344762323e-14
