rank,bgg_id,name,year,complexity,min_time
8828,210292,Moonstone,,2.000,40
8828,331267,Die Firmenfeier: Das letzte Fest des Oliver Borgmann,2021,2.500,240
8852,4168,Blitzkrieg,1965,2.709,90
8858,4113,Tigers in the Mist: Ardennes Offensive,1999,2.594,300
8865,8285,"Boots & Saddles, An Assault Series Module",1984,3.483,240
8874,11093,Zorndorf,1996,4.115,360
8900,72050,Freebooter's Fate,2010,,60
8930,17397,Savannah,2005,2.850,240
8935,288572,The Third Winter: The Battle for the Ukraine September 1943-April 1944,2021,3.857,3000
8944,3600,Fifth Frontier War,1981,3.094,240
8958,208918,DC Comics Dice Masters: Superman and Wonder Woman Starter Set,2017,,30
8960,6926,Viking Raiders,1987,2.412,240
8981,22606,Won by the Sword,2014,2.684,360
9003,13924,1829 Mainline,2005,4.000,240
9003,39066,"The Supreme Commander: World War II in Europe, 1939-1945",2013,3.258,300
9013,5021,The Struggle of Nations,1982,4.275,360
9014,7753,When Eagles Fight,1993,2.727,240
9017,7975,Triumph & Glory: Battles of the Napoleonic Wars 1796-1809,2000,2.767,360
9029,5485,Atlantic Wall: The Invasion of Europe June 1944,1978,3.963,360
9029,43845,18Ardennes,2010,3.778,300
9044,5827,A Winter War,1992,3.500,360
9045,223669,Premières Gloires,2017,3.400,
9053,88190,Hurtgen: Hell's Forest,2012,4.500,1000
9059,40004,Contract Rummy,1930,1.846,120
9079,4362,"Champion Hill: May 16th, 1863 – The Road to Vicksburg",1996,3.400,360
9085,108430,Fuentes de Onoro 1811,2011,2.714,240
9086,2997,Soldier Kings: The Seven Years War Worldwide,2002,2.465,240
9110,5235,Samurai Blades: The Game of Man-to-Man Combat in Feudal Japan,1984,2.333,240
9120,245823,Napoleon's Resurgence,2018,3.667,
9143,24207,Burger Quiz,,1.714,30
9156,5826,"Victory in the West: Plan Yellow, The French Campaign 1940",1993,3.522,360
9165,260465,"Across The Narva: The Soviet Assault on Estonia, February 1944",2018,2.667,480
9188,3966,The Succession Wars,1987,2.967,240
9193,373084,Warhammer Underworlds: Gnarlwood,2022,3.000,
9202,8208,Trial of Strength: War on the Eastern Front 1941-45,1985,3.696,360
9216,9476,L'Armeé du Nord: the Belgian Campaign 1815,1993,2.821,300
9236,359835,Dungeons & Dragons: Onslaught,2023,3.000,
9260,6540,Fear God & Dread Nought,2001,4.292,360
9284,344194,"The Day Was Ours: First Bull Run (July 21, 1861)",2021,3.000,240
9290,8954,The Battles of Waterloo,1994,3.393,300
9290,240902,1918/1919: Storm in the West,2020,2.286,240
9291,2553,Bali,1954,1.750,30
9291,198029,Flip City: Wilderness,2016,,30
9298,2994,Guderian's Blitzkrieg: The Drive on Moscow,1992,3.867,360
9302,2699,Fire Team,1987,3.095,240
9304,7970,Arctic Storm: The Russo-Finnish Winter War 1939-40,1992,3.259,360
9313,361084,Yoxii,2022,,15
9324,203087,Nine Years: The War of the Grand Alliance 1688-1697,2017,2.917,225
9332,6974,Barbu,1930,2.286,180
9340,4278,Battle Over Britain,1983,3.939,300
9340,7502,Leros,1996,3.809,240
9368,137626,The Road to Cheren,2013,2.250,240
9385,3663,"Outreach: The Conquest of the Galaxy, 3000AD",1976,3.344,960
9400,6976,St-Lô: Normandy 1944 – The Breakout Begins,1986,3.118,360
9400,22378,Red Storm over the Reich: The Last Days of the Third Reich,2007,3.520,480
9401,1251,New World,1990,2.619,240
9426,240906,The Battles of Rhode Island & Newport,2020,3.286,
9429,8702,1807: The Eagles Turn East,1994,3.412,360
9438,4342,"Screaming Eagles in Holland: The 101st Airborne Division's Defense of Hell's Highway, 22-23 September, 1944",2002,3.769,240
9440,7008,Preference,1802,3.353,120
9463,18103,Tien Len,,1.875,20
9479,10149,The Great War in Europe,1995,3.640,360
9486,10579,The War for the Union,1992,3.737,360
9493,1757,Yacht Race,1960,2.000,60
9494,5142,Fighting Sail: Sea Combat in the Age of Canvas and Shot 1775-1815,1981,2.789,240
9494,329812,The Genius Star,2020,1.667,
9536,240901,"A Time for Trumpets: The Battle of the Bulge, December 1944",2020,4.286,
9551,1572,Situation 4,1968,1.643,30
9567,19903,The Battle of Monmouth,2008,3.867,240
9577,7748,The Italian Front: 1915-1918,2003,3.100,360
9597,97377,Hail Caesar: Battles with Model Soldiers in the Ancient Era,2011,3.000,240
9612,66896,American Carrom,1892,1.222,60
9614,3724,1809: Napoleon's Danube Campaign,1984,3.500,240
9615,291951,The Everdeck,2019,4.000,
9618,26203,Star Fleet Battles Silver Anniversary Master Rulebook,2004,4.857,
9621,5751,"Operation Mercury: The German Airborne Assault on Crete, 1941",1992,3.529,360
9632,26906,South Mountain,2008,3.600,360
9633,671,Bull Run: The First Major Battle of the American Civil War,1983,2.871,240
9643,23761,Guadalajara,2006,2.929,
9658,6641,Desert Steel,1989,3.050,240
9664,10376,"Ring of Fire: The Fourth Battle for Kharkov, August 1943",1994,3.000,240
9675,322169,Picto Rush,2020,,20
9680,26736,Ukraine '44,2006,2.364,240
9708,7114,SOPAC: Naval Action in the South Pacific 1942–1943,1999,3.091,240
9709,291434,Axis Empires: Ultimate Edition,2023,4.588,900
9724,3237,Against the Reich,1986,3.125,480
9726,3887,Stock Market Game,1963,1.949,180
9761,6860,"River of Death: Battle of Chickamauga, September 19-20, 1863",1999,3.556,360
9783,322451,RisiKo!,1968,1.765,60
9787,12266,Barren Victory,1991,3.273,240
9788,273482,A Song of Ice & Fire: Tabletop Miniatures Game – Free Folk Starter Set,2018,,45
9792,5400,Changgi,,3.333,60
9805,14186,Bao,,3.353,40
9805,22203,Face to the Mat,2000,1.833,
9809,373489,Waterloo 1815: Fallen Eagles II,2022,3.667,
9813,4121,Road to the Rhine,1979,3.167,360
9816,314461,The Deadly Woods: The Battle of the Bulge,2021,2.900,360
9830,75674,Julian: Triumph Before the Storm,2010,2.600,240
9832,17895,For Whom the Bell Tolls,1995,3.857,480
9833,6516,Titan Legions,1994,2.583,240
9835,9237,Perryville,1992,3.357,240
9839,5992,Operation Grenade: The Battle for the Rhineland 23 Feb. - 5 Mar. '45,1981,2.667,240
9841,31553,COBRA: The Normandy Campaign,2008,3.091,600
9850,5769,"Edelweiss: The Struggle in the Caucasus, 1942",1989,4.455,360
9850,160950,The Badger Deck,2014,1.000,
9855,2060,Probe,1964,1.550,60
9875,99313,Proud Monster Deluxe,2011,3.526,1500
9875,245206,The X-Files: Circle of Truth,2018,1.250,
9879,276431,20 Second Showdown,2019,1.000,
9899,38837,The Pocket at Falaise,2009,2.778,240
9905,326985,Stargard Solstice,2021,2.375,480
9907,2399,Senet,-3500,1.463,30
9934,6121,Tablut,1700,2.500,45
9939,186974,Khe Sanh '68,2015,1.800,
9978,1187,The Fellowship of the Ring,1983,3.575,240
9990,2885,C.V.: A Game of the Battle of Midway,1979,3.815,300
9992,154,Union vs. Central,1999,3.750,360
9998,7637,The Fall of France,1981,4.053,240
10022,12414,La Batalla de los Arapiles,1995,3.769,210
10027,165521,Rory's Story Cubes: Medic,2014,,20
10031,312958,Ascension: Curse of the Golden Isles,2021,2.500,
10059,4358,The Guns of August,1981,3.412,360
10065,109285,Nations in Arms: Valmy to Waterloo,2012,4.053,3000
10069,387836,Star Wars Villainous: Scum and Villainy,2023,,50
10074,22843,War in the Pacific (Second Edition),2006,4.786,480
10103,365752,MonsDRAWsity: Top Secret,2022,,20
10114,131017,La Bérézina 1812,2012,2.750,240
10121,86445,"A Victory Complete: The Battle of Tannenberg, 1914",2011,2.333,210
10132,1294,Clue,1949,1.650,45
10140,358663,Pocket Book Adventures,,2.000,5
10159,4436,Cityfight: Modern Combat in the Urban Environment,1979,4.273,360
10216,11166,Brandywine & Germantown,2000,4.167,360
10217,5831,Britain Stands Alone,1994,3.200,360
10222,5241,"Sinai: The Arab-Israeli Wars – '56, '67 and '73",1973,2.606,210
10225,9135,Advanced European Theater of Operations,2001,4.833,360
10229,218007,Napoleon's Quagmire,2017,3.750,
10233,17537,"The Battle of Corinth: Standoff at the Tennessee, October 3-4, 1862",1981,3.538,240
10243,3523,Decision At Kasserine: Rommel's Last Chance,1983,2.889,300
10249,1189,The King's War: The First English Civil War 1642-1646,1989,3.400,240
10251,332018,Funkoverse Strategy Game: Alice in Wonderland 100,2021,,20
10255,12459,Fortress Berlin,2004,3.652,720
10269,2174,Coup d'État,1966,2.214,30
10272,4363,Seven Pines,1998,3.333,240
10279,470,Road to the White House,1992,3.531,240
10279,177861,"Paths to Hell: Operation Barbarossa, June – December 1941",2016,3.400,
10291,5480,Drive on Stalingrad: Battle for Southern Russia Game,1977,3.440,1200
10313,96602,Footy Manager,2011,2.000,
10320,8843,June 6,1999,3.208,240
10340,207899,Knights Club: The Bands of Bravery,2012,1.500,
10352,259970,The Lord of the Rings: The Card Game – Two-Player Limited Edition Starter,2018,3.000,
10368,7501,Hunters from the Sky,1994,3.250,240
10371,16197,Rivoli 1797,1997,3.400,240
10377,2173,4 Player Chess,1881,2.938,45
10385,285992,Pac-Man: The Board Game,2019,1.000,
10395,34139,Death Wears White,2001,2.167,300
10410,7382,Chickamauga: The Confederacy's Last Hope,1986,3.062,240
10423,12736,The Battle for Dresden 1813,1995,2.913,300
10423,15049,Ulti,,3.267,
10452,4651,Stalingrad,1963,2.279,120
10466,265947,"Battle of Issy, 1815",2018,2.857,
10495,340473,"Thunder At Dawn: The Battle of Wilson's Creek (August 10, 1861)",2021,3.000,240
10496,149286,Hanau 1813,2013,3.083,
10499,5333,Invasion: Norway,1995,3.600,360
10515,284,Lords of the Sierra Madre (Second Edition),1995,3.478,240
10522,25972,Victory at Sea: World War II Naval Combat Game,2006,2.462,360
10538,2538,Viceroys,1986,3.296,240
10545,2078,"Aegean Strike: Land, Air, and Sea Combat in the Eastern Mediterranean",1986,4.229,360
10545,6559,Glory II: Across the Rappahannock,2002,2.792,360
10550,9663,Napoleon on the Danube,1992,2.462,240
10554,9640,"Bloody Roads South: The Battle of the Wilderness May 5-7, 1864 – The South's Last Chance",1992,3.333,240
10556,372037,Planet etuC,2023,,20
10577,132456,18Ruhr,2012,4.000,300
10580,11581,King,,2.222,40
10580,337726,Holiday Hijinks #2: The Independence Incident,2021,,30
10600,28574,Magiczny Miecz,1993,2.000,240
10606,41624,Osmanli Harbi: The Ottoman Fronts – 1914 to 1918,2009,3.111,360
10607,10186,JENA!,1996,2.850,300
10636,5768,"Matanikau: Battles on the Matanikau River, Guadalcanal, 1942",1993,3.333,360
10639,25462,German Whist,,2.000,20
10649,247950,Campaigns of 1777,2019,3.429,
10653,167580,Montmirail & Vauchamps 1814,2014,3.000,240
10663,106560,American Mah Jongg,1937,2.500,45
10674,183780,Heart of Darkness: An Adventure Game of African Exploration,2021,2.909,240
10687,9112,Omaha: The Bloody Beach,1991,4.200,480
10689,8757,Nordkapp,1983,3.231,240
10695,2300,Invasion Sicily,1998,2.583,360
10711,11139,"Bloody April: The Battle of Shiloh, 1862",1979,4.294,1200
10719,345046,Holiday Hijinks #4: The Cupid Crisis,2022,,30
10720,260131,Race For Bastogne,2022,3.800,
10723,5834,Campaign to Stalingrad: Southern Russia 1942,1992,3.062,360
10728,332804,Cantaloop: Book 3 – Against All Odds,2023,,360
10733,13182,Korsun Pocket: Little Stalingrad on the Dnepr,1979,4.538,360
10760,7177,Guadalcanal: Semper Fi Series,2003,2.524,360
10773,162383,"Festung Europa: The Campaign for Western Europe, 1943-1945",2016,3.000,240
10774,246895,DC Comics Dice Masters: Justice Campaign Box,2019,,30
10799,208340,Congo: Adventures in the Heart of Africa,2016,,60
10800,4510,Johnny Reb III: Regimental Grand Tactical American Civil War Miniatures Rules,1996,3.727,360
10800,6240,The Crusades: Western Invasions of the Holy Land 1097-1191 A.D.,1978,2.905,240
10802,190700,Team Yankee,2015,,120
10803,279727,Harakiri: Blades of Honor,,3.333,60
10805,225303,Gamer Over! A Game Fair Murder Mystery,2017,,120
10820,3084,Buccaneer,1938,1.390,90
10840,14559,"Malvern Hill: The Battles of the Seven Days, Volume III",1999,3.636,240
10844,264685,Grimdark Future: Firefight,2018,,30
10864,25768,Long Live the King,2006,3.000,240
10889,260269,Eco-Links,2018,,20
10938,165523,Rory's Story Cubes: Score,2014,,20
10944,13224,The Conquerors: Alexander the Great,2006,2.839,240
10944,374336,Trick Raiders,2022,,15
10954,180050,Star Wars Death Star Perplexus,2015,1.667,
10973,17538,"Jackson at the Crossroads: Cross Keys & Port Republic, June 8-9, 1862",1981,3.750,240
10977,2335,Rome & Carthage,1954,2.048,60
10993,288,Rossyïa 1917,1995,4.000,300
10993,209095,UNO: Super Mario,2016,1.000,
10999,158492,Quatre Batailles en Espagne,2015,3.167,
11021,5058,Operation Crusader,1978,3.786,300
11026,5183,Austerlitz,1993,3.316,1080
11026,177142,Tornio '44,2015,2.889,360
11029,367625,Set A Watch: Forsaken Isles,2024,,60
11045,162677,1893: Cologne,2014,3.333,240
11049,92759,Russian Civil War 1918-1922 (Second Edition),2011,3.125,240
11052,20528,Palace,,1.087,20
11062,2199,Thinking Man's Golf,1966,1.783,45
11072,189663,Dungeon Solitaire: Labyrinth of Souls,2016,1.800,
11089,188051,Deadfall,2016,,20
11093,383701,Tricky Time Crisis,2023,,25
11099,10581,Summer Storm: The Battle of Gettysburg,1998,4.100,480
11106,6039,Antietam: Burnished Rows of Steel,1993,2.333,240
11111,135577,The Invasion of Russia (1812),2014,2.778,960
11112,209863,The Fall Of The Third Reich,2016,3.000,360
11115,8717,The Schlieffen Plan,1997,3.273,360
11118,388554,"Valley of Tears: The Yom Kippur War, 1973",2023,3.714,
11123,2366,Quinto,1964,1.826,30
11123,24264,Button Soccer,1911,1.812,50
11132,43196,Yalu: The Chinese Counteroffensive in Korea: November 1950-May 1951 (Second Edition),2009,2.762,300
11135,199418,Skeptics,,2.500,30
11139,109635,Washington's Crossing,2012,3.000,480
11152,244502,Barbarian Vince,2012,1.500,
11158,10168,Citadel: The Battle of Dien Bien Phu,1977,3.083,360
11170,210428,Ligny & Wavre 1815: The Empire's Last Victories,2016,3.750,
11177,145390,End of Empire: 1744-1782,2014,2.923,360
11198,42783,What Price Glory?,2013,2.091,240
11224,291334,Tanto Monta: The Rise of Ferdinand and Isabella,2023,4.000,240
11224,335017,The Silver Bayonet: A Wargame of Napoleonic Gothic Horror,2021,2.500,
11226,7639,Their Finest Hour,1976,4.300,240
11240,6937,1829 Northern Board,1981,3.857,360
11241,3985,Crisis: Korea 1995,1992,4.333,360
11268,8679,Days of Decision III,2004,4.176,360
11279,232166,Frostgrave: Ghost Archipelago,2017,2.667,
11285,2121,The Sword and the Stars,1981,3.053,240
11287,5700,"Air Bridge to Victory: Operation Market-Garden, 1944",1990,3.360,240
11301,4235,Fulda Gap: The First Battle of the Next War,1977,3.179,300
11303,12501,The Franco-Prussian War,1992,3.091,360
11306,5296,Waterloo,1962,2.186,120
11311,239262,Platoon Commander Deluxe: The Battle of Kursk,2018,3.000,
11360,329121,Call of Kilforth: A Fantasy Quest Game,2023,,45
11366,28289,First to Fight,1991,3.857,240
11372,362830,Roulette-Taking Game,2022,,20
11383,358607,Bonaparte in the Quadrilateral,2022,3.400,
11389,13978,"War in the East: The Russo-German Conflict, 1941-45",1974,3.231,480
11390,310267,Mother of Frankenstein,2023,2.667,480
11404,246568,Z War One: Exodus,2018,,60
11429,175230,Crete 1941: Operation Mercury,2016,2.333,
11438,12699,"The Army of the Heartland: The Army of Tennessee's Campaigns, 1861-1863",1996,3.667,
11488,348874,50 Missions: Ça se complique,2021,,20
11489,4222,War Between The States 1861-1865,1977,3.500,360
11494,349692,1985: Sacred Oil,2021,4.500,300
11500,337117,RATS: High Tea at Sea,2021,2.000,
11524,10829,Krieg! World War II in Europe,1996,3.458,300
11525,162022,6 nimmt! Schnupperspiel,1994,,30
11529,101118,"Borodino: Napoleon in Russia, 1812",2012,2.300,210
11530,6021,"Hastings, 1066",1987,2.529,300
11539,3070,Red Parachutes: Soviet Airborne Assault Across the Dnepr,1995,3.046,360
11541,182409,Midway Solitaire,2017,3.571,
11547,9650,"War in the Pacific: The Campaign Against Imperial Japan, 1941-45",1978,4.786,360
11562,392492,Stupor Mundi,2024,,90
11576,2082,Shell Shock!,1990,3.179,240
11582,193697,The Men Who Would Be Kings: Colonial Wargaming Rules,2016,2.200,
11618,5997,Pleasant Hill: The Red River Campaign,1986,3.294,300
11634,142205,Ronin: Skirmish Wargames in the Age of the Samurai,2013,2.250,
11636,5830,Bloody 110,1989,3.909,360
11640,43801,"Afrikakorps: Decision in the Desert, 1941-42",2010,2.375,240
11648,5479,"Drive on Washington: The Battle of Monocacy Junction, July 9, 1864",1980,2.765,360
11654,22600,1831,1996,4.500,600
11658,237798,The Wilson Wolfe Affair,2017,3.000,
11658,253318,London & Northwestern,2018,,60
11659,12895,La Bataille de Wavre,1994,3.818,
11700,348849,"Burma: The Forgotten War, 1943–1944",2022,4.333,360
11702,9356,Pacific Fleet,1983,4.000,360
11702,357992,Disney Return of the Headless Horseman Game,2022,,15
11728,3901,Sturm Nach Osten,1980,2.688,360
11732,294756,A Song of Ice & Fire: Tabletop Miniatures Game – Targaryen Starter Set,2020,,45
11737,300076,PARKS Memories: Plains Walker,2021,,30
11739,8307,Killer,1981,2.071,360
11739,9117,"Embrace an Angry Wind: The Battles of Spring Hill & Franklin, 29-30 November 1864",1992,3.000,240
11745,106978,World at War: America Conquered,2013,2.833,240
11756,118688,Sleepers,2012,,30
11761,1590,Stocks & Bonds,1964,2.025,60
11761,381248,Nemesis: Retaliation,2025,3.667,120
11769,7750,Tannenberg: Eagles in the East / Galicia: The Forgotten Cauldron,1999,3.111,360
11771,350081,Rainforest City,2021,2.000,
11774,355786,Funkoverse Strategy Game: Universal Monsters 100,2022,,20
11793,9104,The Three Days of Gettysburg (Second Edition),2000,3.933,360
11814,244166,Sherlock Holmes & Moriarty: Associates,2015,1.000,
11815,24209,Kaleidos Junior,1997,,30
11816,268134,Oathmark: Battles of the Lost Age,2020,3.500,
11820,6942,Drang Nach Osten!,1973,4.071,12000
11830,26919,The War Game: World War II,2005,3.379,240
11852,4366,"Remember the Maine! The Spanish-American War, 1898",1986,2.812,240
11865,29376,"The Battle of Adobe Walls, November 25, 1864",2009,2.700,360
11865,217197,Lucky Forward: Patton's Third Army in Lorraine,2020,4.857,
11866,4343,Semper Fi!,1997,3.375,240
11886,9858,The Russo-Japanese War: Dawn of the Rising Sun,2004,4.091,360
11918,6270,Objective Moscow: The Death of Soviet Communism,1978,3.733,360
11925,64777,Dominion,2004,,30
11958,2334,Square Mile,1962,2.154,60
11970,158589,18Africa,2014,3.889,240
11974,327295,18CO: Rock & Stock,2020,4.000,240
11975,2947,Broker,1961,2.065,75
12007,31021,Shuffleboard Game,,1.000,20
12035,39278,Medina de Rioseco 1808,2008,2.750,240
12043,212663,Biberbande Schnupperspiel,,1.000,
12053,344290,Kneipenquiz: Family & Friends Spezial,2021,,30
12061,356885,Library Labyrinth,2023,,30
12065,208887,Avec Infini Regret II,2016,3.000,
12068,5279,Sagunto: The Battle for Valencia,1993,3.909,240
12069,11465,48th Panzer Korps: Battles on the River Chir,1991,2.643,240
12076,335,Breakthru,1965,2.000,15
12082,205877,Bolt Action: Band of Brothers,2016,2.000,
12092,218491,Gorizia 1916: La sesta battaglia dell'Isonzo,2016,2.750,
12093,5752,Black Sea Black Death,1982,3.917,360
12101,9044,All Quiet on the Western Front,1997,2.875,360
12114,11997,*Star,1999,2.700,
12124,68816,Storming the Reich: D-Day to the Ruhr,2010,3.067,400
12136,11030,Sherco's Grand Slam Baseball Game,1968,2.333,60
12148,253564,Marvel Dice Masters: X-Men Forever Campaign Box,2019,,30
12152,12269,Manassas,1980,3.250,240
12156,40411,Flames of War: Open Fire,2009,2.750,
12159,136606,Sergeants Miniatures Game: Red Devils,2013,3.250,
12165,7749,Serbia the Defiant / Romania: Transylvanian Gambit,2000,3.444,360
12166,293387,A Song of Ice & Fire: Tabletop Miniatures Game – Baratheon Starter Set,2019,,45
12168,5656,France 1944: The Allied Crusade in Europe,1986,2.939,360
12178,7487,Flutter,1950,1.667,60
12201,296570,Hannut: France 1940,2021,3.200,
12204,4254,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983,2.769,240
12217,1970,Oh-Wah-Ree,1962,1.538,30
12245,218,High-Bid,1963,1.818,25
12250,245060,Outfoxed!,2017,,20
12257,267506,Gloom of Thrones,2019,,60
12260,32907,Eylau 1807,2007,2.900,240
12274,2480,Tribes,1998,2.077,240
12277,163319,"Gallipoli, 1915: Churchill's Greatest Gamble",2018,4.000,240
12304,11646,Piquet,1534,2.467,30
12319,322865,Knockdown: Volume II,2022,,15
12320,11978,The Great War in the Near East,1996,3.077,360
12334,67421,ASG Golf,2009,2.857,
12342,26999,China: The Middle Kingdom,2008,2.933,
12346,5023,Conquerors,1977,3.231,240
12354,370671,"Warhammer 40,000: Kill Team – Into the Dark",2022,,60
12364,745,War of Resistance,1998,4.500,
12364,42255,"The Kaiser's War: World War I, 1918-19",2010,2.667,240
12366,4031,Jungle,,1.763,20
12369,316850,Gloomier: A Night at Hemlock Hall,2022,,45
12378,7739,America in Flames,1998,4.562,360
12383,11284,1862,2000,3.714,360
12418,99042,The American Revolution: Decision in North America,2011,2.375,300
12425,7503,"A Frozen Hell: The Battle of Tolvajärvi, Russo-Finnish War, 1939",2000,3.714,240
12430,238065,Sherlock Holmes Consulting Detective: Vanishing from Hyde Park,2017,2.000,
12444,26620,Tannenberg 1914,1990,3.454,240
12446,12900,"War in the East: The Russo-German Conflict, 1941-45 (Second Edition)",1976,3.546,480
12449,17073,Watten,,2.125,30
12451,74311,The Hardest Days,2011,2.667,240
12454,12139,The Three Days Of Gettysburg,1995,4.154,420
12463,4178,Kaliko,1968,2.300,90
12468,21915,Le Vol de l'Aigle,2005,2.923,600
12470,265585,Linkee 3,2018,1.000,
12492,2080,Central America,1987,4.214,360
12492,11708,War Between The States 1861-1865 (Second Edition),2004,3.538,360
12493,2405,Bezique,1860,2.300,30
12494,6700,Command Decision 2nd Edition,1992,3.750,360
12506,5637,APBA Pro Football,1958,2.250,120
12508,289055,KAITŌ,2019,2.000,
12512,376610,Blueprints of Mad King Ludwig,2024,2.500,
12518,172493,Tannenberg: The Introductory Game,2015,3.167,
12522,103039,Beyond Waterloo,2012,3.300,960
12531,25617,Korona,,1.182,15
12533,143073,Tute,,2.200,20
12535,67339,Command at Sea: 4th Edition – War at Sea 1926-1955,2008,4.385,
12537,386775,Iskra,2023,2.333,480
12541,1477,Days of Decision II,1994,3.688,300
12546,379164,"Smash Up: Excellent Movies, Dudes!",2023,,30
12549,12168,D-Day,1961,2.500,120
12563,17821,Connection Games,2005,3.333,
12568,8626,Assyrian Wars,2005,3.920,240
12569,307996,6x6 TALES,2020,,40
12570,333775,Meridians,2021,,20
12582,193696,Rogue Stars: Skirmish Wargaming in a Science Fiction Underworld,2016,3.000,
12588,6374,Napoleon at the Berezina,2003,3.182,300
12592,2138,Crisis: Sinai 1973,1995,3.485,360
12596,17557,Super Farmer,1943,1.139,20
12600,137958,Wild West Exodus,2013,3.000,
12616,192324,Rory's Story Cubes: Medieval,2016,,10
12628,199882,Risk: Star Trek 50th Anniversary Edition,2016,2.333,
12644,26004,Bitter Woods Deluxe Edition Expansion Kit,2004,3.231,240
12647,16325,Strike Them a Blow: 1864 North Anna River,2006,3.333,600
12647,351851,ハーメルンケイブ (HAMELN CAVE),2021,,10
12651,15990,Storm Over Scandinavia,1998,4.000,480
12656,183452,Quickpick: Island of Monster Masks,2015,1.000,
12685,378395,One Card: Cereal Killer,2023,,10
12700,64331,Bar-Lev: The 1973 Arab-Israeli War,1977,3.500,360
12706,1161,Perquackey,1956,1.611,20
12717,6847,South Mountain,1984,2.750,360
12730,226264,Ponkotsu Factory (ぽんこつファクトリー),2014,,15
12737,5383,MechWar '77: Tactical Armored Combat in the 1970's,1975,3.179,270
12750,16271,No Trumpets No Drums: The Vietnam War 1965-1975,1982,3.154,240
12751,42660,1886,2009,4.111,
12753,385316,Unlock! Mythic Adventures: Professor Noside's Animal-o-matic,2023,,45
12758,6909,Fief,1981,3.000,360
12772,25,Battlemist,1998,3.200,200
12773,238506,Magic: The Gathering – Duel Decks: Merfolk Vs. Goblins,2017,3.000,
12785,5488,TaskForce: Naval Tactics and Operations in the 1980's,1981,3.267,360
12797,75587,1858: The Railways of Iberia,2011,3.833,240
12803,284261,Conquest: The Last Argument of Kings,2019,3.000,
12804,11278,Trajan: Ancient Wars Series,2004,3.667,240
12822,367030,Quests Over Coffee,2022,1.000,
12829,8362,Strategy I: Strategic Warfare 350BC to 1984,1971,3.077,360
12831,17041,La Bataille d'Austerlitz,1980,3.571,400
12832,25993,"Drive on Moscow: Operation Typhoon, 1941",2007,2.385,240
12843,254157,Last Days: Zombie Apocalypse,2018,2.000,
12858,128794,"Toulon, 1793",2014,3.500,540
12867,73361,Partizan!,2011,2.500,240
12868,390094,FTW?!,2023,,25
12872,4087,1812: The Campaign of Napoleon in Russia,1972,2.308,
12873,9238,"War in the Ice: The Battle for the Seventh Continent, 1991-92",1978,2.765,360
12877,2510,Playboss,1969,2.529,180
12878,383791,Savage Bowl: Trick Taking Game,2023,,30
12886,323352,Timeline: España,2020,,15
12897,244164,Hocus & Pocus: L'épreuve des Fabulins,2016,1.333,
12898,7752,Over There,2000,4.385,720
12904,367679,"Grand Havoc: Perryville, October 8, 1862",2023,,60
12910,12054,Oosterbeek Perimeter,2006,3.250,300
12912,244162,Mystery,2016,1.400,
12917,4293,The Great Redoubt: A Game of the Battle of Borodino – 1812,1979,3.467,240
12917,415921,Backstories: Alone under the Ice,2024,,50
12931,354628,Death of an Army: Ypres 1914,2022,2.600,240
12933,16957,The von Reisswitz Kriegsspiel: The Prussian Army Wargame,1824,3.700,300
12935,360366,Tainted Grail: Kings of Ruin,2023,,90
12949,368037,Unlock!: Short Adventures – The Awakening of the Mummy,2022,2.000,
12952,349242,Ghosts Love Candy Too,2022,,20
12953,285204,My Hero Academia Collectible Card Game,2021,2.000,
12961,368975,Cuzco,2023,4.000,
12964,337712,Guiscard 2: The Varangian Guard,2021,,90
12973,16030,Volley & Bayonet,1994,2.500,240
12977,1907,International Movie Maker,1968,1.385,90
12982,2666,A Mighty Fortress,1977,3.250,240
13004,192355,Rory's Story Cubes: Powers,2016,,10
13012,5483,"Kursk: History's Greatest Tank Battle, July 1943",1980,3.647,360
13014,12067,Little Wars,1913,2.375,90
13020,210414,Magic: The Gathering – Duel Decks: Nissa vs. Ob Nixilis,2016,,
13022,155257,Captain's Sea,2021,3.200,
13023,26686,"Battle for Galicia, 1914",2006,2.167,
13025,8666,Days of Decision,1990,3.800,360
13028,76352,Bid Euchre,,1.667,30
13028,368040,Unlock!: Short Adventures – In Pursuit of Cabrakan,2022,2.000,
13041,338075,Cupid: Tricks & Tactics,2021,,20
13055,74312,"The Rhineland War, 1936-37",2011,3.200,240
13064,139390,Perplexus Twist,2013,2.000,
13066,40385,The Bulge,2008,2.182,240
13073,28553,Fictionary,,1.333,60
13075,3359,Anagrams,1875,2.000,45
13085,262479,Pucket,2011,1.000,
13092,118561,Sequence,,,25
13101,157528,The Dauphin and the Sword,2014,2.538,
13121,320061,Death in the Trenches: The Great War 1914-1918 (Second Edition),2022,3.800,300
13128,5822,"Brute Force: The War in the West, 1940-1945",2003,3.286,360
13133,6826,The Campaigns of Robert E. Lee,1988,3.840,240
13150,9192,Justinian,1999,2.538,240
13150,11821,Jotto,1956,1.600,20
13152,193792,Arcole 1796,2016,2.667,
13153,247952,Constantinople,2019,3.143,
13164,13980,"Into a Bear Trap: The Battle for Grozny, January 1995",2004,2.917,360
13190,15678,Hoyle's Games,1742,3.000,
13192,349408,Lielow,2021,,30
13200,37731,Manille,,2.375,60
