num_games,num_games_ranked,num_votes_total,avg_rating,num_votes_dummy,min_mse,commit,datetime
96511,19554,16371438,7.0360027321698935,1642.130298912479,2.9393052088993263,f966a9da78dadd6e565812d6c5c7887042a915fb,2020-10-11 01:28:36+00:00
96509,19549,16368702,7.036016486593744,1641.4559721946255,2.9383509884672083,dff5b9ec14357a34ba2d38eb027de06e9021d582,2020-10-10 01:20:58+00:00
96506,19536,16367431,7.036043753834062,1641.2534656002656,2.938124412537468,3f84929bc26707cce5eb7068af89312c9976b0ea,2020-10-09 01:13:30+00:00
96465,19528,16360890,7.0357613884880355,1641.0148538415797,2.9377622134740227,fdceca324fd5b7985579699c2a2131417dfd20df,2020-10-08 01:42:20+00:00
96464,19523,16360577,7.035783355013089,1640.946891531302,2.9392264216268766,0c12ff561f1d8e14a667b588075ab1eec3921cd7,2020-10-07 01:32:49+00:00
96463,19520,16360459,7.035782692619443,1640.9442301839129,2.9391791355774473,388b2946b6f7213fa7de6664e882e81d371a246e,2020-10-06 01:23:31+00:00
96427,19519,16357523,7.035649102427061,1640.570695698215,2.9417248301164003,8b419c553164eb7d8ce5325f3086cc7f29f5b563,2020-10-05 01:11:31+00:00
96427,19521,16357400,7.035631271685598,1640.567731860164,2.9417373003272247,bf62df3638761682634ee534c9b2d49f3377089d,2020-10-04 01:47:18+00:00
96423,19521,16357136,7.035630204069954,1640.5667185782925,2.941747161634114,96ae32ad291357d6bdd30cad946f2a85b88b0237,2020-10-03 01:40:16+00:00
96337,19520,16332299,7.035174545912979,1638.6589376255415,2.946057786955903,f430c31f5bd8c8122f63e45e3fb13589757cfc94,2020-10-02 01:27:48+00:00
96330,19520,16316745,7.0353070164937925,1636.3010406493686,2.9519580179859224,6552a6f1e525a39b4aa3aa1fc6eb02a930e7e6f7,2020-10-01 01:18:30+00:00
96257,19518,16303646,7.034953261084054,1635.8532980069413,2.947291187429008,d71ed268a543bb2950b7aee178e0924c20dc31a7,2020-09-30 01:13:54+00:00
96250,19514,16300867,7.035012926719787,1635.7023000251047,2.9454734389832593,a36253e3307389297ee57646c98fa465022d7a82,2020-09-29 01:04:00+00:00
96240,19497,16299193,7.035054205189792,1635.5787161737226,2.942719322435328,6320739e5014314014de068640ed551eabc17929,2020-09-28 01:26:37+00:00
96233,19485,16298239,7.03513087617196,1635.5547603219293,2.9417030070604833,4519655f33c0e2c3bcd4296c74dcf46f461d9098,2020-09-27 01:19:47+00:00
96233,19483,16297923,7.035160610418273,1635.5553269385837,2.941545177743922,bae11337600daab20f2b75c3d3cf59944e75746f,2020-09-26 01:12:13+00:00
96211,19481,16297181,7.035172473428379,1635.5053141712688,2.9410596262983475,ac1b2aebd7b88d0b38b53546f5fcd5e777a72033,2020-09-25 01:32:34+00:00
96186,19475,16294198,7.03512989785137,1635.4203254216827,2.940074425716338,cc61b418cd55ffa8dc2c01b46b6746aecc8dcb87,2020-09-24 01:25:19+00:00
96186,19476,16293519,7.035181630412068,1635.4001872241042,2.939508804199297,3c593bfcab8b0d67c4b60330d86aa51faa766995,2020-09-23 01:18:43+00:00
96169,19475,16290949,7.035122521147787,1635.351045429661,2.938973474240849,380cdf8481e864b8c1563b8e1673f4b6c72e454a,2020-09-22 01:03:21+00:00
96119,19467,16287835,7.035047734406691,1635.2932609617255,2.938432248099796,75402e0814c87c5dc9e02392afab4c20c2835242,2020-09-21 00:48:25+00:00
96012,19466,16280879,7.034725720181938,1635.220287740185,2.9372794116770327,716b4561bd70cbbc3103971d647960b24a54618e,2020-09-20 00:35:54+00:00
96004,19464,16280675,7.034735319676856,1635.2187044918082,2.9372400132858445,23557b8c5f89a6d34d462b9dc81b6e8e46257308,2020-09-19 01:09:42+00:00
96004,19458,16280240,7.0347665353416176,1635.209330823227,2.9371924057761714,bf09dd423754484de82da1f1b55a9923a476ff51,2020-09-18 07:55:07+03:00
96002,19457,16194116,7.033901310876741,1628.1797580420516,2.946111847319384,d6fccf45bbf78b3720a11a11d0ba987547f16e8d,2020-09-17 01:37:56+00:00
95946,19453,16162577,7.033958979390477,1623.057353496506,2.9477870270274544,a1dd91e3454bebe6d680a61c8be258ca427cdb8f,2020-09-16 01:17:47+00:00
95874,19447,16147170,7.033862815226445,1621.6478109126456,2.9436718885330104,d6f2935a9d1d446405c64d8a4c26ac74d483d76f,2020-09-15 01:56:19+00:00
95873,19443,16145824,7.033939750523108,1621.9714999198459,2.973009674509832,603520bb8c399bdfeb43e44e385a4beaf33af140,2020-09-14 01:34:33+00:00
95863,19429,16144876,7.033978042009117,1621.9113055616162,2.9720940396567803,b2b34741a4e4808cc239a42b4904b6decd4f5f06,2020-09-13 01:25:04+00:00
95860,19421,16144188,7.0340255844518165,1621.8870222569876,2.9721540366421806,026d53fd1fbece5fc9068a0ccaad5e2f119fa58b,2020-09-12 01:57:58+00:00
95857,19420,16143863,7.03405986545971,1621.8809902725752,2.9721145867427876,4fe520e933fa5758266e9b7b0640a850bf9409ae,2020-09-11 01:27:51+00:00
95855,19417,16143580,7.034072899167967,1621.8810081481479,2.9721602148419586,508a28291d79a5e591abe895af2b3e8fb0d29f04,2020-09-10 01:29:32+00:00
95774,19411,16132465,7.033632396303975,1621.529339998915,2.9711894163674946,56f37459c945d9fcccebd169a32e1b0cfb8790fe,2020-09-09 01:09:51+00:00
95767,19403,16131387,7.033645056859649,1621.4556932041432,2.9704559925658973,9292f48bd2ed96736ee2bf0c39e5971da08b4ecf,2020-09-08 01:51:02+00:00
95767,19388,16130778,7.033663196576136,1621.34986519809,2.969364496681952,386b5c00da0a62ae9fdc4e9418ace53df0480fb7,2020-09-07 02:06:48+00:00
95765,19381,16130478,7.033695491690946,1621.3114872574351,2.970112548049866,6a54cb12a468a5251ecdf4f18ca5147f233445ff,2020-09-06 02:03:43+00:00
95764,19380,16130301,7.033703047829671,1621.3115155696414,2.9701124705840445,f05c8929c6b11b928de482437c17a350e089e705,2020-09-05 01:38:17+00:00
95693,19378,16118693,7.033147277271798,1620.9782332181476,2.970143822660651,324ff5d9d73e69ce4d7577e05d2d3f02692b0530,2020-09-04 01:41:22+00:00
95680,19378,16116071,7.033193820647106,1620.529563678383,2.9697814063948895,bc39c18f4df59ba8c3d28890c22a576c07349753,2020-09-03 01:30:25+00:00
95674,19364,16114505,7.033260592689009,1620.2847242471307,2.969428134682352,42edff51f5b5cc80ede2d55e1cca4fd5f46eef71,2020-09-02 01:51:19+00:00
95671,19351,16114111,7.033279119777069,1620.231676101639,2.9677014531890036,bb9580f52141927db3d139c012e4c0a58a2ae302,2020-09-01 01:42:51+00:00
95671,19345,16113459,7.03331592366915,1620.175227525715,2.9640686081976715,42b011a93d007f33de5f590a3ba37e93f5f5328b,2020-08-30 01:35:13+00:00
95669,19344,16113365,7.033320862604427,1620.1749362051032,2.964062622102799,cd0065a5843ad37ff435f5f44d10042b5e79e68a,2020-08-29 01:54:26+00:00
95627,19342,16110945,7.0332800411024925,1620.161530375617,2.9643113084378037,9bfcbcdbfa3b7e70ba3fefbc8e3af5250a404a2e,2020-08-28 02:03:43+00:00
95626,19338,16110432,7.033294724823022,1620.1067537068866,2.960735022196243,54b6f4530f936da0d698accf945b66706622ac6e,2020-08-27 02:12:52+00:00
95610,19334,16105038,7.0330330472092015,1620.0066094286285,2.9594982164454016,2d97007c1cea36d9588d091d6c565ee034ef8a43,2020-08-26 02:34:44+00:00
95609,19332,16104744,7.033048157062292,1620.0051277877265,2.9594741457407365,8098301ec241b5f7a4eed26aae45a0e38df470f0,2020-08-25 09:03:33+00:00
95583,19330,16101709,7.033007525555208,1619.8998436360398,2.958996967995861,4c0a97ec2ecda0bb752dd2da4896611c4bc6013b,2020-08-24 02:04:48+00:00
95586,19319,16100662,7.0330409799708855,1619.8641471564315,2.958508897137742,572bffb700fae28814208faf3f70326b74f93f0e,2020-08-23 01:53:14+00:00
95559,19304,16095587,7.032830774376852,1619.7358638018613,2.9545833772445755,16d0c4926f8c1cdd6bdf67a6ded6b3f0a01471a0,2020-08-22 01:43:29+00:00
95558,19301,16095264,7.032857167069146,1619.7206974029086,2.95409118797372,5eaf7d1ee913843c0cd46c4d4c8143b4811ff0cd,2020-08-21 02:05:50+00:00
95555,19301,16094891,7.0328851787881,1619.7206974029086,2.95409118797372,2ec70fd516ad160f47429e26b7a34f37d16067d6,2020-08-20 01:56:47+00:00
95456,19299,16085862,7.032577180082111,1619.538046419575,2.9489123621040827,c28b4f68caa1391663cf6d9ec127a1f917200b88,2020-08-19 02:07:40+00:00
95457,19293,16084883,7.032616506828183,1619.4902092219763,2.948082248890534,042b14bc46ba6fdb89d353dcdc5892c604d5099f,2020-08-18 02:46:51+00:00
95456,19284,16084366,7.032647138716565,1619.3642542231373,2.9404128274334553,d9f4899d619c047dd01a00f9cae433f4059742f9,2020-08-17 03:07:13+00:00
95455,19282,16083987,7.032676379134105,1619.3642802536033,2.940452944693966,6fd025c532910cc748dd6a7408ea0d346b12378e,2020-08-16 03:09:10+00:00
95419,19281,16083763,7.0326782893965785,1619.3651303648494,2.9404471203431775,4edc3f5e2ca812171d076b674e3c82e92c729388,2020-08-15 02:55:28+00:00
95417,19281,16078116,7.032564899795473,1619.0929148316627,2.9394588960988846,101a9870d2d1369b3c32c33508d4eb3c1fa57388,2020-08-14 03:52:02+00:00
95410,19280,16075027,7.032665801659929,1618.861280335068,2.9376915929796183,d4f45035e4d001ed007a189eab2d4a908590b2f6,2020-08-13 03:04:11+00:00
95358,19279,16066201,7.032338075091306,1618.695996724955,2.9361187551415906,149a57bacb98b6f258fda7bf94d8261ed0718e96,2020-08-12 04:03:26+00:00
95354,19273,16064432,7.032348268846356,1618.6227470868744,2.9356573568059097,c8d1fed71013417a39c4a4476d0d450e94434e75,2020-08-11 03:51:37+00:00
