rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
92,365717,Clank!: Catacombs,2022,99,8.275,7.914,-0.362,7.282,7
5,161936,Pandemic Legacy: Season 1,2015,2,8.525,7.963,-0.562,7.862,-3
28,266507,Clank! Legacy: Acquisitions Incorporated,2019,22,8.532,8.030,-0.502,7.539,-6
70,205059,Mansions of Madness: Second Edition,2016,59,7.944,7.471,-0.473,7.354,-11
22,316554,Dune: Imperium,2020,6,8.435,7.735,-0.700,7.630,-16
64,199792,Everdell,2018,36,8.022,7.463,-0.560,7.385,-28
40,167791,Terraforming Mars,2016,7,8.356,7.522,-0.834,7.477,-33
52,84876,The Castles of Burgundy,2011,16,8.141,7.486,-0.655,7.416,-36
78,285774,Marvel Champions: The Card Game,2019,40,8.120,7.490,-0.630,7.316,-38
68,312484,Lost Ruins of Arnak,2020,28,8.072,7.452,-0.620,7.358,-40
84,183394,Viticulture Essential Edition,2015,38,7.986,7.385,-0.601,7.300,-46
74,124361,Concordia,2013,24,8.093,7.431,-0.662,7.328,-50
107,170216,Blood Rage,2015,52,7.924,7.329,-0.594,7.245,-55
146,191189,Aeon's End,2016,84,7.898,7.346,-0.551,7.164,-62
105,164928,Orléans,2014,32,8.060,7.375,-0.685,7.248,-73
87,342942,Ark Nova,2021,4,8.536,7.385,-1.151,7.294,-83
88,224517,Brass: Birmingham,2018,1,8.594,7.376,-1.218,7.288,-87
94,174430,Gloomhaven,2017,3,8.583,7.341,-1.242,7.275,-91
176,157354,Five Tribes: The Djinns of Naqala,2014,81,7.775,7.203,-0.571,7.114,-95
108,291457,Gloomhaven: Jaws of the Lion,2020,10,8.429,7.356,-1.073,7.242,-98
156,314040,Pandemic Legacy: Season 0,2020,53,8.392,7.629,-0.763,7.145,-103
169,251661,Oathsworn: Into the Deepwood,2022,65,8.959,7.873,-1.086,7.125,-104
171,231733,Obsession,2018,60,8.140,7.407,-0.733,7.120,-111
155,397598,Dune: Imperium – Uprising,2023,44,8.734,7.779,-0.955,7.148,-111
138,167355,Nemesis,2018,21,8.266,7.302,-0.965,7.178,-117
225,256916,Concordia Venus,2018,97,8.290,7.611,-0.679,7.030,-128
144,187645,Star Wars: Rebellion,2016,9,8.417,7.284,-1.133,7.167,-135
157,169786,Scythe,2016,17,8.138,7.189,-0.949,7.144,-140
195,255984,Sleeping Gods,2021,55,8.195,7.374,-0.821,7.083,-140
234,28143,Race for the Galaxy,2007,80,7.744,7.081,-0.663,7.018,-154
