          ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const     ,    5.2480,    0.014,  379.224, 0.000,    5.221,    5.275
complexity,    0.6278,    0.007,   94.293, 0.000,    0.615,    0.641
