rank,bgg_id,name,g_index
336,148949,Istanbul,53
336,150658,Pandemic: The Cure,53
336,152237,Pairs,53
336,153623,Limes,53
336,157809,Nations: The Dice Game,53
336,283155,Calico,53
336,329873,Grove: A 9 card solitaire game,53
352,712,Blood Bowl (Third Edition),52
352,1116,Oh Hell!,52
352,1927,Munchkin,52
352,2122,Vampire: The Eternal Struggle,52
352,3439,HeroClix,52
352,5404,Amun-Re,52
352,24068,Shadow Hunters,52
352,41302,First Orchard,52
352,73439,Troyes,52
352,124361,Concordia,52
352,134253,Hostage Negotiator,52
352,146652,Legendary Encounters: An Alien Deck Building Game,52
352,161936,Pandemic Legacy: Season 1,52
352,175199,Mottainai,52
352,224517,Brass: Birmingham,52
352,264220,Tainted Grail: The Fall of Avalon,52
352,267378,Chakra,52
352,268201,Dice Throne,52
352,277085,Love Letter,52
371,337,Circus Flohcati,51
371,699,HeroQuest,51
371,4143,Guess Who?,51
371,21763,Mr. Jack,51
371,38318,Start Player,51
371,65244,Forbidden Island,51
371,91514,Rhino Hero,51
371,117942,Zooloretto: The Dice Game,51
371,135382,Shadowrun: Crossfire,51
371,151007,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,51
371,169427,Middara: Unintentional Malum – Act 1,51
371,195314,Herbaceous,51
371,198740,Lovecraft Letter,51
371,200680,Agricola (Revised Edition),51
371,229853,Teotihuacan: City of Gods,51
371,231733,Obsession,51
371,247763,Underwater Cities,51
371,251678,Railroad Ink: Blazing Red Edition,51
389,3,Samurai,50
389,98,Axis & Allies,50
389,590,Mille Bornes,50
389,1294,Clue,50
389,2136,Pachisi,50
389,2392,Mastermind,50
389,2425,Battleship,50
389,2452,Jenga,50
389,5716,Balloon Cup,50
389,6819,Skat,50
389,7688,Memory,50
389,7717,Carcassonne: The Castle,50
389,13004,The Downfall of Pompeii,50
389,18803,Black Stories,50
389,20952,UNO Junior,50
389,25554,Notre Dame,50
389,43022,Yomi,50
389,68425,Eminent Domain,50
389,108784,Ascension: Storm of Souls,50
389,113924,Zombicide,50
389,123260,Suburbia,50
389,137297,Rise of Augustus,50
389,156776,"Warhammer 40,000: Conquest",50
389,168584,Love Letter: Batman,50
389,176494,Isle of Skye: From Chieftain to King,50
389,180680,Automobiles,50
389,291457,Gloomhaven: Jaws of the Lion,50
389,303672,Trek 12: Himalaya,50
389,345584,Mindbug: First Contact,50
418,1472,Five Crowns,49
418,9364,Doppelkopf,49
418,34166,Finito!,49
418,35503,Ra: The Dice Game,49
418,37196,Sorry! Sliders,49
418,111148,Würfel Bohnanza,49
418,151022,Baseball Highlights: 2045,49
418,183251,Karuba,49
418,194626,Happy Salmon,49
418,207830,5-Minute Dungeon,49
418,216132,Clans of Caledonia,49
418,224597,Warhammer Underworlds: Shadespire,49
418,260407,Soviet Kitchen Unleashed,49
418,270836,Imperial Settlers: Roll & Write,49
418,328479,Living Forest,49
433,1887,Legend of the Five Rings,48
433,7865,10 Days in Africa,48
433,8051,Attika,48
433,22345,Yspahan,48
433,27162,Kingsburg,48
433,41010,My First Carcassonne,48
433,54137,Battle Sheep,48
433,136888,Bruges,48
433,138788,Dungeon Roll,48
433,148203,Dutch Blitz,48
433,171668,The Grizzled,48
433,181304,Mysterium,48
433,184921,Bunny Kingdom,48
433,212445,Blood Bowl (2016 Edition),48
447,5,Acquire,47
447,18,RoboRally,47
447,220,High Society,47
447,5867,10 Days in Europe,47
447,17534,Just4Fun,47
447,20100,Wits & Wagers,47
447,39683,At the Gates of Loyang,47
447,56692,Parade,47
447,129090,Roll For It!,47
447,172081,Burgle Bros.,47
447,176189,Zombicide: Black Plague,47
447,178570,Unusual Suspects,47
447,203427,Fabled Fruit,47
447,204135,Skyjo,47
447,251247,Barrage,47
447,260300,Dungeon Mayhem,47
447,291453,SCOUT,47
447,293014,Nidavellir,47
447,293348,Flesh and Blood,47
447,366013,Heat: Pedal to the Metal,47
467,128,Take it Easy!,46
467,201,The Rose King,46
467,4583,Pinochle,46
467,6351,Gulo Gulo,46
467,6830,Zendo,46
467,17405,1846: The Race for the Midwest,46
467,102680,Trajan,46
467,102794,Caverna: The Cave Farmers,46
467,115746,War of the Ring: Second Edition,46
467,128271,Ginkgopolis,46
467,137330,Cube Quest,46
467,146508,T.I.M.E Stories,46
467,167400,Ashes Reborn: Rise of the Phoenixborn,46
467,197405,Tak,46
467,206915,Tempel des Schreckens,46
467,219513,Bärenpark,46
467,227466,Break the Code,46
467,232988,The Castles of Burgundy: The Dice Game,46
467,236457,Architects of the West Kingdom,46
467,256960,Pax Pamir: Second Edition,46
467,288513,Tranquility,46
467,328871,Terraforming Mars: Ares Expedition,46
467,341169,Great Western Trail: Second Edition,46
490,74,Apples to Apples,45
490,908,Tally Ho!,45
490,1197,Blink,45
490,2593,Pass the Pigs,45
490,4209,Monza,45
490,7854,YINSH,45
490,9851,Shut the Box,45
490,12002,Jambo,45
490,16395,Blokus Duo,45
490,37628,Haggis,45
490,38545,Kamisado,45
490,39206,Tac Tac Jack,45
490,66362,Glen More,45
490,85256,Timeline: Inventions,45
490,119890,Agricola: All Creatures Big and Small,45
490,121423,Skyline,45
490,140934,Arboretum,45
490,146278,Tash-Kalar: Arena of Legends,45
490,163166,One Night Ultimate Werewolf: Daybreak,45
490,169426,Roll Player,45
490,173341,Loopin' Chewie,45
490,183840,Oh My Goods!,45
490,192343,Bubblee Pop,45
490,217372,The Quest for El Dorado,45
490,230914,Carcassonne Big Box 6,45
490,256382,Disney Villainous: The Worst Takes it All,45
490,280794,Etherfields,45
490,284584,Troyes Dice,45
490,304783,Hadrian's Wall,45
490,339789,Welcome to the Moon,45
520,2346,DVONN,44
520,3347,Solo,44
520,10400,Patience,44
520,18833,Lord of the Rings: The Confrontation,44
520,19643,World of Warcraft Trading Card Game,44
520,19841,Pentago,44
520,50381,Cards Against Humanity,44
520,55670,Macao,44
520,66590,Just4Fun Colours,44
520,71721,Space Hulk: Death Angel – The Card Game,44
520,112373,BraveRats,44
520,128780,Pax Porfiriana,44
520,146791,Shadows of Brimstone: City of the Ancients,44
520,170216,Blood Rage,44
520,196326,Love Letter: Premium Edition,44
520,205059,Mansions of Madness: Second Edition,44
520,232832,Century: Golem Edition,44
520,233961,Claim,44
520,236217,Timebomb,44
520,245643,Luxor,44
520,251412,On Tour,44
520,300531,Paleo,44
520,302280,Shifting Stones,44
520,305682,Rolling Realms,44
520,317299,Loco Momo,44
545,6714,Go Away Monster!,43
545,25417,BattleLore,43
545,30933,BANG! The Bullet!,43
545,31594,In the Year of the Dragon,43
545,40270,Call of Cthulhu: The Card Game,43
545,58421,Egizia,43
545,73664,Cabo,43
545,79828,A Few Acres of Snow,43
545,135779,A Fake Artist Goes to New York,43
545,141572,Paperback,43
545,155703,Evolution,43
545,160069,Ticket to Ride: 10th Anniversary,43
545,164812,Roll For It! Deluxe Edition,43
545,166669,San Juan (Second Edition),43
545,169654,Deep Sea Adventure,43
545,170587,Don't Mess with Cthulhu,43
545,200077,Mint Works,43
545,228504,Cat Lady,43
545,231664,Fast Forward: FEAR,43
545,234277,Nusfjord,43
545,241590,Smart10,43
545,242705,Aeon Trespass: Odyssey,43
545,246784,Cryptid,43
545,265683,Second Chance,43
545,270673,Silver & Gold,43
545,277659,Final Girl,43
545,278553,Silver,43
545,299169,Spicy,43
545,303553,Skulls of Sedlec,43
545,309110,Food Chain Island,43
575,93,El Grande,42
575,340,Frank's Zoo,42
575,826,Cartagena,42
575,1032,B-17: Queen of the Skies,42
575,3181,Farkle,42
575,3201,Lord of the Rings: The Confrontation,42
575,7866,10 Days in the USA,42
575,17104,Canasta,42
575,17133,Railways of the World,42
575,36235,The Duke,42
575,40628,Finca,42
575,43015,Hansa Teutonica,42
575,43443,Castle Panic,42
575,62222,Commands & Colors: Napoleonics,42
575,101721,Mage Wars Arena,42
575,111341,The Great Zimbabwe,42
575,127398,Legends of Andor,42
575,157354,Five Tribes: The Djinns of Naqala,42
575,158899,Colt Express,42
575,169416,Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set,42
575,220877,Rajas of the Ganges,42
575,225694,Decrypto,42
575,251661,Oathsworn: Into the Deepwood,42
575,272453,KeyForge: Age of Ascension,42
575,287084,Oriflamme,42
575,306881,Railroad Ink Challenge: Lush Green Edition,42
575,336382,Marvel United: X-Men,42
575,357563,Akropolis,42
603,140,Pit,41
603,494,Ave Caesar,41
603,526,Abalone,41
603,528,ZÈRTZ,41
603,1219,Labyrinth,41
603,1260,Rook,41
603,3570,Chicken Cha Cha Cha,41
603,5072,Carrom,41
603,10547,Betrayal at House on the Hill,41
603,11017,Crazy Eights,41
603,16496,Roma,41
603,29368,Last Night on Earth: The Zombie Game,41
603,31105,Archaeology: The Card Game,41
603,31999,TZAAR,41
603,37904,Formula D,41
603,72125,Eclipse: New Dawn for the Galaxy,41
603,92828,Dixit: Odyssey,41
603,122515,Keyflower,41
603,124708,Mice and Mystics,41
603,126042,Nations,41
603,143693,Glass Road,41
603,146886,La Granja,41
603,153938,Camel Up,41
603,155695,Age of War,41
603,155987,Abyss,41
603,156714,Doomtown: Reloaded,41
603,163967,Tiny Epic Galaxies,41
603,170042,Raiders of the North Sea,41
603,175117,Celestia,41
603,175621,Epic Card Game,41
603,175914,Food Chain Magnate,41
603,187273,The Dresden Files Cooperative Card Game,41
603,218417,Aeon's End: War Eternal,41
603,218421,Street Masters,41
603,244916,Drop It,41
603,245934,Carpe Diem,41
603,300936,Via Magica,41
603,318184,Imperium: Classics,41
603,318553,Rajas of the Ganges: The Dice Charmers,41
603,352515,Trio,41
643,46,Medici,40
643,106,Mystery Rummy: Jack the Ripper,40
643,173,Formula Dé,40
643,421,1830: Railways & Robber Barons,40
643,586,Up Front,40
643,1111,Taboo,40
643,1258,Phase 10,40
643,1270,Star Wars Customizable Card Game,40
643,1353,Time's Up!,40
643,2381,Scattergories,40
643,2952,Trivial Pursuit: Genus Edition,40
643,3720,Subbuteo,40
643,5048,Candy Land,40
643,5895,Hungry Hungry Hippos,40
643,6411,Blokus 3D,40
643,7682,Go Fish,40
643,15889,Scopa,40
643,24417,Factory Fun,40
643,27588,Zooloretto,40
643,27627,Talisman: Revised 4th Edition,40
643,34585,Keltis,40
643,34707,The Hanging Gardens,40
643,83195,Ghost Blitz,40
643,117995,"Spot it! 1,2,3",40
643,128621,Viticulture,40
643,172931,Outfoxed!,40
643,194880,Dream Home,40
643,209325,The Game: Extreme,40
643,220517,The Shipwreck Arcana,40
643,221107,Pandemic Legacy: Season 2,40
643,224483,Exceed Fighting System,40
643,253344,Cthulhu: Death May Die,40
643,262211,Cloudspire,40
643,270314,Ohanami,40
643,271460,UNO Flip!,40
643,295260,It's a Wonderful World: Heritage Edition,40
643,314088,Agropolis,40
643,350184,Earth,40
681,54,Tikal,39
681,1540,BattleTech,39
681,2633,DOG,39
681,10816,Blackjack,39
681,16986,Ubongo,39
681,31016,We Didn't Playtest This At All,39
681,47082,"Win, Lose, or Banana",39
681,67254,Warmachine Prime Mk II,39
681,94362,Rune Age,39
681,143404,Castellion,39
681,147151,Concept,39
681,157026,Ascension: Realms Unraveled,39
681,158275,Marvel Dice Masters: Uncanny X-Men,39
681,162082,Deus,39
681,163745,Star Wars: Armada,39
681,164928,Orléans,39
681,192458,51st State: Master Set,39
681,193558,The Oracle of Delphi,39
681,196340,Yokohama,39
681,204801,Kneipenquiz: Das Original,39
681,234120,Gold Fever,39
681,248562,Mage Knight: Ultimate Edition,39
681,265736,Tiny Towns,39
681,270844,Imperial Settlers: Empires of the North,39
681,276025,Maracaibo,39
681,284229,Butterfly,39
681,307305,Bullet♥︎,39
708,339,Quiddler,38
708,483,Diplomacy,38
708,2162,"Warhammer 40,000 (Third Edition)",38
708,2569,Pick Picknic,38
708,2603,The Lord of the Rings Trading Card Game,38
708,7805,Fearsome Floors,38
708,10550,Big Boggle,38
708,11929,Go-Moku,38
708,12962,Reef Encounter,38
708,13230,Gobblet Gobblers,38
708,17226,Descent: Journeys in the Dark,38
708,22484,Ingenious: Travel Edition,38
708,26162,Claim It!,38
708,26884,Escalation!,38
708,29773,Cheeky Monkey,38
708,32484,The Battle for Hill 218,38
708,37400,Sushizock im Gockelwok,38
708,40425,Maori,38
708,72287,Mr. Jack Pocket,38
708,88408,Nightfall,38
708,91671,Da ist der Wurm drin,38
708,106217,Hawaii,38
708,122298,Morels,38
708,123123,BattleCON: Devastation of Indines,38
708,125311,Okiya,38
708,132372,Guildhall,38
708,136063,Forbidden Desert,38
708,139771,Star Trek: Attack Wing,38
708,139976,Cthulhu Wars,38
708,177524,ICECOOL,38
708,187687,Pathfinder Adventure Card Game: Mummy's Mask – Base Set,38
708,197376,Charterstone,38
708,223750,Hardback,38
708,231665,Fast Forward: FORTRESS,38
708,235488,Istanbul: The Dice Game,38
708,244271,Dice Throne: Season Two – Battle Chest,38
708,260180,Project L,38
708,285894,Bravo!,38
708,293296,Splendor: Marvel,38
708,300010,Dragomino,38
708,308493,Relics of Rajavihara,38
708,319793,Happy City,38
708,346482,Voll verplant,38
751,175,What the Heck?,37
751,357,Excape,37
751,503,Through the Desert,37
751,917,Rack-O,37
751,1915,Middle-earth,37
751,2290,Good & Bad Ghosts,37
751,2653,Survive: Escape from Atlantis!,37
751,3085,Gang of Four,37
751,3421,StreetSoccer,37
751,14254,PitchCar Mini,37
751,15290,R-Eco,37
751,36553,Time's Up! Title Recall!,37
751,101785,D-Day Dice,37
751,122294,Ascension: Immortal Heroes,37
751,129736,Cockroach Poker Royal,37
751,130176,Tales & Games: The Hare & the Tortoise,37
751,130882,Cardline: Animals,37
751,138233,Ascension: Rise of Vigil,37
751,143519,Quantum,37
751,152242,Ultimate Werewolf: Deluxe Edition,37
751,153064,Good Cop Bad Cop,37
751,164127,Carcassonne Big Box 5,37
751,167355,Nemesis,37
751,180602,Game of Trains,37
751,187645,Star Wars: Rebellion,37
751,191977,The Castles of Burgundy: The Card Game,37
751,196526,Coffee Roaster,37
751,205045,Avenue,37
751,209010,Mechs vs. Minions,37
751,213266,Circle the Wagons,37
751,216734,Dice Throne: Season One,37
751,226501,Dragonfire,37
751,230080,Majesty: For the Realm,37
751,264241,Mandala,37
751,277458,Kluster,37
751,279537,The Search for Planet X,37
751,287954,Azul: Summer Pavilion,37
751,308765,Praga Caput Regni,37
751,331265,Port Royal: Big Box,37
751,346965,Azul: Queen's Garden,37
751,358124,Mists over Carcassonne,37
751,370591,Dorfromantik: The Board Game,37
751,391163,Forest Shuffle,37
794,49,Mamma Mia!,36
794,714,Talisman,36
794,878,Wyatt Earp,36
794,2386,Chinese Checkers,36
794,2582,Catch Phrase!,36
794,8946,Da Vinci Code,36
794,15062,Shadows over Camelot,36
794,27710,Catan Dice Game,36
794,29223,Marrakech,36
794,42452,Rattus,36
794,65532,Defenders of the Realm,36
794,94902,Dungeons & Dragons Starter Set,36
794,113401,Timeline: Events,36
794,118410,Dirty Pig,36
794,123607,Puzzle Strike: Third Edition,36
794,134352,Two Rooms and a Boom,36
794,144553,The Builders: Middle Ages,36
794,161970,Alchemists,36
794,165950,Beasty Bar,36
794,179303,Cthulhu Realms,36
794,184346,Go Nuts for Donuts,36
794,194517,Super Fantasy Brawl,36
794,218121,Dice Hospital,36
794,221965,The Fox in the Forest,36
794,225482,Seas of Strife,36
794,233078,Twilight Imperium: Fourth Edition,36
794,233371,Clank! In! Space!: A Deck-Building Adventure,36
794,248861,Metro X,36
794,266810,Paladins of the West Kingdom,36
794,286751,Zombicide: 2nd Edition,36
794,291794,Dice Throne: Season One ReRolled,36
794,296151,Viscounts of the West Kingdom,36
794,306735,Under Falling Skies,36
794,310448,Zombie Teenz Evolution,36
794,310873,Carnegie,36
794,314503,Codex Naturalis,36
794,318472,Blood Bowl: Second Season Edition,36
794,334011,A Gentle Rain,36
794,341530,Super Mega Lucky Box,36
794,372559,Spots,36
794,373106,Sky Team,36
835,118,Modern Art,35
835,278,Catan Card Game,35
835,394,Kahuna,35
835,438,Scotland Yard,35
835,555,The Princes of Florence,35
835,2407,Sorry!,35
835,2921,The Game of Life,35
835,3284,Star Wars: Epic Duels,35
835,11229,Star Wars Miniatures,35
835,17804,Dungeons & Dragons Basic Game,35
835,18946,Just Desserts,35
835,19237,Ca$h 'n Gun$,35
835,20528,Palace,35
835,20545,Rory's Story Cubes,35
835,22245,Royal Visit,35
835,41916,The Magic Labyrinth,35
835,60435,Rallyman,35
835,63975,Mountain Goats,35
835,73761,K2,35
835,89952,Carcassonne: 10 Year Special Edition,35
835,91312,Discworld: Ankh-Morpork,35
835,131325,Timeline: General Interest,35
835,148943,Coup: Rebellion G54,35
835,154892,Loonacy,35
835,155821,Inis,35
835,157820,Escape: The Curse of the Temple – Big Box,35
835,159675,Fields of Arle,35
835,160851,Lanterns: The Harvest Festival,35
835,170561,Valeria: Card Kingdoms,35
835,177639,Raptor,35
835,179172,Unfair,35
835,189932,Tyrants of the Underdark,35
835,191300,Archaeology: The New Expedition,35
