bgg_id,name,rank_h_index,h_index,rank_g_index,g_index
118247,Lucky Numbers,69,102,87,176
263918,Cartographers,70,101,82,180
25613,Through the Ages: A Story of Civilization,70,101,86,177
120677,Terra Mystica,70,101,96,172
271324,It's a Wonderful World,70,101,109,160
131260,Qwixx,70,101,132,148
70323,King of Tokyo,70,101,142,141
12333,Twilight Struggle,76,100,83,179
63268,Spot it!,76,100,150,134
245654,Railroad Ink: Deep Blue Edition,78,99,74,185
811,Rummikub,78,99,104,163
45,Perudo,80,98,120,155
156009,Port Royal,80,98,121,153
205597,Jump Drive,82,97,117,156
128882,The Resistance: Avalon,82,97,121,153
123570,Strike,82,97,140,143
2165,Pokémon Trading Card Game,85,96,65,203
21241,Neuroshima Hex! 3.0,85,96,83,179
132531,Roll for the Galaxy,85,96,111,158
54043,Jaipur,85,96,134,147
169786,Scythe,85,96,135,146
14996,Ticket to Ride: Europe,90,95,135,146
2719,Connect Four,90,95,162,130
181,Risk,92,94,3,7096
198994,Hero Realms,92,94,102,164
43570,Friday,92,94,111,158
9217,Saint Petersburg,92,94,127,150
224037,Codenames: Duet,92,94,155,133
6887,Hearts,97,93,67,198
169255,A Game of Thrones: The Card Game (Second Edition),98,92,105,162
12942,No Thanks!,98,92,182,121
206931,Encore!,100,91,72,190
180974,Potion Explosion,100,91,117,156
346703,7 Wonders: Architects,100,91,127,150
760,Battle Line,100,91,144,139
245476,CuBirds,104,90,115,157
268620,Similo,104,90,150,134
5782,Coloretto,104,90,162,130
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,107,89,168,128
71836,Onirim,108,88,77,183
8217,San Juan,108,88,87,176
1406,Monopoly,110,87,155,133
237182,Root,110,87,164,129
191189,Aeon's End,110,87,185,120
2181,Bridge,113,86,16,691
269210,Twice as Clever!,113,86,142,141
262712,Res Arcana,113,86,169,127
108745,Seasons,116,85,94,174
312484,Lost Ruins of Arnak,116,85,145,138
41114,The Resistance,116,85,155,133
37380,Roll Through the Ages: The Bronze Age,116,85,159,132
133473,Sushi Go!,116,85,192,119
6901,Euchre,121,84,100,170
209418,Dominion (Second Edition),121,84,137,144
172,For Sale,121,84,185,120
55690,Kingdom Death: Monster,124,83,193,118
199561,Sagrada,125,82,177,124
173090,The Game,125,82,193,118
264055,Draftosaurus,125,82,216,114
302260,Abandon All Artichokes,128,81,140,143
21790,Thurn and Taxis,128,81,145,138
3955,BANG!,128,81,159,132
245487,Orchard: A 9 card solitaire game,128,81,164,129
110327,Lords of Waterdeep,128,81,177,124
251658,Sprawlopolis,133,80,106,161
191925,Bandido,133,80,111,158
1465,Wizard,133,80,161,131
161417,Red7,133,80,226,111
231999,Finished!,137,79,93,175
367220,Sea Salt & Paper,137,79,175,125
353545,Next Station: London,137,79,185,120
166384,Spyfall,137,79,265,102
243,Advanced Squad Leader,141,78,124,152
1293,Boggle,141,78,132,148
219215,Werewords,141,78,235,109
47185,Warhammer: Invasion,144,77,124,152
9674,Ingenious,144,77,137,144
240980,Blood on the Clocktower,144,77,155,133
188834,Secret Hitler,144,77,164,129
220308,Gaia Project,144,77,193,118
266083,L.L.A.M.A.,144,77,255,104
62871,Zombie Dice,150,76,12,1020
199792,Everdell,150,76,150,134
70919,Takenoko,150,76,175,125
14105,Commands & Colors: Ancients,150,76,185,120
15818,Pickomino,150,76,193,118
180020,Virus!,150,76,208,115
244992,The Mind,150,76,293,96
2083,Checkers,157,75,95,173
232361,After the Virus,157,75,226,111
15512,Incan Gold,157,75,269,101
2093,Mahjong,160,74,87,176
103886,Star Wars: The Card Game,160,74,150,134
11,Bohnanza,160,74,198,117
164153,Star Wars: Imperial Assault,160,74,277,99
286096,Tapestry,164,73,202,116
298047,Marvel United,164,73,255,104
99875,Martian Dice,166,72,164,129
194594,Dice Forge,166,72,172,126
40398,Monopoly Deal Card Game,166,72,202,116
6249,Alhambra,166,72,224,112
254640,Just One,166,72,244,107
269385,The Lord of the Rings: Journeys in Middle-Earth,166,72,315,93
2394,Dominoes,172,71,81,181
4390,Carcassonne: Hunters and Gatherers,172,71,208,115
38453,Space Alert,172,71,255,104
21804,Traditional Card Games,175,70,102,164
117663,Piraten Kapern,175,70,150,134
17053,Sleeping Queens,175,70,238,108
150145,Skull King,175,70,244,107
160477,Onitama,175,70,265,102
154597,Hive Pocket,175,70,277,99
28720,Brass: Lancashire,181,69,193,118
40692,Small World,181,69,198,117
8098,Jungle Speed,181,69,216,114
25669,Qwirkle,181,69,250,105
295947,Cascadia,181,69,269,101
271320,The Castles of Burgundy,181,69,281,98
12,Ra,181,69,299,95
295770,Frosthaven,181,69,364,86
256589,Rallyman: GT,189,68,177,124
252328,Star Wars: X-Wing (Second Edition),189,68,208,115
2651,Power Grid,189,68,238,108
27225,Bananagrams,189,68,238,108
372,Schotten Totten,189,68,269,101
