rank_h_index,h_index,rank_g_index,g_index,bgg_user_name
210,43,1906,51,kevinruns262
235,42,11,210,eeeville
235,42,180,92,markus_mzh
235,42,196,90,lothrain
235,42,196,90,spacie81
235,42,298,81,bart plasman
235,42,326,79,irishblacksheep
235,42,326,79,jrb259
235,42,326,79,lambo89
235,42,390,76,iklinck
235,42,493,72,geef
235,42,522,71,achherrje
235,42,522,71,jamzuks
235,42,559,70,aciosek
235,42,559,70,bagherra
235,42,559,70,geki
235,42,559,70,gregrich
235,42,559,70,shaddy
235,42,589,69,jiacomino
235,42,589,69,ogrusshood
235,42,652,67,maloma
235,42,696,66,indigopotter
235,42,787,64,geneze_cb
235,42,787,64,momov
235,42,787,64,msaya
235,42,787,64,pedrog
235,42,843,63,ralphnanco
235,42,843,63,vincentdarlage
235,42,914,62,rgtft
235,42,1034,60,frothy brew
235,42,1034,60,ousgg
235,42,1109,59,jojo 96
235,42,1568,54,schwarzspecht
235,42,1792,52,celtic77
268,41,30,151,ekted
268,41,52,124,alpacino11
268,41,64,115,pmatheus
268,41,136,98,computer82
268,41,161,94,vorpalgens
268,41,180,92,cerulean
268,41,180,92,gische
268,41,242,86,carlcorey
268,41,242,86,jade_alarm
268,41,273,83,mimem
268,41,298,81,mitnachtkaubo-i
268,41,361,77,666lordevil666
268,41,413,75,glsonn
268,41,473,73,crimescene
268,41,473,73,seneca29
268,41,522,71,cypar7
268,41,522,71,m0rlo
268,41,589,69,kladan
268,41,623,68,qeester
268,41,652,67,ericlosiewicz
268,41,652,67,pura_vida
268,41,787,64,cotteux
268,41,843,63,camax
268,41,843,63,hiko seijuro
268,41,843,63,jappie2005
268,41,970,61,chrb
268,41,970,61,pyr-shep
268,41,1034,60,jharper921
268,41,1109,59,juandalf
268,41,1109,59,rmartinc
268,41,1276,57,tiggers
268,41,1362,56,chuie
268,41,1362,56,entwife
268,41,1362,56,stebourd
268,41,1459,55,coplosylvain
268,41,1568,54,adamdi5
304,40,34,143,pendragon714
304,40,155,95,alduc
304,40,161,94,manucube
304,40,170,93,pottaway
304,40,242,86,sarsenlintel
304,40,273,83,hyde85
304,40,298,81,islanddave2
304,40,361,77,herald selenay
304,40,390,76,markus shepherd
304,40,390,76,povertidonki
304,40,413,75,katmunchkinmad
304,40,438,74,klydefrog
304,40,473,73,greengow
304,40,493,72,xobxela
304,40,522,71,cerberus777
304,40,522,71,doooot
304,40,522,71,kankra
304,40,522,71,mortenmdk
304,40,559,70,ciggie
304,40,559,70,jodokast4
304,40,652,67,caralvepe
304,40,652,67,clivej
304,40,652,67,terrencetheturtle
304,40,652,67,thomsoda
304,40,696,66,djali2015
304,40,696,66,droppecho
304,40,696,66,pedrator
304,40,741,65,blivet
304,40,741,65,bneffer
304,40,741,65,jer3my
304,40,741,65,shortwave
304,40,787,64,qwertymartin
304,40,787,64,rlangewi
304,40,843,63,sineadk
304,40,914,62,goatcabin
304,40,914,62,lillebror666
304,40,914,62,sebsring
304,40,970,61,bumpusth
304,40,970,61,flashshadow69
304,40,970,61,poor yorick
304,40,970,61,sander sijssens
304,40,970,61,squeezel
304,40,1034,60,dragonster
304,40,1034,60,meyesme
304,40,1109,59,daleygamer
304,40,1109,59,gevati
304,40,1202,58,brettspielhelden dd
304,40,1202,58,tommynomad
304,40,1202,58,wojtkielewicz67
304,40,1276,57,mintroll
304,40,1362,56,europaexpress
304,40,1362,56,hammerken
304,40,1459,55,abelombo78
304,40,1459,55,barnetto
304,40,1568,54,bjoerneberhard
304,40,1568,54,grim_tidings
304,40,2053,50,gibbo
304,40,3216,44,ne0nsw0rd
362,39,26,163,rexkow
362,39,28,157,timewellspent
362,39,58,118,adamolanna
362,39,113,102,mastergabber05
362,39,131,99,amuk
362,39,170,93,arnest_r
362,39,209,89,aldaron
362,39,216,88,littleweb
362,39,298,81,dziubelas
362,39,318,80,germarish
362,39,340,78,slonk
362,39,390,76,chris.larue
362,39,438,74,britchey
362,39,438,74,wc poland
362,39,522,71,canucklehead
362,39,522,71,malakizedek
362,39,559,70,albertotower
362,39,589,69,pratchettfan
362,39,589,69,sbauer9
362,39,652,67,kytty
362,39,696,66,buskapeyann
362,39,696,66,jamlight
362,39,696,66,vitriool
362,39,741,65,andural69
362,39,741,65,eriksdunens
362,39,741,65,microjoint
362,39,741,65,tevildo
362,39,787,64,brettspieletreff
362,39,787,64,moffnathan
362,39,787,64,phil68
362,39,787,64,zaki
362,39,843,63,bebbs
362,39,843,63,junesen
362,39,843,63,kldonnelly
362,39,843,63,marcosimona
362,39,843,63,tvrnutter
362,39,914,62,danwojciechowski
362,39,914,62,mistefire
362,39,914,62,no_where_dense
362,39,914,62,thehunter
362,39,970,61,kamaitatchi
