rank,bgg_user_name,g_index
326,r1c4,79
326,ralpheous,79
326,shobi6669,79
326,spiderrunnertim,79
326,steve perkins,79
326,sunfall,79
326,taliaisabelle,79
326,tapanote,79
326,tubarush,79
340,bankler,78
340,bebrygamez,78
340,caramon75,78
340,clowntable,78
340,collins_m,78
340,dond80,78
340,erastusdudley,78
340,fffulmicotone,78
340,gamer dc,78
340,hawk-x-,78
340,horstderadler,78
340,kardos16,78
340,king hrothbeort,78
340,ltn koen,78
340,malachi,78
340,matthewjhoskins,78
340,pgrande,78
340,slonk,78
340,solat,78
340,tribefan07,78
340,vudujoie,78
361,666lordevil666,77
361,agricolafarm,77
361,avron,77
361,baron frog,77
361,bobby4th,77
361,boromir1983,77
361,cavalier281,77
361,ciredutemps,77
361,cooking_meeple,77
361,dsmeyer,77
361,ellephai,77
361,ggiersch,77
361,goblingrrl,77
361,herald selenay,77
361,iago71,77
361,jdludlow,77
361,jetimmerman,77
361,menhunlahun,77
361,moonpie13,77
361,pipboy101,77
361,pleechu,77
361,rvdh83,77
361,seanxor,77
361,sheylon,77
361,smirnoffpete,77
361,spiremetro,77
361,tinajpk9,77
361,tropicana55,77
361,xaldin,77
390,artmark,76
390,chris.larue,76
390,cristiq,76
390,cthsbg,76
390,darkfinale,76
390,dbuel,76
390,dormammu,76
390,hatfielder,76
390,hebus,76
390,ianniesimo,76
390,iklinck,76
390,kristobald,76
390,leifr,76
390,leroy43,76
390,maiknovember,76
390,mark taylor,76
390,markus shepherd,76
390,meng,76
390,originaldibbler,76
390,pilgrim152,76
390,povertidonki,76
390,wghunter,76
390,zasshu,76
413,carltonwayne,75
413,cookehj,75
413,ct5150,75
413,de bergho,75
413,doogie58,75
413,dracandross,75
413,fundakave,75
413,gerarddeg,75
413,glsonn,75
413,goblinjester,75
413,heavyd,75
413,jayboy,75
413,kataclysm,75
413,katmunchkinmad,75
413,mmihaela,75
413,nadjbalint,75
413,pingus,75
413,piotrsmu,75
413,program2game,75
413,raile,75
413,rocksnrolls,75
413,spearjr,75
413,stephen_vogel,75
413,thomassabourin,75
413,valdovinho,75
438,ardacho,74
438,bazyn,74
438,britchey,74
438,calvinc71,74
438,captainjax,74
438,carthoris,74
438,d bo,74
438,dawgfish,74
438,diabolus,74
438,fcazzol,74
438,forpro75,74
438,geofvb7,74
438,jalustalla,74
438,jhaimowitz,74
438,jugular,74
438,jyoder,74
438,klydefrog,74
438,kløve,74
438,ldohrebl,74
438,mennodio,74
438,moly19,74
438,neonfire,74
438,oicalyptus,74
438,pmagnus,74
438,red eye,74
438,rjenulis,74
438,sebert,74
438,seermagic,74
438,shix52,74
438,simon craddock,74
438,sir yuru,74
438,skeil,74
438,toc13,74
438,trodat123,74
438,wc poland,74
473,baltu_kobalts,73
473,crimescene,73
473,dafair,73
473,dblayton,73
473,fateswanderer,73
473,goalum,73
473,greengow,73
473,grimthunderbrew,73
473,phareskrad,73
473,phil bordelon,73
473,profecia91,73
473,pyjam,73
473,rathje,73
473,santafelis,73
473,seneca29,73
473,shotokanguy,73
473,stormtiti,73
473,virtualalex,73
473,wuaghhhhxma,73
473,xerof,73
493,atkinsst,72
493,dingleson,72
493,gameteacher,72
493,geef,72
493,hackfin,72
493,hobb3,72
493,jaskier,72
493,jjc552,72
493,jphillipson,72
493,kalchio,72
493,latindog,72
493,miinin,72
493,mnemonicuz,72
493,moppersmurf,72
493,motoyugota,72
493,pompoli,72
493,professorinc,72
493,rubia,72
493,saracv,72
493,sgtcantamal,72
493,susuqie,72
493,the duke bgg,72
493,toerck,72
493,tyacer,72
493,tyoda,72
493,viktula,72
493,wargamer55,72
493,wigrend,72
493,xobxela,72
522,achherrje,71
522,b5dorsai,71
522,canucklehead,71
522,cartwright,71
522,cerberus777,71
522,crazyted,71
522,cypar7,71
522,damilli,71
522,dannabben,71
522,deinos,71
522,doooot,71
522,ellstar,71
522,fedspaz,71
522,gamethyme,71
522,glookose,71
522,herlius,71
522,iomio,71
522,jamzuks,71
522,kai96,71
522,kankra,71
522,kcandmythreesons,71
522,kragonn,71
522,m0rlo,71
522,malakizedek,71
522,mcphisto1,71
522,mikegnr,71
522,monkeyrobot,71
522,mortenmdk,71
522,mundane,71
522,ofanim,71
522,salt-man z,71
522,shaftbigscore2002,71
522,steffenb,71
522,stuclifford,71
522,syr99,71
522,wolfgang dostmann,71
522,yesbryn,71
559,a1bert,70
559,aciosek,70
559,aeroguru1978,70
559,albertotower,70
559,andes_v,70
559,andrewr405,70
559,bagherra,70
559,boltongeordie,70
559,ciggie,70
559,crosshaven,70
559,deactivision,70
559,geki,70
559,gregrich,70
559,hounddogs,70
559,jlukac,70
559,jodokast4,70
559,jokeres,70
559,klip22,70
559,madofar,70
559,manellii,70
559,matmo,70
559,mixo,70
559,mrraow,70
559,mulrah,70
559,peter the rat,70
559,postmans,70
559,shaddy,70
559,stevie3011,70
559,tagar,70
559,ummmon,70
589,2d20,69
589,albia,69
589,artax,69
589,barloy,69
589,biturian_varosh,69
589,darklaw90,69
589,darkor,69
589,dd68,69
589,djsquamo,69
589,elroyguess,69
589,grimwold,69
589,hasmad,69
589,hulk2,69
589,jiacomino,69
589,jmdsplotter,69
589,josephsibleybridges,69
589,kakiri,69
589,kladan,69
589,marctimmins89,69
589,mdiep,69
589,monkeyboy157,69
589,mr penguin,69
589,msaari,69
589,mugs,69
589,ogrusshood,69
589,pijll,69
589,pratchettfan,69
589,rhinoceritis,69
589,saldagon,69
589,sbauer9,69
589,slh777,69
589,torak,69
589,tstanley,69
589,yantheo,69
623,armourer84,68
623,asdrubaelv,68
623,auricle,68
623,cirdan,68
623,earl of dukes,68
623,ewandor,68
623,feelingducky,68
623,iamjacksusername,68
623,jbmoby,68
623,jhimbob,68
623,kungfuhippie,68
623,manutd03,68
623,negroscuro,68
623,nimble123jack,68
623,nobuaki,68
623,oi_you_nutter,68
623,poptasticboy,68
623,pstrpete,68
623,qeester,68
623,redward,68
623,sahrinoa,68
623,styren,68
623,tmcgrady,68
623,tphon,68
623,twood1972,68
623,ultreia,68
623,vadgil,68
623,yvainlionknight,68
623,zenitin,68
652,absbelii,67
652,angryquark,67
652,arolfe,67
652,bobborobbo,67
652,caralvepe,67
652,cchlanger,67
652,clivej,67
652,crimsonwraith,67
652,dekerstman,67
652,duanewulf,67
652,eldring,67
652,elliam,67
652,ericlosiewicz,67
652,felix_wof,67
652,felixthm,67
652,flavien,67
652,frogmind,67
652,henryct,67
652,hvg3akaek,67
652,jason rider,67
652,jcd2001es,67
652,kai_walker,67
652,kamekkusu,67
652,kerpow,67
652,kontrabas,67
652,kytty,67
652,lemem,67
652,lordt,67
652,madhattersneverland,67
652,maloma,67
652,marioymia,67
652,normal,67
652,pete100,67
652,petevasi,67
652,pura_vida,67
652,robul,67
652,rustylantern,67
652,slevin678,67
652,stoneart69,67
652,terrencetheturtle,67
652,thomsoda,67
652,timonator85,67
652,todddeanmark,67
652,tommy5446,67
696,alki,66
696,arisep,66
696,arkeo,66
696,bigblack622,66
696,bigspoon816,66
696,buskapeyann,66
696,craigd74,66
696,cyberkev63,66
696,cyril720,66
696,dazeysan,66
696,djali2015,66
696,droppecho,66
696,flowman,66
696,friendless,66
696,gregbigler,66
696,horusz,66
696,indigopotter,66
696,jamlight,66
696,jesdickens,66
696,kbx12,66
696,kerstinee,66
696,killerpower,66
696,lausus,66
696,loesshills,66
696,lostphd,66
696,mariopuzo,66
696,mlehr,66
696,mundungus,66
696,pedrator,66
696,per42,66
696,prismattic,66
696,qcgeek,66
696,redcooper,66
696,regine,66
696,reinore,66
696,sigtaulefty,66
696,simonocles,66
696,stevek2,66
696,syvanis,66
696,topheth,66
696,vespergo,66
696,vitriool,66
696,wmshub,66
696,wolfpack95,66
696,yroeht,66
741,andural69,65
741,bigmac33070,65
741,blivet,65
741,bneffer,65
741,c5_blake,65
741,cardboard conundrum,65
741,citilogic,65
741,copsbroughtpizza,65
741,danbuster35,65
741,droppy84,65
741,edgar badenes,65
741,eriksdunens,65
741,fd2fd2,65
741,fruiko,65
741,gavilan,65
741,general hoth,65
741,jdkimble,65
741,jer3my,65
741,joncassie,65
741,karmicjustice,65
741,l-hansen,65
741,lankelote,65
741,lidlesseye,65
741,lordnoumenon,65
741,ltoft,65
741,mentat1231,65
741,mickwood,65
741,microjoint,65
741,muriou,65
741,mycophagous,65
741,nycavri,65
741,onicage,65
741,popebrain,65
741,rogedavi,65
741,satarash,65
741,sbgrad,65
741,shortwave,65
741,stakon,65
741,staszek,65
741,steue,65
741,tevildo,65
741,tharkad,65
741,vanya_deveraux,65
741,vica8081,65
741,wostok,65
741,xssassin,65
787,4rch3r,64
