country_code,population,population_rank,num_users,total_ratings,total_ratings_rank,ratings_per_capita,ratings_per_capita_rank,top_game_bgg_id,top_game_name,top_game_year,top_game_num_ratings,top_game_avg_rating,top_game_bayes_rating
cn,1412360000,1,1277,99548,27,7.048,61,188,Go,-2200,196,8.812,8.652
mx,126705138,10,2992,98308,28,77.588,51,224517,Brass: Birmingham,2018,212,8.913,8.762
cz,10505772,88,2310,93519,29,890.168,30,295785,Euthia: Torment of Resurrection,2021,95,9.205,8.873
ar,45808747,32,1584,69029,30,150.690,44,316554,Dune: Imperium,2020,111,8.746,8.556
hk,7413100,104,1096,68868,31,929.004,29,391162,Urubamba Valley,2023,22,9.205,8.321
sg,5453566,118,1138,65843,32,1207.338,24,174430,Gloomhaven,2017,109,8.602,8.425
cl,19493184,63,1740,60577,33,310.760,38,291457,Gloomhaven: Jaws of the Lion,2020,110,9.012,8.829
ua,43792855,35,1853,56834,34,129.779,47,368789,AFU: Armed Forces of Ukraine,2022,282,9.472,9.393
ro,19119880,65,1100,56273,35,294.317,40,342942,Ark Nova,2021,104,9.083,8.899
ie,5033165,124,991,47300,36,939.767,27,167791,Terraforming Mars,2016,152,8.452,8.363
th,71601103,20,1056,41806,37,58.387,53,224517,Brass: Birmingham,2018,214,8.971,8.905
il,9364000,97,759,41374,38,441.841,33,274432,Kauchuk,2019,29,9.448,8.955
hr,3899000,130,832,36907,39,946.576,26,115746,War of the Ring: Second Edition,2011,52,9.002,8.770
my,33573874,45,657,33256,40,99.053,50,115746,War of the Ring: Second Edition,2011,18,9.222,8.642
id,273753191,4,814,32077,41,11.717,59,174430,Gloomhaven,2017,40,8.997,8.738
co,51516562,29,743,31758,42,61.646,52,404383,Tormenta de Hierro,2023,11,9.909,8.921
bg,6877743,105,699,28772,43,418.335,36,320963,GEMJI,2020,10,10.000,8.995
lt,2800839,138,702,28673,44,1023.729,25,174430,Gloomhaven,2017,98,8.912,8.815
ee,1330932,155,486,27807,45,2089.288,10,233078,Twilight Imperium: Fourth Edition,2017,27,9.289,8.935
lv,1884490,150,487,27122,46,1439.222,20,167791,Terraforming Mars,2016,100,8.890,8.800
za,59392255,24,714,26560,47,44.720,54,224517,Brass: Birmingham,2018,53,8.832,8.673
ph,113880328,13,762,26557,48,23.320,57,336382,Marvel United: X-Men,2021,13,9.400,8.738
