        ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const   ,    6.2556,    0.009,  686.586, 0.000,    6.238,    6.274
min_time,    0.0045,    0.000,   29.574, 0.000,    0.004,    0.005
