jahrgang,bgg_id,url,winner,nominated,recommended,sonderpreis
1982,17815,https://boardgamegeek.com/boardgame/17815/skript,0,0,0,Beautiful Game
1982,1077,https://boardgamegeek.com/boardgame/1077/baubylon,0,0,1,
1982,41,https://boardgamegeek.com/boardgame/41/cant-stop,0,0,1,
1982,17814,https://boardgamegeek.com/boardgame/17814/fang-mich-wenn-du-kannst,0,0,1,
1982,2759,https://boardgamegeek.com/boardgame/2759/havannah,0,0,1,
1982,2197,https://boardgamegeek.com/boardgame/2197/kensington,0,0,1,
1982,1173,https://boardgamegeek.com/boardgame/1173/millionenspiel,0,0,1,
1982,2290,https://boardgamegeek.com/boardgame/2290/phantoms-vs-phantoms,0,0,1,
1982,17813,https://boardgamegeek.com/boardgame/17813/vokabo,0,0,1,
1983,17904,https://boardgamegeek.com/boardgame/17904/wir-futtern-die-kleinen-nilpferde,0,0,0,Beautiful Game
1983,4586,https://boardgamegeek.com/boardgame/4586/barenspiel,0,0,1,
1983,17903,https://boardgamegeek.com/boardgame/17903/fuzzi-heinz-und-schlendrian,0,0,1,
1983,17044,https://boardgamegeek.com/boardgame/17044/riombo,0,0,1,
1983,13236,https://boardgamegeek.com/boardgame/13236/der-schwarze-prinz,0,0,1,
1984,11421,https://boardgamegeek.com/boardgame/11421/uisge,0,0,0,Beautiful Game
1984,5664,https://boardgamegeek.com/boardgame/5664/3-or-more,0,0,1,
1984,3015,https://boardgamegeek.com/boardgame/3015/claim,0,0,1,
1984,17905,https://boardgamegeek.com/boardgame/17905/feuerwehr,0,0,1,
1984,145,https://boardgamegeek.com/boardgame/145/metropolis,0,0,1,
1984,14113,https://boardgamegeek.com/boardgame/14113/netzwerk,0,0,1,
1985,1012,https://boardgamegeek.com/boardgame/1012/die-magier,0,0,0,Beautiful Game
1985,906,https://boardgamegeek.com/boardgame/906/abilene,0,0,1,
1985,8168,https://boardgamegeek.com/boardgame/8168/campus,0,0,1,
1985,17788,https://boardgamegeek.com/boardgame/17788/cash-carry,0,0,1,
1985,382,https://boardgamegeek.com/boardgame/382/heimlich-co,0,0,1,
1985,1733,https://boardgamegeek.com/boardgame/1733/iago,0,0,1,
1985,17724,https://boardgamegeek.com/boardgame/17724/mister-zero,0,0,1,
1985,18052,https://boardgamegeek.com/boardgame/18052/pin,0,0,1,
1985,1117,https://boardgamegeek.com/boardgame/1117/youre-bluffing,0,0,1,
1986,6874,https://boardgamegeek.com/boardgame/6874/muller-sohn,0,0,0,Beautiful Game
1986,443,https://boardgamegeek.com/boardgame/443/code-777,0,0,1,
1986,2226,https://boardgamegeek.com/boardgame/2226/greyhounds,0,0,1,
1986,1219,https://boardgamegeek.com/boardgame/1219/labyrinth,0,0,1,
1986,1045,https://boardgamegeek.com/boardgame/1045/malawi,0,0,1,
1986,12359,https://boardgamegeek.com/boardgame/12359/schieberbande,0,0,1,
1986,1132,https://boardgamegeek.com/boardgame/1132/top-secret,0,0,1,
1986,2473,https://boardgamegeek.com/boardgame/2473/winkeladvokat,0,0,1,
1987,2363,https://boardgamegeek.com/boardgame/2363/orient-express,0,0,0,Beautiful Game
1987,1390,https://boardgamegeek.com/boardgame/1390/auf-kurs,0,0,1,
1987,1101,https://boardgamegeek.com/boardgame/1101/flying-carpet,0,0,1,
1987,196,https://boardgamegeek.com/boardgame/196/kremlin,0,0,1,
1987,1520,https://boardgamegeek.com/boardgame/1520/monad,0,0,1,
1987,2075,https://boardgamegeek.com/boardgame/2075/restaurant,0,0,1,
1987,4518,https://boardgamegeek.com/boardgame/4518/sauerbaum,0,0,1,
1987,433,https://boardgamegeek.com/boardgame/433/shark,0,0,1,
1988,466,https://boardgamegeek.com/boardgame/466/inkognito,0,0,0,Beautiful Game
1988,4518,https://boardgamegeek.com/boardgame/4518/sauerbaum,0,0,0,Cooperative Family Game
1988,1231,https://boardgamegeek.com/boardgame/1231/bausack,0,0,1,
1988,302,https://boardgamegeek.com/boardgame/302/forum-romanum,0,0,1,
1988,1547,https://boardgamegeek.com/boardgame/1547/janus,0,0,1,
1988,3406,https://boardgamegeek.com/boardgame/3406/lines-action,0,0,1,
1988,1816,https://boardgamegeek.com/boardgame/1816/mississippi,0,0,1,
1988,12305,https://boardgamegeek.com/boardgame/12305/scalino,0,0,1,
1988,57,https://boardgamegeek.com/boardgame/57/schoko-co,0,0,1,
1988,202,https://boardgamegeek.com/boardgame/202/targui,0,0,1,
1988,175,https://boardgamegeek.com/boardgame/175/what-heck,0,0,1,
1989,20685,https://boardgamegeek.com/boardgame/20685/henne-berta,0,0,0,Beautiful Game
1989,526,https://boardgamegeek.com/boardgame/526/abalone-classic,0,0,1,
1989,923,https://boardgamegeek.com/boardgame/923/breakaway-rider,0,0,1,
1989,444,https://boardgamegeek.com/boardgame/444/escape-hidden-castle,0,0,1,
1989,13065,https://boardgamegeek.com/boardgame/13065/flieg-dumbo-flieg,0,0,1,
1989,569,https://boardgamegeek.com/boardgame/569/maestro,0,0,1,
1989,2087,https://boardgamegeek.com/boardgame/2087/magic-dance,0,0,1,
1989,7993,https://boardgamegeek.com/boardgame/7993/pole-position,0,0,1,
1989,766,https://boardgamegeek.com/boardgame/766/regatta,0,0,1,
1989,6657,https://boardgamegeek.com/boardgame/6657/such-thing,0,0,1,
