rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
86,205059,Mansions of Madness: Second Edition,2016,58,7.946,7.266,-0.680,7.161,-28
87,198994,Hero Realms,2016,263,7.523,7.377,-0.145,7.161,176
88,133473,Sushi Go!,2013,571,7.008,7.243,0.235,7.159,483
89,194655,Santorini,2016,256,7.369,7.257,-0.113,7.156,167
90,294484,Unmatched: Cobble & Fog,2020,186,7.974,7.648,-0.326,7.155,96
91,160477,Onitama,2014,309,7.353,7.331,-0.022,7.155,218
92,31481,Galaxy Trucker,2007,269,7.350,7.267,-0.083,7.155,177
93,13,CATAN,1995,540,7.100,7.176,0.076,7.146,447
94,263918,Cartographers,2019,139,7.616,7.280,-0.336,7.145,45
95,199478,Flamme Rouge,2016,253,7.496,7.360,-0.136,7.145,158
96,169786,Scythe,2016,17,8.139,7.189,-0.950,7.144,-79
97,17329,Animal Upon Animal,2005,1141,6.789,7.587,0.799,7.135,1044
98,312484,Lost Ruins of Arnak,2020,28,8.073,7.217,-0.857,7.133,-70
99,42,Tigris & Euphrates,1997,109,7.704,7.261,-0.442,7.131,10
100,170042,Raiders of the North Sea,2015,110,7.737,7.280,-0.457,7.126,10
101,233867,Welcome To...,2018,185,7.533,7.244,-0.289,7.124,84
102,201808,Clank!: A Deck-Building Adventure,2016,83,7.777,7.212,-0.565,7.124,-19
103,279537,The Search for Planet X,2020,96,7.949,7.420,-0.528,7.123,-7
104,244522,That's Pretty Clever!,2018,180,7.572,7.274,-0.298,7.123,76
105,318977,MicroMacro: Crime City,2020,242,7.518,7.366,-0.152,7.119,137
106,284083,The Crew: The Quest for Planet Nine,2019,75,7.799,7.207,-0.592,7.119,-31
107,285774,Marvel Champions: The Card Game,2019,41,8.121,7.259,-0.862,7.105,-66
108,117959,Las Vegas,2012,579,7.160,7.437,0.277,7.103,471
109,11170,Heroscape Master Set: Rise of the Valkyrie,2004,500,7.448,7.547,0.099,7.102,391
110,1219,Labyrinth,1986,1891,6.408,7.366,0.958,7.101,1781
111,20100,Wits & Wagers,2005,785,6.924,7.340,0.416,7.098,674
112,28720,Brass: Lancashire,2007,20,8.194,7.244,-0.951,7.097,-92
113,8217,San Juan,2004,390,7.234,7.247,0.013,7.092,277
114,54,Tikal,1999,326,7.329,7.273,-0.055,7.090,212
115,150145,Skull King,2013,334,7.523,7.473,-0.050,7.087,219
116,2453,Blokus,2000,817,6.859,7.222,0.363,7.086,701
117,224037,Codenames: Duet,2017,231,7.454,7.250,-0.204,7.083,114
118,198773,Codenames: Pictures,2016,431,7.195,7.244,0.049,7.080,313
119,37111,Battlestar Galactica: The Board Game,2008,101,7.731,7.178,-0.553,7.078,-18
120,7854,YINSH,2003,227,7.712,7.480,-0.231,7.073,107
121,157354,Five Tribes: The Djinns of Naqala,2014,81,7.775,7.159,-0.616,7.072,-40
122,285192,Destinies,2021,341,7.747,7.526,-0.222,7.071,219
123,1293,Boggle,1972,2707,6.217,7.518,1.301,7.070,2584
124,36553,Time's Up! Title Recall!,2008,574,7.687,8.072,0.385,7.065,450
125,274637,"Unmatched: Battle of Legends, Volume One",2019,251,7.755,7.485,-0.270,7.063,126
126,173,Formula Dé,1997,950,6.995,7.511,0.515,7.056,824
127,9674,Ingenious,2004,558,7.102,7.265,0.163,7.055,431
128,10630,Memoir '44,2004,196,7.534,7.172,-0.362,7.054,68
129,46,Medici,1995,672,7.166,7.495,0.329,7.054,543
130,266524,PARKS,2019,133,7.679,7.200,-0.479,7.052,3
131,262543,Wavelength,2019,447,7.287,7.333,0.046,7.049,316
132,124742,Android: Netrunner,2012,73,7.883,7.167,-0.717,7.049,-59
133,17133,Railways of the World,2005,194,7.671,7.341,-0.330,7.048,61
134,34635,Stone Age,2008,161,7.527,7.113,-0.414,7.045,27
135,129437,Legendary: A Marvel Deck Building Game,2012,236,7.535,7.200,-0.335,7.041,101
136,28023,Jamaica,2007,594,7.063,7.217,0.154,7.040,458
137,172287,Champions of Midgard,2015,132,7.727,7.243,-0.484,7.037,-5
138,39463,Cosmic Encounter,2008,200,7.521,7.141,-0.380,7.035,62
139,189932,Tyrants of the Underdark,2016,163,7.909,7.428,-0.481,7.034,24
140,274960,Point Salad,2019,482,7.161,7.220,0.059,7.030,342
141,223040,Fantasy Realms,2017,246,7.523,7.273,-0.250,7.030,105
142,438,Scotland Yard,1983,1516,6.504,7.243,0.738,7.029,1374
143,274364,Watergate,2019,145,7.785,7.334,-0.451,7.027,2
144,12333,Twilight Struggle,2005,13,8.245,7.094,-1.151,7.022,-131
145,116,Guillotine,1998,1409,6.538,7.189,0.651,7.022,1264
146,18,RoboRally,1994,591,7.055,7.169,0.113,7.022,445
147,209010,Mechs vs. Minions,2016,74,7.969,7.222,-0.747,7.022,-73
148,4390,Carcassonne: Hunters and Gatherers,2002,617,7.129,7.293,0.164,7.021,469
149,232832,Century: Golem Edition,2017,241,7.602,7.312,-0.290,7.019,92
150,34219,Biblios,2007,444,7.199,7.215,0.016,7.016,294
151,249259,War Chest,2018,182,7.841,7.354,-0.487,7.015,31
152,11971,Cockroach Poker,2004,1026,6.786,7.283,0.497,7.010,874
153,681,Quarto,1991,1098,6.892,7.446,0.554,7.010,945
154,70919,Takenoko,2011,393,7.213,7.087,-0.126,7.009,239
155,121,Dune,1979,453,7.590,7.604,0.014,7.009,298
156,478,Citadels,2000,507,7.064,7.072,0.008,7.007,351
157,199792,Everdell,2018,36,8.023,7.068,-0.955,7.006,-121
158,271324,It's a Wonderful World,2019,149,7.683,7.199,-0.484,7.005,-9
159,329082,Radlands,2021,183,7.841,7.323,-0.518,7.001,24
160,193738,Great Western Trail,2016,15,8.189,7.075,-1.115,6.991,-145
161,135779,A Fake Artist Goes to New York,2011,696,7.144,7.415,0.271,6.989,535
162,91514,Rhino Hero,2011,916,6.913,7.299,0.386,6.987,754
163,302723,Forgotten Waters,2020,293,7.823,7.552,-0.272,6.986,130
164,112,Condottiere,1995,999,6.878,7.316,0.438,6.983,835
165,131357,Coup,2012,632,6.983,7.057,0.074,6.983,467
166,246900,Eclipse: Second Dawn for the Galaxy,2020,18,8.455,7.228,-1.227,6.982,-148
167,239188,Chronicles of Crime,2018,266,7.598,7.134,-0.464,6.979,99
168,164153,Star Wars: Imperial Assault,2014,72,7.964,7.115,-0.849,6.977,-96
169,18833,Lord of the Rings: The Confrontation,2005,495,7.491,7.504,0.014,6.977,326
170,364073,Splendor Duel,2022,136,7.980,7.380,-0.600,6.975,-34
171,9217,Saint Petersburg,2004,407,7.273,7.187,-0.086,6.974,236
172,271896,Star Wars: Outer Rim,2019,199,7.732,7.236,-0.496,6.971,27
173,219513,Bärenpark,2017,362,7.301,7.154,-0.147,6.970,189
174,147949,One Night Ultimate Werewolf,2014,566,7.068,7.093,0.025,6.967,392
175,293014,Nidavellir,2020,220,7.603,7.228,-0.375,6.966,45
176,361,Hare & Tortoise,1973,1751,6.626,7.682,1.056,6.964,1575
177,242302,Space Base,2018,204,7.548,7.146,-0.402,6.962,27
178,31260,Agricola,2007,53,7.873,7.007,-0.867,6.961,-125
179,277659,Final Girl,2021,144,8.330,7.587,-0.743,6.960,-35
180,182874,Grand Austria Hotel,2015,64,7.947,7.118,-0.829,6.960,-116
181,236457,Architects of the West Kingdom,2018,103,7.733,7.072,-0.661,6.958,-78
182,155821,Inis,2016,100,7.827,7.119,-0.708,6.955,-82
183,260605,Camel Up (Second Edition),2018,259,7.581,7.236,-0.345,6.954,76
184,155426,Castles of Mad King Ludwig,2014,198,7.519,7.084,-0.435,6.954,14
185,277085,Love Letter,2019,369,7.516,7.317,-0.199,6.953,184
186,206718,Ethnos,2017,294,7.463,7.204,-0.258,6.953,108
187,421,1830: Railways & Robber Barons,1986,265,7.868,7.550,-0.319,6.949,78
188,153938,Camel Up,2014,575,7.041,7.074,0.033,6.949,387
189,209685,Century: Spice Road,2017,328,7.309,7.078,-0.230,6.945,139
190,34119,Tales of the Arabian Nights,2009,601,7.164,7.207,0.043,6.944,411
191,712,Blood Bowl (Third Edition),1994,499,7.551,7.534,-0.017,6.939,308
192,153016,Telestrations: 12 Player Party Pack,2011,695,7.740,8.060,0.320,6.938,503
193,167355,Nemesis,2018,21,8.267,7.044,-1.224,6.937,-172
