rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
17,161936,Pandemic Legacy: Season 1,2015,2,8.525,7.590,-0.935,7.504,-15
57,366013,Heat: Pedal to the Metal,2022,41,8.055,7.449,-0.606,7.284,-16
102,201808,Clank!: A Deck-Building Adventure,2016,83,7.776,7.211,-0.565,7.123,-19
25,316554,Dune: Imperium,2020,6,8.435,7.547,-0.888,7.451,-19
79,253344,Cthulhu: Death May Die,2019,58,8.183,7.492,-0.691,7.190,-21
76,170216,Blood Rage,2015,52,7.924,7.283,-0.641,7.201,-24
58,164928,Orléans,2014,32,8.060,7.409,-0.651,7.280,-26
65,183394,Viticulture Essential Edition,2015,38,7.986,7.319,-0.667,7.237,-27
86,205059,Mansions of Madness: Second Edition,2016,59,7.944,7.266,-0.678,7.162,-27
66,324856,The Crew: Mission Deep Sea,2021,37,8.139,7.445,-0.694,7.229,-29
105,284083,The Crew: The Quest for Planet Nine,2019,75,7.798,7.208,-0.590,7.120,-30
69,266192,Wingspan,2019,30,8.041,7.261,-0.780,7.220,-39
121,157354,Five Tribes: The Djinns of Naqala,2014,81,7.775,7.158,-0.616,7.072,-40
54,187645,Star Wars: Rebellion,2016,9,8.417,7.424,-0.993,7.298,-45
131,124742,Android: Netrunner,2012,73,7.884,7.169,-0.715,7.051,-58
107,285774,Marvel Champions: The Card Game,2019,40,8.120,7.261,-0.859,7.107,-67
70,224517,Brass: Birmingham,2018,1,8.594,7.299,-1.296,7.215,-69
98,312484,Lost Ruins of Arnak,2020,28,8.072,7.215,-0.857,7.132,-70
149,209010,Mechs vs. Minions,2016,74,7.968,7.221,-0.748,7.021,-75
95,169786,Scythe,2016,17,8.138,7.188,-0.950,7.143,-78
84,342942,Ark Nova,2021,4,8.536,7.251,-1.285,7.166,-80
111,28720,Brass: Lancashire,2007,20,8.195,7.246,-0.949,7.099,-91
193,256916,Concordia Venus,2018,97,8.290,7.481,-0.808,6.937,-96
169,164153,Star Wars: Imperial Assault,2014,72,7.963,7.114,-0.849,6.977,-97
183,373106,Sky Team,2023,76,8.195,7.303,-0.892,6.955,-107
180,182874,Grand Austria Hotel,2015,63,7.949,7.120,-0.829,6.962,-117
157,199792,Everdell,2018,36,8.022,7.069,-0.953,7.007,-121
222,365717,Clank!: Catacombs,2022,99,8.275,7.386,-0.889,6.893,-123
181,31260,Agricola,2007,54,7.873,7.007,-0.866,6.961,-127
213,191189,Aeon's End,2016,84,7.898,7.067,-0.831,6.912,-129
177,397598,Dune: Imperium – Uprising,2023,44,8.734,7.524,-1.210,6.964,-133
147,12333,Twilight Struggle,2005,13,8.245,7.093,-1.152,7.021,-134
162,193738,Great Western Trail,2016,15,8.188,7.073,-1.115,6.990,-147
165,246900,Eclipse: Second Dawn for the Galaxy,2020,18,8.454,7.229,-1.224,6.985,-147
194,167355,Nemesis,2018,21,8.266,7.043,-1.224,6.937,-173
236,231733,Obsession,2018,60,8.140,7.117,-1.022,6.874,-176
276,171623,The Voyages of Marco Polo,2015,93,7.781,6.943,-0.837,6.822,-183
206,174430,Gloomhaven,2017,3,8.583,6.973,-1.610,6.921,-203
269,126163,Tzolk'in: The Mayan Calendar,2012,61,7.857,6.904,-0.953,6.827,-208
283,251661,Oathsworn: Into the Deepwood,2022,65,8.959,7.422,-1.537,6.816,-218
289,35677,Le Havre,2008,69,7.848,6.905,-0.942,6.811,-220
316,317985,Beyond the Sun,2020,87,7.917,6.987,-0.931,6.788,-229
260,205637,Arkham Horror: The Card Game,2016,27,8.130,6.916,-1.214,6.845,-233
266,120677,Terra Mystica,2012,29,8.059,6.892,-1.168,6.828,-237
274,341169,Great Western Trail: Second Edition,2021,26,8.328,7.052,-1.276,6.822,-248
298,247763,Underwater Cities,2018,43,8.059,6.956,-1.103,6.805,-255
341,200680,Agricola (Revised Edition),2016,78,7.958,6.921,-1.037,6.762,-263
301,177736,A Feast for Odin,2016,23,8.171,6.905,-1.265,6.802,-278
361,72125,Eclipse: New Dawn for the Galaxy,2011,82,7.830,6.844,-0.985,6.743,-279
377,216132,Clans of Caledonia,2017,68,7.940,6.871,-1.070,6.733,-309
366,255984,Sleeping Gods,2021,55,8.195,6.969,-1.226,6.740,-311
371,314040,Pandemic Legacy: Season 0,2020,53,8.392,7.103,-1.289,6.739,-318
331,115746,War of the Ring: Second Edition,2011,8,8.543,6.907,-1.636,6.772,-323
375,102794,Caverna: The Cave Farmers,2013,49,7.944,6.816,-1.129,6.735,-326
348,162886,Spirit Island,2017,11,8.344,6.811,-1.533,6.756,-337
347,291457,Gloomhaven: Jaws of the Lion,2020,10,8.429,6.840,-1.589,6.757,-337
431,25613,Through the Ages: A Story of Civilization,2006,90,7.840,6.820,-1.019,6.680,-341
355,182028,Through the Ages: A New Story of Civilization,2015,14,8.282,6.842,-1.440,6.752,-341
477,264220,Tainted Grail: The Fall of Avalon,2019,98,8.090,6.861,-1.229,6.651,-379
398,220308,Gaia Project,2017,12,8.372,6.813,-1.559,6.712,-386
493,159675,Fields of Arle,2014,85,8.030,6.875,-1.155,6.639,-408
457,256960,Pax Pamir: Second Edition,2019,42,8.182,6.847,-1.335,6.662,-415
513,62219,Dominant Species,2010,92,7.814,6.751,-1.064,6.629,-421
