               ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const          ,    5.6961,    0.015,  372.540, 0.000,    5.666,    5.726
age            ,   -0.0304,    0.000,  -72.745, 0.000,   -0.031,   -0.030
complexity     ,    0.5574,    0.008,   70.100, 0.000,    0.542,    0.573
min_time       ,   -0.0008,    0.000,   -7.606, 0.000,   -0.001,   -0.001
cooperative    ,    0.2012,    0.016,   12.211, 0.000,    0.169,    0.233
Abstract Game  ,    0.1751,    0.021,    8.427, 0.000,    0.134,    0.216
Children's Game,   -0.0238,    0.023,   -1.016, 0.309,   -0.070,    0.022
Customizable   ,   -0.0245,    0.038,   -0.652, 0.514,   -0.098,    0.049
Family Game    ,    0.2262,    0.014,   16.697, 0.000,    0.200,    0.253
Party Game     ,    0.2752,    0.024,   11.400, 0.000,    0.228,    0.323
Strategy Game  ,    0.1220,    0.015,    7.987, 0.000,    0.092,    0.152
Thematic       ,    0.1201,    0.018,    6.516, 0.000,    0.084,    0.156
War Game       ,    0.4656,    0.016,   29.350, 0.000,    0.435,    0.497
