country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
pl,1,187645,8.73705,8.58548,1264
pl,2,224517,8.66044,8.55285,1762
pl,3,115746,8.64956,8.42376,804
pl,4,248562,8.93568,8.39572,333
pl,5,182028,8.48923,8.37445,1555
pl,6,233078,8.58354,8.34748,749
pl,7,316554,8.36986,8.25067,1433
pl,8,167791,8.27574,8.23300,3970
pl,9,84876,8.26577,8.18376,2032
pl,10,342942,8.33144,8.17976,1097
pl,11,161936,8.30313,8.16977,1243
pl,12,193738,8.26400,8.16388,1652
pl,13,167355,8.25583,8.15732,1675
pl,14,28720,8.33626,8.14588,863
pl,15,174430,8.26564,8.12881,1193
pl,16,220308,8.34849,8.12434,727
pl,17,12333,8.21843,8.11742,1609
pl,18,271320,8.44417,8.10060,470
pl,19,173346,8.13546,8.08615,3256
pl,20,363622,9.25882,8.08060,136
pl,21,299659,8.45032,8.06309,411
pl,22,169786,8.12889,8.06062,2329
pl,23,162886,8.19706,8.05867,1148
pl,24,246900,8.35896,8.05710,526
pl,25,291457,8.22043,8.02471,801
pl,26,175155,8.30257,8.01355,540
pl,27,205637,8.14918,7.99372,996
pl,28,341169,8.35287,7.97035,401
pl,29,96848,8.09977,7.95867,1082
pl,30,251247,8.17386,7.95854,709
pl,31,312484,8.05220,7.95546,1576
pl,32,62219,8.16671,7.94944,700
pl,33,218417,8.46138,7.93913,290
pl,34,120677,8.02073,7.92447,1564
pl,35,25613,8.07870,7.90692,870
pl,36,205059,8.01343,7.90676,1401
pl,37,124742,8.12318,7.90516,685
pl,38,126163,7.96414,7.88348,1835
pl,39,184267,8.20551,7.85991,424
pl,40,3076,7.92183,7.85550,2205
pl,41,256960,8.13697,7.85422,517
pl,42,264220,8.15262,7.84538,474
pl,43,295947,7.96938,7.83583,1086
pl,44,121921,7.88385,7.83578,3017
pl,45,247763,8.04484,7.83529,692
pl,46,43111,7.93651,7.82845,1338
pl,47,310100,8.32082,7.82756,293
pl,48,285774,8.18226,7.82416,403
pl,49,216132,8.01232,7.82280,761
pl,50,177736,8.04191,7.82180,655
pl,51,124361,7.94499,7.82097,1162
pl,52,237182,7.91364,7.81142,1404
pl,53,170216,7.88845,7.81077,1847
pl,54,175914,8.04346,7.80237,593
pl,55,28143,7.89293,7.80076,1550
pl,56,18602,7.95482,7.80009,923
pl,57,199792,7.85354,7.78718,2140
pl,58,284378,8.44930,7.78600,214
pl,59,223321,7.93379,7.78131,929
pl,60,241451,8.28717,7.75481,263
pl,61,35677,7.88360,7.75015,1047
pl,62,221107,8.15034,7.75003,349
pl,63,146652,8.03420,7.74969,491
pl,64,102794,7.87674,7.74615,1068
pl,65,21241,7.80233,7.74478,2422
pl,66,364011,8.45160,7.73594,194
pl,67,253344,7.97435,7.73581,582
pl,68,189932,8.00865,7.73299,503
pl,69,266192,7.79335,7.72932,2162
pl,70,31260,7.77337,7.71647,2419
pl,71,331106,7.93692,7.71638,624
pl,72,125153,8.10394,7.71629,355
pl,73,164153,7.95647,7.71128,560
pl,74,201808,7.78769,7.70947,1754
pl,75,191189,7.81120,7.70804,1329
pl,76,233371,7.88753,7.70224,738
pl,77,72125,7.84992,7.69889,904
pl,78,185343,7.95497,7.69444,523
pl,79,229853,7.85711,7.68812,804
pl,80,37111,7.77443,7.67427,1348
pl,81,188920,7.81446,7.65827,858
pl,82,12493,7.88716,7.65667,581
pl,83,225694,7.80040,7.65270,905
pl,84,20551,7.76182,7.65010,1195
pl,85,68448,7.68378,7.64326,3284
pl,86,161533,8.10517,7.64312,288
pl,87,146021,7.75308,7.64249,1203
pl,88,182874,7.84994,7.64092,636
pl,89,157917,7.90857,7.64011,495
pl,90,192458,7.81003,7.63826,773
pl,91,110327,7.75964,7.63538,1067
pl,92,157354,7.72936,7.63229,1364
pl,93,276025,7.95865,7.62393,394
pl,94,159675,7.90847,7.61701,451
pl,95,205896,7.75063,7.61653,980
pl,96,308119,8.69016,7.61415,122
pl,97,266810,7.83574,7.61401,592
pl,98,147020,7.70390,7.61393,1459
pl,99,103343,7.68203,7.61012,1822
pl,100,161970,7.70255,7.60830,1389
pl,101,336847,8.23961,7.60745,207
pl,102,172386,7.89054,7.59724,444
pl,103,183394,7.72610,7.58939,949
