rank,bgg_id,page_views
1,171,554991
2,29351,114156
3,2243,100591
4,811,75172
5,2425,70200
6,27443,62188
7,39856,57225
8,5072,53265
9,5432,43475
10,1111,40363
11,11733,27947
12,11634,25748
13,41114,24581
14,4112,20863
15,5894,20862
16,4192,20784
17,2375,17600
18,1293,16272
19,55763,13854
20,26952,13468
21,2932,13400
22,478,11827
23,38950,11453
24,10547,10973
25,1602,10657
26,5339,9838
27,29146,9299
28,2679,8785
29,157507,7361
30,7108,6980
31,19967,6589
32,215,6528
33,123417,6202
34,22392,5961
35,6974,5157
36,11,5092
37,624,4839
38,140,4491
39,19432,4451
40,98,3747
41,103885,3471
42,110327,3404
43,6887,3379
44,764,3238
45,26947,3222
46,11022,3046
47,18803,3036
48,15,2896
49,278,2793
50,1198,2790
51,29741,2769
52,18,2648
53,102652,2594
54,315,2552
55,6278,2502
56,7314,2290
57,2511,2274
58,16986,2223
59,14186,2215
60,1501,2084
61,15162,2016
62,3464,1915
63,10630,1901
64,1035,1896
65,5588,1851
66,1515,1803
67,16992,1698
68,1829,1694
69,115746,1693
70,5217,1621
71,4862,1590
72,20100,1545
73,3837,1505
74,54672,1499
75,62871,1486
76,40270,1435
77,339,1434
78,550,1388
79,4815,1361
80,37111,1336
81,24396,1301
82,1915,1296
82,22895,1296
84,18602,1258
85,110,1255
86,257,1245
87,936,1234
88,7694,1141
89,4052,1083
90,3655,1071
91,11182,1067
92,2680,1042
93,5195,1034
94,32674,981
95,3825,979
96,13715,978
97,5322,972
98,2607,956
99,6830,937
100,2238,932
101,3988,905
102,33604,872
103,460,859
104,2866,857
105,12942,856
106,1923,855
107,21523,841
108,14247,821
109,20281,781
110,2060,778
111,29368,752
112,43022,747
113,987,743
114,1962,733
115,240,728
116,713,714
116,10383,714
118,4171,704
119,748,703
120,66188,656
121,1836,649
122,2363,646
123,865,626
124,25433,620
125,2750,609
126,3637,605
127,9446,586
128,420,570
129,21763,558
130,475,553
131,2770,536
132,8636,534
133,13726,530
134,101721,529
135,11104,526
136,2342,520
137,13642,496
138,2639,493
139,2970,470
140,2166,465
141,2987,449
142,22,447
143,25895,446
144,618,444
144,2808,444
146,3086,436
147,3836,421
148,11375,408
149,5258,406
150,22825,395
151,1431,394
151,1708,394
153,1259,390
154,1202,371
155,54137,370
156,12004,362
157,16807,361
158,3307,354
159,2995,349
160,8728,348
161,37917,344
162,12616,338
163,29500,337
164,2228,336
165,2123,334
166,4881,333
167,3661,329
168,1498,322
169,3966,319
169,4105,319
171,35722,311
172,7420,310
173,27970,304
174,256,298
174,144845,298
176,12146,296
177,1442,290
178,25417,287
179,6333,284
179,15033,284
181,6411,282
182,2802,281
183,62637,280
184,1890,279
184,2130,279
186,162,277
186,25972,277
188,7006,274
188,21882,274
190,804,270
190,1147,270
192,589,267
193,3577,262
194,372,261
195,4737,259
196,464,255
196,4558,255
198,34303,254
199,1992,251
200,30527,250
201,1986,245
202,1577,244
202,12601,244
204,3463,241
204,6778,241
206,3228,240
207,13754,239
208,130,238
209,13208,236
210,3080,235
211,54138,232
212,20436,231
213,484,223
213,3572,223
215,878,221
215,1820,221
215,12071,221
218,2038,220
219,2348,217
220,5260,215
221,48871,213
222,1729,209
222,2338,209
224,10595,206
225,2484,203
225,34615,203
227,5455,202
228,710,199
228,2334,199
228,203195,199
231,119,198
232,8945,197
233,2545,194
233,5651,194
235,6346,191
236,2209,188
237,2149,186
238,4957,182
239,22863,180
240,13019,179
241,63370,177
242,5824,175
243,12628,174
243,27172,174
245,9755,173
246,1875,172
247,2003,171
248,1558,169
249,828,168
250,244,167
250,16533,167
252,3041,166
252,15364,166
254,1901,164
255,23308,162
256,3518,161
256,4816,161
258,5685,160
259,15363,157
260,22168,154
261,2326,153
261,25674,153
261,28650,153
264,24151,152
265,1690,151
266,13361,149
267,1423,148
268,6929,147
268,37175,147
270,17522,145
271,15064,144
272,25234,143
273,8719,141
273,14074,141
275,7240,139
276,2975,138
276,13563,138
278,19329,137
279,908,136
279,17835,136
281,3466,133
282,620,131
282,1669,131
284,7310,126
285,2213,125
286,41789,124
287,1231,123
287,12493,123
287,21955,123
290,19735,122
291,13728,120
291,76684,120
293,2072,118
293,8033,118
295,679,116
295,761,116
297,20080,115
298,3598,112
298,12645,112
300,117,111
301,2510,109
302,13414,105
302,32597,105
304,10890,104
305,28396,101
306,2063,100
306,7480,100
308,4527,99
309,6653,94
310,10997,93
310,37120,93
312,12962,92
313,9264,91
313,17379,91
315,1970,88
315,2518,88
317,85287,87
318,18243,86
319,279,83
320,313,81
320,986,81
320,9752,81
323,67928,80
324,4249,78
324,12597,78
326,41010,76
327,14077,73
328,7263,69
329,252,61
330,2998,55
331,23427,54
332,8051,53
333,1969,51
334,8122,44
335,1588,41
336,8095,40
337,14832,38
338,21207,32
339,24525,29
340,4675,28
340,94746,28
342,62207,27
343,21441,26
344,7834,17
344,19914,17
344,37001,17
347,54998,3
