rank,bgg_id,page_views
1,171,476456
2,2223,347079
3,10816,222735
4,2181,221599
5,1406,202334
6,2397,179512
7,2093,152534
8,463,118736
9,2243,115071
10,29351,114606
11,2162,98379
12,25821,95646
13,13,85028
14,811,76064
15,50381,75011
16,320,73707
17,1294,65708
18,181,61952
19,2425,58006
20,27443,57783
21,3886,54760
22,2136,53237
23,11733,52438
24,5072,50822
25,822,42260
26,2398,38414
27,6819,37824
28,39856,34022
29,2392,32179
30,2386,31595
31,2952,31443
32,1258,31044
33,2719,27540
34,2921,27429
35,5432,27193
36,2785,25768
37,18011,25440
38,2407,24816
39,1111,24527
40,13713,23968
41,3955,23869
42,1269,22959
43,1917,22704
44,2086,22646
45,483,21765
46,73664,21561
47,9209,21481
48,30549,21317
49,188834,21043
50,124742,20979
51,36218,20917
52,2281,20851
53,41114,20285
54,68448,18961
55,178900,18922
56,4192,18590
57,28,18108
58,5894,17839
59,1602,17170
60,2399,16815
61,45,15825
62,9364,15345
63,2453,14600
64,174430,14302
65,2375,14278
66,28302,13661
67,4112,13439
68,1293,13305
69,26952,12865
70,98,12482
71,11634,12189
72,55763,11954
73,17530,11918
74,34848,11916
75,255613,11309
76,34,11271
77,2932,11249
78,521,10955
79,3720,10908
80,230802,10636
81,714,10229
82,38950,10040
83,2381,9891
84,478,9881
85,1465,9796
86,526,9707
87,590,9625
88,6974,9535
89,172225,9482
90,432,9473
91,74,9406
92,699,9015
93,4001,8983
94,4143,8892
95,10547,8780
96,3737,8754
97,29146,8620
98,1887,8583
99,5339,8472
100,215,8449
101,891,8084
102,8098,7685
103,6472,7646
104,2679,7579
105,12745,7508
106,169786,7385
107,2163,7274
108,31260,7123
109,1301,7083
110,712,7005
111,170586,6897
112,2593,6871
113,7108,6849
114,4040,6805
115,205637,6785
116,163,6662
117,1198,6639
118,29316,6602
119,11930,6505
120,1931,6495
121,1353,6340
122,2405,6295
123,943,6232
124,3072,6146
125,12333,6145
126,57409,6122
127,123417,6118
128,2655,6099
129,63268,6041
130,25669,6035
131,129622,6009
132,1797,5725
133,98778,5661
134,2944,5608
135,7688,5592
136,56796,5572
137,40398,5567
138,5895,5496
139,624,5352
140,2728,5312
141,1410,5202
142,12493,5198
143,159655,5140
144,681,5113
145,4815,5062
146,1502,5008
147,5130,4797
148,1219,4749
149,11,4738
150,33701,4710
151,4031,4659
152,3076,4593
153,8790,4568
154,209010,4539
155,55690,4534
156,2322,4494
157,148228,4471
158,146021,4408
159,11464,4382
160,40692,4351
161,258,4343
162,22392,4279
163,14186,4266
164,17226,4246
165,113924,4045
166,83330,4004
167,929,3951
168,19432,3918
169,143884,3905
170,29741,3895
171,181304,3845
172,4386,3802
173,3818,3796
174,140,3769
175,21488,3753
176,2651,3697
177,1500,3649
178,3565,3638
179,10213,3448
180,102652,3422
181,18,3389
182,6887,3356
183,1634,3349
184,5,3348
185,20806,3306
186,8909,3250
187,197405,3227
188,174182,3110
189,1899,3098
190,70323,3078
191,30,3023
192,9220,3003
193,3967,2997
194,3495,2986
195,26947,2977
196,18803,2972
197,127398,2913
198,157507,2801
199,26067,2786
200,2821,2772
201,5255,2770
202,167791,2759
203,110327,2753
204,1295,2696
205,33112,2620
206,156714,2608
207,96848,2607
208,15,2588
209,204583,2577
210,1568,2570
211,11022,2504
212,26920,2499
213,22303,2402
214,1038,2323
215,315,2312
216,6278,2290
217,19841,2267
218,77423,2245
219,12856,2201
220,153938,2199
221,12692,2197
222,6249,2171
223,158899,2170
224,71,2165
225,3464,2157
226,2511,2124
227,65244,2118
228,25213,2110
229,147151,2090
230,11168,2077
231,120677,2059
232,156776,2049
233,36799,2040
234,4148,2036
235,121,2024
236,255664,2009
237,3768,2004
238,19967,1998
239,361,1985
240,715,1982
241,2795,1965
242,7314,1962
243,938,1955
244,28143,1920
245,9206,1910
246,764,1905
247,949,1897
248,150376,1892
249,15818,1891
250,1515,1877
251,54672,1870
252,1117,1847
253,103885,1834
254,11971,1816
255,13714,1812
256,147020,1810
257,10653,1806
258,10630,1805
259,29234,1801
260,278,1777
260,15182,1777
262,32441,1730
263,22847,1715
264,2294,1713
265,25613,1705
266,327,1699
267,244992,1697
268,173,1695
268,1035,1695
268,16991,1695
271,1730,1681
272,4378,1671
273,823,1661
274,6275,1658
274,72125,1658
276,5217,1651
277,242,1638
278,115746,1630
279,1501,1612
280,107529,1603
281,3837,1591
282,568,1590
283,1275,1577
284,700,1564
285,2471,1545
286,10640,1539
287,28805,1528
288,6283,1519
289,1589,1515
290,42,1510
291,12747,1508
292,15162,1490
293,34635,1482
294,33690,1463
295,11229,1459
296,1604,1458
297,655,1447
298,120,1444
299,2557,1433
300,16986,1417
301,21790,1406
302,472,1405
303,131260,1392
304,16992,1387
305,32674,1386
306,6862,1376
307,22895,1368
308,41,1341
309,4862,1335
310,3699,1332
311,4052,1318
311,40270,1318
313,1339,1313
314,77130,1312
315,22827,1310
316,10453,1299
317,227,1257
317,5322,1257
319,2285,1254
320,1860,1236
321,8392,1233
322,31821,1231
323,1829,1215
324,5588,1205
325,3656,1197
326,197831,1185
327,936,1173
328,39271,1172
329,5242,1165
330,170216,1164
331,244521,1159
332,18723,1150
333,1915,1147
334,8304,1143
335,1768,1138
336,54,1137
337,11670,1134
338,4779,1131
339,62871,1128
340,4934,1121
341,50,1119
342,34585,1115
343,2516,1114
343,148949,1114
345,31481,1110
346,2635,1107
347,93,1106
348,2653,1102
349,110,1097
349,4105,1097
351,17223,1096
352,339,1094
353,1475,1088
354,18602,1086
355,4102,1078
