bgg_id,name,year,complexity,min_age,min_time,max_time,cooperative,sdj,ksdj,predict,predict_proba
120677,Terra Mystica,2012.0,3.9639,12.0,60.0,150.0,0,False,True,True,0.9999996222662219
159675,Fields of Arle,2014.0,3.8788,13.0,60.0,120.0,0,False,True,True,0.9999985907609825
31260,Agricola,2007.0,3.6396,12.0,30.0,150.0,0,False,True,True,0.9999980121207984
223321,Detective: A Modern Crime Board Game,2018.0,2.7161,16.0,120.0,180.0,1,False,True,True,0.9999975854003361
70149,Ora et Labora,2011.0,3.9045,13.0,60.0,180.0,0,False,True,True,0.9999970722441363
18602,Caylus,2005.0,3.8034,12.0,60.0,150.0,0,False,True,True,0.9999965167882882
172386,Mombasa,2015.0,3.8984,12.0,75.0,150.0,0,False,True,True,0.9999921266336482
167791,Terraforming Mars,2016.0,3.2411,12.0,120.0,120.0,0,False,True,True,0.999991938671634
247763,Underwater Cities,2018.0,3.5853,12.0,80.0,150.0,0,False,True,True,0.9999896275959389
266810,Paladins of the West Kingdom,2019.0,3.669,12.0,90.0,120.0,0,False,True,True,0.9999881050797403
171623,The Voyages of Marco Polo,2015.0,3.1887,12.0,40.0,100.0,0,False,True,True,0.9999792556551935
193738,Great Western Trail,2016.0,3.7075,12.0,75.0,150.0,0,False,True,True,0.9999744266107963
244711,Newton,2018.0,3.4024,14.0,90.0,90.0,0,False,True,True,0.9999141277123751
144344,Rococo,2013.0,3.0948,12.0,60.0,120.0,0,False,True,True,0.9998395838030641
126163,Tzolk'in: The Mayan Calendar,2012.0,3.6669,13.0,90.0,90.0,0,False,True,True,0.9998194428948154
236457,Architects of the West Kingdom,2018.0,2.769,12.0,60.0,80.0,0,False,True,True,0.9998105402824146
144733,Russian Railroads,2013.0,3.4108,12.0,90.0,120.0,0,False,True,True,0.9997697047323413
124361,Concordia,2013.0,3.0253,13.0,100.0,100.0,0,False,True,True,0.9997670029659702
43528,World Without End,2009.0,2.8118,12.0,90.0,120.0,0,False,True,True,0.9994114125713105
171233,The Big Book of Madness,2015.0,2.7067,12.0,60.0,90.0,1,False,True,True,0.9993963036313964
164928,Orléans,2014.0,3.0477,12.0,90.0,90.0,0,False,True,True,0.9992076866466655
227789,Heaven & Ale,2017.0,3.2445,12.0,60.0,90.0,0,False,True,True,0.9990479259544022
221107,Pandemic Legacy: Season 2,2017.0,3.2547,14.0,60.0,60.0,1,False,True,True,0.9990364659249499
170216,Blood Rage,2015.0,2.8792,14.0,60.0,90.0,0,False,True,True,0.9987834356578149
266192,Wingspan,2019.0,2.4202,10.0,40.0,70.0,0,False,True,True,0.9986272501534691
146508,T.I.M.E Stories,2015.0,2.6082,12.0,90.0,90.0,1,False,True,True,0.9982853728959183
104006,Village,2011.0,3.0706,12.0,60.0,90.0,0,False,True,True,0.9977302527022257
127398,Legends of Andor,2012.0,2.7689,10.0,60.0,90.0,1,False,True,True,0.9976549551918468
106217,Hawaii,2011.0,2.9034,13.0,90.0,90.0,0,False,True,True,0.9973550988208205
203417,Exit: The Game – The Secret Lab,2016.0,2.5763,12.0,45.0,150.0,1,False,True,True,0.9962663355495309
203416,Exit: The Game – The Pharaoh's Tomb,2016.0,2.8065,12.0,45.0,90.0,1,False,True,True,0.9956644505639671
163968,Elysium,2015.0,2.755,14.0,60.0,60.0,0,False,True,True,0.9955243967527388
242804,Lowlands,2018.0,3.0156,12.0,50.0,100.0,0,False,True,True,0.9954127249427943
91873,Strasbourg,2011.0,2.7351,12.0,60.0,60.0,0,False,True,True,0.9954077847981169
170042,Raiders of the North Sea,2015.0,2.5326,12.0,60.0,80.0,0,False,True,True,0.9945971878655718
161936,Pandemic Legacy: Season 1,2015.0,2.8402,13.0,60.0,60.0,1,False,True,True,0.9944731781725187
162082,Deus,2014.0,2.8481,14.0,60.0,90.0,0,False,True,True,0.9940376498191561
136888,Bruges,2013.0,2.7495,10.0,60.0,60.0,0,False,True,True,0.9937893657065102
96913,Lancaster,2011.0,2.9907,10.0,60.0,60.0,0,False,True,True,0.9909414971933297
262712,Res Arcana,2019.0,2.5842,12.0,20.0,60.0,0,False,True,True,0.9873644224465659
203420,Exit: The Game – The Abandoned Cabin,2016.0,2.5362,12.0,60.0,120.0,1,False,True,True,0.9852463292291819
148949,Istanbul,2014.0,2.5827,10.0,40.0,60.0,0,False,True,True,0.9829581950086761
137408,Amerigo,2013.0,2.9938,10.0,90.0,90.0,0,False,True,True,0.9815300655876351
172308,Broom Service,2015.0,2.4032,10.0,30.0,75.0,0,False,True,True,0.9718666963783749
