     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const,    6.8668,    0.009,  804.687, 0.000,    6.850,    6.883
age  ,   -0.0271,    0.000,  -59.323, 0.000,   -0.028,   -0.026
