bgg_id,name,description
447384,Meister Makatsu,Play your ninjas wisely so that they go unnoticed. 
434654,Toy Battle,Send forth an army of toys to conquer territories. 
431280,2 Win,Play the right balance of cards to get more cards and keep playing. 
440540,Take Time,Time beckons you to discover a multitude of challenging universes. 
436507,Under the Mango Tree,Revive your own little patch of Australian wilderness by drafting two-part cards. 
424975,Wilmot's Warehouse,"Stack products in the warehouse, telling a story to remember where to find them. "
438195,Volle Kanne!,Manage your random water supply to satisfy your plants. 
434442,13 Leaves,Play into the row to empty your hand. 
423787,Behind,Solve the three scenes In this puzzle/deduction/observation game. 
435652,Easy Peasy,Get rid of your cards and end the round when you think you have the lowest score. 
450584,Networds,Guess how another player rates a word on weird scales. 
433386,Gloomies,"As a galactic gardener, grow & harvest during the two stellar phases of splendor. "
417197,Rebirth,"Rebuild old lands in a lush, hopeful future. "
384213,Fromage,Cheesemakers compete to run the most prosperous creamery in France. 
436217,The Lord of the Rings: Fate of the Fellowship,"As members of The Fellowship, embark on a journey to save—or doom—Middle-earth. "
437337,Abroad,Travel through Europe for 28 days to showcase your abilities. 
436126,Finspan,Dive into the watery depths to find and observe a vast array of aquatic life. 
400366,Wondrous Creatures,Build the best reserve in the world for 100+ fantastic creatures! 
422674,Saltfjord,Lead your fishing village through the harsh Nordic winters. 
422042,Tea Garden,Witness the birth of tea culture in ancient China. 
298231,Skyrise,Visionary architects build a glorious new city in the sky. 
371932,Explorers of Navoria,Explore new and strange continents that have emerged from the sea. 
399941,River of Gold,A game of rivals and riches set on the legendary river of Rokugan. 
415147,Spectacular,Combine tiles and dice to create your own spectacular animal park. 
