bgg_id,name,year,kennerspiel_score
538,Manager,1979,0.82976
10550,Big Boggle,1979,0.004436
1329,Hyle,1979,0.97084
242,Junta,1979,1
2240,Mad Magazine Card Game,1979,0.0017099
121,Dune,1979,0.99996
310,Wizard's Quest,1979,0.99991
9715,Crossado,1979,0.001645
9211,Screwball Scramble,1979,0.0032172
18529,The Penguin Book of Card Games,1979,0.21382
3527,Iliad: The Most Renowned War Legend,1979,0.99947
1661,Balance of Power,1979,0.013293
162,The Awful Green Things From Outer Space,1979,0.97643
10152,Super Simon,1979,0.00010847
31327,My Dog Has Fleas,1979,0.00023293
24934,Rancher,1979,0.0062185
3113,Empire: Triumphs and Humilations for Power,1979,0.99998
31050,Run for President,1979,0.10987
17785,Seti,1979,0.00672
31051,Target Number,1979,0.10987
31064,Invasion,1979,0.29708
38550,Travels,1979,0.10987
30988,Away Across,1979,0.31471
38682,High Finance,1979,0.12091
7898,Warp n Woof,1979,0.031048
364,Samarkand,1980,0.27612
71,Civilization,1980,1
7106,Tabu: The Game of Aztecs,1980,0.99803
524,Desperados,1980,0.011168
1013,Energie Poker,1980,0.84694
2229,Spiel,1980,0.0083001
2478,Quirks,1980,0.34081
103,Titan,1980,1
1076,Captain Future,1980,0.00985
748,Trax,1980,0.06174
427,Grass,1980,0.79308
983,Tangoes,1980,0.0080239
1152,The Mystic Wood,1980,0.46178
18870,Wykersham,1980,0.55797
19475,Spingo,1980,0.010245
7803,O'NO 99,1980,0.006213
6907,Mai '68 Le jeu,1980,0.94633
3611,Backgammon 4,1980,0.0027654
798,Ace of Aces: Handy Rotary Series,1980,0.051144
7481,Itinerary,1980,0.06598
12997,Red Seven,1980,0.004192
13579,Öko,1980,0.65846
2146,Warlock,1980,0.97315
4094,Slip Disc,1980,0.00039149
9064,Meet,1980,0.093551
5082,Rush Hour,1981,0.0067868
39850,Sympathie,1981,0.0019406
18859,Wunderwatschler,1981,0.0040444
9681,Nosey Neighbor Card Game,1981,0.00057287
193,Fill or Bust,1981,0.017255
1982,Black Spy,1981,0.20905
9177,Armchair Cricket,1981,0.19649
16108,Akropolis,1981,0.017706
139,Hoax,1981,0.42393
6109,Mafia,1981,0.97547
98,Axis & Allies,1981,1
30,Dark Tower,1981,0.82335
1323,Cry Havoc,1981,0.99964
2952,Trivial Pursuit: Genus Edition,1981,0.77263
477,The Broadway Game,1981,0.96846
6983,Jungle,1981,0.0012003
6044,Attila: The Huns Invasion,1981,1
5986,Ra: Strategy Among Hexagons,1981,0.034029
487,Power,1981,0.51345
6238,Beware of the Wolf!,1981,0.00027456
10651,Deflection,1981,0.0024057
10665,Sequenz,1981,0.0041739
6598,Frogger,1981,0.0094237
17453,Die Tour,1981,0.98472
10649,Pharomino,1981,0.0010713
2653,Survive: Escape from Atlantis!,1982,0.14899
1515,Upwords,1982,0.10046
17735,Jailbreak,1982,0.0092084
1452,Mhing,1982,0.67062
37391,Scotland Yard,1982,0.010769
2375,Sequence,1982,0.010587
11924,Struggle,1982,0.00096192
7289,Bike About,1982,0.00015564
13042,Chex,1982,0.53529
170,Family Business,1982,0.012532
26715,Nils Holgerssons wunderbare Reise,1982,0.00013841
6268,Maze,1982,0.15612
1640,Blockbusters,1982,0.01784
614,Rubik's Race,1982,0.0016582
168,Empire Builder,1982,0.99975
6661,Corda,1982,0.029969
6230,Snafooey,1982,0.00043749
1190,Continuo,1982,0.0028309
10898,Tricky Fingers,1982,0.00053338
10403,Ascension,1982,0.0022054
6987,Sixth Sense,1982,0.00083017
3229,"The Game of Medici: Arms, Loves and Betrayals in XVth Century Europe",1982,0.99924
1705,Slapshot,1982,0.072768
13025,10 Sec. Quiz,1982,0.89541
40,Borderlands,1982,0.9991
568,Rage,1983,0.053086
17904,Wir füttern die kleinen Nilpferde,1983,0.00033411
15267,Des chiffres et des lettres,1983,0.20091
2996,Dodge City,1983,0.68758
2730,Quadwrangle,1983,0.0015023
714,Talisman,1983,0.99999
6647,Ökolopoly,1983,0.81997
2280,Marco Polo,1983,0.027136
11421,Uisge,1983,0.16427
5266,Scorpion,1983,0.48227
42050,Eurobusiness,1983,0.908
1608,Ambush!,1983,1
5571,Siege,1983,0.99968
508,Blue Max,1983,0.95673
17420,"Rette sich, wer kann!",1983,0.00046591
2129,Crossbows and Catapults,1983,0.0027424
23201,Dammi il malloppo,1983,0.00022498
14870,Aéropostale,1983,0.015487
22374,Dixit: The Dictionary Game,1983,0.15677
7762,Transfer,1983,0.013354
32128,Wat ben ik?,1983,0.00032087
4598,Word Rummikub,1983,0.018912
3241,Jack The Ripper,1983,0.99257
6879,Super Rack-O,1983,0.0087206
4574,Slang Teasers,1983,0.60199
1465,Wizard,1984,0.4781
1815,Spanish Main,1984,0.99199
1712,Showbiz,1984,0.616
934,Die Kette von Saba,1984,0.013817
163,Balderdash,1984,0.085371
5281,Octiles,1984,0.05344
9063,Brettfußball,1984,0.81585
16727,Play on Wordz,1984,0.08194
5078,End of the Line,1984,0.0010203
8983,I.Q. 2000,1984,0.10219
4282,Greed,1984,0.0061649
94941,Trivial Pursuit: Genus Editie,1984,0.4113
1021,Harun,1984,0.50092
2401,Globetrotters,1984,0.26277
10906,Beggars and Thieves,1984,0.047834
1523,Pharao,1984,0.0078508
11628,Trivial Pursuit: Young Players Edition Master Game,1984,0.1307
1548,Libero,1984,0.29223
21162,Dobývání hradu,1984,0.20405
9685,Bounce It-In Game,1984,0.00011483
1225,Quest,1984,0.57665
11882,3-A-Side,1984,0.075154
13893,Quizwrangle,1984,0.0088122
226521,Milliardending,1984,0.38984
2689,British Rails,1984,0.99967
2363,Orient Express,1985,0.98469
2281,Pictionary,1985,0.33943
18794,SuperGang,1985,0.9999
772,Ausbrecher AG,1985,0.013254
6874,Müller & Sohn,1985,0.0016231
2554,Auf Fotosafari in Ombagassa,1985,0.0014689
1070,Shadows in the Forest,1985,0.0016412
488,Stake Your Claim,1985,0.00027399
788,Tales of the Arabian Nights,1985,0.99931
4870,Tiers-Mondopoly,1985,0.10993
23831,Ruck Zuck,1985,0.00078482
2767,Snail's Pace Race,1985,0.00022112
3033,Bus Boss,1985,0.7841
14370,Speechless,1985,0.24444
12122,Run,1985,0.010212
11407,Matching Madness,1985,0.0015132
10527,Gyges,1985,0.2735
472,DungeonQuest,1985,0.91304
16342,Het Grote DE Koffiespel,1985,0.15868
683,Timeline,1985,0.4402
8895,Wyatt Earp,1985,0.46315
3557,Steppe,1985,0.32915
316,Chase,1985,0.87951
3149,Lost Valley of the Dinosaurs,1985,0.0025833
7713,Dingo,1985,0.00034604
414,Around the World in 80 Days,1986,0.13287
4862,Outburst!,1986,0.78167
4637,Max,1986,0.00016227
24037,Escape from Atlantis,1986,0.099627
5770,Orchard,1986,0.00017394
4355,Therapy,1986,0.5974
16719,Manhattan,1986,0.42013
1768,Fireball Island,1986,0.0014258
515,6-Tage Rennen,1986,0.13094
1398,Chicago,1986,0.97617
3484,Armada,1986,0.91541
4427,Super Cluedo Challenge,1986,0.8654
9272,Jade König,1986,0.32146
2145,Domination,1986,0.9985
3778,Cannae,1986,0.99995
221,Ikusa,1986,1
11632,Veleno,1986,0.00040387
18164,Black Cannon,1986,0.058899
22283,Der Räuber Hotzenplotz,1986,0.00018488
380,Polarity,1986,0.0042543
3239,Nessie Hunt,1986,0.19648
11203,Wildwechsel,1986,0.045038
17510,Sponsor,1986,0.0022752
240,Britannia,1986,1
1144,The Warlock of Firetop Mountain,1986,0.9815
1396,Ben Hur,1987,0.31489
1950,The Mysteries of Peking,1987,0.0029988
1744,Monster Mash,1987,0.00098758
756,Black Vienna,1987,0.97371
2203,Suppenkasper,1987,0.10014
7256,Digit,1987,0.0021255
1303,The Squirrel Game,1987,0.00013348
2546,Elixir,1987,0.019939
2230,Ayanu,1987,0.41499
6660,Cubus,1987,0.018051
3898,Glebdo,1987,0.78857
6513,Don't Panic!,1987,0.0016982
9170,Aladdins Erbe,1987,0.90335
15958,Sphinx,1987,0.01411
40583,Triomph,1987,0.60319
6414,Genius Rules,1987,0.00080863
2858,Mathable,1987,0.083448
1073,Der Schatz der Inka,1987,0.038658
2354,Scan,1987,0.072234
3030,Baggage Claim,1987,7.6135e-05
2963,Stockmarket,1987,0.95121
3558,Quizzard,1987,0.0064455
2731,Upthrust,1987,0.00093049
1184,Zug nach Westen,1987,0.17319
11459,Scoozie,1987,0.04976
943,Ligretto,1988,0.0018524
1924,Maloney's Inheritance,1988,0.36674
362,Elefantenparade,1988,0.0025578
1029,Lieber bairisch sterben,1988,1
24964,Reinhold Wittig's SPIELECOLLECTION No. 1 Spiele zur Schatzinsel,1988,0.68277
5155,Dorada,1988,0.00072542
