,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,25821,19559,,,,,,,,,,,342,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3832,8,,,,,,,,,1166,84,3,46,1563,10,,,,,,,,,,,5124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4359,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,6,,,,,,,,,,,,,,,,,,,,,,,1217,7
11,12,2243,19486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12,,,,,,,,,,,,,,,11,36,,,,,,,,,,,,,,,5239,3,,,,,,,,,6228,16,,,,,,,,,,,,,,,2283,7,,,,,,,,,,,,,,,,,,,,,,,,,,,131,8,,,,,195,14,,,,,,,,,,,,,,,582,17,200,40,,,,,,,,,,,,,9,74,,,,,,,,,,,,,,,,,53,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,3,,,,,,,,,,,,,,,,,,,,,,,1069,6,,,,,631,7,,,19,10,736,16,,,,,,,,,,,5,6,,,,,,,,,,,87,3,,,,,563,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,42
12,13,2425,18728,,,,,,,,,,,56,11,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,73,5,,,,,,,166,13,,,,,136,10,1538,20,,,,,,,,,4328,21,10,12,1664,7,,,7,7,65,13,226,8,,,1226,14,,,,,,,,,,,,,,,,,,,,,142,11,,,,,,,,,,,170,17,,,,,,,,,,,,,,,1138,8,669,16,,,,,,,,,,,,,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,22,,,,,,,,,,,,,,,,,,,,,,,818,8,,,,,919,5,,,195,2,4262,4,,,,,,,,,,,,,,,,,,,,,63,5,,,,,,,,,,,,,165,15,,,,,4,8,,,,,,,,,,,,,,,,,,,175,5,,,,,,,,,26,15,,,,,,,,,,,,,,,,,,,,,,,153,29
13,14,320,18422,,,,,,,,,,,106,9,,,,,14,3,,,,,,,,,11,1,,,62,9,,,,,,,,,15,2,,,,,62,8,,,,,,,201,11,,,12,4,50,23,2206,14,,,,,96,6,,,7102,13,22,2,1162,16,26,12,,,62,14,220,9,,,1314,12,,,,,,,8,2,,,11,2,,,13,3,,,,,94,18,45,5,,,,,,,,,374,4,,,,,588,4,,,,,,,17,2,257,35,368,24,,,,,10,4,,,,,18,2,63,16,,,,,,,11,2,,,,,,,,,29,11,33,9,,,,,,,,,4,7,,,,,112,3,,,,,,,,,,,,,912,8,11,6,48,18,,,,,7,4,,,,,,,,,,,,,501,13,,,,,260,18,,,114,5,880,15,,,,,,,,,,,,,9,2,,,,,,,48,9,86,4,,,,,,,,,,,80,26,,,,,19,4,,,9,4,,,32,11,,,,,38,12,,,12,1,197,4,,,,,,,,,38,13,,,,,,,,,,,8,5,,,,,,,,,,,315,21
14,15,1294,17930,,,,,,,,,,,43,13,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,,,,,,,,,,,,,65,19,1468,23,,,,,,,,,8856,10,6,23,970,20,,,,,51,15,205,12,,,2992,4,,,,,,,,,,,,,8,4,,,,,,,191,9,,,,,,,,,,,202,11,,,,,39,13,,,,,9,3,,,1043,9,,,,,,,,,,,,,,,60,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,612,13,,,34,26,,,,,10,2,,,,,,,,,,,,,58,43,,,,,,,,,,,473,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,12,,,,,,,,,,,,,31,12,,,,,17,23,,,,,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,26
15,16,29351,17759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,,,,,,,,,,,,,,,,,,,,,,,,,125,17,,,,,,,2785,11,,,,,,,,,2940,32,,,131,56,168,2,,,,,82,28,,,287,55,,,,,,,,,,,,,,,,,,,,,242,8,,,,,,,,,,,34,30,10,6,,,,,,,,,,,,,,,140,46,,,,,,,,,,,,,14,59,,,,,,,,,,,,,,,,,333,3,97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,42,,,,,,,,,,,,,,,,,,,,,,,562,11,,,,,,,,,,,8547,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,,,,,,,,,,,,,,,,,,,,,,,,,664,1,,,,,,,,,348,5,,,,,,,,,,,,,,,,,,,,,,,80,46
16,17,13,16349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14,,,,,,,135,14,,,9,6,46,25,1611,19,,,,,28,11,,,7088,14,11,8,1477,13,,,5,9,,,,,23,2,701,27,,,,,,,,,,,1,4,,,,,,,,,769,2,,,,,,,,,,,204,10,,,,,,,,,,,,,,,346,29,1200,10,,,,,,,,,,,,,112,9,,,,,,,,,,,,,,,,,,,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,11,31,2,34,25,,,,,,,,,,,,,,,,,,,149,28,,,,,266,17,,,36,9,717,17,,,,,,,,,,,,,,,,,,,,,20,14,44,8,,,,,63,7,,,,,132,17,,,,,,,,,,,,,,,,,,,20,21,,,,,,,,,,,,,,,13,18,,,,,,,,,,,,,,,,,,,,,,,323,20
17,18,50381,15821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,27,1028,29,,,,,,,,,12630,4,,,342,35,,,,,73,12,216,11,,,293,53,,,,,,,,,,,,,,,,,,,,,119,15,,,,,,,,,,,,,,,,,,,,,,,,,,,689,14,19,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,811,14120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,7,,,,,,,14,44,,,,,,,1652,18,,,,,,,,,4005,22,7,20,1598,9,,,,,,,130,23,,,1687,9,,,,,,,,,,,,,6,5,,,,,,,556,4,,,,,,,,,,,196,13,,,,,,,,,,,,,,,82,76,367,25,,,,,,,,,,,,,264,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,4,,,19,31,,,,,,,,,,,,,,,,,,,405,18,,,,,561,9,,,104,7,226,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873,11
19,20,181,14116,11,4,,,,,,,,,75,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21,,,,,,,,,,,,,163,9,1886,15,,,,,,,,,6629,15,,,1331,14,,,6,8,,,70,29,,,1108,16,,,,,,,,,,,,,,,,,,,,,121,13,,,,,196,4,,,,,128,20,,,,,,,,,,,,,,,240,36,295,33,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,16,,,44,19,,,,,,,,,,,,,,,,,,,263,23,,,,,109,28,,,,,468,23,,,,,,,,,,,,,,,,,105,3,,,,,,,,,2,3,,,,,,,196,10,,,,,,,,,,,,,16,15,,,,,32,17,,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,35
