,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,109564,145,1,58,1,39,1,39,1,29,1,2889,1,42,1,41,1,35,1,51,1,36,1,379,1,40,1,48,1,37,1,,,59,1,422,1,159,1,201,1,511,1,76,1,86,1,216,1,31,1,199,1,37,1,29,1,36,1,777,2,32,1,51,1,430,2,6371,1,27,1,37,1,23,1,668,2,34,1,30665,1,82,1,11698,1,427,1,66,1,1725,3,1382,2,27,1,51,1,4524,3,,,41,1,38,1,48,1,35,1,25,1,38,1,46,1,184,1,22,1,,,1597,1,1311,1,127,1,355,3,34,1,28,1,882,1,183,1,,,93,1,1457,2,24,1,24,1,39,1,84,1,4391,2,3919,3,27,1,28,1,40,1,324,1,222,1,130,1,410,2,34,1,42,1,48,1,91,1,50,1,32,1,23,1,28,1,281,1,283,1,31,1,35,1,23,2,99,1,411,1,58,1,984,1,216,2,45,1,61,1,28,1,41,1,42,1,20,1,1000,9,47,1,413,3,32,1,,,30,1,28,2,31,1,38,1,32,1,38,1,,,28,1,2400,2,46,1,29,1,4421,2,34,1,32,1,370,1,5408,2,40,1,30,1,33,1,27,1,43,1,36,1,45,1,21,1,141,3,107,1,303,1,196,2,,,226,1,292,3,,,32,1,1368,1,44,2,,,183,1,,,373,1,2,1,479,3,28,1,47,1,96,1,912,3,45,1,,,349,3,107,1,203,1,47,1,28,1,1952,2,,,30,1,,,39,1,,,41,1,29,1,28,1,28,1,47,1,,,2751,2
1,2,2223,92467,,,,,,,,,,,1801,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,,,,,,,1464,1,,,,,381,3,2884,11,,,,,,,,,,,21644,2,,,6321,2,,,,,2928,2,2851,1,,,,,4548,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4,,,,,239,7,,,,,,,,,8926,1,3339,6,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,149,3,,,,,,,,,,,22,5,,,,,130,3,,,,,,,,,,,,,1113,6,,,1132,1,,,,,,,,,,,,,,,,,,,,,6468,1,,,,,12387,1,,,,,,,3379,5,,,,,,,,,,,,,,,,,,,9,4,,,371,1,,,,,104,6,,,,,386,9,,,,,,,,,,,,,828,1,,,,,,,3428,1,,,,,526,2,,,,,,,,,2397,1,,,,,,,,,,,5,9,,,,,,,,,,,2180,5
2,3,1406,54138,87,2,,,,,,,,,18,23,,,,,,,26,3,,,73,3,,,,,,,,,,,244,3,,,,,,,,,,,,,,,27,18,,,,,,,165,15,,,14,4,373,4,3113,9,,,,,,,402,4,,,21154,3,13,5,3436,4,90,4,15,3,501,6,1367,3,,,,,2854,5,41,1,,,,,12,3,,,,,,,,,,,,,,,1076,3,,,,,414,2,,,,,170,11,74,3,,,10,3,3721,1,,,,,,,17,5,1460,5,2393,9,,,10,3,10,4,,,,,,,107,10,,,,,,,12,5,,,,,,,,,55,7,28,10,,,,,,,,,,,,,,,75,4,,,,,,,,,,,,,1714,2,8,11,484,2,,,,,,,36,1,,,,,,,,,,,,,582,11,,,,,616,11,,,,,111,7,3294,6,,,,,,,,,,,9,5,11,2,,,581,1,,,40,12,48,9,,,,,202,4,,,,,861,6,,,,,,,,,,,,,,,,,,,,,260,6,,,,,140,8,10,4,,,,,,,276,10,,,,,,,8,4,,,10,7,,,,,,,8,2,,,1172,11
3,4,2397,48898,30,3,22,2,,,13,2,,,1279,3,,,,,,,18,4,,,182,2,,,14,3,,,,,15,3,396,2,,,,,30,5,,,26,2,22,3,,,75,4,,,17,2,17,2,333,9,,,19,2,1001,1,4566,3,,,,,,,476,3,,,17027,4,18,3,2896,5,49,6,11,6,3141,1,261,11,,,,,1734,10,,,,,16,2,,,,,,,,,23,2,,,,,,,1243,2,,,17,2,146,7,,,,,310,6,105,2,,,18,2,53,11,,,,,14,2,33,3,1026,6,4704,2,,,,,,,103,2,20,2,,,34,29,21,2,,,,,23,3,,,,,15,3,10,3,63,5,70,4,,,,,,,72,2,13,6,,,,,22,9,,,,,,,,,,,,,651,13,23,5,393,4,,,,,,,13,3,,,,,,,12,3,,,,,975,8,13,2,,,725,10,,,,,,,1511,9,,,,,,,,,,,12,3,,,,,58,4,,,72,10,55,7,,,,,133,5,,,,,878,5,20,3,,,33,4,,,,,,,107,7,,,,,15,3,515,5,,,,,102,10,26,3,,,,,18,2,89,13,19,1,,,,,18,3,,,11,6,,,,,,,7,3,,,532,18
4,5,10816,47725,,,,,,,,,,,463,5,,,,,,,46,2,,,,,,,,,37,2,,,40,2,152,6,,,,,,,,,,,33,2,,,86,3,,,,,,,400,6,,,,,232,6,3766,6,,,,,,,103,7,,,14399,7,,,4784,3,72,5,,,598,5,472,6,,,,,2503,6,,,,,,,,,,,,,,,,,,,,,,,436,6,65,5,,,200,5,,,,,484,3,,,,,,,638,3,,,,,,,,,1924,4,2345,10,,,,,,,,,,,32,2,148,7,,,,,,,,,,,,,,,,,,,99,2,,,,,,,,,,,,,,,,,,,,,,,,,38,2,,,1003,8,30,2,375,5,,,35,1,,,,,,,,,,,,,,,,,1503,4,,,,,2317,3,,,,,159,3,3811,4,,,,,,,,,,,,,,,,,45,5,,,118,5,,,,,,,95,7,,,,,553,7,,,,,,,,,,,,,,,,,,,33,2,254,7,,,,,171,6,,,,,,,,,443,7,,,,,,,29,2,,,37,2,,,,,,,,,,,2119,6
5,6,2093,36003,,,,,,,,,,,67,17,,,,,,,,,,,27,4,,,,,,,,,,,43,13,,,,,14,6,10,3,,,,,,,51,7,14,2,,,,,126,19,,,,,47,21,1119,25,,,,,,,,,,,15635,5,15,4,1956,9,,,,,62,15,142,30,,,,,851,19,,,,,,,,,14,2,,,,,,,,,4,2,,,96,22,16,7,,,38,13,,,,,94,16,23,7,,,,,130,10,,,,,,,,,519,20,6756,1,,,16,2,12,3,,,14,3,,,181,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,6,,,,,,,,,,,,,515,16,,,51,24,,,,,,,,,,,,,,,,,,,,,348,19,,,,,765,8,,,,,,,1380,11,,,,,14,2,,,,,,,,,,,,,,,57,11,22,13,,,,,,,17,1,,,223,15,,,3,2,,,,,,,,,353,4,,,,,,,71,13,,,,,50,16,,,,,,,,,584,6,,,,,,,,,,,22,3,,,,,,,,,10,1,3379,1
6,7,2162,28034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,13,35,,,,,,,191,12,,,,,41,26,1659,18,,,,,,,,,,,15416,6,,,943,24,,,,,,,149,28,,,,,1106,15,,,,,10,3,,,,,,,,,,,,,,,,,29,41,,,,,,,,,,,187,9,,,,,,,9,20,,,,,,,15,6,562,18,263,39,,,,,,,4,4,,,,,54,17,,,,,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,42,9,10,,,,,,,,,,,,,,,,,,,,,,,564,12,,,,,286,17,,,,,18,11,4525,3,,,,,,,,,,,,,,,,,8,9,,,,,7,16,,,,,22,16,,,,,169,22,,,,,,,,,,,,,,,,,,,,,52,16,,,,,112,9,,,,,,,,,50,15,,,,,,,,,,,,,,,,,,,,,,,1421,8
7,8,2243,25560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,14,,,,,,,,,,,,,,,7,51,,,,,,,,,,,,,,,5746,2,,,,,,,,,,,8487,15,,,,,,,,,,,,,,,,,1806,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,10,,,,,176,10,,,,,,,,,,,,,,,,,627,14,2678,8,,,,,,,,,,,,,87,13,,,,,,,,,,,,,,,,,57,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,3,,,,,,,,,,,4,8,,,,,,,,,,,,,1666,3,,,,,766,7,,,,,26,9,801,16,,,,,,,,,,,8,6,,,,,,,,,,,190,3,,,,,591,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,27
8,9,2181,24150,,,,,,,,,,,178,11,,,,,,,,,,,,,,,17,2,,,,,,,203,5,,,,,,,,,,,,,,,28,17,,,,,,,400,5,,,,,150,9,1624,19,,,,,,,213,5,,,6819,18,9,12,1496,15,173,2,14,5,,,264,10,,,,,1067,16,,,,,,,,,,,,,,,,,,,,,,,228,9,,,,,123,9,,,,,246,7,,,,,,,253,5,,,,,,,14,7,889,8,953,16,,,,,,,49,3,,,,,37,26,,,,,,,,,,,,,,,15,2,45,10,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,15,24,4,175,8,,,,,,,,,,,,,,,,,,,,,1298,5,,,,,279,18,,,,,155,4,2484,8,,,,,,,,,,,10,4,,,,,29,6,,,81,7,53,8,,,,,39,11,16,2,,,1310,2,,,,,,,,,,,,,224,5,,,,,,,218,8,,,,,232,4,33,2,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,1391,9
9,10,25821,23465,,,,,,,,,,,440,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760,7,,,,,,,,,,,1527,74,10,10,1810,11,,,,,,,,,,,,,7671,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,8,,,,,,,,,,,,,,,,,,,,,,,1792,7
