bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,119333,1,157,1,37,1,24,1,30,1,29,1,3534,1,19,1,22,1,31,1,428,1,37,1,21,1,20,1,,,37,1,587,1,63,1,50,1,357,1,11,1,51,1,308,1,22,1,235,1,20,1,16,1,30,1,875,1,16,1,42,1,556,2,6015,1,16,1,11,1,659,1,,,33829,1,63,1,13492,1,502,1,55,1,1835,3,1092,2,30,1,4269,1,,,18,1,29,1,31,1,17,1,20,1,44,1,194,1,21,1,1375,1,3219,1,21,1,550,1,27,1,18,1,1328,2,226,1,19,1,1695,2,21,1,19,1,31,1,101,1,4447,2,3364,3,26,1,37,1,39,2,473,1,245,1,99,1,416,3,24,1,,,31,1,82,1,33,1,32,1,22,1,329,2,274,1,12,1,15,2,,,112,1,98,1,91,1,1739,1,192,2,15,1,24,1,15,1,26,1,23,1,12,1,1168,3,33,1,575,2,3,1,,,22,1,17,1,15,1,14,1,15,1,16,1,,,23,1,2321,2,12,1,26,1,4978,2,18,1,459,1,8156,2,15,1,18,1,24,1,34,1,22,1,11,1,158,3,69,1,390,1,292,1,,,397,1,394,2,,,24,2,1399,1,45,1,,,264,1,,,88,1,3,1,709,1,35,1,153,1,404,1,24,1,,,452,3,80,1,158,1,22,1,19,1,1658,1,,,27,1,,,28,1,,,28,2,18,1,14,1,14,1,18,1,,,3050,3
2223,52839,2,,,,,,,,,,,469,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,,,,496,3,,,,,,,1840,15,,,,,,,,,12677,5,,,3594,3,,,,,4481,1,1160,1,,,2604,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,,,175,8,,,,,,,,,6265,1,2170,6,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,430,1,,,,,,,,,,,22,2,,,,,48,5,,,,,,,,,,,,,438,12,,,806,1,,,,,,,,,,,,,,,,,,,,,2853,1,,,,,5239,1,,,,,2457,7,,,,,,,,,,,,,,,9,4,,,134,2,,,,,62,6,,,,,225,9,,,,,,,,,,,,,277,2,,,,,263,2,,,,,468,2,,,,,,,,,895,2,,,,,,,,,,,,,,,,,,,,,,,2238,5
1406,48474,3,34,2,,,,,,,,,28,15,,,,,21,3,27,3,,,,,,,,,,,254,6,,,,,,,,,,,,,,,60,4,,,,,,,148,12,,,6,6,233,3,5737,2,,,,,572,2,,,19208,2,13,4,3743,2,43,4,9,3,456,6,684,4,,,2591,6,39,1,,,,,6,3,,,,,,,,,,,474,5,,,,,280,4,,,,,192,11,29,2,6,3,1803,1,,,,,,,8,6,1257,5,2475,5,,,8,3,6,5,,,,,,,,,,,,,,,11,3,,,,,,,51,7,,,,,,,,,,,,,,,,,43,6,,,,,,,,,,,,,1271,1,10,8,319,3,,,,,,,,,,,,,,,,,,,,,533,13,,,,,400,13,,,117,6,2677,6,,,,,,,7,4,6,3,,,374,1,,,23,13,46,7,,,,,367,3,,,,,540,3,,,,,,,,,,,,,,,,,,,52,9,,,,,136,4,,,,,,,,,134,7,,,,,,,5,3,,,7,3,,,,,,,4,3,,,891,8
10816,37250,4,,,,,,,,,,,546,3,,,,,20,4,,,,,,,8,2,,,10,3,322,3,,,,,,,,,,,8,3,,,30,11,,,,,,,209,8,,,,,171,5,3142,7,,,,,60,8,,,13119,4,,,2721,5,35,6,,,656,5,320,6,,,2721,4,,,,,,,,,,,,,,,,,,,294,6,56,6,,,185,5,,,,,369,4,,,,,148,9,,,,,,,,,1427,4,3034,4,,,,,,,,,,,14,3,180,6,,,,,,,,,,,,,,,,,40,6,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,668,7,12,5,180,6,,,6,1,,,,,,,,,,,,,,,,,944,5,,,,,935,4,,,135,5,3480,5,,,,,,,,,,,,,47,6,,,61,9,,,,,,,,,,,,,488,4,,,,,,,,,5,4,,,,,,,8,3,67,7,,,,,130,6,,,,,,,,,220,6,,,,,,,7,2,,,,,,,,,,,,,,,4,222
2397,33898,5,12,3,10,2,,,3,2,,,839,2,,,,,12,5,131,2,,,4,3,,,,,8,4,433,2,,,,,16,4,,,38,2,40,2,,,54,6,,,5,2,5,2,289,5,,,10,3,559,1,3256,6,,,,,341,4,,,12096,6,20,3,1666,9,28,8,6,8,3252,2,246,7,,,1381,8,,,,,10,2,,,,,,,12,2,,,,,698,3,,,7,2,158,8,,,,,318,5,28,3,8,2,209,7,,,,,4,4,22,2,697,13,1498,10,,,,,,,65,2,19,2,,,52,16,8,2,,,,,5,4,,,,,6,3,84,4,51,4,,,,,,,87,2,9,6,,,,,11,8,,,,,,,,,,,,,406,14,7,11,273,4,,,,,,,10,3,,,,,,,5,2,,,,,578,10,5,2,,,704,7,,,,,1565,12,,,,,,,8,3,,,,,63,4,,,75,6,51,6,,,,,154,4,,,,,339,7,9,3,,,9,7,,,,,,,43,9,,,5,4,193,3,,,,,82,10,17,2,,,,,7,2,65,9,13,1,,,,,5,4,,,,,,,,,,,8,2,,,373,18
29351,31104,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2,,,,,,,,,,,,,,,,,,,,,,,,,105,18,,,,,,,2757,9,,,,,,,,,4190,26,,,136,55,124,3,,,,,101,24,,,143,74,,,,,,,,,,,,,,,,,,,222,8,,,,,,,,,,,41,28,8,5,,,,,,,,,,,,,,,194,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,3,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,28,,,,,,,,,,,,,,,,,,,,,,,,,524,14,,,,,,,,,,,19860,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,30,,,,,,,,,,,,,,,,,,,,,,,,,1717,1,,,,,,,,,361,5,,,,,,,,,,,,,,,,,,,,,,,44,69
2093,30514,7,,,,,,,,,,,81,11,,,,,,,16,4,,,,,,,,,,,32,14,,,,,8,5,10,2,,,,,,,21,17,4,2,,,,,83,20,,,,,61,18,1366,19,,,,,,,,,13317,3,7,13,1157,14,,,,,24,16,161,13,,,868,17,,,,,,,,,8,2,,,,,,,5,2,64,25,13,7,,,45,12,,,,,70,23,7,6,,,110,11,,,,,,,,,692,14,4357,2,,,14,2,9,4,,,1,4,,,166,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4,,,,,,,,,,,,,369,15,,,52,21,,,,,,,,,,,,,,,,,,,,,592,9,,,,,460,12,,,,,1819,9,,,,,5,2,,,,,,,,,,,32,12,19,13,,,,,,,8,1,,,208,10,,,10,2,,,,,,,,,257,3,,,,,43,11,,,,,61,12,,,,,,,,,550,4,,,,,,,,,,,32,1,,,,,,,,,8,1,3164,2
2162,23614,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,10,45,,,,,,,121,15,,,,,43,23,1339,20,,,,,,,,,11247,8,,,606,25,,,,,,,105,21,,,773,21,,,,,5,4,,,,,,,,,,,,,26,38,,,,,,,,,,,156,14,,,,,,,,,,,,,8,7,532,18,6,108,,,,,,,3,4,,,,,76,12,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,46,7,10,,,,,,,,,,,,,,,,,,,,,,,594,8,,,,,233,19,,,21,11,6156,3,,,,,,,,,,,,,4,10,,,,,9,15,,,,,,,,,,,84,22,,,,,,,,,,,,,,,,,,,34,15,,,,,100,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214,6
463,22606,9,,,5,3,,,,,,,,,,,,,,,6,6,,,,,,,,,,,16,16,,,,,,,,,4,7,,,,,16,24,,,,,,,214,7,,,,,72,13,1853,14,,,,,,,,,11465,7,4,25,,,17,11,8,5,13,18,186,11,,,995,13,,,,,,,,,,,,,,,,,,,64,24,,,,,20,14,,,,,72,22,,,,,61,14,,,,,,,,,856,10,2150,7,,,,,,,,,,,,,62,13,,,,,,,3,7,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,19,5,13,51,22,,,,,,,,,,,,,,,,,,,,,437,15,,,,,810,5,,,,,1690,11,,,,,,,,,,,,,,,,,,,14,14,,,,,20,9,,,,,149,15,,,,,,,,,,,,,54,8,,,,,25,19,,,,,55,13,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,,,837,9
2181,21290,10,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,315,4,,,,,,,,,,,,,,,20,19,,,,,,,139,14,,,,,216,4,1573,16,,,,,232,5,,,6812,15,13,5,956,17,220,2,4,12,,,207,9,,,1213,10,,,,,,,,,,,,,,,,,,,269,7,,,,,91,11,,,,,221,9,,,,,233,6,,,,,,,13,5,64,90,1087,16,,,,,,,33,3,,,,,54,15,,,,,,,,,,,,,5,4,45,8,46,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,10,11,7,175,7,,,,,,,,,,,,,,,,,,,,,1373,3,,,,,318,16,,,166,4,2107,8,,,,,,,8,2,,,,,53,5,,,73,7,40,9,,,,,,,8,2,,,803,2,,,,,,,,,,,,,218,5,,,,,98,5,,,,,136,5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,7
