bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,109440,1,146,1,34,1,28,1,27,1,28,1,2853,1,20,1,27,1,27,1,574,1,46,1,26,1,23,2,,,49,1,494,1,84,1,221,1,505,1,26,1,31,1,368,1,28,1,261,1,26,1,20,1,47,1,1362,1,19,1,73,1,434,1,5271,1,34,1,22,1,545,3,19,1,27796,2,45,1,12105,1,599,1,47,1,1948,3,1197,2,32,1,3985,4,,,28,1,28,1,37,1,15,1,21,1,48,1,94,1,18,1,,,1574,1,4722,1,148,1,423,2,19,1,18,1,1499,1,229,1,,,31,1,1642,2,22,1,17,1,43,1,80,1,3555,2,2507,4,19,1,28,2,28,2,451,1,368,1,92,1,347,3,23,1,,,58,1,46,1,39,1,17,1,28,1,22,2,378,2,192,1,20,1,28,1,56,1,80,1,182,1,136,1,939,1,115,2,24,1,64,1,19,1,22,1,32,1,18,1,1086,6,42,1,1633,1,22,1,,,22,1,23,1,22,1,14,1,16,1,24,1,,,23,1,3396,2,22,1,24,1,3640,2,23,1,26,1,689,1,5584,3,28,1,15,1,21,1,26,1,20,1,27,1,27,1,21,1,138,2,140,1,339,1,330,1,,,227,1,320,3,,,30,2,966,1,43,1,,,194,2,,,251,1,1,1,451,2,36,1,107,1,348,2,33,1,,,443,2,60,1,273,1,61,1,23,1,3428,1,,,20,1,,,23,2,,,30,1,16,1,28,1,22,1,32,1,,,2270,4
2223,63975,2,,,,,,,,,,,603,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,12,,,,,,,1196,2,,,,,236,3,2416,13,,,,,,,,,13333,5,,,4583,2,,,,,2916,2,1480,1,,,5711,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,,272,8,,,,,,,,,4690,1,2031,8,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,383,1,,,,,,,,,,,13,4,,,,,113,3,,,,,,,,,,,,,978,8,,,585,2,,,,,,,,,,,,,,,,,,,,,4406,1,,,,,7804,1,,,,,,,2956,7,,,,,,,,,,,,,,,,,,,6,5,,,326,2,,,,,47,9,,,,,232,11,,,,,,,,,,,,,396,3,,,,,2823,1,,,,,432,3,,,,,,,,,880,2,,,,,,,,,,,3,11,,,,,,,,,,,2033,6
1406,56294,3,26,3,,,,,,,,,12,19,,,,,17,3,46,3,,,,,,,,,,,298,3,,,,,,,,,,,,,,,71,3,,,,,,,252,10,,,17,5,181,5,4019,4,,,,,664,1,,,21378,4,17,7,2913,4,70,5,15,5,309,6,961,3,,,4264,3,62,1,,,,,12,2,,,,,,,,,,,,,765,4,,,,,474,1,,,,,303,8,46,4,,,16,2,1765,1,,,,,,,11,4,1843,4,2423,5,,,29,1,20,3,,,,,,,,,,,,,,,13,2,,,,,,,,,140,4,35,8,,,,,,,,,,,,,,,63,4,,,,,,,,,,,,,2258,1,9,11,285,3,,,,,,,,,,,,,,,,,,,,,591,11,,,,,607,7,,,,,152,6,5713,2,,,,,,,,,,,12,2,18,2,,,383,1,,,73,11,126,4,,,,,243,4,,,,,628,3,,,,,,,,,,,,,,,,,,,96,9,,,,,291,5,9,4,,,,,,,131,9,,,,,,,8,3,,,11,6,,,,,,,13,2,,,1087,9
463,38433,4,,,21,2,,,,,,,,,,,,,,,21,4,,,,,,,,,,,29,13,,,,,,,,,22,2,,,,,32,15,,,,,,,264,9,,,,,84,11,2775,11,,,,,,,,,23164,3,18,5,1450,14,25,12,21,3,19,20,141,19,,,1571,12,,,,,,,,,,,,,,,,,,,,,151,10,,,,,40,14,,,,,104,20,,,,,,,54,12,,,,,,,,,1057,12,2309,6,,,,,,,,,,,,,79,10,,,,,,,12,3,,,,,,,,,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,17,25,3,47,18,,,,,,,,,,,,,,,,,,,,,477,13,,,,,1177,3,,,,,,,1478,10,,,,,,,,,,,,,,,,,,,,,,,22,12,,,,,22,13,,,,,183,14,,,,,,,,,,,,,71,7,,,,,47,12,,,,,62,15,,,,,,,,,45,14,,,,,,,,,,,,,,,,,,,,,,,814,12
10816,38207,5,,,,,,,,,,,287,6,,,,,27,2,,,,,,,35,1,,,30,2,158,7,,,,,,,,,,,26,3,,,63,6,,,,,,,352,7,,,,,137,7,3788,6,,,,,74,9,,,10508,9,,,3147,3,99,3,,,545,5,330,6,,,2484,8,,,,,,,,,,,,,,,,,,,,,452,6,85,6,,,162,8,,,,,471,3,,,,,,,385,6,,,,,,,,,1825,5,1753,10,,,,,,,,,,,37,2,192,4,,,,,,,,,,,,,,,,,,,84,3,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,619,14,31,2,239,5,,,27,1,,,,,,,,,,,,,,,,,1280,7,,,,,1174,4,,,,,184,5,3584,6,,,,,,,,,,,,,,,,,40,4,,,95,6,,,,,,,59,7,,,,,596,4,,,,,,,,,36,3,,,,,,,23,2,114,7,,,,,139,6,,,,,,,,,314,7,,,,,,,25,1,,,25,2,,,,,,,,,,,2042,5
2397,34883,6,17,4,13,3,,,9,2,,,845,2,,,,,11,4,168,2,,,14,2,,,,,13,4,331,2,,,,,23,5,,,16,3,26,2,,,60,7,,,9,2,7,2,375,5,,,11,6,364,2,3790,5,,,,,342,4,,,11378,7,7,18,1567,11,27,10,9,7,3327,1,225,9,,,1932,11,,,,,5,3,,,,,,,21,2,,,,,,,848,3,,,13,2,179,7,,,,,376,7,48,3,,,11,3,31,14,,,,,4,6,21,3,963,14,1918,9,,,,,,,90,2,16,2,,,32,23,9,2,,,,,8,4,,,,,16,2,8,3,60,6,61,4,,,,,,,31,2,10,6,,,,,17,9,,,,,,,,,,,,,669,12,11,9,218,6,,,,,,,4,3,,,,,,,5,3,,,,,634,10,5,2,,,514,9,,,,,,,1440,11,,,,,,,,,,,7,5,,,,,37,5,,,92,8,51,7,,,,,99,5,,,,,438,6,8,3,,,25,4,,,,,,,64,9,,,11,4,191,4,,,,,80,11,15,3,,,,,10,2,59,12,20,1,,,,,6,4,,,4,7,,,,,,,7,3,,,447,18
2398,31027,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,33,359,73,,,,,,,,,29468,1,4,32,160,53,,,,,,,30,47,,,513,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,50,,,,,,,,,,,,,,,,,,,,,,,,,45,49,,,,,,,,,,,,,176,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,64,,,,,,,,,,,,,,,,,,,41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,28168,8,,,,,,,,,,,49,13,,,,,,,20,5,,,,,,,,,,,37,12,,,,,19,6,12,3,,,,,,,30,17,10,2,,,,,113,18,,,,,55,19,1237,24,,,,,,,,,11410,6,13,10,1384,15,,,,,75,14,110,28,,,1147,19,,,,,,,,,11,2,,,,,,,8,2,,,80,22,38,7,,,66,11,,,,,107,19,11,7,,,,,129,10,,,,,,,,,558,21,4230,1,,,17,3,10,4,,,1,4,,,174,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,6,,,,,,,,,,,,,422,18,,,51,16,,,,,,,,,,,,,,,,,,,,,272,22,,,,,469,11,,,,,,,1299,12,,,,,10,2,,,,,,,,,,,,,,,40,12,23,11,,,,,,,13,2,,,251,9,,,6,2,,,,,,,,,305,5,,,,,41,14,,,,,93,10,,,,,,,,,579,4,,,,,,,,,,,17,3,,,,,,,,,16,1,3053,2
2181,24828,9,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,215,5,,,,,,,,,,,,,,,19,22,,,,,,,127,16,,,,,146,6,2193,14,,,,,300,5,,,7217,13,15,9,1267,17,83,4,5,17,,,174,15,,,1319,16,,,,,,,,,,,,,,,,,,,,,296,8,,,,,98,10,,,,,225,11,,,,,,,495,4,,,,,,,23,2,988,13,1014,14,,,,,,,33,3,,,,,33,22,,,,,,,,,,,,,,,32,1,57,8,59,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,11,18,5,251,4,,,,,,,,,,,,,,,,,,,,,1943,3,,,,,315,15,,,,,136,7,2096,8,,,,,,,,,,,7,4,,,,,25,6,,,83,10,44,8,,,,,39,11,21,1,,,717,2,,,,,,,,,,,,,169,6,,,,,120,6,,,,,126,7,18,2,,,,,,,,,,,,,,,,,,,12,5,,,,,,,,,,,1367,8
25821,23716,10,,,,,,,,,,,379,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3264,9,,,,,,,,,1419,71,13,11,1836,7,,,,,,,,,,,6498,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,5,,,,,,,,,,,,,,,,,,,,,,,6007,1
