bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,119138,1,126,1,47,1,43,1,37,1,31,1,2805,1,30,1,41,1,37,1,442,1,56,1,40,1,29,1,,,54,1,495,1,58,1,61,1,353,1,25,1,52,1,291,1,37,1,231,1,43,1,37,1,51,1,910,1,33,1,39,1,521,1,6202,1,35,1,33,1,555,2,,,32923,1,47,1,14142,1,594,1,62,1,2449,2,1278,1,42,1,4636,1,,,28,1,44,1,25,1,22,1,32,1,39,1,189,1,31,1,1657,1,1832,1,32,1,498,2,25,1,26,1,1000,1,300,1,36,1,2380,1,26,1,43,1,46,1,73,1,4168,2,3869,3,31,1,36,1,28,3,448,1,889,1,94,1,434,3,37,1,,,67,1,66,1,40,1,44,1,33,1,375,2,224,1,21,1,23,1,,,88,1,79,1,182,1,978,1,161,2,31,1,26,1,32,1,35,1,26,1,25,1,1181,4,35,1,610,1,,,32,1,36,1,34,1,37,1,27,1,26,1,25,1,2485,2,24,1,15,1,4093,2,24,1,568,1,8469,2,29,1,31,1,34,1,30,1,51,1,26,1,161,3,53,1,408,1,305,1,,,345,1,351,3,,,50,2,1109,1,25,2,,,271,1,,,129,1,2,1,504,1,50,1,198,1,539,1,33,2,,,575,2,58,1,213,1,40,1,27,1,2119,1,,,34,1,,,35,1,,,48,1,30,1,69,1,29,1,34,1,,,2345,3
1406,57225,2,34,2,,,,,,,,,23,17,,,,,10,3,,,,,,,,,,,,,304,3,,,,,,,,,,,,,,,71,6,,,,,,,203,11,,,10,2,257,3,5004,2,,,,,625,1,,,19598,3,17,2,4063,2,52,5,8,3,479,5,840,4,,,2420,4,27,1,,,,,4,2,,,,,,,,,,,470,6,,,,,2340,1,,,,,251,10,38,3,11,2,1928,2,,,,,,,11,4,2109,7,4562,2,,,4,3,16,4,,,,,,,,,,,,,,,10,3,,,,,,,87,6,,,,,,,,,,,,,,,,,70,5,,,,,,,,,,,,,1745,1,13,5,250,3,,,,,,,,,,,,,,,,,934,6,,,,,381,13,,,145,4,2759,6,,,,,,,7,3,11,2,,,1577,1,,,29,12,62,6,,,,,1030,1,,,,,489,3,,,,,,,,,,,,,,,,,,,102,7,,,,,167,4,,,,,,,,,108,6,,,,,,,10,3,,,,,,,,,,,6,3,,,1444,6
2223,51163,3,,,,,,,,,,,351,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25,,,,,,,511,3,,,,,,,1386,20,,,,,,,,,10851,7,,,3188,4,,,,,1756,3,1024,2,,,2045,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,,,145,9,,,,,,,,,10064,1,2957,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,1,,,,,,,,,,,6,7,,,,,93,4,,,,,,,,,,,,,521,13,,,340,2,,,,,,,,,,,,,,,,,4828,1,,,,,4256,1,,,,,3068,5,,,,,,,,,,,,,,,5,4,,,89,4,,,,,62,6,,,,,198,16,,,,,,,,,,,,,246,3,,,,,352,2,,,,,421,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,5
10816,38463,4,,,,,,,,,,,385,3,,,,,12,2,,,,,,,16,2,,,14,3,117,9,,,,,,,,,,,20,3,,,34,13,,,,,,,324,6,,,,,221,4,2735,10,,,,,66,9,,,14839,4,,,2929,6,82,4,,,452,6,369,7,,,2317,5,,,,,,,,,,,,,,,,,,,289,7,38,6,,,110,9,,,,,323,6,,,,,210,7,,,,,,,,,2238,4,2904,6,,,,,,,,,,,12,3,196,5,,,,,,,,,,,,,,,,,41,5,,,,,,,,,,,,,,,,,,,,,,,,,13,2,,,799,8,15,4,194,5,23,1,,,,,,,,,,,,,,,889,7,,,,,677,6,,,116,7,3315,4,,,,,,,,,,,,,77,4,,,129,3,,,,,,,,,,,,,478,4,,,,,,,,,8,4,,,,,,,17,2,94,8,,,,,120,8,,,,,,,,,180,5,,,,,,,11,2,,,,,,,,,,,,,,,15,118
2397,35092,5,22,3,12,2,,,17,2,,,633,2,,,,,7,4,97,2,,,4,3,,,,,7,4,439,2,,,,,15,4,,,51,2,27,2,,,61,7,,,7,2,7,2,409,4,,,10,3,427,2,3170,8,,,,,318,4,,,13050,5,16,3,2016,9,46,6,5,10,2649,1,219,15,,,1566,9,,,,,5,3,,,,,,,13,2,,,,,715,3,,,5,2,195,5,,,,,335,4,46,2,7,3,467,4,,,,,9,2,18,2,998,16,1543,11,,,,,,,79,3,20,2,,,33,21,7,2,,,,,17,2,,,,,7,2,64,7,61,4,,,,,,,39,2,11,4,,,,,17,8,,,,,,,,,,,,,406,17,9,7,233,4,,,,,7,3,,,,,,,10,2,,,868,8,7,2,,,661,7,,,,,1325,13,,,,,,,8,2,,,,,56,5,,,80,7,51,7,,,,,160,4,,,,,375,6,4,3,,,12,6,,,,,,,47,8,,,10,4,288,3,,,,,35,17,9,3,,,,,8,2,68,7,13,1,,,,,6,4,,,,,,,,,,,10,2,,,308,16
2093,26227,6,,,,,,,,,,,55,10,,,,,,,14,4,,,,,,,,,,,55,11,,,,,12,5,6,2,,,,,,,28,17,2,2,,,,,166,13,,,,,48,26,940,32,,,,,,,,,10742,8,7,13,1056,20,,,,,42,15,59,35,,,829,26,,,,,,,,,10,2,,,,,,,5,2,84,18,11,7,,,44,13,,,,,93,23,13,6,,,100,11,,,,,,,,,669,25,4696,1,,,8,2,33,2,,,2,3,,,177,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,,,,,,,,,,,,,271,24,,,50,21,,,,,,,,,,,,,,,,,283,26,,,,,411,12,,,,,1480,11,,,,,9,2,,,,,,,,,,,46,11,23,10,,,,,,,9,2,,,208,14,,,3,2,,,,,,,,,201,4,,,,,48,12,,,,,45,14,,,,,,,,,460,3,,,,,,,,,,,9,2,,,,,,,,,7,1,2629,2
50381,24003,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,17,,,,,,,,,,,20534,2,,,760,24,,,,,14,17,243,14,,,412,46,,,,,,,,,,,,,,,,,,,167,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1104,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,20,,,,,,,,,,,,,,,,,,,,,,,,,,,345,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22316,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,5,,,,,,,267,8,,,2,8,80,15,1569,17,,,,,16,12,,,10248,9,10,6,2399,7,,,4,11,,,,,5,2,1116,14,,,,,,,,,,,,,,,,,,,852,2,,,,,,,,,,,323,5,,,,,,,,,,,,,,,639,26,1486,12,,,,,,,,,,,,,111,9,,,,,,,,,,,,,,,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,110,8,11,76,15,,,,,,,,,,,,,,,,,582,15,,,,,502,11,,,142,5,950,17,,,,,,,,,,,,,,,,,24,13,78,5,,,,,91,5,,,,,228,12,,,,,,,,,,,,,,,,,,,26,23,,,,,,,,,,,,,,,21,12,,,,,,,,,,,,,,,,,,,,,,,350,14
29351,21697,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078,13,,,,,,,,,3570,38,,,158,55,129,2,,,,,87,29,,,80,124,,,,,,,,,,,,,,,,,,,178,11,,,,,,,,,,,30,30,15,5,,,,,,,,,,,,,,,104,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,3,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,40,,,,,,,,,,,,,,,,,,,,,533,16,,,,,,,,,,,12920,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,29,,,,,,,,,,,,,,,,,,,,,,,,,977,1,,,,,,,,,234,4,,,,,,,,,,,,,,,,,,,,,,,,
463,21499,10,,,8,3,,,,,,,,,,,,,,,10,5,,,,,,,,,,,24,13,,,,,,,,,2,6,,,,,21,22,,,,,,,215,10,,,,,52,21,1683,14,,,,,,,,,11704,6,8,9,,,13,14,6,7,41,16,130,26,,,856,25,,,,,,,,,,,,,,,,,,,71,21,,,,,28,14,,,,,97,22,,,,,40,14,,,,,,,,,746,20,1884,8,,,,,,,,,,,,,51,13,,,,,,,4,5,,,,,,,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,22,7,12,40,22,,,,,,,,,,,,,,,,,396,22,,,,,832,4,,,,,1345,12,,,,,,,,,,,,,,,,,,,13,15,,,,,22,8,,,,,135,20,,,,,,,,,,,,,37,9,,,,,32,19,,,,,49,13,,,,,,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,565,8
