,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,181,19965,9,3,,,,,,,,,132,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,113,8,2944,8,,,,,,,,,10824,9,,,1479,13,,,9,4,,,81,30,,,1037,18,,,,,,,,,,,,,,,,,,,136,10,,,,,369,4,,,,,93,21,,,,,,,,,,,,,,,242,37,154,43,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,44,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,16,,,61,15,,,,,,,,,,,,,,,,,,,,,242,26,,,,,108,30,,,,,772,19,,,,,,,,,,,,,329,2,,,,,,,,,1,4,,,,,,,183,13,,,,,,,,,,,,,14,13,,,,,26,14,,,,,29,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,30
11,12,320,19633,,,,,,,,,,,175,8,,,,,12,2,,,,,,,,,8,1,,,135,8,,,,,,,,,7,5,,,,,56,5,,,,,,,83,22,,,5,5,44,19,1303,17,,,,,366,4,,,7414,16,16,2,1317,14,24,7,,,37,13,191,12,,,1430,11,,,,,,,6,2,,,8,3,,,6,4,,,62,23,41,6,,,,,,,,,310,5,,,,,357,5,,,,,,,7,6,299,32,519,24,,,,,6,3,,,,,8,2,58,14,,,,,,,5,4,,,,,,,53,8,,,,,,,,,,,10,4,,,,,107,3,,,,,,,,,,,,,1098,7,9,7,58,17,,,,,,,12,2,,,,,,,,,,,,,1975,3,,,,,238,21,,,108,7,980,16,,,,,,,,,4,2,,,,,,,59,10,103,4,,,,,,,,,,,72,26,,,,,28,3,,,6,4,,,19,11,,,,,42,9,,,11,1,51,13,,,,,,,,,25,12,,,,,,,,,,,,,,,,,,,,,,,250,22
12,13,2243,19621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,13,,,,,,,,,,,,,,,5,54,,,,,,,,,,,,,,,4850,2,,,,,,,,,5877,20,,,,,,,,,,,,,,,2240,7,,,,,,,,,,,,,,,,,,,,,,,,,248,6,,,,,203,8,,,,,,,,,,,,,,,570,17,169,39,,,,,,,,,,,,,12,43,,,,,,,,,,,,,,,56,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,4,,,,,,,,,,,,,,,,,,,,,,,,,1007,6,,,,,708,8,,,37,10,1011,15,,,,,,,8,2,,,,,,,,,,,129,3,,,,,931,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,36
13,14,4815,18475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18475,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,25821,17847,,,,,,,,,,,361,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2735,10,,,,,,,,,1142,79,12,5,1508,12,,,,,,,,,,,4743,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816,5
15,16,1294,17794,,,,,,,,,,,46,12,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,21,,,,,,,,,,,,,50,17,2003,13,,,,,,,,,7430,15,8,8,814,20,,,,,,,132,20,,,3782,4,,,,,,,,,,,,,4,4,,,,,136,11,,,,,,,,,,,126,18,,,,,38,14,,,,,2,5,,,1342,6,,,,,,,,,,,,,,,54,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,466,14,,,39,26,,,,,,,3,4,,,,,,,,,,,,,53,43,,,,,,,,,,,853,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,15,,,,,,,,,,,,,,,,,,,17,21,,,,,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,24
16,17,13,16716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,11,,,,,,,136,14,,,2,8,41,20,1187,19,,,,,17,12,,,8094,13,10,7,1701,10,,,6,6,,,,,3,2,896,22,,,,,,,,,,,1,4,,,,,,,646,2,,,,,,,,,,,175,13,,,,,,,,,,,,,,,382,28,1203,11,,,,,,,,,,,,,107,9,,,,,,,,,,,,,,,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,114,12,2,43,22,,,,,,,,,,,,,,,,,,,,,286,23,,,,,276,19,,,45,9,821,18,,,,,,,,,,,,,,,,,11,19,60,7,,,,,102,5,,,,,116,17,,,,,,,,,,,,,,,,,,,13,26,,,,,,,,,,,,,,,15,14,,,,,,,,,,,,,,,,,,,,,,,264,20
17,18,2425,15700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,43,7,,,,,,,53,26,,,,,93,9,1184,21,,,,,,,,,4359,24,3,27,1160,17,,,4,11,81,11,263,7,,,930,21,,,,,,,,,,,,,,,,,,,113,14,,,,,,,,,,,196,9,,,,,,,,,,,,,,,705,16,782,18,,,,,,,,,,,,,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,22,,,,,,,,,,,,,,,,,,,,,,,,,583,11,,,,,864,4,,,247,3,3232,4,,,,,,,,,,,,,,,,,81,6,,,,,,,,,,,,,123,16,,,,,3,8,,,,,,,,,,,,,,,,,,,135,5,,,,,,,,,19,13,,,,,,,,,,,,,,,,,,,,,,,154,25
18,19,811,14059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,13,,,,,,,13,47,,,,,,,1093,23,,,,,,,,,3709,30,1,42,1961,8,,,,,,,145,17,,,1578,9,,,,,,,,,,,,,3,6,,,,,440,5,,,,,,,,,,,163,14,,,,,,,,,,,,,,,77,81,347,26,,,,,,,,,,,,,216,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622,2,,,41,25,,,,,,,,,,,,,,,,,,,,,366,16,,,,,878,3,,,139,4,287,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,7
19,20,2136,13833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,6,,,,,,,,,,,,,,,,,,,,,,,458,5,,,,,,,2831,9,,,,,,,,,4542,22,2,36,205,44,,,,,762,4,,,,,424,41,,,,,,,,,,,,,,,,,,,,,,,,,186,9,,,,,193,10,,,,,,,,,,,,,,,489,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,1305,6,,,,,,,,,,,,,,,,,,,,,,,,,1061,5,,,,,,,,,,,102,61,,,,,,,,,,,,,17,7,,,176,2,,,,,6,2,,,6,2,,,806,3,,,,,,,,,,,,,,,,,,,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,58
