,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,99547,243,1,20,1,17,1,23,1,16,1,2471,1,16,1,23,1,23,2,416,1,23,1,25,1,21,1,,,42,1,446,1,52,1,122,1,316,1,14,4,19,2,284,1,15,1,270,1,36,1,11,1,22,1,726,1,15,1,39,1,497,1,5344,1,11,1,16,1,436,3,9,1,28081,1,57,2,12935,1,394,1,36,1,2001,3,974,2,30,1,3966,1,,,32,1,14,1,20,1,11,2,12,1,47,1,64,1,11,1,,,1433,1,1665,1,27,1,333,3,15,1,8,1,1160,1,382,1,,,13,1,1166,2,21,1,9,1,26,1,71,1,3995,2,2775,3,13,1,24,2,16,3,386,1,446,1,70,1,450,2,13,1,,,25,1,43,1,19,1,20,1,17,1,10,1,232,3,202,1,8,1,9,2,,,71,2,118,1,132,1,601,1,351,2,12,1,26,1,16,1,16,1,31,1,9,1,885,7,21,1,427,2,8,1,,,13,1,12,1,13,1,12,1,7,1,16,1,,,22,1,2603,2,15,1,17,1,3880,2,19,1,10,1,331,1,5198,2,15,1,8,1,20,1,13,1,12,1,17,1,21,1,10,1,143,3,119,1,344,1,198,2,,,397,1,290,4,,,14,2,771,1,41,1,,,213,1,,,126,1,533,1,53,1,58,1,429,2,28,1,,,386,2,47,1,198,1,31,1,12,1,1768,1,,,15,1,,,22,1,,,31,1,17,1,15,1,19,1,20,1,,,2335,3
1,2,2223,63565,,,,,,,,,,,369,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,,,,,,,689,2,,,,,357,3,2317,11,,,,,,,,,12546,5,,,4536,2,,,,,2879,1,1134,1,,,3569,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3,,,,,184,8,,,,,,,,,13020,1,2374,6,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,569,1,,,,,,,,,,,25,3,,,,,45,6,,,,,,,,,,,,,729,11,,,603,1,,,,,,,,,,,,,,,,,,,,,4100,1,,,,,6060,1,,,,,,,1836,6,,,,,,,,,,,,,,,,,,,12,3,,,239,1,,,,,87,6,,,,,203,9,,,,,,,,,,,372,3,,,,,1806,1,,,,,297,4,,,,,,,,,471,4,,,,,,,,,,,5,9,,,,,,,,,,,2047,5
2,3,1406,48751,102,2,,,,,,,,,33,15,,,,,24,1,44,3,,,,,,,,,,,369,2,,,,,,,,,,,,,,,58,5,,,,,,,156,11,,,16,2,208,6,3023,8,,,,,623,1,,,21327,2,17,6,3513,3,77,4,21,2,341,6,581,5,,,2403,5,49,1,,,,,14,2,,,,,,,,,,,,,778,5,,,,,464,1,,,,,169,13,48,4,,,12,2,2206,1,,,,,,,15,5,2319,5,2304,7,,,17,3,13,4,,,,,,,,,,,,,,,10,3,,,,,,,,,106,4,29,8,,,,,,,,,,,,,,,52,5,,,,,,,,,,,,,1589,2,13,6,310,3,,,,,,,,,,,,,,,,,,,,,460,16,,,,,531,10,,,,,127,8,1683,8,,,,,,,,,,,16,2,13,2,,,334,1,,,45,12,73,5,,,,,327,3,,,,,452,5,,,,,,,,,,,,,,,,,65,11,,,,,113,8,11,4,,,,,,,140,8,,,,,,,16,2,,,12,4,,,,,,,9,3,,,871,12
3,4,10816,40432,,,,,,,,,,,322,6,,,,,12,3,,,,,,,17,2,,,16,2,125,9,,,,,,,,,,,22,3,,,42,13,,,,,,,264,8,,,,,233,5,3538,7,,,,,73,8,,,12267,6,,,3230,4,72,5,,,660,5,283,7,,,2292,6,,,,,,,,,,,,,,,,,,,,,492,6,37,6,,,154,6,,,,,455,3,,,,,,,313,5,,,,,,,,,2380,4,2500,5,,,,,,,,,,,13,3,362,5,,,,,,,,,,,,,,,,,,,78,2,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,879,8,11,7,179,6,,,18,1,,,,,,,,,,,,,,,,,1453,3,,,,,1026,4,,,,,169,5,3013,5,,,,,,,,,,,,,,,,,25,6,,,103,6,,,,,,,52,8,,,,,504,4,,,,,,,,,12,3,,,,,17,2,74,10,,,,,117,7,,,,,,,,,266,6,,,,,,,15,3,,,13,3,,,,,,,,,,,2222,4
4,5,2093,39299,,,,,,,,,,,87,9,,,,,,,23,4,,,,,,,,,,,167,6,,,,,16,4,27,1,,,,,,,41,14,14,2,,,,,91,17,,,,,87,14,1904,14,,,,,,,,,18522,3,46,3,1108,17,,,,,61,17,164,10,,,1455,10,,,,,,,,,16,1,,,,,,,11,2,,,116,19,23,7,,,71,12,,,,,113,18,20,6,,,,,143,10,,,,,,,,,821,17,5162,1,,,78,1,18,2,,,2,4,,,234,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,4,,,,,,,,,,,,,508,15,,,91,11,,,,,,,,,,,,,,,,,,,,,430,17,,,,,455,12,,,,,,,1563,10,,,,,12,2,,,,,,,,,,,,,,,66,11,20,12,,,,,,,26,1,,,177,13,,,13,1,,,,,,,388,2,,,,,85,6,,,,,153,5,,,,,,,,,586,3,,,,,,,,,,,19,2,,,,,,,,,19,1,3974,1
5,6,2397,33176,12,3,11,3,,,8,2,,,823,2,,,,,9,5,150,2,,,9,2,,,,,7,4,354,3,,,,,11,5,,,48,1,30,2,,,45,9,,,11,2,12,2,318,7,,,12,3,413,2,3975,4,,,,,385,4,,,11529,7,13,11,1785,10,23,11,17,3,2402,2,158,12,,,1461,9,,,,,12,2,,,,,,,14,3,,,,,,,967,3,,,10,2,128,9,,,,,279,7,100,2,,,12,3,29,13,,,,,5,3,27,2,1002,14,1338,10,,,,,,,63,2,22,2,,,39,21,7,2,,,,,12,2,,,,,12,3,6,2,49,7,34,7,,,,,,,92,1,9,5,,,,,12,10,,,,,,,,,,,,,594,14,14,4,273,4,,,,,,,7,3,,,,,,,7,2,,,,,489,13,3,2,,,511,11,,,,,,,1188,12,,,,,,,,,,,10,3,,,,,54,4,,,82,9,36,8,,,,,145,5,,,,,329,7,12,3,,,22,5,,,,,91,7,,,9,3,234,3,,,,,93,10,22,2,,,,,7,2,73,10,36,1,,,,,8,4,,,9,5,,,,,,,10,2,,,497,16
6,7,463,29376,,,13,2,,,,,,,,,,,,,,,9,6,,,,,,,,,,,37,13,,,,,,,,,8,4,,,,,43,11,,,,,,,336,4,,,,,99,11,2433,10,,,,,,,,,13801,4,8,18,1293,15,10,18,6,10,19,18,161,11,,,1420,12,,,,,,,,,,,,,,,,,,,,,139,14,,,,,30,14,,,,,101,20,,,,,,,63,11,,,,,,,,,1125,11,2812,2,,,,,,,,,,,,,117,8,,,,,,,6,7,,,,,,,,,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,17,8,10,69,15,,,,,,,,,,,,,,,,,,,,,509,12,,,,,1169,3,,,,,,,1650,9,,,,,,,,,,,,,,,,,,,,,,,13,14,,,,,32,11,,,,,166,15,,,,,,,,,,,76,9,,,,,48,13,,,,,93,9,,,,,,,,,47,12,,,,,,,,,,,,,,,,,,,,,,,999,9
7,8,2181,22213,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,190,5,,,,,,,,,,,,,,,31,18,,,,,,,163,10,,,,,131,9,1738,16,,,,,214,5,,,6476,13,13,10,1036,20,147,2,11,6,,,703,3,,,1306,14,,,,,,,,,,,,,,,,,,,,,230,9,,,,,77,10,,,,,195,12,,,,,,,318,4,,,,,,,16,4,836,16,1393,9,,,,,,,20,3,,,,,57,13,,,,,,,,,,,,,,,4,3,35,8,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,12,14,3,196,5,,,,,,,,,,,,,,,,,,,,,1381,4,,,,,296,16,,,,,134,6,1817,7,,,,,,,,,,,5,4,,,,,30,5,,,68,10,26,10,,,,,38,10,10,2,,,746,2,,,,,,,,,,,123,6,,,,,135,5,,,,,136,6,18,3,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,,,933,10
8,9,29351,19212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,111,15,,,,,,,3685,5,,,,,,,,,3387,28,,,222,48,134,3,,,,,107,25,,,372,45,,,,,,,,,,,,,,,,,,,,,336,7,,,,,,,,,,,38,25,30,5,,,,,,,,,,,,,,,,,125,47,,,,,,,,,,,,,18,48,,,,,,,,,,,,,,,,,380,2,63,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,27,,,,,,,,,,,,,,,,,,,,,,,,,706,8,,,,,,,,,,,,,7998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,36,,,,,,,,,,,,,,,,,,,,,,,732,1,,,,,,,,,392,5,,,,,,,,,,,,,,,,,,,,,,,91,44
9,10,2243,18888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,11,,,,,,,,,,,,,,,8,50,,,,,,,,,,,,,,,5276,2,,,,,,,,,5202,17,,,,,,,,,,,,,,,1939,7,,,,,,,,,,,,,,,,,,,,,,,,,,,143,8,,,,,212,10,,,,,,,,,,,,,,,,,881,15,201,34,,,,,,,,,,,,,20,44,,,,,,,,,,,,,,,,,49,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,4,,,,,,,,,,,,,,,,,,,,,,,,,1220,5,,,,,586,8,,,,,26,10,766,16,,,,,,,,,,,4,5,,,,,,,,,,,94,3,,,,,822,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,42
