bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
50381,18715,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17761,2,,,,,,,,,12,14,132,13,,,,,,,,,,,,,,,,,,,,,105,12,,,,,,,,,,,,,,,,,,,,,,,,,,,705,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,17927,12,4,4,,,,,,,,,326,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,,,,,,,,,,,,,151,5,1680,14,,,,,,,,,9550,11,,,1598,8,,,3,11,,,88,18,,,1076,14,,,,,,,,,,,,,,,,,126,10,,,,,253,3,,,,,196,11,,,,,,,,,,,,,,,162,46,149,41,,,,,,,,,,,,,,,,,,,6,7,,,,,,,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,15,,,106,10,,,,,,,,,,,,,265,24,,,,,107,25,,,,,1095,18,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,220,7,,,,,,,,,,,16,12,,,,,114,15,,,,,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,30
320,17119,13,,,,,,,,,,,186,7,,,,,,,,,,,,,,,150,6,,,,,,,,,12,3,,,,,66,3,,,,,,,154,10,,,9,4,45,18,1189,18,,,,,484,4,,,6884,16,23,2,1055,15,41,6,,,,,148,9,,,1535,9,,,,,9,3,,,7,2,,,12,2,,,63,23,80,3,,,,,,,,,236,7,,,,,357,5,,,,,,,15,3,166,43,459,22,,,16,4,,,,,11,3,41,23,,,,,,,14,4,,,,,,,22,10,,,,,,,,,10,5,,,,,49,5,,,,,,,,,,,,,612,9,72,1,65,17,,,1,7,,,,,,,,,552,10,,,,,186,19,,,75,7,1243,13,,,,,,,,,9,3,,,,,,,59,8,56,3,,,,,,,,,,,64,31,,,,,12,5,10,4,,,30,9,,,,,121,14,,,18,1,38,13,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,306,17
822,16753,14,,,,,,,,,,,,,,,,,,,,,,,,,,,26,12,,,,,,,,,,,,,,,21,20,,,,,,,,,,,5,7,15,37,1250,17,,,,,,,,,10231,9,6,16,584,23,,,,,,,198,5,,,425,36,,,,,,,,,,,,,,,,,33,31,,,,,,,,,,,161,14,,,,,,,,,,,,,,,499,22,612,19,,,,,,,,,,,46,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,13,6,15,159,7,,,,,,,,,,,,,618,8,,,,,93,28,,,,,579,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,9,,,,,,,,,,,,,,,,,,,,,,,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,14
13,15558,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,5,,,,,,,134,12,,,5,6,40,21,1096,20,,,,,,,,,7720,13,3,33,1298,11,,,5,10,,,,,4,2,643,26,,,,,,,,,,,,,,,,,264,5,,,,,,,,,,,191,12,,,,,,,,,,,,,,,337,25,1431,10,,,,,,,,,,,123,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,127,12,5,47,23,,,,,,,,,,,,,395,15,,,,,256,12,,,32,9,904,22,,,,,,,,,,,,,,,,,17,14,18,9,,,,,50,4,,,,,138,17,,,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,305,18
2243,15109,16,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,,,,,,,,,,,,,,,7,44,,,,,,,,,,,,,,,3183,7,,,,,,,,,5793,20,,,,,,,,,,,,,,,1472,10,,,,,,,,,,,,,,,,,,,,,,,43,11,,,,,134,18,,,,,,,,,,,,,,,510,20,214,34,,,,,,,,,,,13,46,,,,,,,,,,,,,,,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732,5,,,,,,,,,,,,,,,,,890,5,,,,,438,9,,,15,10,1140,15,,,,,,,7,5,,,,,,,,,,,39,5,,,,,367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54
2425,14254,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,28,15,,,,,,,,,,,,,80,11,984,27,,,,,,,,,4724,24,6,20,1240,13,,,6,7,106,8,133,11,,,1263,13,,,,,,,,,,,,,,,,,104,13,,,,,,,,,,,17,34,,,,,,,,,,,,,,,587,14,844,14,,,,,,,,,,,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,22,,,,,,,,,,,,,,,,,387,16,,,,,542,8,,,113,4,2403,9,,,,,,,,,,,,,,,,,49,10,,,,,,,,,,,,,185,10,,,,,,,,,,,,,,,,,,,,,,,55,10,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,,,145,33
1294,13268,18,,,,,,,,,,,70,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,23,,,,,,,,,,,,,60,16,852,30,,,,,,,,,7337,14,4,29,639,21,,,,,,,103,16,,,1441,11,,,,,,,,,,,,,,,,,216,7,,,,,,,,,,,144,16,,,,,34,13,,,,,3,6,,,706,7,,,,,,,,,,,,,90,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,438,14,,,72,16,,,5,5,,,,,,,,,49,53,,,,,,,,,,,597,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,11,,,,,,,,,,,,,,,,,38,25,,,,,5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,29
25821,12862,19,,,,,,,,,,,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029,9,,,,,,,,,4,958,14,3,,,,,,,,,,,,,3118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5292,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,2,,,,,,,,,,,,,,,,,,,,,,,20,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,10747,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80,,,,,,,,,,,,,41,20,790,33,,,,,,,,,7986,12,5,24,243,39,,,,,,,29,39,,,832,20,,,,,,,,,,,,,,,,,84,16,,,,,,,,,,,8,47,,,,,,,,,,,,,,,193,36,,,,,,,,,,,,,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,39,,,,,,,,,,,,,,,,,39,57,,,,,,,,,,,169,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,,,,,,,,,,,,,,,,,,,,,,,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,31
