bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
463,20571,11,,,7,3,,,,,,,,,,,,,,,4,5,,,,,,,,,34,14,,,,,,,,,10,4,,,,,19,17,,,,,,,237,7,,,,,47,16,2004,12,,,,,,,,,10911,7,4,17,,,22,12,4,8,,,133,14,,,,,,,,,,,,,,,,,,,,,,,87,17,,,,,30,14,,,,,121,17,,,,,31,14,,,,,,,,,902,10,1805,8,,,,,,,,,,,,,33,18,,,,,,,4,8,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,16,7,8,51,12,,,,,,,,,,,,,,,,,,,380,14,,,,,818,4,,,,,1615,9,,,,,,,,,,,,,,,,,,,22,11,,,,,10,11,,,,,133,15,,,,,,,,,,,49,9,,,,,27,23,,,,,51,10,,,,,,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,578,10
25821,19444,12,,,,,,,,,,,209,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3107,7,,,,,,,,,1033,85,7,8,2011,9,,,,,,,,,,,5217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3842,1
181,16593,13,13,3,,,,,,,,,244,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,14,,,,,,,,,,,,,94,10,1629,15,,,,,,,,,8137,11,,,1957,10,,,1,15,,,58,28,,,1133,15,,,,,,,,,,,,,,,,,,,199,9,,,,,207,5,,,,,121,16,,,,,,,,,,,,,,,290,33,180,40,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,14,,,48,15,,,,,,,,,,,,,,,,,,,228,23,,,,,201,22,,,,,798,18,,,,,,,,,,,,,154,2,,,,,,,,,2,2,,,,,,,160,11,,,,,,,,,,,17,13,,,,,45,11,,,,,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,23
320,16472,14,,,,,,,,,,,141,8,,,,,,,,,,,,,11,1,,,71,10,,,,,,,,,9,5,,,,,60,5,,,,,,,90,15,,,9,2,46,18,1262,19,,,,,188,6,,,6801,17,18,2,1236,17,44,9,,,31,17,212,8,,,1128,16,,,,,,,9,2,,,10,2,,,8,4,,,79,19,51,6,,,,,,,,,242,6,,,,,432,5,,,,,,,8,4,226,41,309,29,,,,,11,3,,,,,9,3,73,10,,,,,,,11,3,,,,,,,33,9,,,,,,,,,9,4,,,,,53,4,,,,,,,,,,,,,709,9,15,3,42,19,,,,,,,,,,,,,,,,,,,900,5,,,,,211,20,,,59,8,968,14,,,,,,,,,5,3,,,,,,,91,5,63,6,,,,,,,,,,,60,29,,,,,6,8,,,5,4,37,10,,,,,34,16,,,14,1,35,12,,,,,,,,,46,10,,,,,,,,,,,,,,,,,,,,,,,242,22
1294,16146,15,,,,,,,,,,,61,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,,,,,,,,,,,,,72,12,848,28,,,,,,,,,7716,13,6,10,821,22,,,,,,,88,23,,,3365,4,,,,,,,,,,,,,7,3,,,,,160,10,,,,,,,,,,,131,14,,,,,72,12,,,,,5,3,,,1162,7,,,,,,,,,,,,,,,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,,,,,,,,,,,,,325,17,,,27,26,,,,,5,3,,,,,,,,,,,,,78,36,,,,,,,,,,,638,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,10,,,,,,,,,,,,,,,,,27,24,,,,,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,21
13,15592,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,8,,,,,,,100,14,,,4,8,46,17,1011,24,,,,,7,11,,,7584,15,5,11,1654,11,,,4,7,,,,,2,2,645,25,,,,,,,,,,,,,,,,,,,615,3,,,,,,,,,,,191,10,,,,,,,,,,,,,,,399,28,1127,13,,,,,,,,,,,,,89,9,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,121,5,10,43,17,,,,,,,,,,,,,,,,,,,253,20,,,,,272,17,,,31,10,845,17,,,,,,,,,,,,,,,,,12,13,40,8,,,,,49,7,,,,,98,18,,,,,,,,,,,,,,,,,37,14,,,,,,,,,,,,,,,16,14,,,,,,,,,,,,,,,,,,,,,,,366,18
50381,14383,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,,,,,,,,,,,12853,5,,,79,70,,,,,14,19,115,20,,,193,64,,,,,,,,,,,,,,,,,,,159,11,,,,,,,,,,,,,,,,,,,,,,,,,,,649,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,13292,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,27,,,,,,,90,16,,,5,7,32,25,839,29,,,,,,,,,566,121,11,5,610,25,57,6,,,,,104,22,,,508,32,,,,,,,,,,,,,,,,,,,,,,,,,56,12,,,,,,,,,,,,,,,,,,,,,493,25,2062,6,,,,,,,,,,,,,2735,1,,,,,,,,,,,,,,,,,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,422,12,,,,,,,,,,,,,,,,,,,,,,,259,19,,,,,385,11,,,,,738,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,2
811,12650,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,,,,,,,15,37,,,,,,,1453,18,,,,,,,,,4043,25,,,2437,6,,,,,,,65,27,,,1273,13,,,,,,,,,,,,,1,8,,,,,442,5,,,,,,,,,,,116,18,,,,,,,,,,,,,,,101,69,269,30,,,,,,,,,,,,,268,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,5,,,25,27,,,,,,,,,,,,,,,,,,,327,17,,,,,490,10,,,80,6,305,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,12476,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,9,36,,,,,,,42,18,,,,,64,13,968,25,,,,,,,,,3574,27,5,14,1249,16,,,7,4,101,10,146,12,,,1505,11,,,,,,,,,,,,,,,,,,,107,13,,,,,,,,,,,98,19,,,,,,,,,,,,,,,595,18,718,17,,,,,,,,,,,,,14,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,26,,,,,,,,,,,,,,,,,,,,,,,186,25,,,,,639,8,,,97,5,1796,8,,,,,,,,,,,,,,,,,44,10,,,,,,,,,,,,,90,20,,,,,10,6,,,,,,,,,,,,,,,,,47,11,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,,,,,,169,26
