bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,121344,1,294,1,41,1,27,1,27,1,32,1,2498,1,21,1,22,1,36,1,610,1,22,1,24,1,34,1,,,50,1,407,2,40,1,93,1,336,1,17,1,60,1,217,1,18,1,303,1,18,1,21,1,19,1,807,1,20,1,40,1,523,2,6254,1,14,1,21,1,492,3,,,30888,1,47,1,18239,1,461,1,52,1,2010,2,1497,1,30,1,4259,2,,,23,1,34,1,27,1,31,1,17,1,85,1,238,1,28,1,1285,1,2195,1,31,1,405,1,21,1,28,1,1017,1,208,1,25,1,2118,1,18,1,42,1,34,1,77,1,3637,2,3120,2,22,1,30,1,24,2,410,1,369,1,100,1,345,4,33,1,,,39,1,78,1,33,1,32,1,17,1,324,2,242,1,17,1,,,84,1,98,1,156,1,907,1,135,2,27,1,14,1,21,1,26,1,33,1,20,1,1307,3,25,1,458,1,,,17,1,28,1,18,1,20,1,18,1,22,1,,,35,1,2629,1,23,1,18,1,4164,1,19,1,631,1,12325,2,16,1,14,1,26,1,24,1,23,1,18,1,163,2,87,1,436,1,280,1,,,270,1,309,3,,,29,3,1133,1,29,2,,,254,1,,,79,2,3,1,732,1,40,1,113,1,589,1,29,1,,,421,2,52,1,145,1,39,1,20,1,2252,1,,,23,1,,,25,1,,,19,2,27,1,16,1,22,1,58,1,,,2451,2
1406,50024,2,45,2,,,,,,,,,15,16,,,,,22,3,,,,,,,,,,,,,257,4,,,,,,,,,,,,,,,82,2,,,,,,,159,10,,,14,3,241,4,3750,7,,,,,511,2,,,22283,2,17,3,3705,2,60,5,23,2,344,5,746,4,,,3588,3,57,1,,,,,13,2,,,,,,,,,,,402,5,,,,,273,2,,,,,179,11,23,3,15,2,1665,2,,,,,,,12,2,1428,5,2257,5,,,13,3,21,3,,,,,,,,,,,,,,,19,2,,,,,,,71,6,,,,,,,,,,,,,,,69,3,,,,,,,,,,,,,1393,1,14,5,245,3,,,,,,,,,,,,,,,,,,,606,8,,,,,545,11,,,78,7,2089,6,,,,,,,17,2,12,2,,,311,1,,,32,12,39,8,,,,,326,2,,,,,468,4,,,,,,,,,,,,,,,,,,,110,8,,,,,99,6,,,,,,,,,104,6,,,,,,,13,3,,,,,,,,,,,12,2,,,1132,7
10816,41267,3,,,,,,,,,,,411,3,,,,,32,2,,,,,,,30,2,,,32,3,154,6,,,,,,,,,,,39,2,,,43,7,,,,,,,289,7,,,,,185,5,2902,8,,,,,49,8,,,17444,3,,,2704,4,138,4,,,279,6,380,5,,,2154,7,,,,,,,,,,,,,,,,,,,385,6,119,4,,,135,7,,,,,313,4,,,,,506,6,,,,,,,,,1485,4,2510,3,,,,,,,,,,,88,2,931,3,,,,,,,,,,,,,,,,,64,4,,,,,,,,,,,,,,,,,,,,,,,22,2,,,832,9,20,2,179,6,23,1,,,,,,,,,,,,,,,,,767,6,,,,,674,7,,,93,6,3600,4,,,,,,,,,,,,,75,4,,,80,5,,,,,,,,,,,,,561,3,,,,,,,,,83,1,,,,,,,21,2,132,6,,,,,122,4,,,,,,,,,154,5,,,,,,,16,2,,,,,,,,,,,,,,,12,130
2223,40195,4,,,,,,,,,,,397,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,,,,,,,605,2,,,,,,,1599,16,,,,,,,,,10705,8,,,3088,3,,,,,1057,3,1050,2,,,2871,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,148,10,,,,,,,,,4377,1,1863,7,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,432,1,,,,,,,,,7,4,,,,,40,4,,,,,,,,,,,,,437,13,,,334,2,,,,,,,,,,,,,,,,,,,2253,2,,,,,3874,2,,,,,1856,8,,,,,,,,,,,,,,,13,3,,,81,2,,,,,60,6,,,,,222,10,,,,,,,,,,,,,240,3,,,,,262,4,,,,,306,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,4
2397,35499,5,1,5,7,3,,,7,2,,,583,2,,,,,6,5,106,2,,,13,2,,,,,11,4,561,1,,,,,12,4,,,50,2,29,3,,,40,8,,,8,2,2,2,236,8,,,8,5,589,1,3826,6,,,,,343,5,,,13222,5,8,10,2000,6,36,6,3,13,2373,1,260,7,,,1565,8,,,,,6,3,,,,,,,8,2,,,,,824,2,,,8,2,153,5,,,,,338,3,24,2,9,3,535,5,,,,,6,3,10,4,748,8,1620,10,,,,,,,33,3,18,2,,,27,26,11,2,,,,,10,3,,,,,3,4,76,5,41,7,,,,,34,2,5,6,,,,,9,8,,,,,,,,,,,,,388,14,12,6,240,4,,,,,3,4,,,,,,,2,2,,,,,560,10,7,2,,,801,5,,,,,1396,12,,,,,,,5,6,,,,,32,6,,,53,9,63,3,,,,,91,4,,,,,339,5,18,3,,,10,6,,,,,,,48,7,,,12,4,286,2,,,,,39,15,6,3,,,,,9,2,71,7,10,1,,,,,8,4,,,,,,,,,,,9,3,,,520,11
2093,26317,6,,,,,,,,,,,48,10,,,,,,,15,3,,,,,,,,,,,36,11,,,,,11,5,14,2,,,,,,,30,12,10,2,,,,,131,13,,,,,76,13,909,33,,,,,,,,,10599,9,14,5,1774,7,,,,,53,14,102,24,,,929,21,,,,,,,,,13,2,,,,,,,10,2,69,19,17,7,,,38,13,,,,,130,20,9,6,,,104,11,,,,,,,,,563,18,3700,1,,,15,2,,,,,,,,,208,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,5,,,,,,,,,,,,,328,16,,,46,20,,,,,,,,,,,,,,,,,,,237,26,,,,,320,17,,,,,1832,9,,,,,12,2,,,,,,,,,,,35,11,27,10,,,,,,,12,1,,,304,6,,,9,2,,,,,,,,,325,2,,,,,43,13,,,,,43,14,,,,,,,,,602,2,,,,,,,,,,,26,1,,,,,,,,,12,1,2442,3
29351,25138,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2668,11,,,,,,,,,3880,29,,,119,59,172,3,,,,,79,27,,,129,84,,,,,,,,,,,,,,,,,,,258,8,,,,,,,,,,,42,25,11,5,,,,,,,,,,,,,,,99,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,3,144,2,,,,,,,,,,,,,,,,,,,,,,,,,,,136,35,,,,,,,,,,,,,,,,,,,,,,,472,12,,,,,,,,,,,15177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,38,,,,,,,,,,,,,,,,,,,,,,,,,1153,1,,,,,,,,,262,4,,,,,,,,,,,,,,,,,,,,,,,,
2181,24653,8,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,272,3,,,,,,,,,,,,,,,38,9,,,,,,,176,9,,,,,268,3,2054,12,,,,,450,4,,,7670,13,10,7,1212,15,255,2,5,8,,,218,9,,,1266,10,,,,,,,,,,,,,,,,,,,321,7,,,,,115,9,,,,,232,8,,,,,558,4,,,,,,,11,3,73,83,1176,13,,,,,,,40,2,,,,,38,18,,,,,,,,,,,,,10,2,46,8,46,5,,,,,,,,,,,,,,,,,,,,,,,,,,,998,5,15,4,211,5,,,,,,,,,,,,,,,,,,,1632,3,,,,,360,16,,,219,2,1968,7,,,,,,,10,3,,,,,49,5,,,74,6,29,9,,,,,,,11,2,,,867,2,,,,,,,,,,,,,148,5,,,,,154,5,,,,,113,5,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,6
1294,22564,9,,,,,,,,,,,34,12,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11,,,,,,,,,,,,,66,14,1076,27,,,,,,,,,13570,4,4,18,909,20,,,,,,,169,12,,,3289,4,,,,,,,,,,,,,2,5,,,,,120,14,,,,,,,,,,,170,12,,,,,64,12,,,,,2,6,,,1058,6,,,,,,,,,,,,,,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,543,11,,,39,23,,,,,1,6,,,,,,,,,,,,,75,36,,,,,,,,,,,676,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,11,,,,,,,,,,,,,,,,,,,37,16,,,,,9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,14
463,21436,10,,,7,2,,,,,,,,,,,,,,,6,5,,,,,,,,,,,13,15,,,,,,,,,5,6,,,,,20,20,,,,,,,301,5,,,,,57,15,1649,15,,,,,,,,,11444,7,5,15,,,9,16,7,4,27,16,123,20,,,877,22,,,,,,,,,,,,,,,,,,,81,18,,,,,32,14,,,,,134,19,,,,,30,14,,,,,,,,,717,10,1707,9,,,,,,,,,,,,,94,11,,,,,,,6,5,,,,,,,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,20,5,11,41,22,,,,,,,,,,,,,,,,,,,379,17,,,,,850,4,,,,,1583,11,,,,,,,,,,,,,,,,,,,16,11,,,,,15,9,,,,,121,18,,,,,,,,,,,,,35,8,,,,,33,22,,,,,44,13,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,,,657,9
