,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,2223,110434,,,,,,,,,,,1382,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,7,,,,,,,1741,1,,,,,235,3,3179,9,,,,,,,,,,,31208,1,,,6415,2,,,,,3463,1,1288,1,,,,,7698,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2,,,,,219,8,,,,,,,,,13830,1,4824,2,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,127,3,,,,,,,,,,,20,5,,,,,120,4,,,,,,,,,,,,,1554,5,,,564,1,,,,,,,,,,,,,,,,,,,,,7154,1,,,,,12302,1,,,,,,,3254,6,,,,,,,,,,,,,,,,,,,13,3,,,507,1,,,,,99,8,,,,,390,7,,,,,,,,,,,,,788,1,,,,,,,3236,1,,,,,367,2,,,,,,,,,1920,1,,,,,,,,,,,5,10,,,,,,,,,,,2350,6
1,2,171,100396,85,1,22,1,34,1,20,1,23,1,2734,1,23,1,20,1,25,1,17,4,5,1,10,1,337,1,20,1,26,1,19,2,,,40,1,456,2,195,1,191,1,613,1,42,1,25,2,243,1,17,1,159,2,19,1,12,1,35,1,602,4,16,1,24,1,304,2,6610,1,13,1,14,1,17,1,473,4,18,1,28044,2,57,1,10412,1,339,1,34,1,2187,3,897,2,12,1,33,1,3845,4,,,13,1,20,1,21,1,18,1,15,1,15,1,30,1,169,1,19,1,,,1552,1,1358,1,90,1,325,4,8,1,16,1,1046,1,187,1,,,25,1,2005,3,18,1,14,1,16,1,67,1,3525,3,3866,3,13,1,22,1,20,2,360,1,166,1,91,1,318,2,15,1,14,1,35,1,51,1,17,1,17,1,27,1,22,1,190,2,156,1,15,1,15,2,15,2,56,2,767,1,58,1,725,1,479,2,17,1,45,1,22,1,25,1,33,1,10,1,1027,8,25,1,434,2,13,1,,,21,1,14,2,20,1,20,1,11,1,20,1,,,16,1,2011,2,19,1,21,1,4035,2,20,1,19,1,304,2,4939,3,21,1,23,1,23,1,12,1,24,1,15,2,14,1,10,1,118,3,127,1,309,1,211,2,,,178,1,254,3,,,16,3,1120,2,39,2,,,174,1,,,339,1,19,1,500,3,15,1,25,1,65,1,796,4,20,1,,,275,3,71,1,192,1,23,1,19,1,1855,2,,,14,1,,,17,2,,,35,1,12,1,11,1,20,1,17,1,,,2707,4
2,3,1406,53346,48,2,,,,,,,,,40,20,,,,,,,20,2,,,,,64,3,,,,,,,,,,,238,3,,,,,,,,,,,,,,,55,9,,,,,,,162,13,,,9,5,195,4,3228,8,,,,,,,528,3,,,20966,3,17,3,3364,5,43,6,8,7,465,6,704,3,,,,,3280,6,37,1,,,,,7,2,,,,,,,,,,,,,,,1054,3,,,,,408,3,,,,,224,8,44,4,,,14,3,2618,2,,,,,,,19,4,2636,5,2841,5,,,14,2,10,3,,,,,,,98,11,,,,,,,7,5,,,,,,,,,55,7,31,9,,,,,,,,,,,,,,,92,5,,,,,,,,,,,,,1736,3,13,5,258,3,,,,,,,32,1,,,,,,,,,,,,,476,14,,,,,642,11,,,,,94,7,2844,7,,,,,,,,,,,11,3,9,2,,,679,1,,,32,12,53,8,,,,,222,4,,,,,579,6,,,,,,,,,,,,,,,,,,,,,112,11,,,,,144,7,6,4,,,,,,,358,9,,,,,,,4,4,,,7,7,,,,,,,12,3,,,1380,8
3,4,10816,50573,,,,,,,,,,,393,6,,,,,,,34,1,,,,,,,,,,,29,1,,,34,2,145,7,,,,,,,,,,,30,2,,,93,5,,,,,,,325,7,,,,,158,6,4176,6,,,,,,,126,7,,,12285,7,,,4306,3,87,4,,,550,5,311,7,,,,,3278,7,,,,,,,,,,,,,,,,,,,,,,,367,6,58,5,,,251,5,,,,,474,4,,,,,,,494,4,,,,,,,,,3047,4,2581,7,,,,,,,,,,,35,2,227,5,,,,,,,,,,,,,,,,,,,79,2,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,1057,7,23,2,217,5,,,28,1,,,,,,,,,,,,,,,,,1790,4,,,,,1926,3,,,,,177,5,7243,2,,,,,,,,,,,,,,,,,31,5,,,87,5,,,,,,,108,6,,,,,368,8,,,,,,,,,,,,,,,,,,,22,2,325,6,,,,,151,6,,,,,,,,,409,7,,,,,,,25,1,,,32,2,,,,,,,,,,,2556,5
4,5,2397,49492,17,3,17,2,,,18,2,,,1371,3,,,,,,,19,3,,,,,175,2,,,9,3,,,,,12,4,553,1,,,,,24,5,,,26,1,23,3,,,86,6,,,10,2,6,2,326,6,,,12,3,664,1,5346,3,,,,,,,820,2,,,17146,4,11,9,3075,6,33,7,14,2,3334,2,242,8,,,,,2691,9,,,,,10,3,,,,,,,,,15,2,,,,,,,1326,2,,,12,2,167,8,,,,,316,7,84,3,,,16,2,29,13,,,,,7,2,31,2,1464,6,2759,6,,,,,,,104,2,23,2,,,39,26,15,2,,,,,26,2,,,,,15,2,15,2,59,6,44,5,,,,,,,89,1,13,6,,,,,19,9,,,,,,,,,,,,,732,12,12,7,243,4,,,,,,,10,3,,,,,,,9,3,,,,,626,10,11,2,,,717,8,,,,,,,1464,10,,,,,,,,,,,597,1,,,,,76,4,,,85,6,83,5,,,,,125,5,,,,,649,4,15,3,,,24,4,,,,,,,68,8,,,,,10,4,395,5,,,,,119,8,29,2,,,,,13,2,109,13,16,1,,,,,9,3,,,13,3,,,,,,,14,2,,,442,19
5,6,2093,35862,,,,,,,,,,,98,15,,,,,,,,,,,,,9,5,,,,,,,,,,,48,14,,,,,7,6,7,3,,,,,,,53,10,5,2,,,,,107,20,,,,,47,20,1297,23,,,,,,,,,,,13913,6,7,14,1679,17,,,,,78,14,424,6,,,,,1083,17,,,,,,,,,9,2,,,,,,,,,8,2,,,106,19,13,7,,,44,13,,,,,91,19,11,7,,,,,123,10,,,,,,,,,636,19,7093,1,,,13,3,7,4,,,5,4,,,218,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,6,,,,,,,,,,,,,466,16,,,62,12,,,,,,,,,,,,,,,,,,,,,449,15,,,,,706,9,,,,,,,1433,11,,,,,10,2,,,,,,,,,,,,,,,36,11,16,12,,,,,,,3,3,,,166,16,,,7,2,,,,,,,,,442,4,,,,,,,71,13,,,,,86,11,,,,,,,,,831,5,,,,,,,,,,,8,5,,,,,,,,,4,3,3758,1
6,7,2243,29346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,16,,,,,,,,,,,,,,,14,35,,,,,,,,,,,,,,,5999,2,,,,,,,,,,,8392,13,,,,,,,,,,,,,,,,,3566,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,6,,,,,176,12,,,,,,,,,,,,,,,,,958,13,2377,9,,,,,,,,,,,,,51,20,,,,,,,,,,,,,,,,,61,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464,1,,,,,,,,,,,2,8,,,,,,,,,,,,,1842,3,,,,,685,10,,,,,53,10,1121,14,,,,,,,,,,,5,5,,,,,,,,,,,180,3,,,,,848,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,25
7,8,2162,27413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,8,51,,,,,,,153,15,,,,,30,27,1573,19,,,,,,,,,,,15131,5,,,1008,22,,,,,,,134,19,,,,,1071,18,,,,,6,5,,,,,,,,,,,,,,,,,28,41,,,,,,,,,,,201,9,,,,,,,10,16,,,,,,,5,8,669,18,280,39,,,,,,,5,4,,,,,59,18,,,,,,,,,,,,,,,,,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,43,5,14,,,,,,,,,,,,,,,,,,,,,,,697,8,,,,,255,20,,,,,17,13,4079,4,,,,,,,,,,,,,,,,,8,9,,,,,4,19,,,,,31,14,,,,,170,15,,,,,,,,,,,,,,,,,,,,,43,17,,,,,106,9,,,,,,,,,140,12,,,,,,,,,,,,,,,,,,,,,,,1339,9
8,9,2181,25688,,,,,,,,,,,125,12,,,,,,,,,,,,,,,,,13,2,,,,,,,236,4,,,,,,,,,,,,,,,184,1,,,,,,,167,12,,,,,152,7,1754,17,,,,,,,297,5,,,6822,18,16,4,2128,11,97,3,12,5,,,171,11,,,,,1244,15,,,,,,,,,,,,,,,,,,,,,,,262,8,,,,,99,11,,,,,316,6,,,,,,,271,6,,,,,,,25,3,1346,7,940,18,,,,,,,103,3,,,,,47,22,,,,,,,,,,,,,,,12,3,32,9,51,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,15,14,3,115,8,,,,,,,,,,,,,,,,,,,,,1406,5,,,,,363,16,,,,,178,4,2362,9,,,,,,,,,,,11,4,,,,,29,6,,,75,9,82,6,,,,,51,13,8,2,,,1284,1,,,,,,,,,,,,,210,6,,,,,,,288,7,,,,,253,4,23,3,,,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,1457,7
9,10,811,24356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,3,,,,,,,19,41,,,,,,,2415,13,,,,,,,,,,,8316,14,6,20,2345,8,,,,,,,134,18,,,,,2513,11,,,,,,,,,,,,,,,6,4,,,,,,,614,5,,,,,,,,,,,174,13,,,,,,,,,,,,,,,,,177,47,414,25,,,,,,,,,,,,,181,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844,2,,,27,26,,,,,,,,,,,,,,,,,,,,,543,13,,,,,557,12,,,,,354,1,348,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3218,2
