,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,116508,176,1,45,1,52,1,47,1,33,1,2973,1,40,1,29,1,74,1,505,1,47,1,33,1,42,1,,,72,1,602,1,200,1,194,1,492,1,32,1,46,1,361,1,40,1,312,1,37,1,26,1,39,1,934,2,33,1,98,1,442,2,5731,1,30,1,36,1,36,1,548,3,33,1,30229,1,72,1,11794,1,1052,1,116,1,1932,3,1206,2,25,1,37,1,5116,3,,,49,1,33,1,53,1,32,1,31,1,50,1,45,1,128,1,32,1,,,2108,1,1841,1,126,1,444,1,43,1,39,1,1129,1,345,1,,,37,1,1667,2,40,1,38,1,48,1,108,1,4658,2,2765,5,45,1,47,1,36,2,451,1,557,1,195,1,378,3,33,1,,,103,1,77,1,46,1,39,1,42,1,33,1,376,1,334,1,33,1,30,1,33,2,113,1,200,1,103,1,2227,1,280,2,31,1,50,1,33,1,43,1,57,1,34,1,1103,6,39,1,561,2,27,1,,,30,1,29,2,37,1,31,1,31,1,31,1,,,36,1,3014,2,81,1,32,1,3491,2,38,1,34,1,436,1,6950,2,24,1,35,1,35,1,34,1,30,1,43,1,35,1,33,1,174,3,117,1,333,1,224,2,,,335,1,454,3,,,33,2,889,1,54,1,,,251,1,,,471,1,1,1,547,3,83,1,180,1,1474,2,35,1,,,1006,1,108,1,440,1,47,1,28,1,1759,1,,,25,1,,,36,1,,,48,1,49,1,36,1,31,1,37,1,,,2906,5
1,2,2223,78543,,,,,,,,,,,1354,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,4,,,,,,,1197,1,,,,,209,5,2012,14,,,,,,,,,,,15345,3,,,5526,2,,,,,4038,1,2132,1,,,,,5269,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,2,,,,,255,7,,,,,,,,,7206,1,3189,4,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,203,3,,,,,,,,,,,19,3,,,,,91,4,,,,,,,,,,,,,952,7,,,950,1,,,,,,,,,,,,,,,,,,,,,4677,1,,,,,11865,1,,,,,,,4389,5,,,,,,,,,,,,,,,,,,,10,4,,,231,1,,,,,99,7,,,,,253,9,,,,,,,,,,,,,470,4,,,,,1971,1,,,,,393,3,,,,,,,,,1738,2,,,,,,,,,,,18,3,,,,,,,,,,,2326,7
2,3,1406,52187,36,2,,,,,,,,,14,21,,,,,16,5,47,3,,,,,,,,,,,255,4,,,,,,,,,,,,,,,73,3,,,,,,,205,10,,,20,2,250,3,3194,10,,,,,,,700,2,,,19045,2,11,5,3405,4,60,5,16,3,478,6,991,3,,,,,3115,4,52,1,,,,,16,2,,,,,,,,,,,,,,,686,3,,,,,442,2,,,,,244,9,54,4,,,18,3,1718,1,,,,,,,15,3,1836,5,3265,3,,,27,2,19,3,,,,,,,111,12,,,,,,,13,6,,,,,,,,,108,4,32,9,,,,,,,,,,,,,,,67,5,,,,,,,,,,,,,1623,2,10,8,444,3,,,,,,,50,1,,,,,,,,,,,,,606,11,,,,,774,8,,,,,167,6,4884,3,,,,,,,,,,,10,4,15,2,,,551,1,,,47,12,66,6,,,,,241,4,,,,,479,4,,,,,,,,,,,,,,,,,,,148,11,,,,,197,5,11,4,,,,,,,201,8,,,,,,,12,4,,,13,6,,,,,,,14,3,,,970,10
3,4,10816,42349,,,,,,,,,,,387,5,,,,,31,2,,,,,,,18,2,,,15,2,94,9,,,,,,,,,,,17,3,,,46,9,,,,,,,417,5,,,,,184,6,3667,8,,,,,,,86,8,,,11613,6,,,4305,3,98,4,,,674,5,412,6,,,,,1979,9,,,,,,,,,,,,,,,,,,,,,,,403,6,68,6,,,169,7,,,,,420,3,,,,,,,332,5,,,,,,,,,1861,4,1807,9,,,,,,,,,,,27,2,166,8,,,,,,,,,,,,,,,,,,,68,5,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,784,10,14,7,243,5,,,20,1,,,,,,,,,,,,,,,,,1505,3,,,,,2234,3,,,,,158,7,3686,7,,,,,,,,,,,,,,,,,21,6,,,125,7,,,,,,,73,8,,,,,500,3,,,,,,,,,,,,,,,,,19,3,353,6,,,,,148,7,,,,,,,,,534,6,,,,,,,15,3,,,20,2,,,,,,,,,,,2511,6
4,5,2397,37394,17,3,16,2,,,22,2,,,1135,3,,,,,26,3,120,2,,,21,2,,,,,13,5,305,2,,,,,74,4,,,29,2,21,2,,,48,8,,,15,2,13,2,344,7,,,20,3,459,1,4167,3,,,,,,,326,5,,,12175,4,25,3,1863,7,34,10,12,5,3348,2,252,9,,,,,1722,11,,,,,13,2,,,,,,,,,14,2,,,,,,,698,2,,,12,2,172,6,,,,,307,6,63,3,,,21,2,31,14,,,,,19,2,27,2,1107,12,1811,8,,,,,,,78,2,36,2,,,51,18,20,2,,,,,23,2,,,,,19,3,16,2,63,6,56,6,,,,,,,93,2,12,5,,,,,17,8,,,,,,,,,,,,,537,13,16,5,331,4,,,,,,,16,3,,,,,,,10,3,,,,,544,14,17,2,,,742,9,,,,,,,1577,11,,,,,,,,,,,22,2,,,,,53,4,,,100,8,46,7,,,,,159,5,,,,,412,6,21,3,,,27,4,,,,,,,80,7,,,11,4,389,5,,,,,120,8,17,3,,,,,15,2,104,11,25,1,,,,,16,2,,,15,5,,,,,,,18,2,,,553,17
5,6,2093,32254,,,,,,,,,,,48,13,,,,,,,15,6,,,,,,,,,,,40,11,,,,,48,6,9,3,,,,,,,44,10,7,2,,,,,133,18,,,,,102,11,1242,23,,,,,,,,,,,11590,7,9,10,1521,11,,,,,97,14,109,24,,,,,1044,17,,,,,,,,,14,2,,,,,,,,,9,2,,,98,17,17,7,,,155,8,,,,,80,20,10,7,,,,,115,10,,,,,,,,,641,22,6175,2,,,18,3,4,6,,,6,4,,,166,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,7,,,,,,,,,,,,,308,23,,,50,23,,,,,,,,,,,,,,,,,,,,,337,22,,,,,509,14,,,,,,,1375,13,,,,,14,2,,,,,,,,,,,,,,,57,11,9,16,,,,,,,21,1,,,158,16,,,12,2,,,,,,,,,336,5,,,,,98,14,,,,,57,14,,,,,,,,,711,4,,,,,,,,,,,16,4,,,,,,,,,13,1,4581,1
6,7,28,30232,,,,,,,,,,,275,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,53,,,,,,,,,,,4840,22,,,1146,18,,,,,,,43,41,,,,,605,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,12,,,,,,,,,829,16,21383,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,46,,,,,,,,,,,,,,,,,,,284,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,463,25431,12,6,14,3,,,,,,,,,,,,,,,25,4,,,,,,,,,,,20,16,,,,,,,,,9,5,,,,,59,5,,,,,,,238,9,,,,,88,13,2165,13,,,,,,,,,,,12117,5,9,9,1067,19,27,13,6,13,18,20,129,22,,,,,1144,15,,,,,,,,,,,,,,,,,,,,,,,80,22,,,,,15,15,,,,,73,21,,,,,,,55,11,,,,,,,,,818,17,2458,6,,,,,,,,,,,,,32,25,,,,,,,17,4,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,25,6,10,48,24,,,,,,,,,,,,,,,,,,,,,359,21,,,,,1140,4,,,,,,,1560,12,,,,,,,,,,,,,,,,,,,,,,,24,11,,,,,19,15,,,,,134,17,,,,,,,,,,,,,59,9,,,,,99,13,,,,,47,16,,,,,,,,,39,16,,,,,,,,,,,,,,,,,,,,,,,901,11
8,9,29351,25110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,161,14,,,,,,,3216,9,,,,,,,,,,,3008,35,,,220,46,119,2,,,,,99,27,,,,,412,47,,,,,,,,,,,,,,,,,,,,,,,255,7,,,,,,,,,,,33,29,25,5,,,,,,,,,,,,,,,,,153,46,,,,,,,,,,,,,9,65,,,,,,,,,,,,,,,,,220,2,94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,33,,,,,,,,,,,,,,,,,,,,,,,,,778,10,,,,,,,,,,,,,14420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,39,,,,,,,,,,,,,,,,,,,,,,,,,913,2,,,,,,,,,652,5,,,,,,,,,,,,,,,,,,,,,,,96,41
9,10,2181,24078,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,179,6,,,,,,,,,,,,,,,30,18,,,,,,,167,12,,,,,154,7,1816,17,,,,,,,222,6,,,6850,16,9,11,1445,13,115,3,10,6,,,218,12,,,,,1311,14,,,,,,,,,,,,,,,,,,,,,,,233,8,,,,,82,11,,,,,297,7,,,,,,,321,6,,,,,,,9,7,881,15,927,14,,,,,,,56,3,,,,,45,20,,,,,,,,,,,,,,,13,3,49,8,69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,12,16,4,229,6,,,,,,,,,,,,,,,,,,,,,1355,6,,,,,358,16,,,,,196,5,2307,9,,,,,,,,,,,14,3,,,,,23,5,,,272,2,42,8,,,,,34,11,20,2,,,699,2,,,,,,,,,,,,,169,6,,,,,228,8,,,,,170,6,24,2,,,,,,,,,,,,,,,,,,,8,7,,,,,,,,,,,1639,9
10,11,2162,23229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,,,14,33,,,,,,,138,17,,,,,33,25,1437,22,,,,,,,,,,,11407,8,,,722,24,,,,,,,139,20,,,,,858,24,,,,,10,4,,,,,,,,,,,,,,,,,23,39,,,,,,,,,,,161,12,,,,,,,12,20,,,,,,,5,8,538,25,193,40,,,,,,,6,4,,,,,47,19,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,56,6,11,,,,,,,,,,,,,,,,,,,,,,,513,15,,,,,259,19,,,,,24,11,4591,4,,,,,,,,,,,,,,,,,7,8,,,,,13,14,,,,,16,16,,,,,132,18,,,,,,,,,,,,,,,,,,,29,26,,,,,70,12,,,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,,,1704,8
11,12,811,22981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,14,,,,,,,27,36,,,,,,,1891,15,,,,,,,,,,,5536,18,8,15,1492,12,,,,,,,177,14,,,,,2135,8,,,,,,,,,,,,,,,10,3,,,,,,,599,4,,,,,,,,,,,180,11,,,,,,,,,,,,,,,,,128,70,409,24,,,,,,,,,,,,,553,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490,1,,,28,29,,,,,,,,,,,,,,,,,,,,,1095,7,,,,,814,7,,,,,240,3,374,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737,2
