,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,50381,20276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19232,3,,,,,,,,,11,15,47,25,,,,,,,,,,,,,,,,,,,47,19,,,,,,,,,,,,,,,,,,,,,,,,,939,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2243,20150,,,,,,,,,,,,,,,,,,,,,,,,,,,27,13,,,,,,,,,,,,,,,4,60,,,,,,,,,,,,,,,5092,3,,,,,,,,,6010,18,,,,,,,,,,,,,,,2831,5,,,,,,,,,,,,,,,,,,,,,118,9,,,167,14,,,,,,,,,,,,,,,845,11,192,34,,,,,,,,,,,,,,,,,,,,,,,,,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371,2,,,,,,,,,,,,,,,,,1390,3,,,,,424,10,,,57,9,962,16,,,,,,,9,5,,,,,,,,,,,70,4,,,,,505,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,52
12,13,181,19880,7,4,,,,,,,,,365,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,,,,,,,,,,,,,94,12,1783,14,,,,,,,,,10470,11,,,2223,5,,,7,10,,,62,19,,,1497,11,,,,,,,,,,,,,,,123,10,,,,,279,4,,,216,8,,,,,,,,,,,,,,,253,34,163,37,,,,,,,,,,,,,,,,,3,6,,,,,,,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,17,,,54,8,,,,,,,,,,,,,195,25,,,,,167,20,,,,,934,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,8,,,,,,,,,,,12,11,,,,,117,11,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,208,21
13,14,320,19354,,,,,,,,,,,87,8,,,,,,,,,,,,,,,80,8,,,,,,,,,8,5,,,,,29,9,,,,,,,76,14,,,10,3,33,20,1191,20,,,,,123,6,,,9787,12,27,2,1319,11,25,5,,,,,78,13,,,1758,10,,,,,7,2,,,13,2,,,9,2,45,20,31,4,,,,,,,386,5,,,,,265,6,,,,,,,16,4,212,40,384,22,,,40,3,,,,,7,3,42,18,,,,,11,3,,,,,,,16,10,,,,,,,,,6,5,,,,,45,4,,,,,,,,,,,,,497,12,15,4,36,18,,,,,,,,,,,,,552,8,,,,,193,17,,,75,5,1166,14,,,,,,,,,4,3,,,,,,,73,3,49,6,,,,,,,,,,,85,17,,,,,10,5,7,3,,,35,8,,,,,90,13,,,9,1,31,10,,,,,,,,,59,8,,,,,,,,,,,,,,,,,202,22
14,15,13,17496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,,,,,,,133,11,,,5,5,46,16,1297,19,,,,,,,,,9204,14,4,24,1222,12,,,6,12,,,,,4,2,832,19,,,,,,,,,,,,,,,240,5,,,,,,,,,186,11,,,,,,,,,,,,,,,346,30,1749,8,,,,,,,,,,,85,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,120,8,8,32,20,,,,,,,,,,,,,366,18,,,,,325,13,,,50,10,841,19,,,,,,,,,,,,,,,,,15,16,45,7,,,,,27,6,,,,,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,,,,,,,,,,,,,,,,,283,17
15,16,25821,14191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356,11,,,,,,,,,6,940,27,3,,,,,,,,,,,,,4042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503,1,,,,,,,,,,,,,,,,,,,,,,,10,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,1294,13627,,,,,,,,,,,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,11,,,,,,,,,,,,,41,17,707,31,,,,,,,,,6845,16,6,18,859,18,,,,,,,102,9,,,2002,9,,,,,,,,,,,,,,,156,9,,,,,,,,,125,17,,,,,13,13,,,,,3,5,,,932,9,,,,,,,,,,,,,108,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,600,9,,,18,28,,,4,3,,,,,,,,,75,38,,,,,,,,,,,591,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,16,,,,,,,,,,,,,,,,,38,20,,,,,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,229,19
17,18,2425,11876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,6,52,,,,,,,,,,,,,64,14,915,26,,,,,,,,,4139,26,6,20,1677,8,,,8,8,59,8,100,10,,,902,16,,,,,,,,,,,,,,,75,14,,,,,,,,,,,,,,,,,,,,,,,,,494,19,767,16,,,,,,,,,,,5,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,28,,,,,,,,,,,,,,,,,247,21,,,,,462,9,,,71,7,1373,12,,,,,,,,,,,,,,,,,60,9,,,,,,,,,,,,,82,20,,,,,,,,,,,,,,,,,,,,,,,41,9,,,,,,,,,17,11,,,,,,,,,,,,,,,,,161,24
18,19,11634,11323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11234,8,,,,,,,,,,,,,,,66,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,174
19,20,811,11071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,3,,,,,,,41,23,,,,,,,1081,22,,,,,,,,,3311,34,,,1947,7,,,,,,,38,27,,,1378,14,,,,,,,,,,,,,,,198,6,,,,,,,,,95,21,,,,,,,,,,,,,,,85,73,209,32,,,,,,,,,,,440,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,5,,,24,24,,,,,,,,,,,,,463,12,,,,,282,15,,,62,8,326,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
