bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,157139,1,128,1,48,1,34,1,41,1,34,1,3813,1,36,1,32,1,29,1,59,1,1,1,18,1,1620,1,32,1,22,1,36,1,,,46,1,920,1,150,1,146,1,391,1,27,1,47,1,230,1,23,1,369,1,21,1,14,1,77,1,969,1,15,1,34,1,351,2,10261,1,16,1,28,1,25,1,646,1,23,1,39090,1,107,1,18549,1,769,1,92,1,5238,1,1469,2,24,1,34,1,6627,1,,,18,1,43,1,27,1,15,1,21,1,17,1,51,1,89,1,16,1,,,1561,1,1000,1,62,1,674,1,17,1,20,1,1519,1,509,1,,,21,1,1901,2,21,1,29,1,27,1,81,1,5502,1,3575,2,25,1,26,1,20,2,616,1,616,1,104,1,421,4,30,1,11,1,98,1,61,1,29,1,18,1,19,1,38,1,19,1,634,1,374,1,24,1,25,1,22,2,140,1,240,1,390,1,1420,1,1137,1,17,1,54,1,9,1,36,1,29,1,17,1,1373,4,48,1,497,2,12,1,,,17,1,22,2,32,1,14,1,21,1,27,1,,,20,1,7510,1,21,1,30,1,4044,2,16,1,22,1,564,1,10501,1,26,1,15,1,18,1,19,1,28,1,19,1,17,1,19,1,174,3,99,1,414,1,269,1,,,306,1,357,3,,,18,2,1134,1,47,1,,,286,1,,,404,1,34,1,883,1,49,1,97,1,247,1,2271,2,42,1,,,606,2,70,1,539,1,35,1,17,1,2261,1,,,16,1,,,18,1,,,30,1,17,1,19,1,16,1,22,1,,,5044,1
2223,62160,2,,,,,,,,,,,1820,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,14,,,,,,,621,2,,,,,159,5,2114,11,,,,,,,,,,,13092,6,,,4718,2,,,,,3358,3,1706,1,,,,,3460,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,2,,,,,688,3,,,,,,,,,4126,2,3059,4,,,,,18,3,,,,,,,109,8,,,,,,,,,,,,,,,,,,,69,3,,,,,,,,,,,12,5,,,,,123,5,,,,,,,,,,,,,590,12,,,382,3,,,,,,,,,,,,,,,,,,,,,4705,2,,,,,5985,1,,,,,,,2196,9,,,,,,,,,,,,,,,,,,,12,3,,,237,2,,,32,2,106,7,,,,,163,13,,,,,,,,,,,,,413,4,,,,,,,3036,1,,,,,285,4,,,,,,,,,2095,2,,,,,,,,,,,8,6,,,,,,,,,,,2527,6
1406,54767,3,31,2,,,,,,,,,736,5,,,,,,,29,2,,,,,68,3,,,,,,,,,,,171,6,,,,,,,,,,,,,,,69,4,,,,,,,196,10,,,9,5,215,3,2934,6,,,,,,,298,4,,,23722,2,15,4,3113,5,29,8,28,3,628,6,837,4,,,,,4241,2,15,1,,,,,10,2,,,,,,,7,3,,,,,,,496,4,,,,,351,3,,,,,204,9,67,4,,,10,2,2308,1,,,,,,,25,2,1441,5,2414,5,,,14,2,16,4,,,,,,,99,9,,,,,85,2,7,4,,,,,,,,,,,62,4,12,12,,,,,,,,,,,,,,,166,4,,,,,,,,,,,,,1405,3,9,9,633,1,,,,,,,33,1,,,,,,,,,,,,,533,14,,,,,489,10,,,,,116,7,2522,7,,,,,,,,,,,14,2,11,2,,,606,1,,,32,12,34,9,,,,,127,6,,,,,445,4,,,,,,,,,,,,,70,9,,,,,,,194,12,,,,,133,8,7,4,,,,,,,246,9,,,,,,,8,2,,,8,5,,,,,,,9,3,,,1905,8
10816,50248,4,,,,,,,,,,,330,9,,,,,,,24,4,,,,,,,,,,,19,2,,,15,2,126,7,,,,,,,,,,,14,2,,,46,13,,,,,,,302,5,,,,,130,7,2812,7,,,,,,,69,9,,,12996,7,,,4239,3,69,4,,,705,5,408,6,,,,,1838,8,,,,,,,,,,,,,,,,,,,,,,,279,6,44,6,,,228,6,,,,,437,3,,,,,,,407,5,,,,,,,,,1641,4,2212,6,,,,,,,,,,,12,3,503,3,,,,,,,,,,,,,,,,,,,,,69,3,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,939,6,10,8,205,5,,,13,1,,,,,,,,,,,,,,,,,1648,5,,,,,1497,3,,,,,241,3,10252,2,,,,,,,,,,,,,,,,,18,7,,,51,11,,,,,,,96,8,,,,,380,7,,,,,,,,,,,,,,,,,,,9,5,417,6,,,,,161,6,,,,,,,,,572,5,,,,,,,7,4,,,8,7,,,,,,,,,,,3735,5
2397,43300,5,22,3,11,3,,,10,2,,,1322,3,,,,,,,27,3,,,,,175,2,,,12,2,,,,,7,4,336,2,,,,,13,5,,,20,2,8,3,,,55,6,,,5,2,14,2,319,4,,,15,3,446,1,3471,3,,,,,,,365,3,,,16662,3,16,3,2220,7,28,9,12,6,4259,2,214,12,,,,,1715,10,,,,,18,3,,,,,,,,,19,2,,,,,,,927,2,,,12,2,137,9,,,,,386,4,80,3,,,5,3,34,11,,,,,9,2,17,5,1028,9,1972,9,,,,,,,80,2,39,2,,,42,20,11,2,,,,,16,2,,,,,12,2,7,4,,,50,6,42,6,,,,,,,69,2,4,7,,,,,15,9,,,,,,,,,,,,,735,8,12,5,136,6,,,,,,,7,4,,,,,,,8,2,,,,,705,11,11,2,,,683,8,,,,,,,1920,11,,,,,,,,,,,8,5,,,,,51,4,,,51,10,68,6,,,,,146,5,,,,,381,6,8,3,,,32,4,,,,,,,85,8,,,,,14,4,608,5,,,,,103,9,17,3,,,,,7,2,87,13,18,1,,,,,8,3,,,5,9,,,,,,,22,2,,,554,18
2093,36168,6,,,,,,,,,,,83,17,,,,,,,,,,,,,18,5,,,,,,,,,,,90,8,,,,,10,6,5,3,,,,,,,49,11,4,2,,,,,132,16,,,,,58,16,1346,21,,,,,,,,,,,15655,4,10,9,1738,10,,,,,83,15,137,22,,,,,1075,18,,,,,,,,,14,2,,,,,,,,,3,2,,,100,14,15,7,,,100,10,,,,,103,17,21,5,,,,,125,10,,,,,,,,,773,12,4807,1,,,13,3,10,5,,,6,4,,,145,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,8,,,,,,,,,,,,,465,17,,,84,9,,,,,,,,,,,,,,,,,,,,,495,15,,,,,633,9,,,,,,,1279,13,,,,,5,2,,,,,,,,,,,,,,,58,9,25,13,,,,,,,7,2,,,147,16,,,11,2,,,,,,,,,465,3,,,,,,,265,10,,,,,96,10,,,,,,,,,502,6,,,,,,,,,,,15,3,,,,,,,,,5,2,4861,2
2162,28982,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,14,38,,,,,,,175,13,,,,,37,23,1897,14,,,,,,,,,,,14665,5,,,855,21,,,,,,,109,26,,,,,1123,16,,,,,16,4,,,,,,,,,,,,,,,,,43,32,,,,,,,,,,,129,11,,,,,,,8,19,,,,,,,11,6,629,15,992,13,,,,,,,4,4,,,,,60,14,,,,,,,,,,,,,,,,,,,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,34,5,14,,,,,,,,,,,,,,,,,,,,,,,615,12,,,,,266,16,,,,,20,13,4518,5,,,,,,,,,,,,,,,,,1,14,,,,,7,16,,,,,22,16,,,,,152,14,,,,,,,,,,,,,,,,,,,,,84,16,,,,,138,7,,,,,,,,,149,11,,,,,,,,,,,,,,,,,,,,,,,2076,7
463,25288,8,2,7,16,2,,,,,,,39,22,,,,,,,,,,,,,12,6,,,,,,,,,,,17,17,,,,,,,,,,,,,,,30,19,,,,,,,191,11,,,,,83,10,2155,10,,,,,,,,,,,11794,8,3,30,1065,17,14,14,4,18,17,21,144,20,,,,,1295,15,,,,,,,,,,,,,,,,,,,,,,,73,21,,,,,20,14,,,,,78,18,,,,,,,30,13,,,,,,,,,1198,6,3097,3,,,,,,,,,,,,,43,18,1,3,,,,,13,3,,,,,,,,,,,39,7,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,465,16,6,12,35,22,,,,,,,,,,,,,,,,,,,,,335,20,,,,,748,7,,,,,,,980,15,,,,,,,,,,,,,,,,,,,,,,,29,11,,,,,16,17,,,,,122,19,,,,,,,,,,,,,66,10,,,,,,,81,17,,,,,59,16,,,,,,,,,29,19,,,,,,,,,,,,,,,,,,,,,,,842,15
2181,23233,9,,,,,,,,,,,168,11,,,,,,,,,,,,,,,,,8,3,,,,,,,204,4,,,,,,,,,,,,,,,58,5,,,,,,,141,15,,,,,134,6,1600,15,,,,,,,179,5,,,6783,13,14,5,1243,15,114,2,16,4,,,166,19,,,,,1115,17,,,,,,,,,,,,,,,,,,,,,,,219,8,,,,,89,11,,,,,297,6,,,,,,,328,6,,,,,,,24,3,1165,7,962,14,,,,,,,45,3,,,,,30,28,,,,,,,,,,,,,,,21,2,,,34,8,57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,15,18,4,211,4,,,,,,,,,,,,,,,,,,,,,1418,6,,,,,248,18,,,,,158,6,2127,10,,,,,,,,,,,12,3,,,,,24,6,,,68,7,42,8,,,,,48,12,26,1,,,764,2,,,,,,,,,,,,,124,6,,,,,,,309,7,,,,,235,5,28,2,,,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,1669,9
2425,20815,10,,,,,,,,,,,120,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,35,16,,,,,,,233,8,,,,,81,11,1410,19,,,,,,,,,,,5376,21,8,14,3204,4,,,7,10,189,8,222,10,,,,,1460,13,,,,,19,2,,,,,,,,,,,,,,,,,118,11,,,,,,,,,,,145,10,11,8,,,,,,,,,,,,,,,1059,8,600,20,,,,,,,,,,,,,22,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,19,,,,,,,,,,,,,,,,,,,,,,,,,815,9,,,,,1011,5,,,,,216,4,3049,6,,,,,,,,,,,,,,,,,,,,,70,6,,,,,,,,,,,,,189,10,,,,,4,8,,,,,,,,,,,,,,,195,11,,,,,291,3,,,,,,,,,27,20,,,,,,,,,,,,,,,,,,,,,,,245,29
