,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,181,22005,9,3,,,,,,,,,484,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,8,,,,,,,,,,,,,161,5,1436,16,,,,,,,,,12695,7,,,2490,5,,,9,3,,,63,23,,,1021,14,,,,,,,,,,,,,,,147,8,,,,,186,4,,,,,157,8,,,,,,,,,,,,,,,225,32,168,38,,,,,,,,,,,,,,,,,5,5,,,,,,,34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,17,,,78,12,,,,,,,,,,,,,233,23,,,,,368,11,,,,,966,13,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,283,8,,,,,,,,,12,11,,,,,135,10,,,,,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,22
11,12,50381,21482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20911,2,,,,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,43,23,,,,,,,,,,,,,,,,,,,,,,,,,,,511,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2243,16311,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,,,,,,,,,,,,,,,5,51,,,,,,,,,,,,,,,3933,5,,,,,,,,,5413,22,,,,,,,,,,,,,,,1682,8,,,,,,,,,,,,,,,,,,,,,63,10,,,,,127,13,,,,,,,,,,,,,,,480,14,198,34,,,,,,,,,,,,,,,,,,,,,,,,,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,4,,,,,,,,,,,,,,,,,1361,3,,,,,446,10,,,45,9,923,16,,,,,,,6,5,,,,,,,,,,,50,5,,,,,426,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,52
13,14,25821,15448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601,6,,,,,,,,,4,938,14,5,,,,,,,,,,,,,4938,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5287,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588,2,,,,,,,,,,,,,,,,,,,,,,,16,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,320,14538,,,,,,,,,,,88,7,,,,,,,,,,,,,,,78,8,,,,,,,,,11,3,,,,,61,3,,,,,,,76,13,,,6,5,64,14,955,22,,,,,250,5,,,6133,17,18,2,1210,10,16,9,,,,,158,8,,,1189,11,,,,,9,2,,,7,2,,,13,2,49,20,20,4,,,,,,,,,156,9,,,,,183,8,,,,,,,12,3,171,41,467,21,,,9,3,,,,,5,3,47,17,,,,,9,3,,,,,,,29,10,,,,,,,,,7,3,,,,,83,4,,,,,,,,,,,,,561,10,19,2,64,16,,,1,7,,,,,,,,,423,13,,,,,228,17,,,57,8,919,17,,,,,,,,,6,2,,,,,,,53,8,62,4,,,,,,,,,,,74,27,,,,,12,5,3,4,10,12,,,,,119,11,,,5,1,42,10,,,,,,,,,26,14,,,,,,,,,,,,,,,,,,,265,20
15,16,13,13482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,,,,,,,136,10,,,3,7,55,18,989,21,,,,,,,,,7115,16,6,12,1066,12,,,2,12,,,,,1,2,509,24,,,,,,,,,,,,,,,207,6,,,,,,,,,,,152,10,,,,,,,,,,,,,,,341,25,1000,13,,,,,,,,,,,89,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,122,9,8,49,19,,,,,,,,,,,,,249,20,,,,,282,14,,,23,11,626,21,,,,,,,,,,,,,,,,,22,14,25,8,,,,,21,8,,,,,158,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9,,,,,,,,,,,,,,,,,,,268,19
16,17,2425,11749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,14,21,,,,,,,,,,,,,74,13,837,26,,,,,,,,,4210,27,10,8,908,14,,,5,8,86,8,186,4,,,1055,13,,,,,,,,,,,,,,,90,14,,,,,,,,,,,,,,,,,,,,,,,,,,,466,15,1057,11,,,,,,,,,,,13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,26,,,,,,,,,,,,,,,,,295,19,,,,,337,13,,,66,5,1424,11,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,186,14,,,,,,,,,,,,,,,,,,,,,60,7,,,,,,,,,11,16,,,,,,,,,,,,,,,,,,,128,27
17,18,1294,11716,,,,,,,,,,,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,12,,,,,,,,,,,,,56,17,601,33,,,,,,,,,6128,18,6,14,671,19,,,,,,,145,10,,,1356,9,,,,,,,,,,,,,,,124,11,,,,,,,,,,,98,16,,,,,18,13,,,,,4,3,,,654,10,,,,,,,,,,,,,103,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,507,13,,,50,18,,,3,5,,,,,,,,,79,37,,,,,,,,,,,585,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,19,,,,,,,,,,,,,,,31,25,,,,,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,17
18,19,5072,10815,,,,,,,,,,,6,17,,,,,,,,,,,,,,,12,16,,,,,11,2,,,,,,,,,11,31,,,,,,,,,,,,,113,7,399,44,,,,,,,,,8056,14,4,25,66,64,,,,,,,,,,,293,45,,,,,,,,,,,,,,,,,646,2,,,,,,,,,,,,,,,372,3,,,,,,,,,44,90,314,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,20,2,,,113,2,,,,,,,,,,,,,,,25,69,11,6,90,10,,,,,,,,,,,,,,,,,,,,,,,,,116,53,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,13,70,,,,,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,71
19,20,5432,10237,,,,,,,,,,,82,8,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,79,,,,,,,,,8085,13,,,763,17,,,,,116,7,8,79,,,133,64,,,,,,,,,,,,,4,3,60,18,69,3,,,,,,,,,,,,,,,158,9,,,,,,,,,77,65,85,49,,,,,,,,,,,18,37,,,,,,,,,,,,,,,17,7,,,,,,,4,6,,,16,3,,,,,,,,,,,,,,,64,51,10,7,9,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,7,3,188,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,41
