,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,122970,131,1,40,1,29,1,22,1,21,1,4434,1,19,1,22,1,29,1,727,1,52,1,28,1,15,1,,,43,1,567,2,39,1,40,1,288,1,19,2,47,2,261,1,21,1,271,1,26,1,35,1,42,1,973,1,21,1,36,1,622,2,6673,2,26,1,23,1,605,2,,,36342,1,37,1,13639,1,551,1,68,1,1941,2,1253,1,22,1,4779,1,,,29,1,29,1,29,1,26,1,29,1,43,1,212,1,22,1,1611,1,2190,1,36,1,631,2,18,1,22,1,1159,1,305,1,25,1,2212,1,32,1,21,1,27,1,96,1,4828,2,3591,3,44,1,29,1,20,2,288,1,607,1,140,1,397,3,17,1,,,36,1,47,1,33,1,27,1,23,1,382,2,237,1,14,1,25,1,,,74,1,85,1,100,1,1107,1,192,2,24,1,20,1,24,1,87,1,23,1,17,1,1376,2,44,1,776,1,,,23,1,20,1,20,1,17,1,22,1,26,1,,,27,1,2568,2,18,1,26,1,2530,2,19,1,519,1,8243,2,21,1,25,1,18,1,30,1,40,1,16,1,128,3,68,1,466,1,330,1,,,374,1,545,3,,,23,3,1044,2,24,2,,,194,1,,,136,1,3,1,565,1,43,1,342,1,635,1,29,1,,,445,3,71,1,283,1,48,1,25,1,1759,1,,,20,1,,,24,1,,,23,2,16,1,26,1,19,1,20,1,,,2597,3
1,2,2223,65027,,,,,,,,,,,758,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,,,,,,,604,3,,,,,,,4114,6,,,,,,,,,14151,7,,,4620,3,,,,,1259,3,1100,2,,,3215,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4,,,140,9,,,,,,,,,9534,1,5656,1,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,490,1,,,,,,,,,,,8,6,,,,,44,6,,,,,,,,,,,,,674,10,,,502,2,,,,,,,,,,,,,,,,,,,3533,1,,,,,7746,1,,,,,3164,6,,,,,,,,,,,,,,,7,3,,,199,2,,,,,125,5,,,,,201,13,,,,,,,,,,,,,258,3,,,,,434,2,,,,,692,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732,5
2,3,1406,56420,35,2,,,,,,,,,25,16,,,,,9,5,,,,,,,,,,,,,391,3,,,,,,,,,,,,,,,67,4,,,,,,,127,15,,,10,4,273,3,4294,5,,,,,782,1,,,19778,2,9,7,6613,2,49,5,7,5,318,6,724,4,,,2691,6,34,1,,,,,8,2,,,,,,,,,,,471,5,,,,,1151,1,,,,,283,6,59,2,7,3,2154,2,,,,,,,8,5,2145,6,2520,5,,,11,3,10,4,,,,,,,,,,,,,,,8,3,,,,,,,88,5,,,,,,,,,,,,,,,,,57,4,,,,,,,,,,,,,1655,1,10,5,268,4,,,,,,,,,,,,,,,,,,,591,12,,,,,489,15,,,164,6,3342,5,,,,,,,12,2,6,2,,,1046,1,,,41,12,73,6,,,,,1340,1,,,,,558,4,,,,,,,,,,,,,,,,,,,126,7,,,,,206,5,,,,,,,,,179,5,,,,,,,6,3,,,,,,,,,,,12,2,,,1080,6
3,4,10816,48022,,,,,,,,,,,834,2,,,,,21,2,,,,,,,10,2,,,17,2,169,8,,,,,,,,,,,17,3,,,53,10,,,,,,,225,8,,,,,222,4,3431,10,,,,,154,7,,,18385,3,,,4027,4,90,4,,,345,5,413,6,,,3258,3,,,,,,,,,,,,,,,,,,,310,6,43,5,,,198,8,,,,,372,4,,,,,239,5,,,,,,,,,2901,4,2891,4,,,,,,,,,,,9,3,242,5,,,,,,,,,,,,,,,,,81,4,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,931,8,13,4,176,5,10,1,,,,,,,,,,,,,,,,,1141,5,,,,,1358,5,,,155,7,3988,4,,,,,,,,,,,,,89,4,,,77,9,,,,,,,,,,,,,636,3,,,,,,,,,10,3,,,,,,,12,3,128,5,,,,,165,7,,,,,,,,,151,6,,,,,,,11,2,,,,,,,,,,,,,,,3,223
4,5,2397,40536,14,3,15,2,,,14,2,,,631,4,,,,,12,3,143,2,,,11,2,,,,,9,4,618,1,,,,,21,5,,,58,1,37,2,,,59,9,,,12,2,6,2,299,6,,,10,5,687,1,3684,9,,,,,394,5,,,14907,5,26,2,2684,9,33,6,8,3,2322,1,302,7,,,1618,9,,,,,9,2,,,,,,,18,2,,,,,578,3,,,14,2,261,6,,,,,423,3,41,3,18,2,427,4,,,,,9,2,22,2,2230,5,1640,11,,,,,,,96,3,49,2,,,40,18,9,2,,,,,7,5,,,,,6,3,74,6,66,5,,,,,,,64,2,10,5,,,,,16,7,,,,,,,,,,,,,515,14,16,3,338,3,,,,,12,2,,,,,,,8,2,,,,,730,9,6,2,,,747,9,,,,,1453,13,,,,,,,11,3,,,,,66,5,,,99,5,55,8,,,,,176,4,,,,,516,5,10,3,,,20,3,,,,,,,88,8,,,11,4,272,3,,,,,79,11,26,2,,,,,10,2,90,7,8,1,,,,,4,4,,,,,,,,,,,10,3,,,399,15
5,6,2093,31794,,,,,,,,,,,68,10,,,,,,,22,3,,,,,,,,,,,43,13,,,,,23,4,22,1,,,,,,,49,14,18,2,,,,,216,9,,,,,66,16,1011,30,,,,,,,,,12000,8,14,4,1276,19,,,,,59,13,105,25,,,2453,7,,,,,,,,,17,2,,,,,,,18,2,82,19,20,7,,,55,12,,,,,110,22,15,6,,,109,11,,,,,,,,,1083,12,4966,2,,,22,2,14,3,,,1,3,,,189,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5,,,,,,,,,,,,,439,16,,,46,24,,,,,,,,,,,,,,,,,,,377,20,,,,,505,12,,,,,1660,9,,,,,15,2,,,,,,,,,,,48,10,32,11,,,,,,,23,1,,,290,8,,,17,1,,,,,,,,,284,2,,,,,49,12,,,,,44,16,,,,,,,,,573,3,,,,,,,,,,,27,1,,,,,,,,,19,1,3143,1
6,7,2181,26018,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,331,5,,,,,,,,,,,,,,,20,24,,,,,,,150,11,,,,,200,5,2329,16,,,,,481,3,,,8286,13,13,5,1070,21,150,2,7,6,,,187,11,,,1265,14,,,,,,,,,,,,,,,,,,,277,7,,,,,96,11,,,,,264,8,,,,,235,7,,,,,,,10,4,85,91,911,15,,,,,,,105,2,,,,,33,21,,,,,,,,,,,,,7,2,34,9,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178,3,9,7,172,6,,,,,,,,,,,,,,,,,,,1698,3,,,,,429,17,,,197,4,2359,8,,,,,,,10,4,,,,,53,6,,,84,8,44,9,,,,,,,8,2,,,1938,1,,,,,,,,,,,,,113,6,,,,,127,6,,,,,175,6,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,7
7,8,463,24942,,,11,3,,,,,,,,,,,,,,,10,4,,,,,,,,,,,33,14,,,,,,,,,11,3,,,,,29,18,,,,,,,244,7,,,,,60,17,1877,17,,,,,,,,,14421,6,5,15,,,19,12,6,7,40,15,122,24,,,952,20,,,,,,,,,,,,,,,,,,,58,25,,,,,34,14,,,,,77,23,,,,,30,14,,,,,,,,,869,16,1777,8,,,,,,,,,,,,,37,20,,,,,,,10,2,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,18,6,10,59,17,,,,,,,,,,,,,,,,,,,386,19,,,,,842,8,,,,,1634,10,,,,,,,,,,,,,,,,,,,20,13,,,,,12,11,,,,,135,17,,,,,,,,,,,,,37,11,,,,,28,24,,,,,43,17,,,,,,,,,24,10,,,,,,,,,,,,,,,,,,,,,,,576,10
8,9,13,24142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,,193,10,,,1,10,77,15,1769,18,,,,,28,11,,,11547,9,5,14,2966,8,,,8,2,,,,,2,2,1060,19,,,,,,,,,,,1,4,,,,,,,851,2,,,,,,,,,,,250,10,,,,,,,,,,,,,,,609,23,1475,12,,,,,,,,,,,,,111,9,,,,,,,,,,,,,,,,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,125,9,6,53,19,,,,,,,,,,,,,,,,,,,343,25,,,,,547,11,,,137,8,1254,17,,,,,,,,,,,,,,,,,33,13,68,7,,,,,89,6,,,,,225,11,,,,,,,,,,,,,,,,,,,29,22,,,,,,,,,,,,,,,18,12,,,,,,,,,,,,,,,,,,,,,,,326,17
9,10,320,22489,,,,,,,,,,,199,7,,,,,11,4,,,,,,,,,8,1,,,147,9,,,,,,,,,5,4,,,,,63,6,,,,,,,100,19,,,10,3,49,20,1531,19,,,,,180,6,,,10358,10,14,3,2101,11,25,10,,,46,14,251,9,,,1461,11,,,,,,,2,3,,,5,2,,,7,4,,,59,24,41,6,,,,,,,,,362,5,,,,,235,6,,,,,,,13,3,433,32,327,27,,,,,7,5,,,,,11,2,80,10,,,,,,,3,9,,,,,,,41,8,,,,,,,,,,,11,4,,,,,70,3,,,,,,,,,,,,,1010,6,18,2,48,22,,,,,9,3,,,,,,,,,,,,,729,10,,,,,272,23,,,114,9,1330,15,,,,,,,,,1,3,,,,,,,87,6,99,4,,,,,,,,,,,70,31,,,,,18,5,,,6,4,,,12,16,,,,,40,14,,,8,1,66,12,,,,,,,,,28,9,,,,,,,,,,,,,,,,,,,,,,,258,19
