bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2243,17618,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,,,,,,,,,,,8,38,,,,,,,,,,,,,,,5613,1,,,,,,,,,6171,18,,,,,,,,,,,,,,,1471,8,,,,,,,,,,,,,,,,,,,,,,,,,77,9,,,,,116,9,,,,,,,,,,,,,,,449,20,127,47,,,,,,,,,,,,,14,46,,,,,,,,,,,,,,,49,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,4,,,,,,,,,,,,,,,,,,,,,896,5,,,,,548,8,,,26,10,866,15,,,,,,,4,5,,,,,,,,,,,60,4,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,71
1294,16943,12,,,,,,,,,,,79,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,21,,,,,,,,,,,,,57,15,852,23,,,,,,,,,8008,11,,,785,19,,,,,,,115,15,,,2968,3,,,,,,,,,,,,,4,6,,,,,195,9,,,,,,,,,,,64,20,,,,,51,11,,,,,3,7,,,2065,4,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,372,13,,,33,26,,,,,2,5,,,,,,,,,,,72,38,,,,,,,,,,,637,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,14,,,,,,,,,,,,,,,,,28,16,,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,19
2425,14822,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,15,26,,,,,,,54,17,,,,,82,11,1138,16,,,,,,,,,4310,25,4,18,1331,12,,,6,10,124,9,156,9,,,1886,6,,,,,,,,,,,,,,,,,,,129,12,,,,,,,,,,,112,10,,,,,,,,,,,,,,,593,11,802,16,,,,,,,,,,,,,17,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,20,,,,,,,,,,,,,,,,,,,,,232,22,,,,,601,6,,,97,4,2486,6,,,,,,,,,,,,,,,,,48,8,,,,,,,,,,,,,122,15,,,,,3,8,,,,,,,,,,,,,,,,,75,8,,,,,,,,,16,14,,,,,,,,,,,,,,,,,,,,,176,27
13,14192,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,,,,,,,64,15,,,3,6,44,19,805,25,,,,,9,11,,,7353,16,2,28,1289,13,,,8,5,,,,,6,2,465,29,,,,,,,,,,,2,4,,,,,,,474,5,,,,,,,,,,,102,13,,,,,,,,,,,,,,,218,34,1427,10,,,,,,,,,,,,,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,121,14,4,36,24,,,,,,,,,,,,,,,,,177,25,,,,,226,18,,,30,9,698,20,,,,,,,,,,,,,,,,,12,15,31,8,,,,,52,6,,,,,109,17,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,382,16
25821,14189,15,,,,,,,,,,,161,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272,6,,,,,,,,,1063,80,4,21,1075,18,,,,,,,,,,,4316,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,2,,,,,,,,,,,,,,,,,,,,,,,,,,,24,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,14121,16,,,,,,,,,,,156,9,,,,,,,,,,,,,3,1,,,60,9,,,,,,,,,8,3,,,,,45,5,,,,,,,67,14,,,3,8,27,23,937,19,,,,,107,6,,,5895,20,30,2,1274,14,78,6,,,53,14,138,12,,,1112,12,,,,,,,5,3,,,6,3,,,4,3,,,83,20,63,4,,,,,,,,,133,8,,,,,251,8,,,,,,,14,4,145,44,376,25,,,,,8,4,,,,,30,2,45,17,,,,,,,8,5,,,,,,,16,10,,,,,,,,,5,7,,,,,27,6,,,,,,,,,,,,,545,10,13,5,44,17,,,,,1,6,,,,,,,,,,,411,10,,,,,206,21,,,72,6,936,13,,,,,,,,,5,3,,,,,,,34,10,49,5,,,,,,,,,,,82,21,,,,,10,6,,,7,4,28,12,,,,,33,15,,,4,1,51,11,,,,,,,,,52,10,,,,,,,,,,,,,,,,,,,,,326,21
27443,13912,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,33,,,,,,,37,20,,,8,3,29,22,662,28,,,,,,,,,696,105,7,11,522,26,84,5,,,,,95,21,,,392,33,,,,,,,,,,,,,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,,,,,,,344,21,2425,5,,,,,,,,,,,,,2299,1,,,,,,,,,,,,,,,,,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,208,18,,,,,,,,,,,,,,,,,,,,,1749,3,,,,,218,19,,,,,702,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333,2
181,13899,18,11,3,,,,,,,,,312,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,24,,,,,,,,,,,,,94,9,1154,15,,,,,,,,,7726,13,,,1334,11,,,11,2,,,67,25,,,698,21,,,,,,,,,,,,,,,,,,,157,10,,,,,112,7,,,,,85,16,,,,,,,,,,,,,,,127,51,172,42,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,16,,,71,11,,,,,,,,,,,,,,,,,159,29,,,,,116,31,,,,,707,18,,,,,,,,,,,,,99,3,,,,,,,,,1,3,,,,,,,155,11,,,,,,,,,,,31,11,,,,,36,13,,,,,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,29
50381,13443,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,21,,,,,,,,,,,12238,6,,,,,,,,,12,17,132,13,,,156,64,,,,,,,,,,,,,,,,,,,89,18,,,,,,,,,,,,,,,,,,,,,,,,,,,477,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,32,,,,,,,,,,,,,,,,,,,,,,,,,,,193,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,12560,20,,,,,,,,,,,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,39,,,,,,,27,21,,,,,23,27,174,81,,,,,,,,,8824,10,2,33,1855,7,,,,,,,56,29,,,237,48,,,,,,,,,,,,,,,,,,,52,24,,,,,,,,,,,32,28,,,,,,,,,,,,,,,212,35,,,,,,,,,,,,,,,38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,73,10,,,,,,,,,,,,,,,,,59,40,,,,,104,34,,,,,12,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,26,,,,,,,,,,,35,10,,,,,,,,,,,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,610,10
