,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,29351,23841,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,14,,,,,,,,,5879,26,,,131,55,103,3,,,,,121,18,,,135,82,,,,,,,,,,,,,,,151,7,,,,,,,,,,,23,33,9,5,,,,,,,,,,,,,,,80,51,,,,,,,,,,,,,,,,,,,,,,,,,,,280,3,89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,73,59,,,,,,,,,,,,,,,,,365,21,,,,,,,,,,,13266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,51,,,,,,,,,,,,,,,,,,,,,1157,1,,,,,,,,,201,4,,,,,,,,,,,,,,,,,,,,
11,12,463,22660,,,9,3,,,,,,,,,,,,,,,,,,,,,,,39,10,,,,,,,,,6,6,,,,,18,21,,,,,,,279,7,,,,,97,11,1998,12,,,,,,,,,11890,10,,,,,11,13,,,,,158,14,,,,,,,,,,,,,,,,,,,90,16,,,,,35,11,,,,,69,23,,,,,31,11,,,,,,,,,744,13,2260,6,,,,,,,,,,,93,12,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,17,15,4,44,19,,,,,,,,,,,,,461,17,,,,,918,3,,,,,2108,9,,,,,,,,,,,,,,,,,,,16,9,,,,,20,7,,,,,150,15,,,,,,,,,38,8,,,,,56,19,,,,,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,9
12,13,2181,22302,,,,,,,,,,,,,,,,,,,,,15,2,,,,,184,5,,,,,,,,,,,,,,,36,9,,,,,,,127,12,,,,,163,5,1426,18,,,,,155,5,,,6959,21,19,4,1275,13,136,2,11,5,,,178,12,,,1243,12,,,,,,,,,,,,,,,266,6,,,,,97,8,,,,,206,11,,,,,427,4,,,,,,,12,5,121,62,1045,12,,,,,26,3,,,,,29,22,,,,,,,,,,,,,,,51,7,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,767,10,16,3,157,6,,,,,,,,,,,,,1180,3,,,,,376,11,,,137,4,2308,8,,,,,,,8,2,,,,,,,,,62,9,26,8,,,,,,,10,2,,,1241,2,,,,,,,,,152,5,,,,,699,5,,,,,123,5,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,792,8
13,14,13,21529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,7,,,,,,,247,9,,,8,4,47,18,1468,17,,,,,,,,,11880,11,4,27,1308,10,,,10,7,,,,,4,2,1032,17,,,,,,,,,,,,,,,281,4,,,,,,,,,,,270,4,,,,,,,,,,,,,,,552,26,1573,9,,,,,,,,,,,105,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,119,13,6,83,10,,,,,,,,,,,,,652,12,,,,,340,13,,,95,6,850,20,,,,,,,,,,,,,,,,,28,13,38,7,,,,,85,4,,,,,211,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,287,17
14,15,2243,18361,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,,,,,,,,,,,,,,,4,64,,,,,,,,,,,,,,,3394,7,,,,,,,,,8750,13,,,,,,,,,,,,,,,1483,11,,,,,,,,,,,,,,,,,,,,,70,10,,,,,111,18,,,,,,,,,,,,,,,589,20,153,41,,,,,,,,,,,,,,,,,,,,,,,,,,,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,9,,,,,,,,,,,,,,,,,1051,5,,,,,367,12,,,40,10,957,17,,,,,,,2,6,,,,,,,,,,,59,3,,,,,425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,58
15,16,1294,16126,,,,,,,,,,,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,85,13,1280,21,,,,,,,,,7583,16,11,11,1057,15,,,,,,,227,6,,,1775,6,,,,,,,,,,,,,,,127,9,,,,,,,,,,,184,12,,,,,28,12,,,,,16,3,,,1614,5,,,,,,,,,,,,,119,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,604,14,,,38,24,,,4,5,,,,,,,,,107,39,,,,,,,,,,,782,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,14,,,,,,,,,,,,,,,38,23,,,,,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,25
16,17,822,13923,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,,,,,,,,,,,,,,,19,20,,,,,,,,,,,3,8,18,37,1387,19,,,,,,,,,5790,28,9,14,537,25,,,,,,,303,5,,,688,28,,,,,,,,,,,,,,,44,24,,,,,,,,,,,229,8,,,,,,,,,,,,,,,675,16,861,14,,,,,,,,,,,79,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,12,9,10,64,13,,,,,,,,,,,,,1018,6,,,,,113,28,,,,,669,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,7,,,,,,,,,,,,,,,,,,,,,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,10
17,18,2425,13730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,15,25,,,,,,,,,,,,,87,12,1160,23,,,,,,,,,4961,36,4,30,1015,17,,,4,9,57,8,185,9,,,1105,15,,,,,,,,,,,,,,,116,10,,,,,,,,,,,,,,,,,,,,,,,,,,,682,15,690,19,,,,,,,,,,,17,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,30,,,,,,,,,,,,,,,,,390,19,,,,,390,9,,,146,3,2042,10,,,,,,,,,,,,,,,,,84,4,,,,,,,,,,,,,129,17,,,,,,,,,,,,,,,,,,,,,102,6,,,,,,,,,7,15,,,,,,,,,,,,,,,,,,,147,27
18,19,25821,12889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3606,5,,,,,,,,,5,948,4,32,,,,,,,,,,,,,3053,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,3,,,,,,,,,,,,,,,,,,,,,,,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,811,12139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,,,,,,,21,33,,,,,,,1033,26,,,,,,,,,5168,35,,,1285,12,,,,,,,104,22,,,1013,19,,,,,,,,,,,,,,,143,8,,,,,,,,,,,92,19,,,,,,,,,,,,,,,110,65,266,32,,,,,,,,,,,469,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051,4,,,23,28,,,,,,,,,,,,,664,11,,,,,264,16,,,88,8,301,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,2136,11188,,,,,,,,,,,,,,,,,,,,,,,,,,,172,6,,,,,,,,,,,,,,,,,,,,,,,241,10,,,,,,,3493,6,,,,,,,,,3756,45,7,19,167,47,,,,,184,4,,,,,240,65,,,,,,,,,,,,,,,,,,,,,162,5,,,,,184,13,,,,,,,,,,,,,,,305,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,879,8,,,,,,,,,,,,,,,,,820,8,,,,,,,,,,,86,63,,,,,,,,,,,,,,,,,123,2,,,,,,,,,2,3,,,230,9,,,,,,,,,,,,,,,105,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,82
21,22,2952,10758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,13,,,,,,,,,,,,,99,10,1169,22,,,,,,,,,5196,33,8,16,681,18,,,4,10,,,160,13,,,999,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,,,,,,,,,1033,9,40,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,20,,,57,16,,,,,,,,,,,,,,,,,,,305,14,,,,,404,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,1111,10654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,28,,,,,,,,,,,,,,,981,31,,,,,90,8,,,7101,19,,,602,21,,,,,,,,,,,392,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,39856,10141,,,,,,,,,,,,,,,,,,,,,,,,,,,139,8,,,,,,,,,,,,,,,21,18,,,,,,,80,17,,,,,25,28,997,30,,,,,,,,,4377,41,,,,,,,,,,,,,,,1202,13,,,,,,,,,,,,,,,60,20,,,,,,,,,,,172,16,,,,,,,,,,,,,,,860,10,,,,,,,,,,,,,29,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,37,,,,,,,,,,,,,798,9,,,,,,,,,,,1154,15,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,26
24,25,2392,9633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,16,,,,,,,101,14,,,,,,,839,38,,,,,,,,,5484,29,,,351,28,,,27,2,131,6,,,,,1033,16,,,,,,,,,,,,,,,,,,,,,,,,,,,18,36,,,,,,,,,,,,,,,350,34,302,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,24,,,29,27,,,,,,,,,,,,,301,24,,,,,153,23,,,,,,,,,,,,,,,,,,,,,,,13,18,,,,,,,9,10,,,,,126,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,43
25,26,5072,9610,,,,,,,,,,,5,18,,,,,,,,,,,,,,,9,19,,,,,29,2,,,,,,,,,15,27,,,,,,,,,,,,,136,7,603,47,,,,,,,,,6942,22,7,20,69,69,,,,,,,,,,,394,41,,,,,,,,,,,,,9,3,,,175,2,,,,,,,,,,,,,,,185,8,,,,,,,,,97,76,371,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,15,3,,,105,2,,,,,,,,,,,,,,,36,74,14,5,128,7,,,,,,,,,,,,,,,,,,,,,,,,,128,58,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,58,33,,,,,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,74
26,27,2719,9461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,24,1136,24,,,,,,,,,6348,24,6,23,292,34,,,,,,,51,32,,,865,23,,,,,,,,,,,,,,,54,21,,,,,,,,,,,13,42,,,,,,,,,,,,,,,220,47,,,,,,,,,,,,,13,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,48,,,,,,,,,,,,,,,,,47,52,,,,,,,,,,,170,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,49,,,,,,,,,,,,,,,,,,,,,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,41
27,28,1258,9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,,,,,,,1283,20,,,,,,,,,7995,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,5432,9096,,,,,,,,,,,86,8,,,5,2,,,,,,,,,,,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,72,,,,,,,,,6132,25,,,1090,14,,,,,99,7,16,75,,,220,70,,,,,,,,,,,,,3,4,104,13,46,3,,,,,,,,,,,,,,,263,6,,,,,,,,,110,68,63,57,,,,,,,,,,,10,49,,,,,,,,,,,,,,,,,22,7,,,,,,,4,6,,,36,3,,,,,,,,,,,,,,,149,40,7,13,42,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,9,3,198,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,45
