bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,119512,1,153,1,41,1,45,1,38,1,41,1,3301,1,45,1,32,1,30,1,469,1,38,1,36,1,37,1,,,56,1,616,1,204,1,158,1,487,1,37,1,32,1,327,1,36,1,323,1,39,1,25,1,48,1,1029,2,35,1,68,1,466,2,5731,1,45,1,38,1,566,3,29,1,29787,1,63,1,12270,1,506,1,261,1,2521,3,1278,2,30,1,32,1,4365,3,,,36,1,39,1,57,1,35,1,38,1,50,1,41,1,165,1,23,1,,,1622,1,2098,1,148,1,460,1,32,1,27,1,1100,1,826,1,,,37,1,1619,2,23,1,31,1,48,1,123,1,4031,2,3697,5,26,1,42,1,26,2,555,1,2422,1,206,1,345,5,23,1,,,166,1,87,1,32,1,34,1,26,1,33,1,441,1,301,1,29,1,37,1,42,1,91,2,245,1,110,1,2127,1,322,2,28,1,62,1,24,1,37,1,40,1,23,1,1170,4,43,1,593,2,42,1,,,35,1,32,2,33,1,38,1,25,1,25,1,,,32,1,3257,2,31,1,34,1,3365,2,36,1,36,1,515,1,7298,2,32,1,29,1,37,1,36,1,27,1,45,1,27,1,35,1,182,3,146,1,314,1,274,1,,,391,1,335,4,,,31,2,1033,1,34,2,,,222,1,,,719,1,4,1,558,3,60,1,243,1,1348,2,37,1,,,615,2,111,1,425,1,53,1,36,1,2082,1,,,21,1,,,31,1,,,37,1,38,1,35,1,25,1,34,1,,,2928,6
2223,70792,2,,,,,,,,,,,1175,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,,,,,,,1275,1,,,,,308,4,2105,14,,,,,,,,,14813,3,,,5373,2,,,,,3629,2,2020,1,,,,,4615,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,4,,,,,250,8,,,,,,,,,4464,1,3191,6,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,236,3,,,,,,,,,,,15,5,,,,,94,4,,,,,,,,,,,,,856,8,,,965,1,,,,,,,,,,,,,,,,,,,,,6442,1,,,,,6833,1,,,,,,,3881,6,,,,,,,,,,,,,,,,,,,13,4,,,207,2,,,,,153,6,,,,,256,9,,,,,,,,,,,,,462,4,,,,,1891,1,,,,,487,3,,,,,,,,,1918,2,,,,,,,,,,,13,4,,,,,,,,,,,2730,7
1406,54208,3,31,2,,,,,,,,,11,21,,,,,13,4,38,3,,,,,,,,,,,292,3,,,,,,,,,,,,,,,69,3,,,,,,,272,10,,,11,5,387,3,3590,8,,,,,650,2,,,19877,2,15,6,4115,4,64,5,5,14,450,6,960,4,,,,,2663,4,63,1,,,,,7,3,,,,,,,,,,,,,,,663,5,,,,,423,3,,,,,239,9,63,3,,,11,3,1742,1,,,,,,,17,6,1367,5,3863,3,,,16,3,13,4,,,,,,,94,12,,,,,,,10,5,,,,,,,,,89,5,46,8,,,,,,,,,,,,,,,48,6,,,,,,,,,,,,,1548,1,6,11,401,4,,,,,,,34,1,,,,,,,,,,,,,861,11,,,,,518,8,,,,,142,8,4778,4,,,,,,,,,,,13,4,2,3,,,731,1,,,37,12,70,6,,,,,445,3,,,,,535,4,,,,,,,,,,,,,,,,,,,138,12,,,,,275,5,7,4,,,,,,,207,8,,,,,,,8,4,,,9,8,,,,,,,10,3,,,1146,9
10816,43040,4,,,,,,,,,,,296,6,,,,,17,2,,,,,,,21,2,,,14,4,243,5,,,,,,,,,,,20,3,,,46,10,,,,,,,395,6,,,,,166,7,3890,6,,,,,75,8,,,11902,6,,,4143,3,73,4,,,1050,4,396,6,,,,,2088,8,,,,,,,,,,,,,,,,,,,,,,,370,6,97,6,,,174,7,,,,,455,3,,,,,,,369,4,,,,,,,,,1551,4,1703,10,,,,,,,,,,,21,3,196,6,,,,,,,,,,,,,,,,,,,61,7,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,699,11,11,5,439,3,,,24,1,,,,,,,,,,,,,,,,,1452,6,,,,,1387,3,,,,,163,6,3425,7,,,,,,,,,,,,,,,,,16,6,,,126,5,,,,,,,55,9,,,,,557,3,,,,,,,,,,,,,,,,,15,2,366,7,,,,,120,10,,,,,,,,,742,6,,,,,,,14,2,,,13,5,,,,,,,,,,,3566,3
2397,42049,5,16,3,26,2,,,25,2,,,1085,3,,,,,11,5,147,2,,,18,3,,,,,23,2,336,2,,,,,26,6,,,32,2,26,2,,,54,7,,,24,2,39,2,390,7,,,18,2,806,1,4706,2,,,,,334,5,,,14280,4,24,2,1939,6,48,6,14,2,3728,1,291,7,,,,,1710,11,,,,,14,2,,,,,,,,,16,2,,,,,,,749,2,,,20,2,184,6,,,,,364,5,89,2,,,21,2,41,14,,,,,16,2,25,2,1164,6,2323,7,,,,,,,120,2,60,2,,,45,19,18,2,,,,,32,2,,,,,16,2,13,3,61,8,65,5,,,,,,,96,1,18,4,,,,,19,8,,,,,,,,,,,,,564,15,14,4,317,5,,,,,,,18,3,,,,,,,12,2,,,,,794,12,16,2,,,504,9,,,,,,,1647,10,,,,,,,,,,,19,2,,,,,67,4,,,94,6,55,7,,,,,161,5,,,,,438,5,17,3,,,36,4,,,,,,,71,9,,,14,3,472,6,,,,,169,6,23,2,,,,,21,2,101,10,30,1,,,,,13,3,,,12,6,,,,,,,22,2,,,563,18
2093,34818,6,,,,,,,,,,,60,13,,,,,,,8,6,,,,,,,,,,,42,11,,,,,46,5,18,2,,,,,,,34,13,12,2,,,,,128,19,,,,,68,20,1400,22,,,,,,,,,12361,5,5,27,1425,11,,,,,65,16,107,26,,,,,967,18,,,,,,,,,16,2,,,,,,,,,4,2,,,95,21,14,7,,,49,12,,,,,95,18,6,9,,,,,110,10,,,,,,,,,651,16,6122,2,,,21,2,7,6,,,1,4,,,171,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7,,,,,,,,,,,,,408,18,,,64,17,,,,,,,,,,,,,,,,,,,,,401,19,,,,,481,10,,,,,,,1467,11,,,,,9,2,,,,,,,,,,,,,,,46,11,14,12,,,,,,,14,2,,,191,12,,,11,2,,,,,,,,,359,5,,,,,128,13,,,,,77,15,,,,,,,,,859,5,,,,,,,,,,,11,7,,,,,,,,,10,1,6135,1
463,26715,7,,,11,4,,,,,,,,,,,,,,,13,5,,,,,,,,,,,17,17,,,,,,,,,8,5,,,,,45,11,,,,,,,308,9,,,,,94,12,2179,13,,,,,,,,,11506,7,5,25,1035,18,15,19,6,9,18,19,134,23,,,,,1205,15,,,,,,,,,,,,,,,,,,,,,,,99,19,,,,,17,15,,,,,93,19,,,,,,,55,11,,,,,,,,,840,11,3768,4,,,,,,,,,,,,,51,17,,,,,,,5,9,,,,,,,,,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,21,4,15,61,19,,,,,,,,,,,,,,,,,,,,,352,21,,,,,1014,4,,,,,,,1441,12,,,,,,,,,,,,,,,,,,,,,,,11,13,,,,,19,15,,,,,134,17,,,,,,,,,,,,,75,8,,,,,534,5,,,,,65,17,,,,,,,,,54,13,,,,,,,,,,,,,,,,,,,,,,,1076,11
2181,25153,8,,,,,,,,,,,,,,,,,,,,,,,22,2,,,,,,,231,6,,,,,,,,,,,,,,,27,18,,,,,,,156,14,,,,,159,9,2459,11,,,,,372,4,,,7199,14,12,8,1371,13,121,2,3,16,,,249,10,,,,,1454,12,,,,,,,,,,,,,,,,,,,,,,,325,7,,,,,78,11,,,,,369,4,,,,,,,309,6,,,,,,,23,3,729,13,892,13,,,,,,,63,3,,,,,41,20,,,,,,,,,,,,,,,15,2,76,6,66,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,9,10,6,181,6,,,,,,,,,,,,,,,,,,,,,1562,5,,,,,312,15,,,,,168,5,2110,9,,,,,,,,,,,15,3,,,,,28,5,,,64,10,40,8,,,,,40,12,20,1,,,770,2,,,,,,,,,,,,,190,6,,,,,236,8,,,,,168,7,14,3,,,,,,,,,,,,,,,,,,,14,2,,,,,,,,,,,1612,8
2162,22742,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,4,69,,,,,,,139,17,,,,,67,21,1572,18,,,,,,,,,10751,8,,,734,25,,,,,,,149,21,,,,,918,19,,,,,9,4,,,,,,,,,,,,,,,,,23,41,,,,,,,,,,,168,12,,,,,,,8,19,,,,,,,6,9,752,12,213,41,,,,,,,11,4,,,,,79,15,,,,,,,,,,,,,,,,,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,41,5,13,,,,,,,,,,,,,,,,,,,,,,,435,17,,,,,246,21,,,,,14,13,4809,3,,,,,,,,,,,,,,,,,4,10,,,,,11,14,,,,,14,17,,,,,127,20,,,,,,,,,,,,,,,,,,,35,24,,,,,136,9,,,,,,,,,7,27,,,,,,,,,,,,,,,,,,,,,,,1143,10
29351,20149,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,,,,,,,,143,16,,,,,,,2936,10,,,,,,,,,3248,34,,,185,51,114,3,,,,,86,28,,,,,367,46,,,,,,,,,,,,,,,,,,,,,,,265,8,,,,,,,,,,,42,25,31,5,,,,,,,,,,,,,,,,,135,51,,,,,,,,,,,,,32,28,,,,,,,,,,,,,,,,,281,2,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,34,,,,,,,,,,,,,,,,,,,,,,,,,956,8,,,,,,,,,,,,,8806,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,36,,,,,,,,,,,,,,,,,,,,,,,,,936,1,,,,,,,,,1039,4,,,,,,,,,,,,,,,,,,,,,,,230,25
