,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,105778,299,1,38,1,47,1,32,1,26,1,2497,1,34,1,36,1,82,1,291,1,77,1,35,1,28,2,,,51,1,426,2,174,1,151,1,417,1,32,1,50,1,308,1,28,1,202,1,26,1,23,1,36,1,831,2,35,1,58,1,353,1,8094,1,36,1,32,1,453,4,33,1,28673,1,110,1,11427,1,443,1,56,1,1642,3,1176,1,31,1,3767,4,,,26,1,29,1,37,1,26,1,21,1,50,1,214,1,22,1,,,1883,1,4195,1,193,1,335,2,21,1,27,1,1029,1,173,1,,,27,1,1777,1,27,1,29,1,33,1,98,1,4442,3,2635,6,34,1,34,1,33,2,290,1,150,1,102,1,309,3,31,1,,,43,1,45,1,48,1,22,1,42,1,29,1,279,3,200,1,27,1,22,1,28,2,70,2,131,1,65,1,1201,1,157,2,23,1,48,1,24,1,31,1,39,1,28,1,828,9,43,1,449,1,38,1,,,36,1,24,1,31,1,29,1,33,1,39,1,,,37,1,2129,3,25,1,29,1,4373,2,24,1,35,1,367,1,4253,4,29,1,34,1,27,1,24,1,21,1,44,1,36,1,33,1,118,3,118,1,331,1,151,2,,,213,1,223,3,,,31,3,823,3,62,1,,,207,1,,,213,1,4,1,529,3,30,1,333,1,399,2,27,1,,,278,3,64,1,130,1,47,1,26,1,1900,1,,,23,1,,,25,2,,,30,2,29,1,44,1,18,1,22,1,,,2630,5
1,2,2223,75257,,,,,,,,,,,756,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,,,,,,,1471,1,,,,,134,6,2315,10,,,,,,,,,13063,5,,,4285,2,,,,,3144,1,1056,2,,,5771,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4,,,,,181,8,,,,,,,,,15192,1,3276,2,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,512,1,,,,,,,,,,,16,4,,,,,52,5,,,,,,,,,,,,,747,11,,,440,2,,,,,,,,,,,,,,,,,,,,,5652,1,,,,,7436,1,,,,,,,2467,5,,,,,,,,,,,,,,,,,,,5,5,,,270,1,,,,,103,6,,,,,241,8,,,,,,,,,,,,,509,4,,,,,3131,1,,,,,459,2,,,,,,,,,725,2,,,,,,,,,,,8,9,,,,,,,,,,,1747,8
2,3,1406,49609,57,2,,,,,,,,,10,20,,,,,13,3,47,3,,,,,,,,,,,265,3,,,,,,,,,,,,,,,57,8,,,,,,,181,11,,,15,3,176,4,3093,7,,,,,568,2,,,22204,2,13,8,4080,3,38,6,17,4,266,6,676,3,,,2910,6,50,1,,,,,13,2,,,,,,,,,,,,,737,4,,,,,319,3,,,,,205,10,37,3,,,15,2,1456,2,,,,,,,18,2,2013,5,2470,7,,,30,2,19,3,,,,,,,,,,,,,,,13,3,,,,,,,,,78,4,26,9,,,,,,,,,,,,,,,43,6,,,,,,,,,,,,,1283,3,15,7,325,3,,,,,,,,,,,,,,,,,,,,,507,13,,,,,721,7,,,,,130,6,1880,8,,,,,,,,,,,24,2,20,2,,,293,1,,,53,11,63,6,,,,,183,4,,,,,502,4,,,,,,,,,,,,,,,,,,,78,8,,,,,122,7,9,3,,,,,,,206,8,,,,,,,14,3,,,13,3,,,,,,,18,2,,,922,10
3,4,10816,47445,,,,,,,,,,,390,6,,,,,30,2,,,,,,,29,1,,,42,2,183,5,,,,,,,,,,,32,2,,,87,4,,,,,,,372,5,,,,,171,5,3842,5,,,,,106,7,,,11236,8,,,3435,4,83,4,,,635,5,315,6,,,3668,5,,,,,,,,,,,,,,,,,,,,,532,5,73,6,,,160,7,,,,,533,3,,,,,,,293,6,,,,,,,,,2804,4,3115,3,,,,,,,,,,,39,2,252,4,,,,,,,,,,,,,,,,,,,59,3,,,,,,,,,,,,,,,,,,,,,,,,,35,2,,,1916,1,34,2,237,4,,,32,1,,,,,,,,,,,,,,,,,1680,4,,,,,1367,3,,,,,216,2,4443,3,,,,,,,,,,,,,,,,,40,5,,,131,3,,,,,,,71,7,,,,,1151,2,,,,,,,,,34,3,,,,,,,36,2,140,5,,,,,168,4,,,,,,,,,380,5,,,,,,,33,1,,,38,1,,,,,,,,,,,2747,4
4,5,2397,38021,14,3,11,3,,,19,2,,,898,2,,,,,13,4,125,2,,,12,3,,,,,17,3,428,1,,,,,17,6,,,15,3,15,3,,,80,5,,,19,2,11,2,264,8,,,19,2,333,2,4353,3,,,,,512,3,,,13930,4,20,4,1961,7,27,10,8,9,3112,2,233,8,,,1754,10,,,,,14,2,,,,,,,12,2,,,,,,,977,2,,,9,2,203,5,,,,,270,7,67,2,,,10,3,59,11,,,,,12,2,13,5,1301,7,1259,11,,,,,,,68,2,17,2,,,35,16,19,2,,,,,9,5,,,,,15,2,9,4,47,6,38,6,,,,,,,86,1,13,5,,,,,19,9,,,,,,,,,,,,,572,12,13,10,217,5,,,,,,,7,4,,,,,,,12,2,,,,,528,12,7,2,,,559,9,,,,,,,1533,9,,,,,,,,,,,13,3,,,,,47,4,,,64,9,53,8,,,,,119,5,,,,,372,6,22,3,,,20,4,,,,,,,93,7,,,17,3,245,4,,,,,101,9,8,4,,,,,13,2,55,11,34,1,,,,,7,4,,,9,7,,,,,,,13,3,,,467,17
5,6,2093,31951,,,,,,,,,,,76,11,,,,,,,19,5,,,,,,,,,,,41,14,,,,,17,5,8,3,,,,,,,56,9,8,2,,,,,96,19,,,,,36,23,1122,19,,,,,,,,,15412,3,10,11,1361,13,,,,,57,16,140,15,,,858,19,,,,,,,,,15,2,,,,,,,13,2,,,99,18,14,7,,,52,14,,,,,92,16,16,6,,,,,126,10,,,,,,,,,697,17,4592,1,,,25,3,9,5,,,,,,,141,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,7,,,,,,,,,,,,,346,17,,,41,20,,,,,,,,,,,,,,,,,,,,,356,18,,,,,500,10,,,,,,,1169,12,,,,,11,2,,,,,,,,,,,,,,,53,12,13,15,,,,,,,14,2,,,197,10,,,13,2,,,,,,,,,323,6,,,,,24,24,,,,,55,14,,,,,,,,,479,4,,,,,,,,,,,9,6,,,,,,,,,19,1,3078,3
6,7,2181,28067,,,,,,,,,,,,,,,,,,,,,,,16,2,,,,,,,224,4,,,,,,,,,,,,,,,33,18,,,,,,,199,10,,,,,128,7,2068,14,,,,,303,5,,,7530,12,12,9,1241,17,167,2,15,6,,,212,9,,,2084,8,,,,,,,,,,,,,,,,,,,,,227,8,,,,,137,8,,,,,324,6,,,,,,,361,5,,,,,,,17,4,1183,8,1100,12,,,,,,,45,3,,,,,24,26,,,,,,,,,,,,,,,11,2,43,7,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,5,15,8,169,6,,,,,,,,,,,,,,,,,,,,,2405,2,,,,,317,18,,,,,171,4,1912,7,,,,,,,,,,,8,5,,,,,34,6,,,95,6,57,7,,,,,34,11,19,1,,,1206,1,,,,,,,,,,,,,390,5,,,,,126,6,,,,,149,5,19,2,,,,,,,,,,,,,,,,,,,11,5,,,,,,,,,,,2077,7
7,8,463,26433,,,21,2,,,,,,,,,,,,,,,27,4,,,,,,,,,,,44,13,,,,,,,,,19,2,,,,,109,3,,,,,,,286,7,,,,,116,8,2138,13,,,,,,,,,12651,6,47,2,1262,16,29,9,20,2,21,19,130,17,,,1266,13,,,,,,,,,,,,,,,,,,,,,112,15,,,,,59,13,,,,,87,20,,,,,,,56,12,,,,,,,,,1045,10,2216,8,,,,,,,,,,,,,105,7,,,,,,,17,2,,,,,,,,,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,16,24,4,63,13,,,,,,,,,,,,,,,,,,,,,438,15,,,,,1016,4,,,,,,,1350,10,,,,,,,,,,,,,,,,,,,,,,,30,9,,,,,41,10,,,,,123,18,,,,,,,,,,,,,69,10,,,,,64,9,,,,,61,12,,,,,,,,,43,12,,,,,,,,,,,,,,,,,,,,,,,802,11
8,9,2162,24811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,12,36,,,,,,,134,15,,,,,26,28,1393,17,,,,,,,,,12439,7,,,803,22,,,,,,,118,21,,,1063,16,,,,,7,4,,,,,,,,,,,,,,,33,34,,,,,,,,,,,361,5,,,,,,,10,19,,,,,,,7,8,1309,6,6,113,,,,,,,6,4,,,,,57,10,,,,,,,,,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,39,6,14,,,,,,,,,,,,,,,,,,,,,,,569,10,,,,,202,22,,,,,20,11,5004,2,,,,,,,,,,,,,,,,,6,9,,,,,15,14,,,,,18,12,,,,,110,21,,,,,,,,,,,,,,,,,,,40,14,,,,,126,6,,,,,,,,,27,16,,,,,,,,,,,,,,,,,,,,,,,755,12
9,10,25821,20734,,,,,,,,,,,522,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,11,,,,,,,,,1556,63,20,5,1940,8,,,,,,,,,,,4483,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,7,,,,,,,,,,,,,,,,,,,,,,,5781,1
