bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
29351,23841,11,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,14,,,,,,,,,5879,26,,,131,55,103,3,,,,,121,18,,,135,82,,,,,,,,,,,,,,,151,7,,,,,,,,,,,23,33,9,5,,,,,,,,,,,,,,,80,51,,,,,,,,,,,,,,,,,,,,,,,,,,,280,3,89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,73,59,,,,,,,,,,,,,,,,,365,21,,,,,,,,,,,13266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,51,,,,,,,,,,,,,,,,,,,,,1157,1,,,,,,,,,201,4,,,,,,,,,,,,,,,,,,,,
463,22660,12,,,9,3,,,,,,,,,,,,,,,,,,,,,,,39,10,,,,,,,,,6,6,,,,,18,21,,,,,,,279,7,,,,,97,11,1998,12,,,,,,,,,11890,10,,,,,11,13,,,,,158,14,,,,,,,,,,,,,,,,,,,90,16,,,,,35,11,,,,,69,23,,,,,31,11,,,,,,,,,744,13,2260,6,,,,,,,,,,,93,12,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,17,15,4,44,19,,,,,,,,,,,,,461,17,,,,,918,3,,,,,2108,9,,,,,,,,,,,,,,,,,,,16,9,,,,,20,7,,,,,150,15,,,,,,,,,38,8,,,,,56,19,,,,,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,9
2181,22302,13,,,,,,,,,,,,,,,,,,,,,15,2,,,,,184,5,,,,,,,,,,,,,,,36,9,,,,,,,127,12,,,,,163,5,1426,18,,,,,155,5,,,6959,21,19,4,1275,13,136,2,11,5,,,178,12,,,1243,12,,,,,,,,,,,,,,,266,6,,,,,97,8,,,,,206,11,,,,,427,4,,,,,,,12,5,121,62,1045,12,,,,,26,3,,,,,29,22,,,,,,,,,,,,,,,51,7,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,767,10,16,3,157,6,,,,,,,,,,,,,1180,3,,,,,376,11,,,137,4,2308,8,,,,,,,8,2,,,,,,,,,62,9,26,8,,,,,,,10,2,,,1241,2,,,,,,,,,152,5,,,,,699,5,,,,,123,5,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,792,8
13,21529,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,7,,,,,,,247,9,,,8,4,47,18,1468,17,,,,,,,,,11880,11,4,27,1308,10,,,10,7,,,,,4,2,1032,17,,,,,,,,,,,,,,,281,4,,,,,,,,,,,270,4,,,,,,,,,,,,,,,552,26,1573,9,,,,,,,,,,,105,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,119,13,6,83,10,,,,,,,,,,,,,652,12,,,,,340,13,,,95,6,850,20,,,,,,,,,,,,,,,,,28,13,38,7,,,,,85,4,,,,,211,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,287,17
2243,18361,15,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,,,,,,,,,,,,,,,4,64,,,,,,,,,,,,,,,3394,7,,,,,,,,,8750,13,,,,,,,,,,,,,,,1483,11,,,,,,,,,,,,,,,,,,,,,70,10,,,,,111,18,,,,,,,,,,,,,,,589,20,153,41,,,,,,,,,,,,,,,,,,,,,,,,,,,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,9,,,,,,,,,,,,,,,,,1051,5,,,,,367,12,,,40,10,957,17,,,,,,,2,6,,,,,,,,,,,59,3,,,,,425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,58
1294,16126,16,,,,,,,,,,,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,85,13,1280,21,,,,,,,,,7583,16,11,11,1057,15,,,,,,,227,6,,,1775,6,,,,,,,,,,,,,,,127,9,,,,,,,,,,,184,12,,,,,28,12,,,,,16,3,,,1614,5,,,,,,,,,,,,,119,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,604,14,,,38,24,,,4,5,,,,,,,,,107,39,,,,,,,,,,,782,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,14,,,,,,,,,,,,,,,38,23,,,,,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,25
822,13923,17,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,,,,,,,,,,,,,,,19,20,,,,,,,,,,,3,8,18,37,1387,19,,,,,,,,,5790,28,9,14,537,25,,,,,,,303,5,,,688,28,,,,,,,,,,,,,,,44,24,,,,,,,,,,,229,8,,,,,,,,,,,,,,,675,16,861,14,,,,,,,,,,,79,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,12,9,10,64,13,,,,,,,,,,,,,1018,6,,,,,113,28,,,,,669,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,7,,,,,,,,,,,,,,,,,,,,,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,10
2425,13730,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,15,25,,,,,,,,,,,,,87,12,1160,23,,,,,,,,,4961,36,4,30,1015,17,,,4,9,57,8,185,9,,,1105,15,,,,,,,,,,,,,,,116,10,,,,,,,,,,,,,,,,,,,,,,,,,,,682,15,690,19,,,,,,,,,,,17,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,30,,,,,,,,,,,,,,,,,390,19,,,,,390,9,,,146,3,2042,10,,,,,,,,,,,,,,,,,84,4,,,,,,,,,,,,,129,17,,,,,,,,,,,,,,,,,,,,,102,6,,,,,,,,,7,15,,,,,,,,,,,,,,,,,,,147,27
25821,12889,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3606,5,,,,,,,,,5,948,4,32,,,,,,,,,,,,,3053,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,3,,,,,,,,,,,,,,,,,,,,,,,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,12139,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,,,,,,,21,33,,,,,,,1033,26,,,,,,,,,5168,35,,,1285,12,,,,,,,104,22,,,1013,19,,,,,,,,,,,,,,,143,8,,,,,,,,,,,92,19,,,,,,,,,,,,,,,110,65,266,32,,,,,,,,,,,469,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051,4,,,23,28,,,,,,,,,,,,,664,11,,,,,264,16,,,88,8,301,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
