bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
29351,21176,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801,12,,,,,,,,,5060,20,,,120,54,136,2,,,,,114,15,,,157,67,,,,,,,,,,,,,,,,,172,9,,,,,,,,,,,25,31,7,5,,,,,,,,,,,,,,,96,46,,,,,,,,,,,,,,,,,,,,,,,,,,,246,3,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,59,56,,,,,,,,,,,,,,,,,310,17,,,,,,,,,,,11586,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,38,,,,,,,,,,,,,,,,,,,,,935,1,,,,,,,,,262,5,,,,,,,,,,,,,,,,,,,,,,
181,17206,12,10,3,,,,,,,,,248,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,30,,,,,,,,,,,,,138,6,1479,14,,,,,,,,,9810,9,,,1619,8,,,7,11,,,47,29,,,946,14,,,,,,,,,,,,,,,,,113,11,,,,,179,4,,,,,168,8,,,,,,,,,,,,,,,141,51,131,41,,,,,,,,,,,,,,,,,,,5,5,,,,,,,34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,15,,,68,12,,,,,,,,,,,,,234,23,,,,,109,27,,,,,745,20,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,242,7,,,,,,,,,12,11,,,,,82,17,,,,,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,21
50381,16817,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15964,4,,,,,,,,,14,12,120,13,,,,,,,,,,,,,,,,,,,,,87,17,,,,,,,,,,,,,,,,,,,,,,,,,,,632,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15370,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,10,,,,,,,111,10,,,4,7,48,16,980,22,,,,,,,,,8058,12,7,15,1405,10,,,10,5,,,,,5,2,682,24,,,,,,,,,2,4,,,,,,,290,4,,,,,,,,,,,111,14,,,,,,,,,,,,,,,362,27,1055,14,,,,,,,,,,,146,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,124,12,5,52,16,,,,,,,,,,,,,268,20,,,,,254,14,,,40,8,843,19,,,,,,,,,,,,,,,,,21,13,22,7,,,,,32,7,,,,,167,11,,,,,,,,,,,,,,,34,27,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,298,17
320,15173,15,,,,,,,,,,,115,8,,,,,,,,,,,,,,,92,9,,,,,,,,,7,5,,,,,47,4,,,,,,,66,15,,,10,2,32,22,1037,21,,,,,338,4,,,6009,19,14,3,1307,12,16,10,,,,,129,11,,,1464,8,,,,,7,2,,,16,2,,,5,3,,,48,22,93,3,,,,,,,,,140,9,,,,,386,4,,,,,,,6,7,167,47,326,25,,,22,3,,,,,55,1,35,23,,,,,,,7,4,,,,,,,13,11,,,,,,,,,6,6,,,,,120,3,,,,,,,,,,,,,549,11,69,1,26,25,,,,,,,,,,,,,346,16,,,,,195,18,,,57,6,1050,13,,,,,,,,,4,3,,,,,,,39,9,46,4,,,,,,,,,,,76,23,,,,,11,5,4,4,13,10,,,,,139,13,,,8,1,33,12,,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,353,15
2243,14797,16,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18,,,,,,,,,,,,,,,2,73,,,,,,,,,,,,,,,2733,8,,,,,,,,,6217,16,,,,,,,,,,,,,,,1722,6,,,,,,,,,,,,,,,,,,,,,,,38,13,,,,,61,22,,,,,,,,,,,,,,,497,21,212,31,,,,,,,,,,,13,44,,,,,,,,,,,,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,5,,,,,,,,,,,,,,,,,794,5,,,,,421,8,,,20,10,852,18,,,,,,,5,4,,,,,,,,,,,39,5,,,,,283,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,74
1294,14499,17,,,,,,,,,,,69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,,,,,,,,,,,,,71,13,688,36,,,,,,,,,8671,11,2,38,746,21,,,,,,,123,12,,,1430,9,,,,,,,,,,,,,,,,,250,6,,,,,,,,,,,99,18,,,,,34,13,,,,,2,5,,,836,7,,,,,,,,,,,,,60,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,392,16,,,22,28,,,3,4,,,,,,,,,51,48,,,,,,,,,,,505,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,15,,,,,,,,,,,,,,,47,23,,,,,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,20
2425,13120,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,20,19,,,,,,,,,,,,,69,14,890,27,,,,,,,,,4858,23,2,40,1197,13,,,8,10,91,8,135,10,,,1137,11,,,,,,,,,,,,,,,,,92,15,,,,,,,,,,,10,46,,,,,,,,,,,,,,,603,13,700,17,,,,,,,,,,,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,27,,,,,,,,,,,,,,,,,268,21,,,,,387,9,,,90,4,1906,10,,,,,,,,,,,,,,,,,58,7,,,,,,,,,,,,,175,9,,,,,3,8,,,,,,,,,,,,,,,58,10,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,128,29
25821,12301,19,,,,,,,,,,,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518,10,,,,,,,,,,,11,8,,,,,,,,,,,,,3164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5334,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,3,,,,,,,,,,,,,,,,,,,,,,,17,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,11555,20,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,,,9,37,,,,,,,,,,,8,4,14,38,1069,18,,,,,,,,,4422,25,5,24,575,25,,,,,,,171,7,,,392,37,,,,,,,,,,,,,,,,,25,32,,,,,,,,,,,102,15,,,,,,,,,,,,,,,602,14,621,20,,,,,,,,,,,44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,18,6,12,60,14,,,,,,,,,,,,,494,9,,,,,130,24,,,,,588,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,10,,,,,,,,,,,,,,,,,,,,,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,5
