bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,118823,1,162,1,39,1,28,1,38,1,34,1,3046,1,29,1,28,1,35,1,465,1,44,1,38,1,38,1,,,59,1,730,1,127,1,193,1,460,1,29,1,87,1,297,1,39,1,254,1,30,1,21,1,37,1,1131,1,24,1,95,1,399,2,5699,1,34,1,25,1,530,3,51,1,30424,1,62,1,12781,1,594,1,51,1,2679,3,1294,2,35,1,45,1,4486,2,,,35,1,33,1,69,1,35,1,39,1,44,1,49,1,152,1,29,1,,,1837,1,2119,1,158,1,531,1,36,1,29,1,1246,1,446,1,,,33,1,1398,2,25,1,41,1,37,1,103,1,4507,2,2919,5,22,1,39,1,30,2,526,1,708,1,156,1,349,4,26,1,,,116,1,64,1,44,1,33,1,42,1,35,1,338,1,254,1,29,1,35,1,40,2,108,1,515,1,129,1,1542,1,210,2,40,1,57,1,38,1,26,1,39,1,27,1,1126,5,34,1,622,2,18,1,,,26,1,27,2,32,1,36,1,21,1,36,1,,,40,1,3477,2,37,1,33,1,3283,2,33,1,40,1,609,1,8451,2,28,1,34,1,34,1,30,1,30,1,43,1,41,1,33,1,148,3,156,1,334,1,325,1,,,398,1,377,3,,,34,2,1001,2,66,1,,,247,1,,,513,1,1,1,686,2,50,1,225,1,1097,3,45,1,,,556,3,93,1,526,1,57,1,41,1,2121,2,,,21,1,,,21,1,,,42,1,32,1,41,1,28,1,33,1,,,2861,8
2223,87380,2,,,,,,,,,,,1630,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,10,,,,,,,1123,2,,,,,256,4,2093,14,,,,,,,,,18050,3,,,6820,2,,,,,2753,2,1803,1,,,,,4021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,3,,,,,347,5,,,,,,,,,5215,1,3073,4,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,275,2,,,,,,,,,,,24,3,,,,,90,3,,,,,,,,,,,,,843,8,,,844,1,,,,,,,,,,,,,,,,,,,,,6408,1,,,,,10734,1,,,,,,,4880,5,,,,,,,,,,,,,,,,,,,7,4,,,216,2,,,,,123,7,,,,,288,9,,,,,,,,,,,,,585,3,,,,,6390,1,,,,,561,2,,,,,,,,,2717,1,,,,,,,,,,,6,8,,,,,,,,,,,5061,4
10816,58273,3,,,,,,,,,,,403,6,,,,,19,3,,,,,,,26,2,,,28,2,131,9,,,,,,,,,,,23,2,,,49,12,,,,,,,350,7,,,,,156,8,3939,5,,,,,108,8,,,13806,5,,,4262,3,86,4,,,555,5,400,6,,,,,2164,6,,,,,,,,,,,,,,,,,,,,,,,483,6,83,6,,,158,8,,,,,605,3,,,,,,,417,4,,,,,,,,,2191,3,1958,9,,,,,,,,,,,32,2,158,7,,,,,,,,,,,,,,,,,,,87,3,,,,,,,,,,,,,,,,,,,,,,,,,24,2,,,810,10,22,2,290,4,,,28,1,,,,,,,,,,,,,,,,,1663,5,,,,,2058,3,,,,,215,6,3888,7,,,,,,,,,,,,,,,,,24,6,,,117,6,,,,,,,90,8,,,,,593,4,,,,,,,,,86,2,,,,,,,24,3,277,9,,,,,168,7,,,,,,,,,1299,4,,,,,,,21,2,,,18,2,,,,,,,,,,,13881,1
1406,57082,4,40,2,,,,,,,,,11,21,,,,,19,2,78,3,,,,,,,,,,,447,2,,,,,,,,,,,,,,,59,8,,,,,,,211,11,,,20,3,301,3,3719,7,,,,,669,1,,,21188,2,12,6,4063,4,71,5,15,4,404,6,887,4,,,,,3121,4,60,1,,,,,11,2,,,,,,,,,,,,,,,728,3,,,,,490,2,,,,,215,11,79,4,,,11,3,2052,1,,,,,,,21,3,1789,6,2639,6,,,21,3,13,3,,,,,,,54,17,,,,,,,9,6,,,,,,,,,82,6,53,6,,,,,,,,,,,,,,,56,4,,,,,,,,,,,,,1524,1,15,4,365,3,,,,,,,52,1,,,,,,,,,,,,,766,10,,,,,694,7,,,,,182,7,5718,3,,,,,,,,,,,10,4,15,2,,,731,1,,,36,12,59,5,,,,,333,4,,,,,628,3,,,,,,,,,,,,,,,,,,,444,8,,,,,230,5,10,4,,,,,,,190,9,,,,,,,9,4,,,12,5,,,,,,,11,3,,,1330,11
2093,47631,5,,,,,,,,,,,68,13,,,,,,,15,5,,,,,,,,,,,64,10,,,,,9,6,9,2,,,,,,,40,16,15,2,,,,,123,18,,,,,59,18,1874,16,,,,,,,,,17259,4,16,5,1688,14,,,,,79,15,175,18,,,,,1191,17,,,,,,,,,18,2,,,,,,,,,12,2,,,111,20,13,7,,,66,12,,,,,108,19,14,6,,,,,150,9,,,,,,,,,1167,7,6221,1,,,22,2,12,4,,,,,,,189,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,7,,,,,,,,,,,,,573,14,,,63,18,,,,,,,,,,,,,,,,,,,,,506,16,,,,,602,11,,,,,,,1653,11,,,,,13,2,,,,,,,,,,,,,,,55,11,18,13,,,,,,,19,2,,,170,15,,,9,2,,,,,,,,,469,5,,,,,85,14,,,,,68,15,,,,,,,,,863,6,,,,,,,,,,,15,3,,,,,,,,,19,1,11596,2
2397,39275,6,23,3,19,2,,,14,2,,,1140,3,,,,,18,4,145,2,,,18,2,,,,,23,3,442,3,,,,,30,5,,,41,2,20,3,,,76,3,,,16,2,25,2,373,5,,,20,4,514,1,3630,8,,,,,386,4,,,13777,6,17,3,2237,7,58,6,17,2,3267,1,292,8,,,,,1563,12,,,,,14,2,,,,,,,,,22,2,,,,,,,748,2,,,17,2,188,7,,,,,397,5,106,2,,,21,2,33,15,,,,,16,2,34,2,1015,11,1598,10,,,,,,,89,2,82,2,,,42,20,25,2,,,,,21,2,,,,,22,3,19,2,80,7,51,7,,,,,,,87,2,16,6,,,,,16,8,,,,,,,,,,,,,462,15,18,3,259,5,,,,,,,27,3,,,,,,,22,2,,,,,754,12,17,2,,,512,13,,,,,,,1815,10,,,,,,,,,,,23,2,,,,,52,4,,,122,5,58,6,,,,,154,5,,,,,437,5,38,2,,,37,4,,,,,,,69,8,,,17,4,466,7,,,,,165,8,19,3,,,,,20,2,63,12,31,1,,,,,14,3,,,13,4,,,,,,,22,2,,,609,18
2181,32280,7,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,258,6,,,,,,,,,,,,,,,49,11,,,,,,,224,10,,,,,217,5,2079,15,,,,,338,5,,,8555,13,18,2,2400,6,155,2,13,5,,,305,7,,,,,1609,11,,,,,,,,,,,,,,,,,,,,,,,234,8,,,,,113,10,,,,,371,7,,,,,,,335,6,,,,,,,21,4,976,12,1056,13,,,,,,,49,3,,,,,49,18,,,,,,,,,,,,,,,12,3,50,8,68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,6,15,5,161,7,,,,,,,,,,,,,,,,,,,,,1504,6,,,,,413,15,,,,,216,5,2433,8,,,,,,,,,,,17,3,,,,,35,5,,,75,9,38,8,,,,,26,12,22,1,,,1495,1,,,,,,,,,,,,,243,6,,,,,872,5,,,,,188,6,20,2,,,,,,,,,,,,,,,,,,,10,6,,,,,,,,,,,3881,6
463,27726,8,,,8,4,,,,,,,,,,,,,,,15,4,,,,,,,,,,,32,13,,,,,,,,,7,6,,,,,40,15,,,,,,,263,8,,,,,88,12,2639,11,,,,,,,,,12919,7,2,49,1176,19,17,17,7,10,16,21,164,21,,,,,1414,14,,,,,,,,,,,,,,,,,,,,,,,80,23,,,,,29,14,,,,,113,17,,,,,,,71,11,,,,,,,,,898,14,3159,3,,,,,,,,,,,,,86,13,,,,,,,9,5,,,,,,,,,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,21,5,11,49,22,,,,,,,,,,,,,,,,,,,,,431,19,,,,,1050,4,,,,,,,1547,12,,,,,,,,,,,,,,,,,,,,,,,16,14,,,,,20,14,,,,,161,17,,,,,,,,,,,,,64,10,,,,,63,15,,,,,79,14,,,,,,,,,31,16,,,,,,,,,,,,,,,,,,,,,,,622,17
811,26486,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,5,,,,,,,21,36,,,,,,,1643,19,,,,,,,,,5522,21,5,23,1776,13,,,,,,,190,14,,,,,1796,9,,,,,,,,,,,,,,,9,4,,,,,,,713,5,,,,,,,,,,,236,9,,,,,,,,,,,,,,,,,119,71,453,23,,,,,,,,,,,,,664,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,3,,,30,28,,,,,,,,,,,,,,,,,,,,,749,13,,,,,684,8,,,,,454,2,378,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9722,3
2162,24256,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,,,5,64,,,,,,,145,16,,,,,21,34,1621,20,,,,,,,,,11912,9,,,805,25,,,,,,,165,20,,,,,864,21,,,,,10,3,,,,,,,,,,,,,,,,,18,42,,,,,,,,,,,175,14,,,,,,,9,18,,,,,,,9,8,636,20,179,45,,,,,,,9,4,,,,,65,16,,,,,,,,,,,,,,,,,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,48,4,16,,,,,,,,,,,,,,,,,,,,,,,506,17,,,,,392,16,,,,,14,12,5207,4,,,,,,,,,,,,,,,,,4,10,,,,,5,18,,,,,21,13,,,,,105,24,,,,,,,,,,,,,,,,,,,30,25,,,,,122,9,,,,,,,,,34,15,,,,,,,,,,,,,,,,,,,,,,,1015,13
