bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
463,20940,11,,,7,3,,,,,,,,,,,,,,,5,5,,,,,,,,,41,12,,,,,,,,,10,6,,,,,21,18,,,,,,,230,8,,,,,57,14,1896,12,,,,,,,,,11431,6,3,24,,,22,10,4,11,,,162,10,,,,,,,,,,,,,,,,,,,,,,,135,11,,,,,25,15,,,,,134,12,,,,,47,14,,,,,,,,,948,9,1684,9,,,,,,,,,,,,,45,14,,,,,10,3,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,16,3,14,42,19,,,,,,,,,,,,,,,,,,,336,16,,,,,797,5,,,,,1507,10,,,,,,,,,,,,,,,,,,,23,11,,,,,11,10,,,,,129,15,,,,,,,,,,,52,9,,,,,30,24,,,,,59,10,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,702,10
50381,18475,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,33,,,,,,,,,,,16453,4,,,432,32,,,,,17,19,155,11,,,303,44,,,,,,,,,,,,,,,,,,,178,9,,,,,,,,,,,,,,,,,,,,,,,,,,,594,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17827,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,11,,,,,,,121,14,,,6,6,51,16,1316,19,,,,,4,13,,,9164,10,4,17,1843,9,,,5,9,,,,,8,2,622,24,,,,,,,,,,,,,,,,,,,612,3,,,,,,,,,,,125,14,,,,,,,,,,,,,,,353,30,1369,11,,,,,,,,,,,,,70,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,133,6,9,29,23,,,,,,,,,,,,,,,,,,,194,23,,,,,356,15,,,40,9,830,17,,,,,,,,,,,,,,,,,24,12,48,7,,,,,53,6,,,,,125,16,,,,,,,,,,,,,,,,,30,23,,,,,,,,,,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,,368,18
25821,17630,14,,,,,,,,,,,266,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3598,5,,,,,,,,,1335,70,7,10,1544,11,,,,,,,,,,,4349,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2749,2
320,17020,15,,,,,,,,,,,137,9,,,,,,,,,,,,,8,1,,,102,9,,,,,,,,,18,4,,,,,58,6,,,,,,,92,15,,,9,2,27,21,1124,21,,,,,149,6,,,7540,15,11,6,1289,12,23,9,,,56,13,180,9,,,1001,16,,,,,,,6,3,,,7,3,,,7,3,,,64,20,69,6,,,,,,,,,239,5,,,,,359,4,,,,,,,12,4,255,40,357,26,,,,,10,4,,,,,7,3,51,12,,,,,9,4,,,,,,,36,8,,,,,,,,,9,4,,,,,46,6,,,,,,,,,,,,,786,7,15,2,45,16,,,,,2,5,,,,,,,,,,,,,959,5,,,,,191,24,,,62,7,837,16,,,,,,,,,8,2,,,,,,,114,4,57,5,,,,,,,,,,,106,19,,,,,12,5,,,9,4,38,10,,,,,44,12,,,5,1,59,9,,,,,,,,,42,9,,,,,,,,,,,,,,,,,,,,,,,262,20
181,16571,16,8,5,,,,,,,,,241,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,97,9,1629,15,,,,,,,,,8384,11,,,1908,8,,,6,8,,,76,27,,,1139,13,,,,,,,,,,,,,,,,,,,133,12,,,,,227,4,,,,,97,19,,,,,,,,,,,,,,,438,28,151,46,,,,,,,,,,,,,,,,,,,8,6,,,,,,,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,17,,,47,14,,,,,,,,,,,,,,,,,,,209,22,,,,,164,27,,,,,694,19,,,,,,,,,,,,,172,2,,,,,,,,,1,2,,,,,,,159,12,,,,,,,,,,,16,14,,,,,43,13,,,,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,25
1294,15359,17,,,,,,,,,,,62,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,21,,,,,,,,,,,,,54,15,897,27,,,,,,,,,7967,13,4,19,780,22,,,,,,,112,19,,,2465,5,,,,,,,,,,,,,4,5,,,,,149,10,,,,,,,,,,,129,13,,,,,50,13,,,,,1,7,,,1149,7,,,,,,,,,,,,,,,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,381,12,,,24,25,,,,,5,4,,,,,,,,,,,,,53,39,,,,,,,,,,,563,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,14,,,,,,,,,,,,,,,,,36,18,,,,,11,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,21
27443,12436,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,15,,,,,,,78,16,,,8,5,47,17,678,32,,,,,,,,,559,124,12,5,723,24,36,6,,,,,148,12,,,384,40,,,,,,,,,,,,,,,,,,,,,,,,,48,13,,,,,,,,,,,,,,,,,,,,,472,26,2352,5,,,,,,,,,,,,,2208,1,,,,,,,,,,,,,,,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,244,20,,,,,,,,,,,,,,,,,,,,,,,285,18,,,,,405,12,,,,,632,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3017,1
2425,12409,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,16,25,,,,,,,47,20,,,,,66,11,1016,24,,,,,,,,,3579,30,5,14,1015,20,,,8,5,100,10,137,14,,,1462,10,,,,,,,,,,,,,,,,,,,100,15,,,,,,,,,,,80,23,,,,,,,,,,,,,,,600,18,646,17,,,,,,,,,,,,,16,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,24,,,,,,,,,,,,,,,,,,,,,,,234,19,,,,,636,8,,,72,6,2057,7,,,,,,,,,,,,,,,,,45,10,,,,,,,,,,,,,79,22,,,,,3,7,,,,,,,,,,,,,,,,,52,11,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,,,152,28
811,12114,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,4,,,,,,,26,28,,,,,,,1474,17,,,,,,,,,4306,26,,,1923,7,,,,,,,82,25,,,1134,14,,,,,,,,,,,,,5,3,,,,,380,5,,,,,,,,,,,107,16,,,,,,,,,,,,,,,135,62,251,34,,,,,,,,,,,,,258,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,8,,,17,34,,,,,,,,,,,,,,,,,,,378,14,,,,,477,10,,,61,8,272,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
