,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,13,31606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,4,,,,,,,142,13,,,7,5,51,19,2423,15,,,,,,,,,15953,7,5,31,3765,8,,,4,11,,,,,4,2,1075,16,,,,,,,,,,,1,4,,,,,,,459,4,,,,,,,,,,,511,6,,,,,,,,,,,,,,,1164,20,1767,12,,,,,,,,,,,,,158,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,123,5,11,69,18,,,,,,,,,,,,,,,,,458,18,,,,,377,13,,,111,9,1947,14,,,,,,,,,,,,,,,,,22,14,78,7,,,,,124,5,,,,,282,14,,,,,,,,,,,,,,,,,41,27,,,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,444,15
11,12,2162,28500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,,,3,78,,,,,,,263,8,,,,,15,45,1527,26,,,,,,,,,12221,12,,,2,133,,,,,,,125,24,,,896,21,,,,,4,3,,,,,,,,,,,,,49,26,,,,,,,,,,,205,18,,,,,,,,,,,,,7,8,712,32,7,105,,,,,,,6,4,,,,,113,9,,,,,,,,,,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,50,3,16,,,,,,,,,,,,,,,,,,,637,14,,,,,246,20,,,11,11,10328,3,,,,,,,,,,,,,4,9,,,,,3,19,,,,,,,,,,,88,33,,,,,,,,,,,,,,,,,69,22,,,,,116,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,8
12,13,320,27583,,,,,,,,,,,197,7,,,,,,,,,,,,,,,227,8,,,,,,,,,18,3,,,,,60,9,,,,,,,122,15,,,8,4,32,26,1845,22,,,,,324,6,,,10282,14,20,4,2065,13,42,7,,,17,16,335,6,,,4297,3,,,,,,,8,3,,,3,3,,,14,2,,,66,21,41,5,,,,,,,,,518,5,,,,,330,4,,,,,,,16,3,476,42,388,30,,,,,8,4,,,,,19,2,53,14,,,,,,,18,4,,,,,,,55,9,,,,,,,,,12,6,,,,,42,4,,,,,,,,,,,,,1015,9,23,2,54,24,,,,,,,,,,,,,,,,,994,8,,,,,234,21,,,118,8,2219,12,,,,,,,,,9,3,,,,,,,77,11,93,5,,,,,,,,,,,103,32,,,,,21,5,,,10,4,17,11,,,,,253,13,,,10,1,80,11,,,,,,,,,38,10,,,,,,,,,,,,,,,,,,,,,257,22
13,14,2181,26975,,,,,,,,,,,,,,,,,,,,,15,2,,,,,325,5,,,,,,,,,,,,,,,28,19,,,,,,,167,12,,,,,136,7,2037,19,,,,,444,5,,,8456,20,14,6,1295,20,142,3,9,7,,,195,19,,,1344,12,,,,,,,,,,,,,,,,,,,241,6,,,,,144,11,,,,,291,11,,,,,259,6,,,,,,,12,5,59,113,1204,14,,,,,,,50,2,,,,,27,27,,,,,,,,,,,,,,,69,8,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,890,11,13,7,220,5,,,,,,,,,,,,,,,,,1827,3,,,,,327,18,,,191,4,2529,9,,,,,,,9,4,,,,,59,5,,,90,9,36,9,,,,,,,11,2,,,1060,2,,,,,,,,,,,197,4,,,,,1120,6,,,,,139,8,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233,6
14,15,463,25719,,,17,3,,,,,,,,,,,,,,,,,,,,,,,46,14,,,,,,,,,11,5,,,,,32,16,,,,,,,283,7,,,,,59,15,2195,17,,,,,,,,,13354,9,12,7,,,17,13,11,5,,,143,21,,,,,,,,,,,,,,,,,,,,,,,161,10,,,,,26,15,,,,,77,24,,,,,45,13,,,,,,,,,981,25,3658,5,,,,,,,,,,,,,62,13,,,,,,,10,7,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,20,13,6,48,27,,,,,,,,,,,,,,,,,475,17,,,,,727,8,,,,,2032,13,,,,,,,,,,,,,,,,,,,20,13,,,,,20,9,,,,,131,26,,,,,,,,,,,25,9,,,,,69,21,,,,,72,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,13
15,16,2243,25194,,,,,,,,,,,,,,,,,,,,,,,,,,,48,13,,,,,,,,,,,,,,,8,52,,,,,,,,,,,,,,,6723,2,,,,,,,,,8971,17,,,,,,,,,,,,,,,2227,7,,,,,,,,,,,,,,,,,,,,,,,,,210,9,,,,,231,16,,,,,,,,,,,,,,,1315,17,239,37,,,,,,,,,,,,,10,53,,,,,,,,,,,,,,,96,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,5,,,,,,,,,,,,,,,,,,,,,81,44,,,,,1146,4,,,48,10,1579,17,,,,,,,6,5,,,,,,,,,,,115,3,,,,,769,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,61
16,17,811,22004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,3,,,,,,,25,34,,,,,,,2080,18,,,,,,,,,7585,23,,,4975,4,,,,,,,211,16,,,1231,14,,,,,,,,,,,,,,,,,,,233,7,,,,,,,,,,,206,17,,,,,,,,,,,,,,,208,67,448,24,,,,,,,,,,,,,242,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,3,,,74,17,,,,,,,,,,,,,,,,,952,9,,,,,855,6,,,231,3,794,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,822,21411,,,,,,,,,,,,,,,,,,,,,,,,,,,48,12,,,,,,,,,,,,,,,58,12,,,,,,,,,,,5,6,26,30,2814,14,,,,,,,,,7333,25,1,46,2047,15,,,,,,,461,5,,,953,20,,,,,,,,,,,,,,,,,,,59,22,,,,,,,,,,,288,12,,,,,,,,,,,,,,,1912,13,870,17,,,,,,,,,,,,,53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,12,3,15,78,16,,,,,,,,,,,,,,,,,910,10,,,,,116,29,,,,,1546,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,9,,,,,,,,,,,,,,,,,,,,,,,21,22,,,,,,,,,10,14,,,,,,,,,,,,,,,,,,,,,644,9
18,19,2425,16932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,29,18,,,,,,,,,,,,,83,12,1349,34,,,,,,,,,5681,32,6,27,1109,21,,,7,9,85,9,279,8,,,1032,17,,,,,,,,,,,,,,,,,,,121,15,,,,,,,,,,,115,21,,,,,,,,,,,,,,,1041,24,705,21,,,,,,,,,,,,,12,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,26,,,,,,,,,,,,,,,,,,,,,447,19,,,,,417,11,,,154,7,3436,7,,,,,,,,,,,,,,,,,99,7,,,,,,,,,,,,,133,25,,,,,13,7,,,,,,,,,,,,,,,,,119,9,,,,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,156,31
19,20,2136,16789,,,,,,,,,,,,,,,,,,,,,,,,,,,270,7,,,,,,,,,,,,,,,,,,,,,,,340,6,,,,,,,5378,6,,,,,,,,,4458,41,11,8,270,46,,,,,414,4,,,,,332,52,,,,,,,,,,,,,,,,,,,,,,,,,215,8,,,,,293,10,,,,,,,,,,,,,,,1251,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,,,,,,,,,,,,,,,,,,,,,1424,4,,,,,,,,,,,,,,,,,,,,,1331,5,,,,,,,,,,,115,67,,,,,,,,,,,,,43,7,,,196,2,,,,,,,,,2,3,,,304,12,,,,,,,,,,,,,,,,,89,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,77
