bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
171,120900,1,171,1,39,1,26,1,,,41,1,2638,1,17,1,27,1,23,1,280,1,21,1,18,1,46,1,381,2,20,1,60,1,136,1,18,1,38,2,196,1,30,1,328,1,18,1,23,1,26,1,827,1,18,1,43,1,544,1,7217,1,18,1,31,1,475,3,,,33831,1,53,1,16575,1,436,1,73,1,1891,1,937,1,41,1,4198,1,10,1,19,1,35,1,20,1,13,1,49,1,100,1,1174,1,846,1,29,1,457,1,20,1,1,1,979,1,169,1,14,1,1732,1,13,1,23,1,26,1,80,1,4189,1,5037,3,14,2,22,2,279,1,454,1,73,1,630,2,17,1,,,37,1,40,1,32,1,19,1,19,1,290,2,310,1,14,1,,,52,1,50,1,75,1,464,1,135,2,19,1,14,1,15,1,19,1,31,1,13,1,1286,3,32,1,620,1,,,17,1,25,1,18,1,20,1,,,2717,1,16,1,17,1,4900,1,18,1,454,1,9526,2,14,1,19,1,32,1,16,1,17,1,20,1,154,2,16,1,393,1,180,1,,,231,1,549,1,,,31,2,1180,2,40,1,,,101,1,113,1,3,1,627,1,30,1,172,1,2791,1,24,1,,,334,2,46,1,84,1,26,1,17,1,1752,1,,,25,1,,,22,1,,,31,2,17,1,22,1,18,1,2086,2
1406,56353,2,16,2,,,,,,,,,29,11,,,,,,,,,,,,,,,294,3,,,,,,,,,,,,,,,63,4,,,,,,,267,8,,,8,4,344,3,4608,4,,,,,569,1,,,20849,3,35,2,3034,2,53,5,16,3,204,3,16,66,,,2677,3,,,,,,,,,,,,,,,372,3,,,,,263,3,,,,,219,8,21,2,6,3,977,2,,,,,,,2,8,1842,4,2265,6,5,3,13,4,,,,,,,,,,,,,,,4,5,,,,,,,100,5,,,,,,,,,,,,,,,78,4,,,,,,,,,,,,,9456,1,6,10,205,4,,,2,6,,,,,,,,,995,5,,,,,389,9,,,65,8,3171,5,,,,,,,7,2,4,3,,,262,1,,,57,11,,,,,,,260,3,,,,,493,4,,,,,,,,,,,,,,,,,183,9,,,,,127,4,,,,,,,,,193,5,,,,,,,6,4,,,,,,,,,9,2,1214,6
10816,38020,3,,,,,,,,,,,296,4,,,,,,,,,,,,,7,3,134,7,,,,,,,,,,,11,3,,,30,14,,,,,,,238,9,,,,,221,4,3276,9,,,,,29,9,,,16582,5,,,2507,4,54,4,,,173,5,23,50,,,1951,4,,,,,,,,,,,,,,,271,4,12,6,,,100,7,,,,,292,3,,,,,132,9,,,,,,,,,1483,5,1990,7,,,,,,,,,8,3,323,6,,,,,,,,,,,,,,,,,28,6,,,,,,,,,,,,,,,,,,,,,,,14,2,,,785,8,6,11,176,5,4,1,,,,,,,,,,,936,6,,,,,785,4,,,93,5,3848,4,,,,,,,,,,,,,60,3,,,67,7,,,,,,,,,,,,,450,5,,,,,,,7,4,,,,,,,21,2,375,7,,,,,98,7,,,,,,,,,104,6,,,,,,,8,2,,,,,,,,,,,12,100
2223,33338,4,,,,,,,,,,,560,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,9,,,,,,,545,2,,,,,,,2207,11,,,,,,,,,10255,13,,,169,44,,,,,,,655,2,,,1633,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,180,8,,,,,,,,,2897,2,2728,5,,,3,5,,,,,,,,,,,,,,,,,,,,,,,370,1,,,,,,,,,,,,,,,114,3,,,,,,,,,,,,,610,13,,,243,2,,,,,,,,,,,,,1562,2,,,,,2473,2,,,,,3153,6,,,,,,,,,,,,,,,8,4,,,103,2,,,,,42,6,,,,,224,11,,,,,,,,,,,252,2,,,,,539,6,,,,,162,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601,4
2397,32225,5,12,3,17,2,,,16,1,,,432,3,,,,,15,2,87,2,,,,,10,2,456,1,,,,,,,,,49,1,49,2,,,61,6,,,6,2,6,2,277,6,,,10,3,112,9,4346,5,,,,,222,4,,,11804,7,10,11,1714,7,18,9,7,8,1527,2,140,15,,,1324,11,,,5,4,,,,,,,11,2,,,604,2,,,12,2,122,6,,,,,269,4,14,4,12,2,29,12,,,,,11,2,23,2,593,19,1523,8,,,,,32,2,15,2,,,31,22,10,2,,,,,10,3,,,,,6,2,83,6,51,4,,,,,24,2,7,5,,,,,6,8,,,,,,,,,,,,,396,16,12,4,207,3,,,11,2,,,,,3,2,,,559,14,6,2,,,924,3,,,,,1578,11,,,,,,,3,5,,,,,44,4,,,65,8,47,6,,,,,66,4,,,,,494,3,12,3,,,8,6,,,,,52,7,,,10,4,1117,3,,,,,,,13,3,,,,,5,2,37,10,8,1,,,,,7,3,,,,,,,,,9,3,302,16
50381,29046,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27994,2,,,,,,,,,11,14,247,5,,,,,,,,,,,,,,,,,,,52,21,,,,,,,,,,,,,,,,,,,,,,,,,,,742,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,25647,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,,,,,8,42,,,,,,,147,12,,,,,17,37,1417,18,,,,,,,,,10897,10,,,1,125,,,,,,,80,26,,,867,22,,,5,3,,,,,,,,,,,15,40,,,,,,,,,,,184,12,,,,,,,,,,,,,6,6,635,17,6,93,,,,,6,4,,,,,87,10,,,,,,,,,,,,,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,51,4,15,,,,,,,,,,,,,,,631,10,,,,,171,20,,,20,11,9164,3,,,,,,,,,,,,,7,6,,,,,4,14,,,,,,,,,,,102,21,,,,,,,,,,,,,,,,,61,20,,,,,79,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,7
2093,24772,8,,,,,,,,,,,18,12,,,,,,,10,3,,,,,,,38,10,,,,,6,4,9,3,,,,,,,26,17,7,2,,,,,78,16,,,,,40,22,1037,28,,,,,,,,,10670,12,12,8,973,16,,,,,30,11,52,33,,,637,27,,,,,,,17,2,,,,,,,39,26,8,7,,,28,14,,,,,89,22,,,,,129,10,,,,,,,,,446,27,5193,2,18,1,,,,,2,3,,,465,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,194,31,,,18,31,,,,,,,,,,,,,220,26,,,,,270,14,,,,,1433,12,,,,,10,2,,,,,,,,,,,37,13,8,11,,,,,,,17,1,,,122,20,,,,,,,,,,,210,3,,,,,63,19,,,,,32,15,,,,,,,,,281,3,,,,,,,,,,,32,1,,,,,,,1694,3
463,23506,9,,,11,3,,,,,,,,,,,,,,,,,,,,,,,26,12,,,,,,,,,4,7,,,,,33,11,,,,,,,275,7,,,,,90,11,2198,12,,,,,,,,,12260,6,,,,,17,11,,,,,133,16,,,,,,,,,,,,,,,,,,,90,13,,,,,38,12,,,,,101,19,,,,,28,13,,,,,,,,,779,10,2741,4,,,,,,,,,,,114,8,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,17,10,5,50,18,,,,,,,,,,,,,508,15,,,,,784,5,,,,,1987,10,,,,,,,,,,,,,,,,,,,21,9,,,,,27,8,,,,,164,14,,,,,,,,,,,49,8,,,,,83,17,,,,,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,10
29351,23498,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828,14,,,,,,,,,5425,20,,,148,51,104,3,,,,,91,21,,,139,77,,,,,,,,,,,,,,,162,8,,,,,,,,,,,31,28,9,5,,,,,,,,,,,,,,,89,51,,,,,,,,,,,,,,,,,,,,,,,,,,,277,3,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,56,64,,,,,,,,,,,,,,,,,346,20,,,,,,,,,,,13252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,49,,,,,,,,,,,,,,,,,,,,,,,1201,1,,,,,,,,,205,4,,,,,,,,,,,,,,,,,,,,
2921,22833,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38,,,,,,,,,,,,,,,825,35,,,,,,,,,20010,4,,,,,,,,,,,,,,,349,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,11,,,,,,,,,,,61,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,19,,,,,,,,,,,,,,,,,,,,,,,165,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,22486,12,,,,,,,,,,,108,7,,,,,,,,,,,,,,,86,9,,,,,,,,,13,4,,,,,107,2,,,,,,,115,14,,,12,2,46,19,1399,19,,,,,134,6,,,11731,8,23,5,1366,10,28,6,,,,,168,11,,,1590,7,,,,,11,2,,,13,2,,,11,2,44,24,19,5,,,,,,,,,236,6,,,,,395,5,,,,,,,9,5,302,36,397,24,,,14,3,,,,,14,2,51,17,,,,,,,10,2,,,,,,,52,8,,,,,,,,,9,3,,,,,48,6,,,,,,,,,,,,,648,11,17,2,39,25,,,,,,,,,,,,,687,9,,,,,223,18,,,92,6,1312,13,,,,,,,,,10,2,,,,,,,76,6,61,4,,,,,,,,,,,78,24,,,,,15,3,11,2,,,40,9,,,,,126,14,,,7,1,32,14,,,,,,,,,52,8,,,,,,,,,,,,,,,,,,,399,11
2181,22047,13,,,,,,,,,,,,,,,,,,,,,10,2,,,,,206,4,,,,,,,,,,,,,,,28,15,,,,,,,121,13,,,,,198,5,1593,16,,,,,154,5,,,6847,16,26,4,1247,12,135,2,12,5,,,165,13,,,1247,12,,,,,,,,,,,,,,,264,6,,,,,95,8,,,,,224,7,,,,,425,4,,,,,,,10,3,90,75,940,14,,,,,14,3,,,,,27,25,,,,,,,,,,,,,,,58,7,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,659,10,16,3,164,6,,,,,,,,,,,,,1201,3,,,,,297,13,,,114,4,1993,9,,,,,,,4,4,,,,,,,,,61,10,22,8,,,,,,,8,2,,,1496,1,,,,,,,,,,,151,5,,,,,780,5,,,,,119,5,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,785,8
181,20573,14,11,4,,,,,,,,,201,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,10,,,,,,,,,,,,,142,6,2060,13,,,,,,,,,10969,9,,,1891,5,,,15,4,,,114,18,,,1538,9,,,,,,,,,,,,,,,108,11,,,,,297,2,,,,,196,11,,,,,,,,,,,,,,,233,42,153,41,,,,,,,,,,,,,,,,,,,5,4,,,,,,,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,15,,,83,9,,,,,,,,,,,,,285,24,,,,,160,23,,,,,835,20,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,244,10,,,,,,,,,,,13,10,,,,,131,13,,,,,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,21
1294,18374,15,,,,,,,,,,,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13,,,,,,,,,,,,,68,14,1181,21,,,,,,,,,10673,11,9,13,906,17,,,,,,,202,8,,,1672,5,,,,,,,,,,,,,,,131,9,,,,,,,,,,,133,16,,,,,53,11,,,,,6,4,,,1338,6,,,,,,,,,,,,,78,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,,,,,,,,,,,,,602,14,,,59,15,,,8,3,,,,,,,,,81,42,,,,,,,,,,,731,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,18,,,,,,,,,,,,,,,,,42,22,,,,,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,23
2243,17555,16,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,,,,,,,,,,,,,,,9,41,,,,,,,,,,,,,,,3711,6,,,,,,,,,7553,15,,,,,,,,,,,,,,,1587,8,,,,,,,,,,,,,,,,,,,,,46,11,,,,,92,21,,,,,,,,,,,,,,,618,18,220,36,,,,,,,,,,,,,,,,,,,,,,,,,,,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,7,,,,,,,,,,,,,,,,,1113,4,,,,,345,11,,,37,10,898,19,,,,,,,7,3,,,,,,,,,,,50,5,,,,,354,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,57
13,17102,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,8,,,,,,,190,11,,,2,9,55,18,1493,17,,,,,,,,,8496,14,1,43,1210,13,,,5,10,,,,,5,2,882,20,,,,,,,,,1,4,,,,,269,5,,,,,,,,,,,212,9,,,,,,,,,,,,,,,433,28,1264,9,,,,,,,,,,,73,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,117,5,12,67,12,,,,,,,,,,,,,480,18,,,,,316,12,,,91,7,936,18,,,,,,,,,,,,,,,,,23,14,43,7,,,,,47,5,,,,,179,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,274,17
2425,14050,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,21,21,,,,,,,,,,,,,88,12,1144,22,,,,,,,,,5010,23,8,18,1016,14,,,4,13,78,7,209,7,,,1186,13,,,,,,,,,,,,,,,112,10,,,,,,,,,,,,,,,,,,,,,,,,,,,754,11,708,18,,,,,,,,,,,10,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,29,,,,,,,,,,,,,,,,,402,19,,,,,452,8,,,117,3,2055,8,,,,,,,,,,,,,,,,,65,9,,,,,,,,,,,,,158,15,,,,,,,,,,,,,,,,,,,,,,,106,6,,,,,,,,,9,12,,,,,,,,,,,,,,,,,,,122,27
25821,12923,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3472,7,,,,,,,,,,,7,21,,,,,,,,,,,,,2755,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5346,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,2,,,,,,,,,,,,,,,,,,,,,,,9,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,12596,20,,,,,,,,,,,,,,,,,,,,,,,,,,,26,13,,,,,,,,,,,,,,,19,22,,,,,,,,,,,3,8,13,41,1710,15,,,,,,,,,4544,25,8,17,580,24,,,,,,,313,3,,,549,30,,,,,,,,,,,,,,,35,27,,,,,,,,,,,209,10,,,,,,,,,,,,,,,719,13,729,16,,,,,,,,,,,33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,12,4,14,87,8,,,,,,,,,,,,,894,7,,,,,124,28,,,,,760,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,9,,,,,,,,,,,,,,,,,,,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,12
2136,11730,21,,,,,,,,,,,,,,,,,,,,,,,,,,,138,6,,,,,,,,,,,,,,,,,,,,,,,292,5,,,,,,,5167,3,,,,,,,,,2749,46,10,10,141,53,,,,,190,4,,,,,262,57,,,,,,,,,,,,,,,,,,,,,160,5,,,,,150,15,,,,,,,,,,,,,,,277,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,821,6,,,,,,,,,,,,,,,,,714,8,,,,,,,,,,,80,65,,,,,,,,,,,,,,,,,97,4,,,,,,,,,4,3,,,357,7,,,,,,,,,,,,,,,,,87,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,65
2392,9892,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16,,,,,,,213,10,,,,,,,851,34,,,,,,,,,5245,21,,,493,27,,,21,2,76,8,,,,,1169,14,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31,,,,,,,,,,,,,,,409,29,338,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,21,,,38,26,,,,,,,,,,,,,321,22,,,,,145,26,,,,,,,,,,,,,,,,,,,,,,,7,23,,,,,,,8,11,,,,,150,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,35
811,9750,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,,,,,,,31,25,,,,,,,1070,25,,,,,,,,,2911,43,,,1412,9,,,,,,,99,20,,,965,17,,,,,,,,,,,,,,,195,7,,,,,,,,,,,98,20,,,,,,,,,,,,,,,75,82,200,37,,,,,,,,,,,354,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114,4,,,15,32,,,,,,,,,,,,,561,13,,,,,232,17,,,45,9,332,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,8992,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,12,,,,,,,,,,,,,115,8,1113,23,,,,,,,,,4166,30,9,15,717,18,,,12,7,,,170,10,,,873,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,701,14,79,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,18,,,88,7,,,,,,,,,,,,,,,,,,,112,29,,,,,183,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
