,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,139695,174,1,45,1,39,1,43,1,53,1,2997,1,40,1,39,1,47,1,528,1,35,1,40,1,128,1,586,1,48,1,83,1,278,1,34,1,61,1,202,1,31,1,314,1,39,1,37,1,50,1,884,1,30,1,65,1,972,1,8165,1,43,1,42,1,508,3,,,35955,1,68,1,19488,1,635,1,84,1,2630,1,1257,1,83,1,4594,2,,,30,1,36,1,41,1,30,1,37,1,82,1,161,1,43,1,1318,1,1360,1,30,1,441,1,34,1,30,1,942,1,257,1,39,1,2139,1,38,1,49,1,45,1,122,1,4154,2,3723,4,37,1,41,1,32,1,340,1,827,1,84,1,352,3,36,1,,,67,1,51,1,47,1,41,1,36,1,315,3,349,1,32,1,,,96,1,85,1,109,1,595,1,161,2,30,1,31,1,27,1,32,1,43,1,25,1,1368,3,78,1,2185,1,,,26,1,37,1,39,1,31,1,36,1,50,1,,,2920,2,27,1,37,1,3415,1,33,1,504,1,13735,2,40,1,33,1,41,1,34,1,36,1,34,1,194,2,70,1,377,1,211,1,,,299,1,281,2,,,39,2,1867,1,29,2,,,127,1,95,1,1,1,645,1,61,1,571,1,3619,1,39,1,,,805,2,70,1,144,1,34,1,38,1,1936,1,,,33,1,,,35,1,,,30,1,32,1,35,1,36,1,,,2627,2
1,2,1406,51979,36,2,,,,,,,,,21,14,,,,,,,,,,,,,,,366,3,,,,,,,,,,,,,,,74,5,,,,,,,159,14,,,17,2,406,2,3961,3,,,,,693,1,,,21412,3,19,4,3461,5,44,5,17,3,321,5,8,102,,,2729,4,35,1,,,,,8,2,,,,,,,,,,,402,3,,,,,317,2,,,,,249,8,19,3,13,2,1640,2,,,,,,,11,6,2580,3,2258,7,,,13,2,10,4,,,,,,,,,,,,,,,9,5,,,,,,,137,5,,,,,,,,,,,,,,,82,3,,,,,,,,,,,,,1919,1,9,8,254,3,,,,,,,,,,,,,,,,,996,5,,,,,424,11,,,375,2,3593,4,,,,,,,11,3,8,2,,,274,1,,,28,11,58,5,,,,,270,3,,,,,482,4,,,,,,,,,,,,,,,,,369,8,,,,,177,4,,,,,,,,,111,6,,,,,,,13,2,,,,,,,,,16,2,,,1065,5
2,3,2223,49193,,,,,,,,,,,467,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,36,,,,,,,386,3,,,,,,,1653,16,,,,,,,,,14052,6,,,5104,2,,,,,912,3,1102,2,,,1804,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,222,6,,,,,,,,,7392,1,1896,9,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,460,1,,,,,,,,,4,6,,,,,72,4,,,,,,,,,,,,,465,15,,,172,4,,,,,,,,,,,,,,,,,2976,1,,,,,3120,2,,,,,2542,7,,,,,,,,,,,,,,,6,4,,,108,2,,,,,57,5,,,,,132,20,,,,,,,,,,,352,2,,,,,1652,2,,,,,259,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,4
3,4,10816,39826,,,,,,,,,,,431,4,,,,,,,,,,,,,8,4,102,9,,,,,,,,,,,18,3,,,33,14,,,,,,,274,6,,,,,182,5,2319,11,,,,,52,9,,,16220,4,,,4071,3,58,4,,,263,6,8,106,,,1534,8,,,,,,,,,,,,,,,,,,,243,7,26,6,,,115,7,,,,,248,9,,,,,193,7,,,,,,,,,1698,8,3878,3,,,,,,,,,,,10,3,180,6,,,,,,,,,,,,,,,,,34,5,,,,,,,,,,,,,,,,,,,,,,,9,2,,,707,9,12,5,150,6,10,1,,,,,,,,,,,,,,,945,6,,,,,912,3,,,234,4,3274,5,,,,,,,,,,,,,35,6,,,64,7,,,,,,,,,,,,,513,3,,,,,,,7,4,,,,,,,11,3,507,7,,,,,100,10,,,,,,,,,112,5,,,,,,,7,3,,,,,,,,,,,,,19,102
4,5,29351,38639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867,13,,,,,,,,,4351,33,,,101,67,159,2,,,,,145,21,,,105,96,,,,,,,,,,,,,,,,,,,215,8,,,,,,,,,,,19,42,8,5,,,,,,,,,,,,,,,107,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,2,139,2,,,,,,,,,,,,,,,,,,,,,,,,,,,70,57,,,,,,,,,,,,,,,,,,,,,419,17,,,,,,,,,,,28705,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,58,,,,,,,,,,,,,,,,,,,,,,,1678,1,,,,,,,,,181,4,,,,,,,,,,,,,,,,,,,,,,
5,6,2397,37267,9,4,9,3,,,15,2,,,506,2,,,,,9,2,106,2,5,3,,,16,2,520,2,,,,,,,,,15,2,18,2,,,68,6,,,8,2,6,2,244,8,,,6,5,399,3,3871,4,,,,,324,4,,,14910,5,12,9,2513,7,20,10,10,5,2144,2,197,17,,,1464,9,,,,,6,3,,,,,,,13,2,,,,,583,2,,,10,2,146,5,,,,,330,5,23,2,9,3,31,14,,,,,4,6,15,4,1051,15,1615,12,,,,,,,42,2,14,2,,,23,31,12,2,,,,,11,3,,,,,6,2,82,6,58,4,,,,,20,2,4,7,,,,,9,8,,,,,,,,,,,,,318,17,11,6,272,2,,,,,7,3,,,,,,,8,2,,,819,10,3,2,,,601,7,,,,,1259,16,,,,,,,9,4,,,,,47,4,,,59,8,54,7,,,,,76,4,,,,,447,5,12,3,,,10,7,,,,,50,7,,,6,4,1099,4,,,,,,,9,3,,,,,11,2,48,9,10,1,,,,,5,4,,,,,,,,,8,3,,,468,12
6,7,50381,37229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35300,2,,,,,,,,,19,16,294,9,,,,,,,,,,,,,,,,,,,,,,,110,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,26,,,,,,,,,,,,,,,,,,,,,,,,,,,201,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,2162,26814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,7,54,,,,,,,205,9,,,,,21,33,1407,21,,,,,,,,,11420,10,,,,,,,,,,,67,30,,,819,25,,,,,5,4,,,,,,,,,,,,,26,34,,,,,,,,,,,247,10,,,,,,,,,,,,,10,8,562,32,7,102,,,,,,,8,4,,,,,105,10,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,50,7,11,,,,,,,,,,,,,,,,,,,639,13,,,,,204,22,,,15,10,9948,3,,,,,,,,,,,,,12,9,,,,,10,17,,,,,,,,,,,101,25,,,,,,,,,,,,,,,,,60,22,,,,,101,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,8
8,9,2093,25971,,,,,,,,,,,45,11,,,,,,,10,4,,,,,,,16,15,,,,,7,4,9,2,,,,,,,22,24,3,2,,,,,190,12,,,,,38,21,980,31,,,,,,,,,10454,11,14,7,1144,19,,,,,43,13,54,35,,,759,28,,,,,,,,,6,2,,,,,,,3,2,62,24,5,7,,,29,14,,,,,57,26,,,,,88,10,,,,,,,,,711,25,5419,1,,,11,3,,,,,1,3,,,176,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6,,,,,,,,,,,,,227,25,,,28,28,,,,,,,,,,,,,,,,,303,24,,,,,341,13,,,,,1643,11,,,,,1,2,,,,,,,,,,,17,14,12,16,,,,,,,22,1,,,112,23,,,3,2,,,,,,,232,3,,,,,63,21,,,,,35,14,,,,,,,,,356,3,,,,,,,,,,,16,2,,,,,,,6,1,2160,3
9,10,463,23904,,,21,2,,,,,,,,,,,,,,,,,,,,,,,30,12,,,,,,,,,10,6,,,,,29,19,,,,,,,247,7,,,,,111,12,1982,12,,,,,,,,,13683,7,9,13,,,12,13,7,10,,,156,19,,,,,,,,,,,,,,,,,,,,,,,66,21,,,,,29,13,,,,,88,23,,,,,39,13,,,,,,,,,765,23,2102,8,,,,,,,,,,,,,36,20,,,,,,,6,7,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,18,10,7,46,21,,,,,,,,,,,,,,,,,450,16,,,,,904,4,,,,,1738,10,,,,,,,,,,,,,,,,,,,20,11,,,,,20,8,,,,,182,12,,,,,,,,,,,24,10,,,,,67,19,,,,,49,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,9
