,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,811,36007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,3,,,,,,,55,27,,,,,,,3779,20,,,,,,,,,10814,18,3,22,6987,3,,,,,,,646,10,,,4187,9,,,,,,,,,,,,,5,3,,,,,553,5,,,,,,,,,,,718,14,,,,,,,,,,,,,,,397,54,375,27,,,,,,,,,,,,,448,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2773,4,,,76,25,,,,,,,,,,,,,,,,,,,1098,14,,,,,2178,4,,,290,4,416,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2093,33186,,,,,,,,,,,69,11,,,,,,,19,3,,,,,,,,,,,39,14,,,,,6,5,8,2,,,,,,,36,16,4,2,,,,,214,13,,,,,61,26,1607,37,,,,,,,,,13974,11,4,20,1465,18,,,,,34,15,157,29,,,1145,33,,,,,,,,,8,2,,,,,,,8,2,75,22,8,7,,,37,13,,,,,132,21,8,6,,,77,12,,,,,,,,,1288,23,4510,1,,,13,3,6,5,,,,,,,152,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,,,,,,,,,,,,,608,23,,,63,26,,,,,,,,,,,,,,,,,,,362,27,,,,,408,22,,,,,1266,14,,,,,7,2,,,,,,,,,,,43,13,13,14,,,,,,,8,1,,,564,11,,,5,2,,,,,,,,,270,3,,,,,45,16,,,,,35,19,,,,,,,,,458,3,,,,,,,,,,,14,2,,,,,,,,,7,1,3829,1
12,13,25821,32296,,,,,,,,,,,389,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8081,6,,,,,,,,,1964,83,10,6,3633,11,,,,,,,,,,,8638,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762,2
13,14,320,29620,,,,,,,,,,,207,8,,,,,14,3,,,,,,,,,6,1,,,371,6,,,,,,,,,12,4,,,,,66,9,,,,,,,181,15,,,9,4,62,25,3307,22,,,,,421,6,,,8521,29,16,2,1852,15,76,6,,,41,14,957,6,,,2477,14,,,,,,,6,3,,,9,2,,,7,4,,,85,20,40,5,,,,,,,,,2056,1,,,,,214,6,,,,,,,40,2,969,32,364,28,,,,,12,2,,,,,14,2,51,16,,,,,,,19,2,,,,,,,97,9,,,,,,,,,,,10,3,,,,,44,4,,,,,,,,,,,,,2451,6,40,2,161,18,,,,,10,2,,,,,,,,,,,,,1542,7,,,,,422,21,,,237,6,1134,17,,,,,,,,,6,3,,,,,,,204,5,167,6,,,,,,,,,,,121,30,,,,,23,4,,,6,4,,,25,11,,,,,56,12,,,4,1,70,11,,,,,,,,,31,10,,,,,,,,,,,,,,,,,,,,,,,277,24
14,15,1111,28175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,,,,,,,,,,,,,,,4939,14,,,,,320,8,,,12313,15,,,1167,23,,,,,,,,,,,691,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,39856,28034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,5,,,,,,,,,,,,,,,122,5,,,,,,,688,7,,,,,80,20,2275,29,,,,,,,,,6008,37,,,4729,6,,,,,,,,,,,4554,8,,,,,,,,,,,,,,,,,,,112,16,,,,,,,,,,,866,9,,,,,,,,,,,,,,,4537,9,,,,,,,,,,,,,,,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,35,,,,,,,,,,,,,,,,,,,1260,12,,,,,,,,,,,1728,9,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,20
16,17,2136,27749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,8,,,,,,,,,,,,,,,,,,,,,,,811,5,,,,,,,9330,3,,,,,,,,,5314,42,4,21,444,42,,,,,1070,4,,,,,562,52,,,,,,,,,,,,,,,,,,,,,,,,,324,6,,,,,874,8,,,,,,,,,,,,,,,1811,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,3367,2,,,,,,,,,,,,,,,,,,,,,,,1960,4,,,,,,,,,,,119,60,,,,,,,,,,,,,27,7,,,331,2,,,,,6,2,,,6,3,,,920,4,,,,,,,,,,,,,,,,,,,116,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,48
17,18,29351,27654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6064,12,,,,,,,,,5388,41,,,214,54,196,2,,,,,165,27,,,162,103,,,,,,,,,,,,,,,,,,,266,8,,,,,,,,,,,101,25,11,5,,,,,,,,,,,,,,,138,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,2,184,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,39,,,,,,,,,,,,,,,,,,,,,,,1304,11,,,,,,,,,,,11342,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,44,,,,,,,,,,,,,,,,,,,,,,,,,856,1,,,,,,,,,441,4,,,,,,,,,,,,,,,,,,,,,,,,
18,19,2181,26444,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,292,7,,,,,,,,,,,,,,,24,24,,,,,,,201,14,,,,,156,12,2705,23,,,,,353,7,,,8749,28,11,4,1045,25,120,4,5,9,,,231,22,,,1421,28,,,,,,,,,,,,,,,,,,,221,10,,,,,102,11,,,,,402,17,,,,,162,8,,,,,,,5,8,57,126,866,15,,,,,,,46,3,,,,,40,20,,,,,,,,,,,,,3,4,47,10,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,11,11,5,318,12,,,,,,,,,,,,,,,,,,,1917,5,,,,,546,18,,,184,8,1917,8,,,,,,,8,3,,,,,35,6,,,84,10,50,9,,,,,,,7,2,,,1263,2,,,,,,,,,,,,,170,5,,,,,114,9,,,,,109,8,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,8
19,20,2952,24541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,10,,,,,,,,,,,,,246,7,3930,19,,,,,,,,,10550,19,2,32,1820,16,,,5,10,,,765,8,,,1844,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,,12,4,3091,11,49,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,19,,,275,14,,,,,,,,,,,,,,,,,,,,,,,,,343,24,,,,,155,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,822,23812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,12,,,,,,,,,,,,,,,74,8,,,,,,,,,,,6,7,75,23,3514,21,,,,,59,10,,,7986,30,6,14,1718,17,,,,,,,831,7,,,1349,30,,,,,,,,,,,,,,,,,,,45,28,,,,,,,,,,,437,16,,,,,,,,,,,,,,,2103,16,561,22,,,,,,,,,,,,,104,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216,12,11,4,157,19,,,,,,,,,,,,,,,,,,,1165,13,,,,,186,27,,,,,968,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,9,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,,,,,,,,11,16,,,,,,,,,,,,,,,,,,,,,,,594,12
21,22,1258,22039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,31,,,,,,,2642,24,,,,,,,,,19226,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
