,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,120724,174,1,40,1,38,1,21,1,40,1,2581,1,26,1,35,1,38,1,487,1,35,1,35,1,28,1,,,43,1,825,1,63,1,63,1,470,1,33,1,66,1,423,1,21,1,308,1,21,1,20,1,60,1,961,2,29,1,72,1,569,1,5542,1,24,1,33,1,660,2,20,2,34376,1,81,1,12929,1,520,1,71,1,2880,1,1389,2,34,1,3939,1,,,20,1,25,2,37,1,28,2,24,1,61,1,120,1,22,1,,,1686,1,2019,1,28,1,536,1,28,1,25,1,1454,1,387,1,32,1,1324,2,26,1,16,1,37,1,112,1,4268,3,3388,2,23,1,42,1,30,2,485,1,1012,1,167,1,546,2,19,2,,,38,1,66,1,31,1,31,1,23,1,22,1,340,3,256,1,23,1,28,1,,,105,1,106,1,166,1,2133,1,278,2,32,1,28,1,22,1,41,1,31,1,19,1,1016,6,31,1,617,2,23,1,,,24,1,18,3,22,1,26,1,17,1,24,1,,,52,1,3803,2,13,2,27,1,3208,2,29,1,33,1,552,1,7563,2,29,1,21,1,36,1,27,1,20,1,46,1,31,1,25,1,196,3,122,1,537,1,258,1,,,432,1,589,3,,,31,2,1141,2,33,2,,,228,1,,,192,1,2,1,631,1,61,1,220,1,788,2,27,1,,,517,2,72,1,345,1,38,1,25,1,1759,1,,,23,1,,,30,2,,,26,1,20,1,34,1,16,1,29,1,,,3000,4
1,2,2223,58373,,,,,,,,,,,433,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,11,,,,,,,1113,1,,,,,348,3,1850,13,,,,,,,,,13186,4,,,4623,2,,,,,2204,3,1968,1,,,2738,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,,,104,10,,,,,,,,,6117,2,2179,8,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,717,1,,,,,,,,,,,16,3,,,,,63,4,,,,,,,,,,,,,631,11,,,1336,1,,,,,,,,,,,,,,,,,,,,,4900,1,,,,,5266,1,,,,,,,3164,6,,,,,,,,,,,,,,,,,,,6,5,,,241,2,,,,,117,6,,,,,289,9,,,,,,,,,,,,,393,3,,,,,1128,1,,,,,390,3,,,,,,,,,524,5,,,,,,,,,,,6,5,,,,,,,,,,,2253,5
2,3,1406,55623,37,2,,,,,,,,,18,17,,,,,7,5,49,3,,,,,,,,,,,722,2,,,,,,,,,,,,,,,58,5,,,,,,,167,13,,,15,3,269,5,3104,7,,,,,704,1,,,20833,2,24,4,4073,3,60,4,13,3,362,6,1039,3,,,2453,4,29,1,,,,,8,2,,,,,,,,,,,,,476,4,,,,,355,3,,,,,185,9,21,4,13,3,1818,1,,,,,,,11,4,7146,1,2354,7,,,8,3,8,4,,,,,,,,,,,,,,,8,5,,,,,,,,,94,5,12,11,,,,,,,,,,,,,,,52,5,,,,,,,,,,,,,1508,3,10,6,450,3,,,,,,,27,2,,,,,,,,,,,,,553,15,,,,,371,13,,,,,146,6,2986,7,,,,,,,,,,,10,4,8,3,,,439,1,,,47,12,57,7,,,,,477,4,,,,,579,4,,,,,,,,,,,,,,,,,,,81,6,,,,,119,8,5,4,,,,,,,100,9,,,,,,,7,3,,,5,8,,,,,,,10,3,,,1023,10
3,4,10816,42739,,,,,,,,,,,299,5,,,,,12,3,,,,,,,8,2,,,3,5,137,8,,,,,,,,,,,7,3,,,33,13,,,,,,,248,7,,,,,328,4,3429,5,,,,,82,8,,,11959,7,,,3069,4,45,5,,,569,5,369,6,,,2314,5,,,,,,,,,,,,,,,,,,,,,400,6,32,6,,,167,8,,,,,497,3,,,,,185,7,,,,,,,,,1444,5,2982,4,,,,,,,,,,,16,3,292,5,,,,,,,,,,,,,,,,,,,59,6,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,1595,2,4,13,309,5,,,9,1,,,,,,,,,,,,,,,,,1416,6,,,,,719,4,,,,,99,8,4255,4,,,,,,,,,,,,,,,,,32,5,,,92,7,,,,,,,70,9,,,,,503,5,,,,,,,,,33,2,,,,,,,16,4,62,10,,,,,172,5,,,,,,,,,664,4,,,,,,,5,4,,,3,10,,,,,,,,,,,3687,3
4,5,2093,37066,,,,,,,,,,,59,10,,,,,,,18,4,,,,,,,,,,,55,10,,,,,8,5,12,2,,,,,,,29,14,6,2,,,,,107,17,,,,,52,18,1121,23,,,,,,,,,14867,3,14,8,1289,15,,,,,84,14,141,23,,,926,16,,,,,,,,,29,1,,,,,,,14,2,,,84,20,9,7,,,49,13,,,,,118,18,10,6,,,123,9,,,,,,,,,704,15,4810,1,,,14,2,6,5,,,3,4,,,173,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7,,,,,,,,,,,,,355,18,,,56,19,,,,,,,,,,,,,,,,,,,,,380,19,,,,,423,10,,,,,,,2822,8,,,,,5,2,,,,,,,,,,,,,,,67,11,23,12,,,,,,,12,1,,,165,17,,,7,2,,,,,,,,,347,4,,,,,74,9,,,,,70,13,,,,,,,,,734,3,,,,,,,,,,,21,2,,,,,,,,,17,1,6508,1
5,6,2397,34406,25,3,29,2,,,17,2,,,811,2,,,,,17,2,134,2,,,14,2,,,,,14,3,358,3,,,,,31,4,,,33,2,41,2,,,63,4,,,17,2,18,2,293,6,,,20,2,419,2,3337,6,,,,,315,5,,,12182,5,45,2,1914,7,38,6,23,2,2510,2,285,8,,,1389,11,,,,,27,1,,,,,,,30,2,,,,,,,579,3,,,28,2,173,7,,,,,334,4,63,2,24,2,46,11,,,,,18,2,35,2,777,13,1496,9,,,,,,,83,2,46,2,,,30,21,34,1,,,,,20,2,,,,,19,2,13,2,89,6,70,4,,,,,,,89,2,9,7,,,,,16,9,,,,,,,,,,,,,541,14,28,2,377,4,,,,,,,47,1,,,,,,,16,2,,,,,625,12,15,1,,,449,9,,,,,,,1646,11,,,,,,,,,,,18,2,,,,,61,4,,,120,4,66,5,,,,,160,5,,,,,411,7,24,3,,,29,4,,,,,,,67,8,,,17,2,255,3,,,,,117,9,33,2,,,,,22,2,99,10,66,1,,,,,31,1,,,12,3,,,,,,,14,2,,,500,17
6,7,463,27353,,,4,4,,,,,,,,,,,,,,,9,6,,,,,,,,,,,33,15,,,,,,,,,8,5,,,,,36,12,,,,,,,246,8,,,,,80,14,2117,12,,,,,,,,,12056,6,5,27,1248,17,12,17,4,14,16,20,158,21,,,1113,14,,,,,,,,,,,,,,,,,,,,,109,16,,,,,21,14,,,,,82,22,,,,,41,13,,,,,,,,,985,10,3240,3,,,,,,,,,,,,,114,8,,,,,,,6,6,,,,,,,,,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,17,1,19,35,27,,,,,,,,,,,,,,,,,,,,,414,18,,,,,924,3,,,,,,,1803,10,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,17,12,,,,,166,16,,,,,,,,,,,,,60,10,,,,,11,29,,,,,78,12,,,,,,,,,41,12,,,,,,,,,,,,,,,,,,,,,,,1659,7
7,8,2181,26217,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,345,4,,,,,,,,,,,,,,,25,18,,,,,,,170,11,,,,,164,10,1766,14,,,,,321,4,,,8786,10,10,14,1111,19,159,2,9,5,,,208,12,,,1266,12,,,,,,,,,,,,,,,,,,,,,251,7,,,,,127,10,,,,,324,5,,,,,393,4,,,,,,,8,5,1002,9,1109,12,,,,,,,32,3,,,,,57,12,,,,,,,,,,,,,,,8,3,40,8,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,8,11,5,241,6,,,,,,,,,,,,,,,,,,,,,1488,4,,,,,304,15,,,,,175,4,2362,9,,,,,,,,,,,10,5,,,,,26,6,,,85,8,34,8,,,,,46,10,12,2,,,1220,1,,,,,,,,,,,,,121,5,,,,,102,5,,,,,153,6,15,3,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,1312,8
8,9,2162,22655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,7,47,,,,,,,127,15,,,,,25,36,1208,21,,,,,,,,,11182,8,,,838,21,,,,,,,97,27,,,872,18,,,,,4,4,,,,,,,,,,,,,,,21,40,,,,,,,,,,,177,10,,,,,,,,,,,,,7,6,435,26,6,112,,,,,,,5,4,,,,,72,10,,,,,,,,,,,,,,,,,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,45,5,10,,,,,,,,,,,,,,,,,,,,,,,488,16,,,,,147,21,,,,,21,12,5676,3,,,,,,,,,,,,,,,,,3,12,,,,,6,16,,,,,15,14,,,,,81,27,,,,,,,,,,,,,,,,,,,39,13,,,,,92,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,11
9,10,29351,21803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,111,16,,,,,,,2864,9,,,,,,,,,3455,28,,,186,47,134,3,,,,,97,28,,,320,45,,,,,,,,,,,,,,,,,,,,,219,8,,,,,,,,,,,40,27,11,5,,,,,,,,,,,,,,,132,46,,,,,,,,,,,,,10,58,,,,,,,,,,,,,,,,,432,2,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,32,,,,,,,,,,,,,,,,,,,,,,,,,923,10,,,,,,,,,,,,,10882,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,36,,,,,,,,,,,,,,,,,,,,,,,,,1106,1,,,,,,,,,438,6,,,,,,,,,,,,,,,,,,,,,,,105,41
