bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,149630,1,175,1,65,1,59,1,60,1,45,1,4466,1,46,1,40,1,87,1,67,1,457,1,56,1,48,1,47,2,,,59,1,689,1,282,1,225,1,657,1,42,1,58,1,347,1,45,1,429,1,43,1,37,1,65,1,880,2,40,1,135,1,488,2,7660,1,43,1,48,1,43,1,697,2,41,1,37940,1,193,1,21798,1,662,1,115,1,3526,3,1379,2,42,1,51,1,4968,2,,,48,1,56,1,63,1,36,1,39,1,52,1,63,1,318,1,46,1,,,1643,2,1814,1,160,1,582,1,49,1,43,1,1562,1,640,1,,,51,1,1828,3,53,1,41,1,85,1,86,1,5619,2,3442,8,34,1,59,1,45,2,859,1,1042,1,176,1,404,3,46,1,,,185,1,243,1,73,1,36,1,39,1,47,1,779,1,310,1,32,1,46,1,42,1,172,1,543,1,143,1,1301,1,207,2,43,1,70,1,45,1,44,1,80,1,38,1,1540,3,56,1,633,1,44,1,,,47,1,51,2,47,1,36,1,29,1,54,1,,,38,1,3667,2,76,1,37,1,5442,2,49,1,37,1,707,1,8167,2,34,1,48,1,40,1,40,1,36,1,74,1,46,1,38,1,164,3,183,1,401,1,264,1,,,405,1,513,3,,,58,1,1019,2,48,2,,,370,2,,,512,1,3,1,517,3,34,1,59,1,161,1,1492,2,50,1,,,823,1,123,1,899,1,103,1,46,1,2132,1,,,41,1,,,33,2,,,53,1,76,1,32,1,39,1,37,1,,,2780,5
2223,101053,2,,,,,,,,,,,3936,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,17,,,,,,,895,1,,,,,205,5,2526,10,,,,,,,,,,,24507,3,,,8879,2,,,,,4147,2,1817,1,,,,,4933,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,4,,,,,229,8,,,,,,,,,6756,1,4394,4,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,374,2,,,,,,,,,,,39,5,,,,,178,3,,,,,,,,,,,,,992,10,,,453,3,,,,,,,,,,,,,,,,,,,,,3956,1,,,,,19142,1,,,,,,,3735,6,,,,,,,,,,,,,,,,,,,22,3,,,222,2,,,,,100,8,,,,,277,11,,,,,,,,,,,,,339,4,,,,,,,3823,1,,,,,494,3,,,,,,,,,1271,2,,,,,,,,,,,7,9,,,,,,,,,,,2255,6
1406,76209,3,56,2,,,,,,,,,16,25,,,,,,,16,5,116,3,,,,,,,,,,,242,4,,,,,,,,,,,,,,,129,3,,,,,,,222,11,,,16,4,366,4,3769,7,,,,,,,636,3,,,31533,2,22,3,6735,4,84,5,23,2,516,6,1297,3,,,,,3596,5,58,1,,,,,14,3,,,,,,,,,,,,,,,842,5,,,,,532,2,,,,,280,9,110,3,,,16,3,5687,1,,,,,,,27,4,1846,6,4333,5,,,18,3,18,3,,,,,,,143,10,,,,,,,18,4,,,,,,,,,129,4,44,8,,,,,,,,,,,,,,,105,4,,,,,,,,,,,,,2215,1,18,5,526,2,,,,,,,60,1,,,,,,,,,,,,,747,10,,,,,812,11,,,,,162,8,4589,4,,,,,,,,,,,17,3,13,3,,,699,1,,,58,11,51,7,,,,,227,4,,,,,663,3,,,,,,,,,,,,,,,,,,,,,197,11,,,,,145,7,8,4,,,,,,,228,8,,,,,,,15,4,,,18,4,,,,,,,14,3,,,1117,11
2397,55259,4,27,4,30,2,,,27,2,,,3899,3,,,,,,,29,3,222,2,,,19,3,,,,,16,3,424,2,,,,,52,5,,,33,2,25,3,,,93,7,,,17,2,26,2,375,5,,,22,3,498,1,5179,2,,,,,,,497,4,,,17747,5,18,5,4153,9,55,6,19,3,4864,1,319,8,,,,,2084,11,,,,,24,2,,,,,,,,,20,2,,,,,,,2191,1,,,28,2,176,7,,,,,332,8,118,2,,,36,2,34,13,,,,,27,2,36,2,1381,8,2372,10,,,,,,,107,2,44,2,,,45,30,28,2,,,,,24,2,,,,,33,2,23,2,89,8,66,6,,,,,,,85,2,25,6,,,,,29,8,,,,,,,,,,,,,664,12,26,4,201,5,,,,,,,23,3,,,,,,,17,2,,,,,681,11,29,2,,,819,10,,,,,,,1974,10,,,,,,,,,,,25,2,,,,,63,4,,,89,8,65,6,,,,,170,5,,,,,513,5,22,3,,,84,4,,,,,,,76,8,,,,,23,4,637,5,,,,,118,8,25,2,,,,,26,2,98,11,36,1,,,,,23,3,,,18,5,,,,,,,23,2,,,549,18
10816,52071,5,,,,,,,,,,,562,8,,,,,,,44,2,,,,,,,55,1,,,43,2,170,7,,,,,,,,,,,51,2,,,102,4,,,,,,,323,7,,,,,204,6,3705,8,,,,,,,127,7,,,13497,9,,,6732,5,88,4,,,866,5,384,6,,,,,2149,10,,,,,,,,,,,,,,,,,,,,,,,433,6,94,5,,,165,9,,,,,473,3,,,,,,,2964,2,,,,,,,,,2337,4,2252,11,,,,,,,,,,,48,2,155,9,,,,,,,,,,,,,,,,,,,98,3,,,,,,,,,,,,,,,,,,,,,,,,,48,2,,,870,11,30,3,234,4,,,51,1,,,,,,,,,,,,,,,,,1739,4,,,,,2788,3,,,,,225,5,4387,5,,,,,,,,,,,,,,,,,42,5,,,115,7,,,,,,,119,7,,,,,449,7,,,,,,,,,,,,,,,,,,,42,2,339,6,,,,,160,6,,,,,,,,,406,6,,,,,,,34,1,,,40,2,,,,,,,,,,,1832,7
2093,38698,6,,,,,,,,,,,109,15,,,,,,,,,22,4,,,,,,,,,,,110,9,,,,,17,6,13,2,,,,,,,65,11,14,2,,,,,136,17,,,,,64,15,1733,21,,,,,,,,,,,14102,8,11,8,2248,17,,,,,91,13,131,26,,,,,1092,18,,,,,,,,,19,2,,,,,,,,,21,2,,,103,23,17,7,,,82,12,,,,,104,19,12,7,,,,,176,10,,,,,,,,,920,11,7483,3,,,28,2,11,5,,,8,4,,,194,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,,,,,,,,,,,,,402,22,,,62,18,,,,,,,,,,,,,,,,,,,,,563,13,,,,,854,9,,,,,,,1560,12,,,,,15,2,,,,,,,,,,,,,,,48,12,22,10,,,,,,,25,2,,,394,8,,,15,2,,,,,,,,,958,2,,,,,,,147,13,,,,,101,11,,,,,,,,,660,4,,,,,,,,,,,15,6,,,,,,,,,23,1,3654,2
28,33635,7,,,,,,,,,,,786,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,64,,,,,,,,,,,4914,33,,,5404,7,,,,,,,50,42,,,,,489,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,11,,,,,,,,,506,29,20432,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,55,,,,,,,,,,,,,,,,,,,,,173,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,31576,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,,,,,11,48,,,,,,,204,12,,,,,28,27,1867,20,,,,,,,,,,,18115,4,,,986,28,,,,,,,176,18,,,,,1154,16,,,,,8,4,,,,,,,,,,,,,,,,,34,37,,,,,,,,,,,207,11,,,,,,,19,17,,,,,,,12,7,647,20,247,41,,,,,,,8,4,,,,,67,20,,,,,,,,,,,,,,,,,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,47,8,11,,,,,,,,,,,,,,,,,,,,,,,531,16,,,,,413,15,,,,,34,10,4933,3,,,,,,,,,,,,,,,,,10,9,,,,,15,13,,,,,22,15,,,,,139,21,,,,,,,,,,,,,,,,,,,,,51,19,,,,,114,9,,,,,,,,,72,13,,,,,,,,,,,,,,,,,,,,,,,1278,10
2181,28427,9,,,,,,,,,,,259,10,,,,,,,,,,,,,28,2,,,,,,,237,5,,,,,,,,,,,,,,,42,21,,,,,,,151,16,,,,,165,8,1938,19,,,,,,,301,5,,,8199,19,22,4,2415,16,151,2,17,4,,,215,13,,,,,1380,14,,,,,,,,,,,,,,,,,,,,,,,306,8,,,,,103,10,,,,,342,7,,,,,,,283,6,,,,,,,14,6,907,12,1053,15,,,,,,,96,3,,,,,33,35,,,,,,,,,,,,,,,21,3,86,9,67,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,15,17,7,178,7,,,,,,,,,,,,,,,,,,,,,1960,3,,,,,398,16,,,,,179,6,2682,8,,,,,,,,,,,15,4,,,,,33,6,,,85,9,29,9,,,,,51,12,26,1,,,1308,1,,,,,,,,,,,,,143,6,,,,,,,302,7,,,,,270,5,22,3,,,,,,,,,,,,,,,,,,,12,7,,,,,,,,,,,1281,9
2425,27564,10,,,,,,,,,,,209,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,98,5,,,,,,,230,10,,,,,168,7,2143,14,,,,,,,,,,,7272,23,5,22,3225,10,,,6,12,205,9,376,7,,,,,2639,7,,,,,,,,,,,,,,,,,,,,,,,190,10,,,,,,,,,,,216,10,,,,,,,,,,,,,,,,,1869,5,965,17,,,,,,,,,,,,,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,20,,,,,,,,,,,,,,,,,,,,,,,,,1195,7,,,,,1398,4,,,,,324,3,3380,7,,,,,,,,,,,,,,,,,,,,,186,3,,,,,,,,,,,,,233,13,,,,,11,8,,,,,,,,,,,,,,,,,,,,,317,4,,,,,,,,,30,23,,,,,,,,,,,,,,,,,,,,,,,213,27
