bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,154766,1,179,1,69,1,49,1,54,1,49,1,4582,1,42,1,49,1,68,1,62,1,535,1,47,1,45,1,46,1,,,70,1,807,1,367,1,244,1,737,1,54,1,74,1,343,1,41,1,505,1,40,1,37,1,46,1,836,2,45,1,117,1,519,2,9332,2,47,1,44,1,50,1,752,3,54,1,38749,1,142,1,23903,1,611,1,130,1,3086,3,1318,3,42,1,65,1,5878,3,,,51,1,58,1,67,1,41,1,50,1,45,1,65,1,299,1,42,1,,,1816,1,1808,1,170,1,622,2,47,1,48,1,1417,1,721,1,,,49,1,1732,2,56,1,53,1,67,1,112,1,5459,2,3546,7,62,1,53,1,56,1,1179,1,770,1,183,1,415,2,64,1,,,105,1,340,1,72,1,43,1,39,1,42,1,688,1,252,1,45,1,48,1,53,1,131,1,480,1,167,1,1442,1,272,2,43,1,60,1,48,1,57,1,70,1,39,1,1396,6,60,1,534,1,45,1,,,50,1,41,2,59,1,43,1,40,1,55,1,,,33,1,3466,2,47,1,43,1,5352,2,45,1,55,1,844,1,7541,2,39,1,45,1,44,1,58,1,57,1,74,1,52,1,48,1,189,3,226,1,315,1,311,1,,,435,1,518,3,,,56,2,998,3,68,1,,,439,2,,,600,1,3,1,545,2,39,1,59,1,139,1,1702,3,51,1,,,712,2,119,1,800,1,76,1,49,1,2270,1,,,42,1,,,52,1,,,64,1,41,1,43,1,45,1,50,1,,,2824,4
2223,108798,2,,,,,,,,,,,2759,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,9,,,,,,,1063,1,,,,,219,6,2585,11,,,,,,,,,,,25679,3,,,9600,2,,,,,4558,2,1683,1,,,,,6134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,4,,,,,255,8,,,,,,,,,6545,1,7074,3,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,129,4,,,,,,,,,,,69,3,,,,,220,4,,,,,,,,,,,,,1225,8,,,527,2,,,,,,,,,,,,,,,,,,,,,4110,1,,,,,20412,1,,,,,,,3948,7,,,,,,,,,,,,,,,,,,,24,3,,,199,2,,,,,114,7,,,,,231,11,,,,,,,,,,,,,442,3,,,,,,,4360,1,,,,,390,3,,,,,,,,,1417,3,,,,,,,,,,,14,8,,,,,,,,,,,2600,5
1406,89964,3,66,2,,,,,,,,,14,26,,,,,,,23,4,91,3,,,,,,,,,,,405,3,,,,,,,,,,,,,,,130,3,,,,,,,270,7,,,20,4,343,4,3961,7,,,,,,,870,2,,,38437,2,26,4,7665,3,74,5,40,2,632,6,1037,4,,,,,4363,6,53,1,,,,,26,2,,,,,,,,,,,,,,,961,5,,,,,643,1,,,,,237,11,130,3,,,21,3,6486,1,,,,,,,27,4,1954,5,6231,4,,,27,2,25,3,,,,,,,120,11,,,,,,,17,4,,,,,,,,,130,3,51,7,,,,,,,,,,,,,,,222,3,,,,,,,,,,,,,2449,1,14,7,445,3,,,,,,,62,1,,,,,,,,,,,,,699,11,,,,,905,9,,,,,213,7,5248,3,,,,,,,,,,,21,3,17,3,,,1077,1,,,66,11,77,5,,,,,399,4,,,,,616,5,,,,,,,,,,,,,,,,,,,,,291,10,,,,,191,6,14,4,,,,,,,198,9,,,,,,,20,4,,,15,7,,,,,,,18,3,,,1081,10
28,60684,4,,,,,,,,,,,452,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,63,,,,,,,,,,,6013,31,,,3266,11,,,,,,,188,19,,,,,527,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,11,,,,,,,,,728,19,48331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,47,,,,,,,,,,,,,,,,,,,,,217,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,59736,5,31,3,23,2,,,21,2,,,3362,2,,,,,,,25,3,220,2,,,24,2,,,,,27,3,619,2,,,,,67,5,,,32,2,31,3,,,108,4,,,23,2,27,2,373,6,,,26,2,596,1,6487,3,,,,,,,531,4,,,18181,5,28,3,4260,8,48,8,22,3,4594,1,234,11,,,,,4983,4,,,,,21,2,,,,,,,,,30,2,,,,,,,1398,3,,,26,2,218,8,,,,,362,7,134,2,,,22,2,35,13,,,,,15,2,37,2,1494,8,2851,9,,,,,,,152,2,36,2,,,45,26,25,2,,,,,22,2,,,,,24,2,25,3,87,5,77,4,,,,,,,110,2,19,7,,,,,22,8,,,,,,,,,,,,,776,13,18,5,240,5,,,,,,,18,4,,,,,,,21,2,,,,,726,10,20,2,,,901,10,,,,,,,2024,10,,,,,,,,,,,22,2,,,,,66,4,,,73,10,62,7,,,,,183,5,,,,,639,4,27,3,,,67,4,,,,,,,81,8,,,,,21,4,547,5,,,,,137,9,36,2,,,,,22,2,79,11,34,1,,,,,24,3,,,23,4,,,,,,,29,2,,,530,18
10816,50589,6,,,,,,,,,,,574,7,,,,,,,40,2,,,,,,,38,2,,,34,2,154,8,,,,,,,,,,,37,2,,,83,10,,,,,,,242,10,,,,,238,5,3931,8,,,,,,,99,8,,,13557,13,,,7079,5,99,3,,,950,5,346,7,,,,,2561,10,,,,,,,,,,,,,,,,,,,,,,,442,6,106,5,,,233,7,,,,,469,4,,,,,,,574,4,,,,,,,,,2275,4,2449,10,,,,,,,,,,,44,2,170,8,,,,,,,,,,,,,,,,,,,78,3,,,,,,,,,,,,,,,,,,,,,,,,,40,2,,,827,11,27,3,244,4,,,39,1,,,,,,,,,,,,,,,,,1829,3,,,,,2746,3,,,,,191,8,4099,6,,,,,,,,,,,,,,,,,29,7,,,97,6,,,,,,,125,6,,,,,440,7,,,,,,,,,,,,,,,,,,,39,2,315,7,,,,,174,7,,,,,,,,,435,5,,,,,,,33,2,,,33,2,,,,,,,,,,,1925,7
2093,42282,7,,,,,,,,,,,155,15,,,,,,,,,24,4,,,,,,,,,,,107,10,,,,,19,6,17,2,,,,,,,101,6,14,2,,,,,109,20,,,,,83,14,1711,22,,,,,,,,,,,15396,8,16,7,2488,14,,,,,108,14,134,23,,,,,1388,19,,,,,,,,,15,2,,,,,,,,,14,2,,,99,23,16,7,,,75,12,,,,,128,16,12,6,,,,,212,10,,,,,,,,,1004,11,8975,2,,,25,3,15,5,,,14,3,,,179,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,,,,,,,,,,,,,461,20,,,47,22,,,,,,,,,,,,,,,,,,,,,636,15,,,,,1036,6,,,,,,,1817,11,,,,,13,2,,,,,,,,,,,,,,,62,12,27,10,,,,,,,25,2,,,243,10,,,18,2,,,,,,,,,433,4,,,,,,,113,14,,,,,95,11,,,,,,,,,763,4,,,,,,,,,,,17,5,,,,,,,,,16,1,3772,1
2136,38192,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,5,,,,,,,,,,,,,,,,,,,,,,,451,4,,,,,,,19257,1,,,,,,,,,,,9094,20,7,21,1095,25,,,,,1637,4,,,,,,,795,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,6,,,,,334,8,9,8,,,,,,,,,,,,,,,533,27,,,,,,,,,,,,,,,21,50,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,,,,,,,,,,,,,,,,,,1430,5,,,,,,,,,,,,,,,,,,,,,,,,,1443,6,,,,,,,,,,,,,111,63,,,,,,,,,,,,,,,,,29,6,,,237,2,,,,,7,2,,,7,3,,,558,6,,,,,,,,,,,,,,,,,,,,,423,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,49
2181,31756,9,,,,,,,,,,,176,14,,,,,,,,,,,,,12,3,,,,,,,257,6,,,,,,,,,,,,,,,34,23,,,,,,,156,17,,,,,164,7,2974,9,,,,,,,235,6,,,8792,21,17,6,2099,18,181,2,16,5,,,239,10,,,,,1520,16,,,,,,,,,,,,,,,,,,,,,,,376,8,,,,,180,10,,,,,365,6,,,,,,,294,7,,,,,,,18,5,992,12,1541,14,,,,,,,118,3,,,,,39,29,,,,,,,,,,,,,,,31,2,44,9,74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,16,20,4,182,7,,,,,,,,,,,,,,,,,,,,,1593,5,,,,,444,15,,,,,260,5,2941,8,,,,,,,,,,,15,4,,,,,39,5,,,85,8,49,8,,,,,67,9,26,1,,,2448,1,,,,,,,,,,,,,104,6,,,,,,,297,8,,,,,243,5,29,3,,,,,,,,,,,,,,,,,,,25,3,,,,,,,,,,,1337,9
320,30849,10,,,,,,,,,,,196,13,,,,,,,21,5,,,,,,,,,23,1,,,200,7,,,,,,,,,21,3,,,,,98,8,,,,,,,166,14,,,23,3,95,13,2539,12,,,,,,,302,5,,,10714,17,30,2,3204,12,44,9,,,89,15,297,8,,,,,4706,5,,,,,18,3,23,3,,,,,23,2,,,44,4,,,,,191,13,70,6,,,,,,,,,493,3,,,,,,,310,6,,,,,,,27,3,486,32,541,30,,,,,23,4,,,,,32,3,53,22,,,,,,,21,3,,,,,,,,,54,8,42,8,,,,,,,,,23,6,,,,,179,5,,,,,,,,,,,,,1037,10,34,2,62,16,,,,,,,18,3,,,,,,,,,,,,,1108,8,,,,,494,13,,,,,222,6,1454,14,,,,,,,,,,,,,22,2,,,,,,,130,4,95,3,,,,,52,12,,,,,106,23,,,,,31,5,,,,,,,33,10,,,,,,,54,20,,,24,1,59,16,,,,,,,,,68,13,,,,,,,,,,,16,6,,,,,,,,,,,309,24
