,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,107999,128,1,49,1,35,1,41,1,31,1,3156,1,36,1,29,1,35,1,316,1,69,1,26,1,33,2,,,67,1,420,1,122,1,150,1,482,1,26,1,37,1,269,1,35,1,208,1,36,1,30,1,62,1,679,2,30,1,73,1,335,2,5179,1,29,1,24,1,422,4,27,1,30645,1,67,1,11733,1,503,1,60,1,1706,3,1684,1,35,1,3820,1,,,31,1,41,1,58,1,30,1,24,1,46,1,189,1,28,1,,,1698,1,3175,1,140,1,295,2,23,1,22,1,1089,1,719,1,,,26,1,1603,1,32,1,39,1,36,1,87,1,3809,2,2936,2,26,1,41,1,36,2,340,1,412,1,120,1,336,3,25,1,,,34,1,74,1,38,1,30,1,30,1,37,1,346,2,243,1,28,1,36,1,13,2,87,1,143,1,116,1,1837,1,154,2,34,1,75,1,27,1,35,1,57,1,24,1,959,6,40,2,456,2,26,1,,,32,1,28,1,28,1,24,1,26,1,21,1,,,25,1,2432,2,33,1,25,1,3945,2,31,1,37,1,441,1,5153,2,29,1,42,1,27,1,23,1,42,1,40,1,31,1,23,1,143,2,87,1,306,1,173,1,,,164,1,301,2,,,21,3,827,2,61,1,,,237,1,,,289,1,489,3,43,1,168,1,453,2,39,1,,,444,2,65,1,758,1,57,1,31,1,2040,1,,,22,1,,,29,2,,,31,2,31,1,25,1,27,1,34,1,,,2596,5
1,2,1406,56540,32,2,,,,,,,,,8,23,,,,,22,3,57,3,,,,,,,,,,,247,3,,,,,,,,,,,,,,,102,2,,,,,,,172,9,,,16,2,226,3,4876,2,,,,,445,3,,,27691,2,22,2,3144,3,60,5,15,2,297,6,781,3,,,3212,3,48,1,,,,,20,2,,,,,,,,,,,,,503,4,,,,,207,3,,,,,173,8,32,4,,,10,2,1599,2,,,,,,,20,3,1822,5,2537,3,,,37,2,21,3,,,,,,,,,,,,,,,16,2,,,,,,,,,104,4,35,7,,,,,,,,,,,,,,,49,6,,,,,,,,,,,,,1395,1,20,3,298,3,,,,,,,,,,,,,,,,,,,,,682,8,,,,,649,7,,,,,105,6,2163,6,,,,,,,,,,,17,2,15,2,,,184,1,,,51,10,45,6,,,,,135,4,,,,,666,3,,,,,,,,,,,,,,,,,81,8,,,,,107,7,16,3,,,,,,,248,8,,,,,,,16,3,,,16,3,,,,,,,21,2,,,952,11
2,3,2223,54416,,,,,,,,,,,612,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,15,,,,,,,825,1,,,,,185,5,1860,13,,,,,,,,,11265,6,,,4075,2,,,,,4227,1,1232,2,,,2913,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3,,,,,200,8,,,,,,,,,6288,1,2227,6,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,374,1,,,,,,,,,,,16,3,,,,,73,3,,,,,,,,,,,,,670,9,,,473,1,,,,,,,,,,,,,,,,,,,,,3258,1,,,,,6357,1,,,,,,,1805,9,,,,,,,,,,,,,,,,,,,13,3,,,155,2,,,,,46,9,,,,,201,11,,,,,,,,,,,420,4,,,,,1962,1,,,,,243,3,,,,,,,,,627,3,,,,,,,,,,,2,10,,,,,,,,,,,1738,8
3,4,10816,40347,,,,,,,,,,,369,7,,,,,35,2,,,,,,,75,1,,,36,2,129,6,,,,,,,,,,,45,2,,,76,3,,,,,,,352,4,,,,,214,4,3726,5,,,,,90,7,,,11215,7,,,3021,4,71,4,,,904,5,446,5,,,2473,5,,,,,,,,,,,,,,,,,,,,,501,5,77,5,,,122,7,,,,,388,3,,,,,,,350,6,,,,,,,,,1851,4,2318,5,,,,,,,,,,,41,2,310,4,,,,,,,,,,,,,,,,,,,74,3,,,,,,,,,,,,,,,,,,,,,,,,,42,2,,,645,10,41,1,221,4,,,41,1,,,,,,,,,,,,,,,,,1241,3,,,,,1316,3,,,,,184,2,3417,4,,,,,,,,,,,,,,,,,41,5,,,129,3,,,,,,,75,6,,,,,624,4,,,,,,,,,37,3,,,,,46,2,95,7,,,,,133,6,,,,,,,,,251,7,,,,,,,33,1,,,38,1,,,,,,,,,,,2388,6
4,5,2397,34150,12,4,15,2,,,13,2,,,946,3,,,,,11,5,141,2,,,10,3,,,,,7,5,332,2,,,,,17,6,,,21,2,23,3,,,32,13,,,3,2,12,2,232,7,,,10,3,395,1,3397,6,,,,,367,5,,,12167,3,15,6,1869,7,34,8,8,7,3914,2,341,7,,,1443,9,,,,,11,2,,,,,,,14,3,,,,,,,703,2,,,9,2,140,5,,,,,242,4,50,2,,,8,3,44,12,,,,,7,3,25,2,906,8,1326,10,,,,,,,69,2,19,2,,,24,25,7,2,,,,,6,6,,,,,8,2,11,3,42,7,50,5,,,,,,,65,2,6,6,,,,,8,10,,,,,,,,,,,,,424,15,10,6,189,5,,,,,,,9,3,,,,,,,7,2,,,,,526,10,7,2,,,503,9,,,,,,,1275,10,,,,,,,,,,,7,5,,,,,48,4,,,61,8,40,7,,,,,125,5,,,,,371,7,12,3,,,37,4,,,,,66,7,,,10,4,184,4,,,,,83,9,14,4,,,,,11,2,67,10,16,1,,,,,9,4,,,3,8,,,,,,,8,3,,,441,17
5,6,2181,27927,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,183,4,,,,,,,,,,,,,,,26,18,,,,,,,113,13,,,,,181,6,1845,14,,,,,465,2,,,7368,13,15,5,1322,13,154,2,11,4,,,221,8,,,2229,6,,,,,,,,,,,,,,,,,,,,,240,8,,,,,98,8,,,,,237,5,,,,,,,437,4,,,,,,,20,4,959,7,995,12,,,,,,,37,3,,,,,46,16,,,,,,,,,,,,,,,12,2,52,5,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,7,13,4,168,6,,,,,,,,,,,,,,,,,,,,,1216,4,,,,,298,17,,,,,88,7,1886,7,,,,,,,,,,,13,3,,,,,22,6,,,76,7,37,9,,,,,46,8,21,1,,,3827,1,,,,,,,,,,,221,6,,,,,148,5,,,,,141,5,21,2,,,,,,,,,,,,,,,,,,,15,4,,,,,,,,,,,1471,9
6,7,2093,27613,,,,,,,,,,,88,13,,,,,,,20,4,,,,,,,,,,,31,12,,,,,20,5,7,3,,,,,,,27,17,13,2,,,,,68,20,,,,,48,19,912,24,,,,,,,,,11963,5,11,9,1411,12,,,,,55,16,161,11,,,773,17,,,,,,,,,6,2,,,,,,,7,2,,,91,17,15,7,,,36,13,,,,,63,21,5,8,,,,,110,10,,,,,,,,,593,19,3810,1,,,5,3,7,4,,,,,,,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,7,,,,,,,,,,,,,455,14,,,50,15,,,,,,,,,,,,,,,,,,,,,239,20,,,,,471,11,,,,,,,1246,12,,,,,10,2,,,,,,,,,,,,,,,42,12,10,14,,,,,,,11,2,,,127,19,,,9,2,,,,,,,270,5,,,,,57,9,,,,,51,14,,,,,,,,,505,4,,,,,,,,,,,6,6,,,,,,,,,6,1,3522,2
7,8,463,24588,,,10,3,,,,,,,,,,,,,,,17,5,,,,,,,,,,,29,13,,,,,,,,,11,3,,,,,41,10,,,,,,,209,8,,,,,98,12,1964,12,,,,,,,,,12017,4,8,11,1198,17,23,12,11,3,16,21,108,22,,,1063,15,,,,,,,,,,,,,,,,,,,,,99,15,,,,,32,14,,,,,65,20,,,,,,,58,11,,,,,,,,,1046,6,2085,7,,,,,,,,,,,,,45,17,,,,,,,11,3,,,,,,,,,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,17,7,9,60,12,,,,,,,,,,,,,,,,,,,,,364,15,,,,,984,4,,,,,,,1254,11,,,,,,,,,,,,,,,,,,,,,,,25,10,,,,,41,10,,,,,130,18,,,,,,,,,,,54,10,,,,,31,17,,,,,46,15,,,,,,,,,51,12,,,,,,,,,,,,,,,,,,,,,,,888,12
8,9,2162,22739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,,8,41,,,,,,,96,15,,,,,26,29,1169,19,,,,,,,,,9896,8,,,680,24,,,,,,,96,25,,,1311,12,,,,,4,4,,,,,,,,,,,,,,,25,41,,,,,,,,,,,166,10,,,,,,,9,19,,,,,,,9,7,746,11,6,112,,,,,,,2,4,,,,,58,13,,,,,,,,,,,,,,,,,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,48,3,14,,,,,,,,,,,,,,,,,,,,,,,466,12,,,,,259,20,,,,,15,12,4569,3,,,,,,,,,,,,,,,,,3,10,,,,,4,18,,,,,19,12,,,,,95,21,,,,,,,,,,,,,,,,,14,29,,,,,88,8,,,,,,,,,33,15,,,,,,,,,,,,,,,,,,,,,,,2758,4
9,10,25821,18286,,,,,,,,,,,402,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055,10,,,,,,,,,971,91,4,30,1616,9,,,,,,,,,,,3308,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,5,,,,,,,,,,,,,,,,,,,,,,,6113,1
