bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,152702,1,141,1,44,1,37,1,45,1,31,1,3723,1,28,1,24,1,32,1,47,1,3,1,22,1,2199,1,48,1,22,1,21,2,,,42,1,696,1,152,1,203,1,360,1,24,1,63,1,242,1,26,1,357,1,26,1,19,1,26,1,1058,1,21,1,37,1,397,2,8507,1,18,1,24,1,27,1,699,1,16,1,35917,2,66,1,18701,1,853,1,71,1,5065,1,1578,1,16,1,36,1,6681,1,,,25,1,30,1,25,1,22,1,23,1,25,1,40,1,118,1,24,1,,,1687,1,1014,1,54,1,578,1,16,1,22,1,1683,1,437,1,,,23,1,1990,2,26,1,30,1,41,1,115,1,5578,1,3614,2,21,1,38,1,26,2,665,1,720,1,141,1,420,3,28,1,17,1,102,1,94,1,32,1,19,1,10,1,26,1,16,1,481,2,404,1,21,1,23,1,17,2,119,1,182,1,141,1,922,1,1344,1,29,1,40,1,22,1,27,1,25,1,30,1,1339,2,34,1,343,3,23,1,,,19,1,25,2,25,1,13,1,21,1,23,1,,,21,1,7986,1,30,1,27,1,4089,2,21,1,26,1,643,1,9764,1,23,1,22,1,21,1,15,1,17,1,25,1,24,1,17,1,147,3,104,1,437,1,222,1,,,312,1,456,2,,,24,2,1463,1,33,2,,,206,1,,,342,1,21,1,889,1,19,1,91,1,228,1,2430,2,73,1,,,571,2,112,1,541,1,40,1,14,1,1983,1,,,19,1,,,18,1,,,22,1,12,1,20,1,21,1,31,1,,,5232,2
29316,64388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,50,,,,,,,,,,,,,,,192,90,,,,,,,,,,,63993,1,,,,,,,,,,,,,,,,,131,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,61915,3,,,,,,,,,,,1846,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,,,,,,688,2,,,,,128,8,2152,9,,,,,,,,,,,12975,8,,,4551,2,,,,,3296,3,1489,2,,,,,4486,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,3,,,,,628,4,,,,,,,,,4129,2,2522,4,,,,,10,4,,,,,,,119,8,,,,,,,,,,,,,,,,,,,102,4,,,,,,,,,,,20,5,,,,,110,6,,,,,,,,,,,,,543,15,,,444,1,,,,,,,,,,,,,,,,,,,,,3770,2,,,,,6955,1,,,,,,,2160,8,,,,,,,,,,,,,,,,,,,25,3,,,148,2,,,36,2,114,8,,,,,215,9,,,,,,,,,,,,,424,2,,,,,,,3090,1,,,,,275,4,,,,,,,,,1952,2,,,,,,,,,,,5,11,,,,,,,,,,,2375,6
1406,51292,4,27,2,,,,,,,,,699,6,,,,,,,24,3,,,,,89,3,,,,,,,,,,,234,3,,,,,,,,,,,,,,,102,2,,,,,,,170,11,,,9,5,226,3,2817,7,,,,,,,337,4,,,21621,3,22,3,3193,4,69,4,20,3,708,6,838,4,,,,,2953,4,13,1,,,,,11,3,,,,,,,20,3,,,,,,,570,4,,,,,314,3,,,,,192,9,50,4,,,9,3,2641,1,,,,,,,25,2,1512,5,1857,7,,,16,3,14,3,,,,,,,124,7,,,,,83,2,21,2,,,,,,,,,,,674,1,34,8,,,,,,,,,,,,,,,148,4,,,,,,,,,,,,,1188,3,12,8,346,2,,,,,,,45,1,,,,,,,,,,,,,515,13,,,,,551,12,,,,,137,6,2426,7,,,,,,,,,,,17,2,8,3,,,483,1,,,36,13,38,9,,,,,152,6,,,,,421,4,,,,,,,,,,,,,90,9,,,,,,,208,12,,,,,141,9,12,3,,,,,,,252,9,,,,,,,8,4,,,5,10,,,,,,,10,3,,,1705,9
10816,48945,5,,,,,,,,,,,373,8,,,,,,,29,2,,,,,,,,,,,28,1,,,19,2,154,7,,,,,,,,,,,15,3,,,59,6,,,,,,,322,4,,,,,148,6,3091,5,,,,,,,66,8,,,13774,7,,,4470,3,62,5,,,730,5,376,6,,,,,2079,7,,,,,,,,,,,,,,,,,,,,,,,296,6,53,6,,,183,7,,,,,445,3,,,,,,,401,5,,,,,,,,,1985,4,1876,6,,,,,,,,,,,19,3,324,4,,,,,,,,,,,,,,,,,,,,,81,3,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,677,11,13,7,295,5,,,27,1,,,,,,,,,,,,,,,,,1490,4,,,,,1703,4,,,,,254,2,7549,3,,,,,,,,,,,,,,,,,31,5,,,86,7,,,,,,,124,7,,,,,413,5,,,,,,,,,,,,,,,,,,,17,4,514,7,,,,,169,6,,,,,,,,,517,5,,,,,,,18,2,,,19,2,,,,,,,,,,,3546,5
2397,40266,6,26,3,14,2,,,8,2,,,1344,3,,,,,,,21,4,,,,,178,2,,,10,2,,,,,14,3,310,2,,,,,21,5,,,30,2,20,2,,,56,7,,,4,2,11,3,321,5,,,20,2,480,1,3178,4,,,,,,,374,3,,,14080,4,30,2,2393,6,41,6,5,13,4036,2,202,10,,,,,1744,10,,,,,18,3,,,,,,,,,31,2,,,,,,,959,2,,,14,2,137,9,,,,,249,7,104,2,,,11,2,29,14,,,,,7,2,24,4,1086,7,1845,8,,,,,,,72,2,34,2,,,32,27,18,2,,,,,17,4,,,,,9,3,14,2,,,59,6,52,6,,,,,,,99,2,5,7,,,,,9,9,,,,,,,,,,,,,573,14,10,11,146,6,,,,,,,10,7,,,,,,,8,2,,,,,635,10,11,2,,,663,9,,,,,,,1813,10,,,,,,,,,,,7,4,,,,,61,4,,,57,10,60,5,,,,,154,5,,,,,386,6,12,3,,,21,4,,,,,,,82,11,,,,,14,5,633,5,,,,,146,8,10,4,,,,,9,2,78,13,21,1,,,,,9,3,,,7,8,,,,,,,19,2,,,706,17
2093,34719,7,,,,,,,,,,,94,16,,,,,,,,,,,,,15,5,,,,,,,,,,,68,10,,,,,13,6,15,2,,,,,,,71,5,8,2,,,,,134,14,,,,,54,14,1353,21,,,,,,,,,,,13964,5,14,9,1973,8,,,,,74,15,137,19,,,,,996,17,,,,,,,,,14,2,,,,,,,,,9,2,,,106,15,19,7,,,63,11,,,,,150,13,16,6,,,,,143,10,,,,,,,,,658,15,4344,1,,,25,2,6,6,,,14,3,,,152,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7,,,,,,,,,,,,,345,18,,,78,10,,,,,,,,,,,,,,,,,,,,,471,14,,,,,721,8,,,,,,,1267,12,,,,,8,2,,,,,,,,,,,,,,,57,9,17,13,,,,,,,16,2,,,154,11,,,9,2,,,,,,,,,401,4,,,,,,,568,6,,,,,99,11,,,,,,,,,438,6,,,,,,,,,,,18,3,,,,,,,,,5,2,5299,1
2162,26965,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,,,,,14,42,,,,,,,158,12,,,,,31,28,1604,14,,,,,,,,,,,13882,6,,,807,23,,,,,,,127,22,,,,,1046,16,,,,,22,2,,,,,,,,,,,,,,,,,26,42,,,,,,,,,,,176,10,,,,,,,17,18,,,,,,,14,7,746,12,294,27,,,,,,,3,4,,,,,50,17,,,,,,,,,,,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,36,7,12,,,,,,,,,,,,,,,,,,,,,,,567,12,,,,,289,17,,,,,19,13,4482,5,,,,,,,,,,,,,,,,,7,9,,,,,13,16,,,,,32,16,,,,,106,18,,,,,,,,,,,,,,,,,,,,,78,18,,,,,165,7,,,,,,,,,107,10,,,,,,,,,,,,,,,,,,,,,,,1934,7
463,24489,9,8,7,5,4,,,,,,,55,20,,,,,,,,,,,,,7,6,,,,,,,,,,,40,11,,,,,,,,,9,6,,,,,29,19,,,,,,,198,9,,,,,64,13,1933,11,,,,,,,,,,,11060,9,6,24,1136,15,19,13,7,10,16,23,128,21,,,,,1323,13,,,,,,,,,,,,,,,,,,,,,,,90,20,,,,,27,14,,,,,69,22,,,,,,,31,12,,,,,,,,,1104,6,3105,3,,,,,,,,,,,,,67,15,3,3,,,,,11,6,,,,,,,,,,,27,10,,,,,,,,,,,,,,,,,4,12,,,,,,,,,,,,,292,20,3,15,40,20,,,,,,,,,,,,,,,,,,,,,338,19,,,,,911,6,,,,,,,1037,14,,,,,,,,,,,,,,,,,,,,,,,25,10,,,,,10,19,,,,,131,14,,,,,,,,,,,,,88,10,,,,,,,88,16,,,,,74,13,,,,,,,,,41,16,,,,,,,,,,,,,,,,,,,,,,,830,13
2181,22447,10,,,,,,,,,,,150,12,,,,,,,,,,,,,,,,,9,3,,,,,,,212,4,,,,,,,,,,,,,,,38,13,,,,,,,129,15,,,,,136,7,1447,18,,,,,,,162,6,,,6415,19,18,6,1083,16,120,3,4,16,,,197,12,,,,,1072,15,,,,,,,,,,,,,,,,,,,,,,,227,9,,,,,122,10,,,,,336,5,,,,,,,205,7,,,,,,,25,3,674,14,895,13,,,,,,,32,3,,,,,28,32,,,,,,,,,,,,,,,12,3,,,37,9,52,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,10,6,13,319,4,,,,,,,,,,,,,,,,,,,,,1465,5,,,,,375,14,,,,,134,7,2059,9,,,,,,,,,,,2,7,,,,,19,7,,,52,11,49,7,,,,,38,15,23,1,,,864,2,,,,,,,,,,,,,99,6,,,,,,,262,10,,,,,183,5,22,2,,,,,,,,,,,,,,,,,,,9,6,,,,,,,,,,,1915,8
