bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,92399,1,129,1,29,1,17,1,26,1,29,1,3307,1,22,1,35,1,17,1,238,1,18,1,17,1,52,1,342,2,15,1,103,1,188,1,19,1,26,1,148,1,22,1,106,1,19,1,14,1,45,1,497,3,21,1,27,1,463,2,4487,1,21,1,22,1,354,3,,,29539,1,59,1,10677,1,365,1,38,1,1376,2,968,2,24,1,3131,2,13,1,18,1,29,1,14,2,13,1,40,1,101,1,17,1,1153,1,1209,1,26,1,322,2,14,1,11,1,631,1,73,1,19,1,1861,2,23,1,18,1,24,1,77,1,3036,3,3560,2,18,1,17,1,27,1,142,1,96,1,85,1,358,3,21,1,,,17,1,54,1,14,1,16,1,15,1,197,3,164,1,18,1,,,52,1,40,1,25,1,392,1,84,3,12,1,19,1,11,1,15,1,13,1,16,1,1085,2,27,1,444,2,,,16,2,22,1,14,1,24,1,,,1661,2,15,1,32,1,2555,2,17,1,259,1,6206,3,11,1,28,1,17,1,17,1,22,1,14,1,87,2,34,1,258,1,105,2,,,251,1,187,3,,,23,1,958,2,22,2,,,93,1,51,1,1,1,481,1,28,1,254,1,1605,4,22,1,,,175,4,49,1,55,1,14,1,16,1,1299,1,,,15,1,,,12,2,,,24,2,19,1,19,1,14,1,,,2450,3
2223,61669,2,,,,,,,,,,,1300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,12,,,,,,,884,1,,,,,,,1468,14,,,,,,,,,13958,7,,,7397,2,,,,,,,1288,1,,,2742,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,,,73,11,,,,,,,,,9132,1,2106,6,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,639,1,,,,,,,,,4,7,,,,,54,5,,,,,,,,,,,,,603,10,,,821,1,,,,,,,,,,,,,2684,1,,,,,3987,1,,,,,5519,4,,,,,,,,,,,,,,,7,3,,,163,1,,,,,41,5,,,,,262,8,,,,,,,,,,,262,2,,,,,2437,2,,,,,370,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430,1
1406,39416,3,18,2,,,,,,,,,32,13,,,,,,,,,,,,,,,161,5,,,,,,,,,,,,,,,29,6,,,,,,,111,12,,,15,2,475,1,2910,6,,,,,369,2,,,17280,2,13,5,3046,4,35,5,11,5,272,4,10,88,,,1553,6,,,,,17,2,,,,,,,,,,,552,3,,,,,234,4,,,,,174,7,33,2,10,3,2051,1,,,,,,,9,4,1244,5,1951,8,,,15,3,15,2,,,,,,,,,,,,,,,12,4,,,,,,,70,5,,,,,,,,,,,,,,,26,7,,,,,,,,,,,,,891,4,12,4,258,5,,,40,1,,,,,,,,,401,11,,,,,281,14,,,51,6,1868,9,,,,,,,10,2,5,3,,,304,1,,,42,9,11,11,,,,,259,2,,,,,389,6,,,,,,,,,,,,,,,,,199,9,,,,,78,6,,,,,,,,,187,5,,,,,,,13,1,,,,,,,,,4,3,,,1360,5
10816,39242,4,,,,,,,,,,,513,4,,,,,,,,,,,,,18,2,127,7,,,,,,,,,,,19,3,,,32,5,,,,,,,214,5,,,,,233,3,2327,9,,,,,34,8,,,16767,4,,,3553,3,43,4,,,270,5,18,53,,,1780,4,,,,,,,,,,,,,,,,,270,5,13,6,,,98,7,,,,,261,4,,,,,172,6,,,,,,,,,1936,4,2535,4,,,,,,,,,,,8,3,161,7,,,,,,,,,,,,,,,,,39,4,,,,,,,,,,,,,,,,,,,,,,,7,2,,,700,8,6,13,285,4,8,1,,,,,,,,,,,1098,4,,,,,889,4,,,82,4,3088,5,,,,,,,,,,,,,52,3,,,64,3,,,,,,,,,,,,,504,5,,,,,,,15,3,,,,,,,11,3,673,7,,,,,137,5,,,,,,,,,158,6,,,,,,,7,4,,,,,,,,,,,,,17,104
2397,34495,5,14,4,4,3,,,8,2,,,562,3,,,,,9,2,86,2,,,,,6,3,553,1,,,,,,,,,21,3,34,2,,,36,4,,,10,2,12,2,186,7,,,12,4,195,5,4233,4,,,,,331,4,,,13332,8,7,10,1770,6,6,13,8,6,2278,1,185,9,,,1268,8,,,5,2,,,,,,,12,2,,,,,627,2,,,10,2,142,6,,,,,214,5,17,3,12,2,23,13,,,,,6,3,5,7,709,8,1342,9,,,,,,,38,2,11,2,,,27,30,13,2,,,,,15,2,,,,,2,2,50,8,40,3,,,,,26,2,5,5,,,,,7,8,,,,,,,,,,,,,375,12,13,3,423,3,,,5,4,,,,,3,2,,,504,8,9,2,,,550,7,,,,,1207,13,,,,,,,5,5,,,,,44,4,,,37,10,40,5,,,,,59,4,,,,,564,3,12,3,,,11,6,,,,,57,7,,,9,4,1551,5,,,,,,,8,3,,,,,8,2,45,8,15,1,,,,,7,3,,,,,,,,,5,2,,,405,16
29351,27424,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143,12,,,,,,,,,5574,23,,,161,46,119,2,,,,,83,22,,,125,72,,,,,,,,,,,,,,,,,206,7,,,,,,,,,,,28,28,5,5,,,,,,,,,,,,,,,63,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,2,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,67,51,,,,,,,,,,,,,,,,,571,7,,,,,,,,,,,15969,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,37,,,,,,,,,,,,,,,,,,,,,,,1447,1,,,,,,,,,300,4,,,,,,,,,,,,,,,,,,,,,,
463,25969,7,,,15,2,,,,,,,,,,,,,,,,,,,,,,,32,11,,,,,,,,,13,5,,,,,18,14,,,,,,,211,6,,,,,86,12,2190,11,,,,,,,,,15148,6,,,,,17,9,,,,,148,12,,,,,,,,,,,,,,,,,,,,,65,19,,,,,33,12,,,,,76,20,,,,,50,12,,,,,,,,,894,6,2337,5,,,,,,,,,,,,,59,13,,,,,,,8,6,,,,,,,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,15,11,6,55,15,,,,,,,,,,,,,480,9,,,,,991,3,,,,,1747,10,,,,,,,,,,,,,,,,,,,8,14,,,,,10,11,,,,,193,12,,,,,,,,,,,47,8,,,,,85,16,,,,,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,10
2162,24270,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,,,8,30,,,,,,,115,11,,,,,12,42,1399,15,,,,,,,,,10361,10,,,3,130,,,,,,,87,19,,,837,16,,,4,3,,,,,,,,,,,,,13,42,,,,,,,,,,,195,6,,,,,,,,,,,,,3,8,656,10,4,100,,,,,,,3,4,,,,,127,8,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,45,11,7,,,,,,,,,,,,,,,623,5,,,,,119,24,,,15,10,8595,2,,,,,,,,,,,,,7,7,,,,,6,16,,,,,,,,,,,111,18,,,,,,,,,,,,,,,,,69,19,,,,,64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,8
2093,23458,9,,,,,,,,,,,45,11,,,,,,,14,3,,,,,,,29,12,,,,,11,4,4,4,,,,,,,27,7,5,2,,,,,98,14,,,,,49,17,793,26,,,,,,,,,9513,11,16,4,1132,14,,,,,65,10,52,29,,,549,22,,,,,,,16,1,,,,,,,,,35,27,9,7,,,19,14,,,,,66,23,,,,,81,10,,,,,,,,,462,15,4772,1,,,16,2,,,,,,,,,171,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,2,,,,,,,,,,,,,213,20,,,55,16,,,,,,,,,,,,,232,19,,,,,302,12,,,,,1230,12,,,,,8,2,,,,,,,,,,,17,12,9,12,,,,,,,6,3,,,144,16,,,,,,,,,,,249,3,,,,,78,17,,,,,20,16,,,,,,,,,419,3,,,,,,,,,,,31,1,,,,,,,6,1,2245,4
1294,23447,10,,,,,,,,,,,83,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,,,,,,,,,60,15,554,35,,,,,,,,,17196,3,5,22,837,22,,,,,,,194,8,,,1395,7,,,,,,,,,,,,,,,,,181,9,,,,,,,,,,,99,16,,,,,85,9,,,,,6,2,,,737,7,,,,,,,,,,,,,,,53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,828,5,,,28,26,,,4,6,,,,,,,,,53,46,,,,,,,,,,,537,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,14,,,,,,,,,,,,,,,,,54,21,,,,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,20
