bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
463,22347,11,,,7,3,,,,,,,,,,,,,,,4,5,,,,,,,,,50,11,,,,,,,,,6,3,,,,,21,12,,,,,,,222,8,,,,,59,17,1790,15,,,,,,,,,12013,7,3,24,,,9,15,4,7,,,211,10,,,,,,,,,,,,,,,,,,,,,,,80,19,,,,,26,14,,,,,82,21,,,,,31,14,,,,,,,,,905,8,2219,6,,,,,,,,,,,,,41,18,,,,,,,7,4,,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,17,7,7,43,25,,,,,,,,,,,,,,,,,,,416,15,,,,,981,4,,,,,1653,10,,,,,,,,,,,,,,,,,,,13,12,,,,,14,9,,,,,123,20,,,,,,,,,,,48,9,,,,,25,22,,,,,67,10,,,,,,,,,20,12,,,,,,,,,,,,,,,,,,,,,,,741,10
2162,20184,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,13,21,,,,,,,151,12,,,,,31,30,1394,18,,,,,,,,,9444,9,,,,,,,,,,,110,23,,,732,26,,,,,3,4,,,,,,,,,,,,,22,37,,,,,,,,,,,178,10,,,,,,,,,,,,,2,10,512,16,8,105,,,,,,,2,4,,,,,48,14,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,48,7,8,,,,,,,,,,,,,,,,,,,,,576,9,,,,,179,21,,,18,11,5782,3,,,,,,,,,,,,,6,8,,,,,13,13,,,,,,,,,,,73,30,,,,,,,,,,,,,,,,,33,15,,,,,69,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,11
50381,18966,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,23,,,,,,,,,,,17030,4,,,,,,,,,16,16,164,15,,,246,52,,,,,,,,,,,,,,,,,,,356,7,,,,,,,,,,,,,,,,,,,,,,,,,,,714,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,17405,14,12,4,,,,,,,,,293,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,,,,,,,,,118,10,1632,16,,,,,,,,,8960,10,,,1814,10,,,5,5,,,68,29,,,1066,18,,,,,,,,,,,,,,,,,,,167,10,,,,,273,5,,,,,124,15,,,,,,,,,,,,,,,232,34,155,43,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,14,,,78,13,,,,,,,,,,,,,,,,,,,301,19,,,,,149,26,,,,,686,18,,,,,,,,,,,,,183,2,,,,,,,,,1,2,,,,,,,281,10,,,,,,,,,,,15,13,,,,,48,10,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,28
13,16902,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,8,,,,,,,117,14,,,5,7,85,14,996,23,,,,,10,11,,,8841,11,5,13,1756,11,,,7,4,,,,,2,2,504,35,,,,,,,,,,,,,,,,,,,640,3,,,,,,,,,,,146,12,,,,,,,,,,,,,,,297,29,1275,13,,,,,,,,,,,,,75,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,117,11,5,56,20,,,,,,,,,,,,,,,,,,,205,25,,,,,292,16,,,30,9,806,17,,,,,,,,,,,,,,,,,14,17,42,10,,,,,42,7,,,,,185,14,,,,,,,,,,,,,,,,,29,19,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,368,19
320,16472,16,,,,,,,,,,,168,9,,,,,,,,,,,,,2,1,,,81,10,,,,,,,,,5,5,,,,,46,6,,,,,,,127,13,,,7,5,38,24,1112,22,,,,,114,6,,,7196,16,11,4,1302,13,27,8,,,48,13,201,12,,,1226,15,,,,,,,3,4,,,1,2,,,8,3,,,87,18,39,6,,,,,,,,,227,8,,,,,319,5,,,,,,,9,4,192,43,339,26,,,,,5,4,,,,,7,3,25,24,,,,,,,2,8,,,,,,,22,10,,,,,,,,,10,4,,,,,78,4,,,,,,,,,,,,,964,10,9,6,76,14,,,,,3,5,,,,,,,,,,,,,414,16,,,,,204,20,,,63,8,975,14,,,,,,,,,1,3,,,,,,,41,9,105,5,,,,,,,,,,,81,27,,,,,11,5,6,4,,,25,10,,,,,33,14,,,6,1,52,11,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,,,277,23
1294,15016,17,,,,,,,,,,,92,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,23,,,,,,,,,,,,,86,13,864,28,,,,,,,,,7338,14,2,29,812,20,,,,,,,144,18,,,2532,8,,,,,,,,,,,,,3,5,,,,,139,12,,,,,,,,,,,122,16,,,,,43,12,,,,,3,4,,,1169,6,,,,,,,,,,,,,,,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,446,15,,,44,24,,,,,3,6,,,,,,,,,,,,,76,36,,,,,,,,,,,557,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,15,,,,,,,,,,,,,,,,,28,20,,,,,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,21
811,14575,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,4,,,,,,,26,30,,,,,,,1494,17,,,,,,,,,4763,24,,,2506,6,,,,,,,111,22,,,1451,12,,,,,,,,,,,,,8,3,,,,,513,5,,,,,,,,,,,86,20,,,,,,,,,,,,,,,91,69,245,29,,,,,,,,,,,,,310,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,4,,,41,26,,,,,,,,,,,,,,,,,,,432,14,,,,,546,9,,,66,6,376,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,13432,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,,,,,,116,15,,,7,6,32,29,947,26,,,,,,,,,873,93,10,5,631,24,51,5,,,,,174,14,,,552,32,,,,,,,,,,,,,,,,,,,,,,,,,48,12,,,,,,,,,,,,,,,,,,,,,400,25,1773,7,,,,,,,,,,,,,2639,1,,,,,,,,,,,,,,,,,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,238,25,,,,,,,,,,,,,,,,,,,,,,,289,21,,,,,475,10,,,,,665,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436,3
2425,13136,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,10,26,,,,,,,58,20,,,,,69,16,1193,21,,,,,,,,,3888,27,2,31,952,19,,,5,6,121,9,203,11,,,1606,10,,,,,,,,,,,,,,,,,,,107,15,,,,,,,,,,,110,18,,,,,,,,,,,,,,,642,14,638,17,,,,,,,,,,,,,12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,27,,,,,,,,,,,,,,,,,,,,,,,272,22,,,,,467,11,,,104,4,2118,8,,,,,,,,,,,,,,,,,38,10,,,,,,,,,,,,,100,23,,,,,,,,,,,,,,,,,,,,,,,46,12,,,,,,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,138,31
