,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,2181,110580,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,379,3,,,,,,,,,,,,,,,68,6,,,,,,,161,13,,,,,257,4,2454,12,,,,,249,5,,,52190,1,15,3,1537,13,123,3,12,3,,,260,8,,,2234,9,,,,,,,,,,,,,,,,,,,,,263,8,,,,,99,11,,,,,229,8,,,,,26912,1,,,,,,,14,3,110,72,5095,1,,,,,,,53,3,,,,,162,8,,,,,,,,,,,,,,,6,2,40,8,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,8,15,4,181,5,,,,,,,,,,,,,,,,,,,,,1355,4,,,,,427,13,,,160,3,2267,6,,,,,,,,,7,4,,,,,34,6,,,96,4,60,6,,,,,,,9,2,,,1562,1,,,,,,,,,,,,,3587,1,,,,,161,5,,,,,145,5,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6680,1
1,2,171,109746,275,1,33,1,30,1,28,1,23,1,3266,1,23,1,36,1,44,1,361,1,36,1,14,1,22,1,,,33,1,402,2,54,1,75,1,359,1,15,1,56,1,252,1,15,1,198,1,19,1,20,1,52,1,675,2,23,1,39,1,445,2,5452,2,19,1,19,1,523,4,,,34345,2,62,1,14176,1,541,1,56,1,1868,3,1049,1,30,1,3822,2,,,23,1,39,1,32,1,17,1,23,1,55,1,302,1,18,1,,,1374,1,3520,1,29,1,334,3,17,1,16,1,967,1,167,1,23,1,1828,2,14,1,10,1,34,1,91,1,3700,3,2784,5,26,1,24,1,17,2,308,1,126,1,101,1,306,3,17,1,,,26,1,92,1,28,1,23,1,17,1,17,1,262,3,178,1,17,1,20,2,,,52,2,109,1,56,1,1228,1,223,2,16,1,40,1,22,1,21,1,37,1,19,1,887,7,47,1,338,2,3,1,,,25,1,22,1,23,1,19,1,14,1,17,1,,,18,1,2212,2,19,1,26,1,4580,2,20,1,278,1,4361,3,20,1,16,1,25,1,17,1,29,1,24,1,20,1,103,3,75,1,275,1,174,2,,,175,1,282,3,,,25,3,944,2,37,1,,,285,1,,,123,1,1,1,578,2,25,1,322,1,424,2,21,1,,,247,3,64,2,180,1,76,1,13,1,2084,1,,,18,1,,,14,1,,,17,1,15,1,19,1,17,1,22,1,,,2301,6
2,3,2223,66094,,,,,,,,,,,893,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,,,,,,1176,1,,,,,395,3,1841,14,,,,,,,,,13380,8,,,4269,2,,,,,3273,1,998,2,,,3344,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3,,,179,7,,,,,,,,,15098,1,2535,7,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,395,1,,,,,,,,,,,15,4,,,,,34,6,,,,,,,,,,,,,595,11,,,515,1,,,,,,,,,,,,,,,,,,,,,3676,1,,,,,6163,1,,,,,2313,5,,,,,,,,,,,,,,,,,11,3,,,228,1,,,,,130,6,,,,,186,10,,,,,,,,,,,,,449,4,,,,,450,1,,,,,325,2,,,,,,,,,572,2,,,,,,,,,,,4,7,,,,,,,,,,,2582,4
3,4,10816,44804,,,,,,,,,,,601,4,,,,,8,4,,,,,,,14,2,,,10,3,220,5,,,,,,,,,,,19,3,,,54,11,,,,,,,292,7,,,,,148,8,3032,9,,,,,65,7,,,13944,6,,,3689,3,68,4,,,540,5,329,7,,,3468,3,,,,,,,,,,,,,,,,,,,,,436,6,34,6,,,175,5,,,,,532,3,,,,,163,8,,,,,,,,,2427,4,3342,4,,,,,,,,,,,3,3,245,4,,,,,,,,,,,,,,,,,,,41,5,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,698,10,5,13,174,6,,,6,1,,,,,,,,,,,,,,,,,1300,5,,,,,763,6,,,97,6,4207,4,,,,,,,,,,,,,,,52,4,,,79,7,,,,,,,,,,,,,477,3,,,,,,,,,6,3,,,,,,,14,3,138,6,,,,,164,4,,,,,,,,,191,8,,,,,,,5,3,,,6,4,,,,,,,,,,,2522,5
4,5,1406,43830,43,2,,,,,,,,,21,16,,,,,8,3,23,3,,,,,,,,,,,239,4,,,,,,,,,,,,,,,54,10,,,,,,,164,12,,,6,8,242,5,3383,6,,,,,664,1,,,18664,4,8,15,3576,4,52,5,7,8,509,6,520,5,,,2296,8,57,1,,,,,6,2,,,,,,,,,,,,,517,5,,,,,362,2,,,,,156,12,30,4,7,3,1276,4,,,,,,,10,5,1766,5,1978,9,,,6,3,7,4,,,,,,,,,,,,,,,8,4,,,,,,,,,89,5,,,,,,,,,,,,,,,,,44,5,,,,,,,,,,,,,1262,3,7,9,267,3,,,,,,,,,,,,,,,,,,,,,431,14,,,,,451,11,,,94,7,1734,7,,,,,,,,,5,6,2,3,,,293,1,,,38,11,52,7,,,,,379,2,,,,,449,4,,,,,,,,,,,,,,,,,,,126,7,,,,,85,7,9,4,,,,,,,194,7,,,,,,,3,4,,,2,9,,,,,,,8,3,,,1141,9
5,6,2397,36937,15,3,12,2,,,12,2,,,1134,2,,,,,9,2,160,2,,,11,2,,,,,9,4,480,1,,,,,20,4,,,18,2,32,2,,,60,7,,,9,2,10,2,299,6,,,10,3,519,1,4212,4,,,,,537,3,,,12969,9,13,4,1796,10,35,9,17,2,2722,2,204,10,,,1965,10,,,,,10,2,,,,,,,12,2,,,,,,,725,3,,,11,2,145,8,,,,,400,4,63,2,8,2,36,13,,,,,6,2,21,2,1073,8,1569,10,,,,,,,74,2,19,2,,,47,17,4,2,,,,,10,3,,,,,13,2,4,3,63,6,70,3,,,,,,,77,1,12,5,,,,,17,7,,,,,,,,,,,,,534,12,19,2,183,4,,,,,,,11,2,,,,,,,7,2,,,,,694,9,12,2,,,783,5,,,,,1148,12,,,,,,,,,7,5,,,,,36,5,,,85,6,37,9,,,,,134,5,,,,,422,5,16,3,,,25,4,,,,,,,76,10,,,8,4,305,3,,,,,43,13,12,3,,,,,7,2,65,10,12,1,,,,,11,2,,,5,5,,,,,,,9,2,,,453,17
6,7,2093,35851,,,,,,,,,,,73,12,,,,,,,9,4,,,,,,,,,,,57,11,,,,,12,5,3,4,,,,,,,55,9,5,2,,,,,99,18,,,,,60,20,1182,21,,,,,,,,,19345,3,9,12,1240,16,,,,,45,16,93,26,,,949,17,,,,,,,,,16,2,,,,,,,5,2,,,110,14,15,7,,,55,13,,,,,94,21,11,6,,,133,9,,,,,,,,,721,17,4541,2,,,24,2,10,3,,,,,,,157,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,4,,,,,,,,,,,,,329,17,,,40,20,,,,,,,,,,,,,,,,,,,,,353,17,,,,,405,14,,,,,1149,11,,,,,8,2,,,,,,,,,,,,,31,13,15,12,,,,,,,10,1,,,167,12,,,7,2,,,,,,,,,426,5,,,,,40,17,,,,,35,15,,,,,,,,,563,3,,,,,,,,,,,6,2,,,,,,,,,7,1,3083,3
7,8,2162,29466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,15,28,,,,,,,196,10,,,,,47,25,1651,15,,,,,,,,,14581,5,,,1333,15,,,,,,,163,12,,,1390,12,,,,,4,3,,,,,,,,,,,,,,,37,30,,,,,,,,,,,301,5,,,,,,,,,,,,,4,8,797,14,5,109,,,,,,,2,4,,,,,51,16,,,,,,,,,,,,,,,,,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,37,7,10,,,,,,,,,,,,,,,,,,,,,,,1030,6,,,,,401,15,,,18,11,6012,2,,,,,,,,,,,,,,,2,13,,,,,2,18,,,,,17,10,,,,,86,23,,,,,,,,,,,,,,,,,,,57,10,,,,,118,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,11
8,9,463,25787,,,9,3,,,,,,,,,,,,,,,2,6,,,,,,,,,,,23,15,,,,,,,,,3,7,,,,,20,23,,,,,,,261,8,,,,,71,18,2095,13,,,,,,,,,13547,7,7,19,,,20,11,5,9,14,19,189,11,,,917,20,,,,,,,,,,,,,,,,,,,,,89,20,,,,,41,14,,,,,83,22,,,,,39,12,,,,,,,,,1152,7,2649,6,,,,,,,,,,,,,44,18,,,,,,,11,2,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,16,7,8,43,17,,,,,,,,,,,,,,,,,,,,,443,13,,,,,889,4,,,,,1474,10,,,,,,,,,,,,,,,,,,,,,15,11,,,,,34,9,,,,,180,11,,,,,,,,,,,,,81,9,,,,,43,16,,,,,63,11,,,,,,,,,29,14,,,,,,,,,,,,,,,,,,,,,,,806,12
9,10,29351,23053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,,,,,,,,,,,,,,,,,,,,,,,,,139,15,,,,,,,3178,7,,,,,,,,,3778,26,,,206,46,137,2,,,,,94,25,,,445,40,,,,,,,,,,,,,,,,,,,,,276,7,,,,,,,,,,,24,32,17,5,,,,,,,,,,,,,,,237,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,2,70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,38,,,,,,,,,,,,,,,,,,,,,,,,,819,7,,,,,,,,,,,11609,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,36,,,,,,,,,,,,,,,,,,,,,,,,,934,1,,,,,,,,,481,5,,,,,,,,,,,,,,,,,,,,,,,68,50
10,11,2243,20642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,13,30,,,,,,,,,,,,,,,5993,1,,,,,,,,,5585,19,,,,,,,,,,,,,,,2425,6,,,,,,,,,,,,,,,,,,,,,,,,,,,158,6,,,,,207,9,,,,,,,,,,,,,,,759,15,151,47,,,,,,,,,,,,,12,47,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391,2,,,,,,,,,,,,,,,,,,,,,,,,,1378,3,,,,,630,8,,,47,10,743,14,,,,,,,,,8,2,,,,,,,,,,,132,3,,,,,842,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,46
11,12,25821,19452,,,,,,,,,,,550,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2652,10,,,,,,,,,1266,81,5,28,1957,9,,,,,,,,,,,4517,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4423,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,6,,,,,,,,,,,,,,,,,,,,,,,2130,7
12,13,13,17875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,5,,,,,,,153,14,,,7,6,66,19,1281,19,,,,,38,9,,,7955,14,10,8,2369,6,,,8,5,,,,,11,2,704,26,,,,,,,,,,,1,3,,,,,,,,,806,2,,,,,,,,,,,117,18,,,,,,,,,,,,,,,417,27,1251,12,,,,,,,,,,,,,93,10,,,,,,,,,,,,,,,,,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,13,16,3,42,18,,,,,,,,,,,,,,,,,,,,,239,22,,,,,360,16,,,54,9,630,16,,,,,,,,,,,,,,,,,,,37,12,43,8,,,,,69,7,,,,,100,19,,,,,,,,,,,,,,,,,,,52,12,,,,,,,,,,,,,,,26,15,,,,,,,,,,,,,,,,,,,,,,,383,19
13,14,2952,16588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,12,,,,,,,,,,,,,80,16,707,31,,,,,,,,,12661,10,5,26,776,22,,,3,15,,,112,23,,,893,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,,,,,,,7,7,541,22,35,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,21,,,60,12,,,,,,,,,,,,,,,,,,,,,,,,,,,95,35,,,,,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,320,16437,,,,,,,,,,,127,10,,,,,6,5,,,,,,,,,8,1,,,78,10,,,,,,,,,17,3,,,,,69,4,,,,,,,83,21,,,9,4,39,29,1507,17,,,,,130,6,,,6589,17,21,2,930,21,30,10,,,53,15,157,13,,,1412,11,,,,,,,5,3,,,5,2,,,8,3,,,,,101,17,64,5,,,,,,,,,258,7,,,,,313,5,,,,,,,8,6,288,36,457,23,,,,,4,5,,,,,9,2,38,20,,,,,,,6,5,,,,,,,,,33,9,29,7,,,,,,,,,9,7,,,,,59,3,,,,,,,,,,,,,1241,4,14,5,36,22,,,,,,,6,3,,,,,,,,,,,,,570,12,,,,,284,19,,,63,8,613,17,,,,,,,,,,,8,2,,,,,,,71,8,63,5,,,,,,,,,,,55,32,,,,,21,5,,,4,4,,,52,12,,,,,37,19,,,9,1,29,20,,,,,,,,,37,13,,,,,,,,,,,4,6,,,,,,,,,,,261,24
