bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2162,24522,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,,,,,13,25,,,,,,,93,15,,,,,12,44,1450,18,,,,,,,,,10651,11,,,4,124,,,,,,,76,23,,,926,21,,,7,4,,,,,,,,,,,15,39,,,,,,,,,216,13,,,,,,,,,,,,,5,8,687,19,5,95,,,,,15,4,,,,,107,13,,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,44,6,14,,,,,,,,,,,,,,,615,12,,,,,211,22,,,11,12,8490,3,,,,,,,,,,,,,5,6,,,,,12,11,,,,,,,,,,,108,22,,,,,,,,,,,,,,,,,78,18,,,,,127,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,13
181,24268,12,8,4,,,,,,,,,377,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,,,,,,,,,,,,,162,6,2513,11,,,,,,,,,13069,8,,,2485,6,,,7,10,,,92,21,,,1394,12,,,,,,,,,,,,,,,121,12,,,,,495,2,,,239,9,,,,,,,,,,,,,,,299,35,179,38,,,,,,,,,,,,,,,,,,,7,6,,,,,,,58,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,14,,,100,9,,,,,,,,,,,,,285,25,,,,,242,20,,,,,919,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,7,,,,,,,,,,,21,11,,,,,127,15,,,,,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,24
2243,22367,13,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,,,,,,,,,,,,,,,10,36,,,,,,,,,,,,,,,4132,5,,,,,,,,,10023,12,,,,,,,,,,,,,,,1830,7,,,,,,,,,,,,,,,,,,,,,66,10,,,170,16,,,,,,,,,,,,,,,702,17,218,37,,,,,,,,,,,6,54,,,,,,,,,,,,,,,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,5,,,,,,,,,,,,,,,,,1202,5,,,,,831,6,,,38,10,1193,18,,,,,,,5,7,,,,,,,,,,,81,5,,,,,665,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,52
13,21788,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4,,,,,,,236,8,,,5,8,75,13,1692,17,,,,,,,,,10999,9,7,22,1898,11,,,11,8,,,,,12,2,965,19,,,,,,,,,4,4,,,,,273,5,,,,,,,,,264,8,,,,,,,,,,,,,,,624,22,1339,10,,,,,,,,,,,208,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,11,7,68,17,,,,,,,,,,,,,442,17,,,,,451,9,,,90,6,1307,16,,,,,,,,,,,,,,,,,28,12,53,7,,,,,74,4,,,,,241,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,316,16
320,21204,15,,,,,,,,,,,161,7,,,,,,,,,,,,,,,164,9,,,,,,,,,20,3,,,,,71,5,,,,,,,122,13,,,18,3,42,20,1441,19,,,,,158,6,,,8472,15,21,4,2128,9,35,6,,,,,158,10,,,1946,5,,,,,15,2,,,19,2,,,15,2,78,16,29,5,,,,,,,293,6,,,,,336,4,,,,,,,19,2,259,40,464,20,,,21,3,,,,,16,2,57,16,,,,,,,16,2,,,,,,,31,10,,,,,,,,,12,4,,,,,53,5,,,,,,,,,,,,,690,10,31,2,60,20,,,,,,,,,,,,,625,11,,,,,254,18,,,133,5,1748,13,,,,,,,,,15,2,,,,,,,103,5,95,3,,,,,,,,,,,114,21,,,,,16,5,16,2,,,44,8,,,,,168,14,,,24,1,82,10,,,,,,,,,42,8,,,,,,,,,,,,,,,,,,,254,20
1294,21111,16,,,,,,,,,,,59,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9,,,,,,,,,,,,,71,15,1058,28,,,,,,,,,8760,13,27,3,5255,2,,,,,,,208,7,,,1631,9,,,,,,,,,,,,,,,152,9,,,,,,,,,169,17,,,,,28,13,,,,,11,4,,,1168,6,,,,,,,,,,,,,131,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,405,15,,,38,23,,,5,3,,,,,,,,,90,40,,,,,,,,,,,1249,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,13,,,,,,,,,,,,,,,,,62,22,,,,,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,21
822,15016,17,,,,,,,,,,,,,,,,,,,,,,,,,,,35,11,,,,,,,,,,,,,,,35,12,,,,,,,,,,,11,5,15,41,1852,16,,,,,,,,,5799,22,11,11,890,20,,,,,,,391,3,,,633,30,,,,,,,,,,,,,,,45,26,,,,,,,,,225,11,,,,,,,,,,,,,,,872,13,725,17,,,,,,,,,,,45,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,12,6,13,92,11,,,,,,,,,,,,,805,7,,,,,138,27,,,,,979,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,6,,,,,,,,,,,,,,,,,,,,,,,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,11
2425,14170,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,19,19,,,,,,,,,,,,,72,14,981,30,,,,,,,,,4843,29,13,9,1181,16,,,13,6,70,9,146,12,,,1210,13,,,,,,,,,,,,,,,214,7,,,,,,,,,,,,,,,,,,,,,,,,,697,18,846,15,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,25,,,,,,,,,,,,,,,,,366,21,,,,,361,13,,,89,7,2345,9,,,,,,,,,,,,,,,,,93,6,,,,,,,,,,,,,124,18,,,,,7,7,,,,,,,,,,,,,,,,,68,11,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,175,25
811,12564,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,8,,,,,,,40,23,,,,,,,1278,22,,,,,,,,,4133,34,,,1933,10,,,,,,,111,17,,,1071,16,,,,,,,,,,,,,,,178,8,,,,,,,,,92,22,,,,,,,,,,,,,,,85,81,264,31,,,,,,,,,,,701,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047,4,,,38,22,,,,,,,,,,,,,573,14,,,,,484,8,,,77,9,414,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25821,12229,20,,,,,,,,,,,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3635,8,,,,,,,,,7,957,6,25,,,,,,,,,,,,,3353,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,3,,,,,,,,,,,,,,,,,,,,,,,18,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
