,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
14,15,13,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,3,,,,,,,123,13,,,3,8,71,13,894,25,,,,,1,14,,,7971,13,3,24,1572,11,,,6,6,,,,,3,2,441,35,,,,,,,,,,,,,,,,,,,809,3,,,,,,,,,,,123,15,,,,,,,,,,,,,,,311,27,1205,14,,,,,,,,,,,,,131,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,130,8,4,37,23,,,,,,,,,,,,,,,,,207,24,,,,,201,19,,,31,10,863,16,,,,,,,,,,,,,,,,,8,17,38,9,,,,,38,7,,,,,144,16,,,,,,,,,,,,,,,,,,,29,17,,,,,,,,,,,,,,,20,13,,,,,,,,,,,,,,,,,,,,,,,1196,8
15,16,181,16356,10,4,,,,,,,,,334,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18,,,,,,,,,,,,,114,9,1562,15,,,,,,,,,8551,10,,,1709,10,,,3,12,,,67,31,,,972,17,,,,,,,,,,,,,,,,,,,123,13,,,,,234,4,,,,,110,17,,,,,,,,,,,,,,,194,40,310,27,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,15,,,54,19,,,,,,,,,,,,,,,,,200,25,,,,,140,24,,,,,617,21,,,,,,,,,,,,,116,2,,,,,,,,,,,,,,,,,291,10,,,,,,,,,,,,,15,13,,,,,32,14,,,,,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,26
16,17,1294,14805,,,,,,,,,,,77,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,,,,,,,,,,,,,59,17,884,26,,,,,,,,,7104,17,5,13,821,22,,,,,,,101,20,,,2377,5,,,,,,,,,,,,,4,5,,,,,161,10,,,,,,,,,,,139,12,,,,,146,10,,,,,19,2,,,1226,6,,,,,,,,,,,,,,,46,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,410,14,,,36,24,,,,,1,6,,,,,,,,,,,72,36,,,,,,,,,,,582,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,12,,,,,,,,,,,,,,,,,,,19,24,,,,,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,18
17,18,2425,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,12,22,,,,,,,75,16,,,,,67,14,1187,19,,,,,,,,,4206,26,4,19,904,19,,,2,15,82,9,195,10,,,1328,11,,,,,,,,,,,,,,,,,,,167,9,,,,,,,,,,,138,13,,,,,,,,,,,,,,,591,15,682,18,,,,,,,,,,,,,15,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,22,,,,,,,,,,,,,,,,,,,,,252,20,,,,,426,10,,,78,5,2065,7,,,,,,,,,,,,,,,,,49,9,,,,,,,,,,,,,113,22,,,,,12,5,,,,,,,,,,,,,,,,,,,69,9,,,,,,,,,29,11,,,,,,,,,,,,,,,,,,,,,,,216,24
18,19,811,13122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,7,,,,,,,18,31,,,,,,,1220,18,,,,,,,,,4688,23,,,2235,7,,,,,,,88,24,,,999,16,,,,,,,,,,,,,3,6,,,,,791,4,,,,,,,,,,,90,19,,,,,,,,,,,,,,,96,60,253,33,,,,,,,,,,,,,286,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,5,,,33,26,,,,,,,,,,,,,,,,,417,14,,,,,479,9,,,43,8,349,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,27443,12738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,37,,,,,,,60,19,,,9,6,35,26,788,30,,,,,,,,,625,117,1,46,664,23,31,8,,,,,195,11,,,467,33,,,,,,,,,,,,,,,,,,,,,,,,,52,12,,,,,,,,,,,,,,,,,,,,,332,25,2341,6,,,,,,,,,,,,,2394,1,,,,,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,185,26,,,,,,,,,,,,,,,,,,,,,377,15,,,,,338,11,,,,,665,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3098,2
20,21,5072,11253,,,,,,,,,,,4,20,,,,,,,,,,,,,,,,,13,18,,,,,74,2,,,,,,,,,2,64,,,,,,,,,,,,,152,6,425,45,,,,,,,,,8185,11,3,28,69,72,,,,,,,,,,,317,44,,,,,,,,,,,,,,,14,2,,,,,678,2,,,,,,,,,,,,,,,253,7,,,,,,,,,72,72,273,31,,,,,,,,,,,,,39,17,,,,,,,,,,,,,,,,,,,,,3,1,,,27,2,,,168,2,,,,,,,,,,,,,,,46,59,6,10,140,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,57,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,26,44,,,,,109,2,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,77
21,22,2136,9877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,8,,,,,,,,,,,,,,,,,,,,,,,253,6,,,,,,,2222,11,,,,,,,,,3354,35,8,9,241,41,,,,,578,4,,,,,232,50,,,,,,,,,,,,,,,,,,,,,,,,,80,11,,,,,206,7,,,,,,,,,,,,,,,330,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,891,6,,,,,,,,,,,,,,,,,,,,,559,9,,,,,,,,,,,103,59,,,,,,,,,,,,,11,7,,,82,4,,,,,,,,,8,3,,,528,7,,,,,,,,,,,,,,,,,,,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,92
22,23,2719,9759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,34,,,,,22,30,1034,21,,,,,,,,,7122,16,2,34,332,33,,,,,,,27,42,,,536,29,,,,,,,,,,,,,,,,,,,48,26,,,,,,,,,,,18,35,,,,,,,,,,,,,,,169,44,,,,,,,,,,,,,,,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,57,,,,,,,,,,,,,,,,,,,,,32,55,,,,,,,,,,,151,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,46,,,,,,,,,,,,,,,,,,,,,,,,,3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,28
23,24,3886,8866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,6,,,,,,,,,,,,,,,8,32,,,,,,,,,,,,,142,7,3818,6,,,,,,,,,20,874,1,41,408,30,21,10,,,48,12,154,14,,,452,34,,,,,4,4,,,,,,,,,,,,,31,31,,,,,,,,,,,752,1,,,,,,,,,,,,,,,703,11,149,48,,,,,,,,,,,,,23,37,,,,,,,,,15,2,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,37,5,11,188,8,,,,,,,,,,,,,,,,,236,22,,,,,694,4,,,140,2,202,37,,,,,,,,,,,,,,,,,58,7,11,14,,,,,12,9,,,,,130,19,,,,,,,,,,,,,,,,,,,51,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,37
