,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,29351,22861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,187,11,,,,,,,3906,5,,,,,,,,,,,3460,38,,,317,42,121,2,,,,,110,26,,,,,499,39,,,,,,,,,,,,,,,,,,,,,390,6,,,,,,,,,,,63,21,27,5,,,,,,,,,,,,,,,,,163,46,,,,,,,,,,,,,19,44,,,,,,,,,,,,,,,,,184,2,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,34,,,,,,,,,,,,,,,,,,,,,,,,,997,6,,,,,,,,,,,,,10593,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,38,,,,,,,,,,,,,,,,,,,,,,,,,,,809,1,,,,,,,,,528,6,,,,,,,,,,,,,,,,,,,,,,,117,37
11,12,811,21943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,4,,,,,,,19,43,,,,,,,2240,13,,,,,,,,,,,7412,18,2,37,1989,8,,,,,,,145,12,,,,,1971,10,,,,,,,,,,,,,,,4,4,,,,,634,5,,,,,,,,,,,154,11,,,,,,,,,,,,,,,,,124,65,872,17,,,,,,,,,,,,,226,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343,3,,,23,30,,,,,,,,,,,,,,,,,,,,,497,15,,,,,475,12,,,,,301,2,306,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3073,2
12,13,13,20699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,9,,,,,,,119,18,,,4,8,32,26,1682,19,,,,,,,37,12,,,9513,11,1,43,2542,7,,,4,8,,,43,35,,,6,2,926,23,,,,,,,,,,,,,,,,,,,,,791,4,,,,,,,,,,,117,15,,,5,1,,,,,,,,,,,,,366,30,1057,15,,,,,,,,,,,,,71,16,,,,,,,,,,,,,,,,,,,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,8,12,8,59,14,,,,,,,,,,,,,,,,,,,,,260,23,,,,,452,13,,,,,41,10,796,18,,,,,,,,,,,,,,,,,,,,,16,17,52,6,,,,,73,8,,,,,158,16,,,,,,,,,,,,,,,,,,,,,38,21,,,,,,,,,,,,,,,26,19,,,,,,,,,,,,,,,,,,,,,,,463,20
13,14,25821,19738,,,,,,,,,,,537,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363,8,,,,,,,,,,,1489,75,7,12,1952,10,,,,,,,,,,,,,5289,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3482,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473,3,,,,,,,,,,,,,,,,,,,,,,,746,13
14,15,1294,18482,,,,,,,,,,,43,22,,,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,14,,,,,,,,,,,,,57,16,1037,27,,,,,,,,,,,11230,9,3,27,938,24,,,3,12,114,13,133,19,,,,,1610,12,,,,,,,,,,,,,,,4,5,,,,,188,11,,,,,,,,,,,109,17,,,,,,,42,12,,,,,5,6,11,7,1121,10,,,,,,,,,,,,,,,246,3,,,,,,,,,,,,,,,,,,,13,12,,,,,,,43,3,,,,,,,9,10,,,,,,,,,,,,,430,16,,,29,29,,,,,,,3,7,,,,,,,,,,,,,43,53,,,,,,,,,,,,,488,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,11,,,,,186,14,,,,,,,,,,,,,28,13,,,,,,,14,30,,,,,9,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,27
15,16,2425,17885,,,,,,,,,,,124,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,6,60,,,,,,,168,13,,,,,77,12,1628,20,,,,,,,,,,,4822,26,7,10,1784,13,,,1,19,173,9,142,14,,,,,1294,13,,,,,58,1,,,,,,,,,,,,,,,176,13,,,,,,,,,,,151,12,13,7,,,,,,,,,,,,,,,841,14,717,18,,,,,,,,,,,,,8,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,27,,,,,,,,,,,,,,,,,,,,,,,,,821,8,,,,,1251,4,,,,,139,6,2563,8,,,,,,,,,,,,,,,,,,,,,67,11,,,,,,,,,,,,,144,17,,,,,8,8,,,,,,,,,,,,,,,,,,,,,189,6,,,,,,,,,33,18,,,,,,,,,,,,,,,,,,,,,,,167,31
16,17,320,16967,,,,,,,,,,,97,14,,,,,,,12,5,,,,,,,,,,,,,8,1,,,131,10,,,,,,,,,25,2,,,,,48,10,,,,,,,93,21,,,15,2,45,20,1814,16,,,,,,,154,6,,,5635,23,9,7,1294,18,25,9,,,55,15,217,8,,,,,2399,8,,,,,7,5,8,2,,,,,5,2,,,7,4,,,75,23,77,4,,,,,,,,,331,5,,,,,,,249,8,,,,,,,14,6,228,43,245,37,,,,,5,5,,,,,16,3,22,40,,,,,,,7,6,,,,,,,,,30,10,14,11,,,,,,,,,3,7,,,,,125,3,,,,,,,,,,,,,673,11,14,7,38,22,,,,,,,7,5,,,,,,,,,,,,,681,10,,,,,352,15,,,,,77,8,861,17,,,,,,,,,,,,,12,3,,,,,,,81,7,88,5,,,,,27,14,,,,,59,34,,,,,19,4,,,,,,,42,12,,,,,,,33,23,,,12,1,23,26,,,,,,,,,57,15,,,,,,,,,,,4,9,,,,,,,,,,,263,26
17,18,2136,16337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,6,,,,,,,,,,,,,,,,,,,,,,,313,7,,,,,,,2836,12,,,,,,,,,,,7317,19,3,28,270,46,,,,,1143,4,,,,,,,395,50,,,,,,,,,,,,,,,,,,,,,,,,,,,118,9,,,,,205,8,6,10,,,,,,,,,,,,,,,414,28,,,,,,,,,,,,,,,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,1089,5,,,,,,,,,,,,,,,,,,,,,,,,,942,7,,,,,,,,,,,,,59,77,,,,,,,,,,,,,,,,,9,7,,,164,2,,,,,3,3,100,7,3,4,,,534,4,,,,,,,,,,,,,,,,,,,,,118,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,51
18,19,181,15587,22,4,,,,,,,,,140,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,11,,,,,,,,,,,,,89,10,1739,18,,,,,,,,,,,8053,16,,,1593,14,,,7,6,,,47,34,,,,,1241,15,,,,,,,,,,,,,,,,,,,,,217,10,,,,,142,7,,,,,62,22,,,,,,,,,,,,,,,,,213,45,159,48,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,24,,,45,19,,,,,,,,,,,,,,,,,,,,,148,28,,,,,174,23,,,,,,,507,21,,,,,,,,,,,,,,,,,159,2,,,,,,,,,1,4,,,,,,,141,18,,,,,,,,,,,,,14,15,,,,,,,45,18,,,,,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,30
19,20,27443,14992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23,,,,,,,93,22,,,8,6,24,32,777,37,,,,,,,66,8,,,514,164,10,6,524,32,27,8,,,,,527,5,,,,,454,46,,,,,,,,,,,,,,,,,,,,,60,26,,,,,52,12,,,,,,,,,,,,,,,,,,,,,,,592,19,1915,9,,,,,,,,,,,,,224,5,,,,,,,,,,,,,,,,,,,31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,31,,,,,,,,,,,,,,,,,,,,,,,,,315,20,,,,,177,22,,,,,,,4861,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,2,,,,,,,,,,,,,53,14,,,,,,,,,282,9,,,,,,,,,,,,,,,,,,,,,,,2648,4
20,21,5072,12951,,,,,,,,,,,273,8,,,,,,,,,,,,,,,,,,,,,,,,,158,8,,,,,272,2,,,,,,,,,11,41,,,,,,,,,,,,,106,9,507,56,,,,,,,,,,,8775,15,8,9,122,65,,,,,16,20,,,,,,,472,43,,,,,,,,,,,,,,,,,72,2,,,,,721,2,,,,,,,,,,,,,,,,,153,9,,,,,,,,,101,74,381,26,,,,,,,,,,,,,29,30,,,,,,,,,,,,,,,,,,,,,,,,,33,1,,,56,2,,,190,2,65,5,,,,,,,,,,,,,41,75,17,4,95,10,,,,,,,,,,,,,,,,,,,,,,,,,,,43,45,,,,,,,66,72,,,,,,,,,,,,,,,,,,,21,2,,,,,,,,,,,,,,,21,60,,,,,81,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,77
21,22,3886,12854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,5,,,,,,,,,,,,,,,10,44,,,,,,,198,10,,,,,46,18,3243,9,,,,,,,,,,,2727,53,7,11,515,34,13,12,2,15,119,12,138,17,,,,,566,36,,,,,3,6,,,,,,,,,,,,,,,60,25,,,,,,,,,,,487,3,,,,,,,,,,,,,,,,,1062,12,582,21,,,,,,,,,,,,,66,19,,,,,,,,,11,2,,,3,19,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,40,4,15,106,7,,,,,,,,,,,,,,,,,,,,,242,25,,,,,1108,5,,,,,199,3,204,41,,,,,,,,,,,,,,,,,,,,,83,6,20,13,,,,,319,2,,,,,77,27,,,,,,,,,,,,,,,,,,,,,118,11,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,40
22,23,178900,11575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,42,,,,,,,57,23,,,,,,,625,47,,,,,,,,,,,9263,12,,,,,,,,,,,,,,,,,562,37,,,,,,,,,,,,,,,,,,,,,240,9,,,,,,,,,,,22,37,,,,,,,,,,,,,,,,,134,59,145,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,59,,,,,,,,,,,,,,,,,,,,,,,,,74,38,,,,,,,,,,,,,344,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
