,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,1294,17801,,,,,,,,,,,47,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,,,,,,,,,,,,,60,14,713,26,,,,,,,,,7482,12,4,25,711,20,,,,,,,105,15,,,3171,3,,,,,,,,,,,,,4,5,,,,,150,9,,,,,,,,,,,80,19,,,,,56,11,,,,,,,,,3675,2,,,,,,,,,,,,,,,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,380,12,,,29,26,,,,,2,4,,,,,,,,,,,36,49,,,,,,,,,,,615,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,15,,,,,,,,,,,,,,,,,22,23,,,,,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,20
11,12,2425,16111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,21,23,,,,,,,42,21,,,,,68,12,1161,17,,,,,,,,,5201,20,1,46,1217,14,,,8,7,79,9,158,8,,,2411,5,,,,,,,,,,,,,,,,,,,111,11,,,,,,,,,,,93,18,,,,,,,,,,,,,,,635,11,583,19,,,,,,,,,,,,,11,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,18,,,,,,,,,,,,,,,,,,,,,197,24,,,,,685,6,,,90,4,2706,5,,,,,,,,,,,,,,,,,41,9,,,,,,,,,,,,,83,22,,,,,3,8,,,,,,,,,,,,,,,,,76,6,,,,,,,,,18,13,,,,,,,,,,,,,,,,,,,162,29
12,13,2243,14986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12,,,,,,,,,,,,,,,11,38,,,,,,,,,,,,,,,3830,3,,,,,,,,,5742,18,,,,,,,,,,,,,,,1297,9,,,,,,,,,,,,,,,,,,,,,,,,,72,9,,,,,102,16,,,,,,,,,,,,,,,510,17,212,37,,,,,,,,,,,,,17,41,,,,,,,,,,,,,,,51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,8,,,,,,,,,,,,,,,,,,,,,680,5,,,,,492,8,,,30,9,823,15,,,,,,,7,3,,,,,,,,,,,51,5,,,,,376,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,54
13,14,320,14347,,,,,,,,,,,165,8,,,,,,,,,,,,,4,1,,,56,9,,,,,,,,,9,3,,,,,53,6,,,,,,,68,15,,,6,4,38,22,863,20,,,,,115,6,,,5856,16,25,2,1369,10,41,11,,,17,17,128,11,,,1063,13,,,,,,,7,3,,,13,2,,,6,4,,,64,22,95,4,,,,,,,,,182,6,,,,,295,4,,,,,,,5,8,164,42,362,25,,,,,3,4,,,,,28,2,60,13,,,,,,,11,2,,,,,,,19,9,,,,,,,,,5,5,,,,,37,5,,,,,,,,,,,,,654,5,21,2,64,10,,,,,,,,,,,,,,,,,518,9,,,,,228,21,,,63,7,864,14,,,,,,,,,6,3,,,,,,,43,7,53,4,,,,,,,,,,,160,9,,,,,6,6,11,3,,,14,14,,,,,33,16,,,7,1,43,11,,,,,,,,,51,10,,,,,,,,,,,,,,,,,,,276,18
14,15,181,14176,9,4,,,,,,,,,275,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,,,,,,,,,,,,,104,9,1173,16,,,,,,,,,7899,10,,,1368,11,,,8,6,,,45,30,,,730,18,,,,,,,,,,,,,,,,,,,121,10,,,,,162,3,,,,,96,17,,,,,,,,,,,,,,,160,43,164,43,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,14,,,37,20,,,,,,,,,,,,,,,,,157,28,,,,,127,28,,,,,686,18,,,,,,,,,,,,,79,3,,,,,,,,,11,2,,,,,,,122,13,,,,,,,,,,,17,13,,,,,33,15,,,,,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,26
15,16,13,13813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,10,,,,,,,68,14,,,2,8,46,16,909,18,,,,,7,11,,,7145,13,2,37,1285,12,,,4,10,,,,,3,2,368,33,,,,,,,,,,,,,,,,,,,476,3,,,,,,,,,,,103,15,,,,,,,,,,,,,,,236,33,1339,12,,,,,,,,,,,,,93,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,126,8,9,40,19,,,,,,,,,,,,,,,,,159,27,,,,,250,19,,,27,10,635,20,,,,,,,,,,,,,,,,,12,19,30,9,,,,,31,7,,,,,95,18,,,,,,,,,,,,,,,,,19,26,,,,,,,,,,,,,,,14,16,,,,,,,,,,,,,,,,,,,358,14
16,17,27443,12810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,26,,,,,,,49,20,,,3,7,35,23,668,29,,,,,,,,,621,112,5,22,536,25,79,5,,,,,81,22,,,345,37,,,,,,,,,,,,,,,,,,,,,,,,,50,12,,,,,,,,,,,,,,,,,,,,,420,21,3029,3,,,,,,,,,,,,,2083,1,,,,,,,,,,,,,,,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,182,22,,,,,,,,,,,,,,,,,,,,,275,19,,,,,291,15,,,,,633,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359,1
17,18,50381,12724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,33,,,,,,,,,,,11573,6,,,,,,,,,22,16,95,18,,,135,66,,,,,,,,,,,,,,,,,,,101,12,,,,,,,,,,,,,,,,,,,,,,,,,,,458,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,174,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,25821,12511,,,,,,,,,,,97,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,6,,,,,,,,,962,85,5,21,1044,18,,,,,,,,,,,3486,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2898,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047,2,,,,,,,,,,,,,,,,,,,,,,,,,,,24,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,5072,9447,,,,,,,,,,,9,18,,,,,,,,,,,,,,,,,13,17,,,,,74,2,,,,,,,,,22,22,,,,,,,,,,,,,120,7,394,46,,,,,,,,,6872,14,4,28,89,66,,,,,,,,,,,277,46,,,,,,,,,,,,,,,8,2,,,,,541,2,,,,,,,,,,,,,,,210,8,,,,,,,,,66,84,298,28,,,,,,,,,,,,,18,39,,,,,,,,,,,,,,,,,,,,,5,1,,,13,2,,,63,2,,,,,,,,,,,,,,,52,58,3,16,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,67,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,19,60,,,,,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,58
