,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,95144,154,1,26,1,16,1,17,1,24,1,2823,1,13,1,19,1,18,1,205,1,15,1,18,1,,,25,1,358,2,42,1,66,1,293,1,11,1,43,2,137,1,11,1,182,1,21,1,7,1,16,1,540,4,17,1,32,1,501,2,5215,2,16,1,12,1,423,4,,,26576,1,52,1,10687,1,433,1,30,1,2018,2,1026,2,27,1,3772,4,,,16,1,15,1,19,1,13,1,15,1,42,1,310,1,12,1,1368,1,2248,1,5,2,270,4,13,1,8,1,684,1,96,1,22,1,1733,1,10,1,14,1,26,1,54,1,3278,3,3558,2,13,1,26,2,19,2,276,1,154,1,80,1,452,3,11,1,,,17,1,29,1,22,1,42,1,24,1,246,3,175,1,10,2,,,63,1,67,1,38,1,669,1,124,2,16,1,12,1,11,1,16,1,8,1,13,1,1091,6,28,1,602,2,,,12,1,23,1,8,1,17,1,16,1,19,1,,,19,1,1624,2,9,1,16,1,3730,2,7,1,271,1,6490,2,12,1,15,1,16,1,27,1,14,1,9,1,83,3,45,1,284,1,159,4,,,146,1,218,3,,,15,3,1192,1,19,2,,,348,1,,,72,1,591,1,24,1,277,1,426,1,19,1,,,216,3,53,1,80,1,34,1,11,1,1439,1,,,11,1,,,19,1,,,15,1,13,1,15,1,11,1,29,1,,,2806,5
1,2,2223,64251,,,,,,,,,,,850,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,1312,1,,,,,,,1960,12,,,,,,,,,12567,6,,,3686,2,,,,,1716,3,1325,1,,,5209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2,,,210,6,,,,,,,,,14542,1,1820,7,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,654,1,,,,,,,,,5,7,,,,,40,5,,,,,,,,,,,,,1010,8,,,1032,1,,,,,,,,,,,,,,,,,,,4350,1,,,,,3919,1,,,,,3143,5,,,,,,,,,,,,,,,6,2,,,350,1,,,,,156,5,,,,,280,10,,,,,,,,,,,279,4,,,,,305,3,,,,,420,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046,4
2,3,29351,47027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3220,7,,,,,,,,,5328,21,,,163,51,236,2,,,,,132,17,,,169,64,,,,,,,,,,,,,,,,,,,290,8,,,,,,,,,,,32,27,23,4,,,,,,,,,,,,,,,119,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2,140,2,,,,,,,,,,,,,,,,,,,,,,,,,,,154,33,,,,,,,,,,,,,,,,,,,,,,,712,6,,,,,,,,,,,33183,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,38,,,,,,,,,,,,,,,,,,,,,,,2338,1,,,,,,,,,404,4,,,,,,,,,,,,,,,,,,,,,,,,
3,4,10816,46515,,,,,,,,,,,734,3,,,,,,,,,,,17,2,,,15,2,202,5,,,,,,,,,,,15,3,,,38,7,,,,,,,288,6,,,,,250,4,2843,9,,,,,34,8,,,19220,3,,,3298,3,51,6,,,429,6,315,6,,,3111,5,,,,,,,,,,,,,,,,,,,388,6,44,6,,,127,9,,,,,269,5,,,,,184,9,,,,,,,,,2199,4,2864,3,,,,,,,,,,,9,3,217,5,,,,,,,,,,,,,,,,,49,5,,,,,,,,,,,,,,,,,,,,,,,7,2,,,1233,5,13,2,250,5,13,1,,,,,,,,,,,,,,,,,929,5,,,,,1041,3,,,87,5,4525,4,,,,,,,,,,,,,55,4,,,59,9,,,,,,,,,,,,,573,6,,,,,,,,,23,2,,,,,13,3,151,5,,,,,135,5,,,,,,,,,179,5,,,,,,,6,4,,,,,,,,,,,,,,,13,156
4,5,1406,45247,31,2,,,,,,,,,31,13,,,,,,,,,,,,,,,,,241,3,,,,,,,,,,,,,,,83,2,,,,,,,165,11,,,9,5,394,3,2676,10,,,,,525,3,,,19786,2,8,9,2925,5,56,5,6,3,466,5,681,3,,,2466,6,24,1,,,,,6,3,,,,,,,,,,,534,5,,,,,368,2,,,,,159,12,21,5,11,2,1441,2,,,,,,,14,3,1615,5,1737,8,,,18,3,16,3,,,,,,,,,,,,,,,8,3,,,,,,,87,4,,,,,,,,,,,,,,,26,7,,,,,,,,,,,,,1697,2,6,9,363,4,,,,,,,,,,,,,,,,,,,484,10,,,,,352,11,,,42,8,2832,6,,,,,,,9,3,7,3,,,327,1,,,29,11,77,7,,,,,363,2,,,,,497,7,,,,,,,,,,,,,,,,,99,8,,,,,66,10,,,,,,,,,140,6,,,,,,,13,3,,,,,,,,,,,5,3,,,1205,7
5,6,2397,43168,12,3,12,2,,,8,2,,,634,4,,,,,14,2,120,2,13,2,,,,,10,3,845,1,,,,,9,4,,,90,1,27,2,,,48,5,,,7,2,11,2,310,5,,,9,6,794,1,5171,3,,,,,551,2,,,15893,4,17,3,2218,7,30,11,11,2,2979,1,221,8,,,2360,8,,,,,9,2,,,,,,,20,2,,,,,974,2,,,9,1,169,7,,,,,410,3,30,3,6,3,29,13,,,,,8,2,10,4,1145,7,1535,9,,,,,,,60,3,16,2,,,22,30,10,2,,,,,8,4,,,,,10,2,77,6,49,4,,,,,33,2,8,6,,,,,29,6,,,,,,,,,,,,,596,12,8,5,431,3,,,,,6,2,,,,,,,4,2,,,,,602,8,4,2,,,743,6,,,,,1518,11,,,,,,,8,4,,,,,54,5,,,66,6,43,9,,,,,193,4,,,,,829,3,12,3,,,7,7,,,,,90,7,,,10,4,298,4,,,,,,,19,2,,,,,4,2,92,7,15,1,,,,,14,2,,,,,,,,,,,6,2,,,396,17
6,7,2243,26814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,14,,,,,,,,,,,,,,,6,40,,,,,,,,,,,,,,,8010,1,,,,,,,,,6859,17,,,,,,,,,,,,,,,3854,3,,,,,,,,,,,,,,,,,,,,,,,,,155,8,,,,,211,8,,,,,,,,,,,,,,,785,11,183,41,,,,,,,,,,,,,17,39,,,,,,,,,,,,,,,66,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2358,1,,,,,,,,,,,,,,,,,,,,,,,1208,3,,,,,616,7,,,31,9,1140,13,,,,,,,10,2,,,,,,,,,,,165,3,,,,,1061,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,56
7,8,2093,26719,,,,,,,,,,,56,11,,,,,,,7,3,,,,,,,,,26,15,,,,,5,5,4,3,,,,,,,18,13,6,2,,,,,133,13,,,,,47,21,883,27,,,,,,,,,10997,9,7,12,1101,16,,,,,23,16,66,30,,,732,24,,,,,,,,,9,2,,,,,,,6,2,57,22,11,7,,,34,13,,,,,60,23,3,8,,,102,10,,,,,,,,,516,17,4466,1,,,27,1,,,,,1,3,,,140,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,3,,,,,,,,,,,,,265,21,,,35,27,,,,,,,,,,,,,,,,,,,194,24,,,,,314,16,,,,,1880,9,,,,,2,2,,,,,,,,,,,22,12,7,16,,,,,,,9,2,,,188,12,,,2,2,,,,,,,285,3,,,,,16,27,,,,,21,19,,,,,,,,,567,2,,,,,,,,,,,15,2,,,,,,,,,4,1,3267,3
8,9,25821,25431,,,,,,,,,,,176,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,5,,,,,,,,,1171,79,6,18,1972,8,,,,,,,,,,,6241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2601,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7903,1
9,10,2181,24527,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,212,4,,,,,,,,,,,,,,,26,10,,,,,,,155,12,,,,,145,7,1749,14,,,,,348,5,,,8452,12,15,4,1115,15,127,3,5,6,,,232,7,,,1303,13,,,,,,,,,,,,,,,,,,,301,7,,,,,113,11,,,,,236,6,,,,,472,4,,,,,,,9,5,69,80,1042,12,,,,,,,63,2,,,,,37,19,,,,,,,,,,,,,9,3,49,8,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,601,11,11,4,197,7,,,,,,,,,,,,,,,,,,,1206,4,,,,,337,12,,,171,2,2196,7,,,,,,,7,5,,,,,34,6,,,65,7,103,5,,,,,,,16,1,,,1055,2,,,,,,,,,,,401,2,,,,,134,7,,,,,214,4,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,6
