,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,37411,,,,,,,,,,,,,,,,,,,,,,,,,,,56,12,,,,,,,,,,,,,,,3,69,,,,,,,,,,,,,,,12892,1,,,,,,,,,11912,18,,,,,,,,,,,,,,,3579,7,,,,,,,,,,,,,,,,,,,,,,,,,131,10,,,,,518,14,,,,,,,,,,,,,,,1775,15,224,37,,,,,,,,,,,,,12,48,,,,,,,,,,,,,,,107,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712,3,,,,,,,,,,,,,,,,,,,,,65,51,,,,,1510,3,,,51,10,1093,21,,,,,,,9,4,,,,,,,,,,,168,4,,,,,531,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,47
11,12,2093,33413,,,,,,,,,,,51,11,,,,,,,17,3,,,,,,,22,17,,,,,13,4,10,2,,,,,,,34,19,6,2,,,,,274,11,,,,,42,24,1514,36,,,,,,,,,13499,11,6,18,1892,14,,,,,46,12,88,35,,,1115,27,,,,,,,,,15,2,,,,,,,8,2,64,24,13,7,,,37,14,,,,,81,27,,,,,101,11,,,,,,,,,892,30,6037,1,,,15,2,,,,,3,3,,,154,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5,,,,,,,,,,,,,483,21,,,69,26,,,,,,,,,,,,,,,,,357,25,,,,,315,17,,,,,1494,15,,,,,8,2,,,,,,,,,,,27,14,12,16,,,,,,,19,1,,,304,15,,,6,2,,,,,,,305,3,,,,,74,20,,,,,31,17,,,,,,,,,370,3,,,,,,,,,,,23,1,,,,,,,13,1,3423,2
12,13,811,30512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,3,,,,,,,45,28,,,,,,,3495,19,,,,,,,,,11919,17,,,4821,4,,,,,,,406,11,,,1914,13,,,,,,,,,,,,,,,,,,,359,5,,,,,,,,,,,479,16,,,,,,,,,,,,,,,290,58,480,22,,,,,,,,,,,,,303,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607,4,,,95,22,,,,,,,,,,,,,,,,,1531,7,,,,,815,6,,,237,3,558,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,822,27546,,,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,,,,,,,,,,40,15,,,,,,,,,,,3,8,39,26,4311,15,,,,,,,,,10157,24,4,32,1834,16,,,,,,,901,5,,,1280,22,,,,,,,,,,,,,,,,,,,58,26,,,,,,,,,,,503,15,,,,,,,,,,,,,,,1884,14,980,14,,,,,,,,,,,,,83,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,12,5,14,158,18,,,,,,,,,,,,,,,,,1457,8,,,,,155,27,,,,,1273,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,7,,,,,,,,,,,,,,,,,,,,,,,17,24,,,,,,,,,16,14,,,,,,,,,,,,,,,,,,,,,713,8
14,15,2162,27167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,11,45,,,,,,,190,16,,,,,26,36,1516,35,,,,,,,,,11593,19,,,2,134,,,,,,,99,34,,,950,30,,,,,5,4,,,,,,,,,,,,,37,35,,,,,,,,,,,255,19,,,,,,,,,,,,,1,10,693,35,1,105,,,,,,,4,4,,,,,87,12,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,57,4,15,,,,,,,,,,,,,,,,,,,684,16,,,,,207,24,,,11,12,9729,3,,,,,,,,,,,,,5,9,,,,,8,17,,,,,,,,,,,91,32,,,,,,,,,,,,,,,,,72,21,,,,,73,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,9
15,16,1111,26925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,14,,,,,,,,,,,,,,,4654,13,,,,,235,6,,,12427,13,,,1582,17,,,,,,,,,,,486,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7498,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,320,26116,,,,,,,,,,,207,7,,,,,,,,,,,,,,,231,7,,,,,,,,,21,2,,,,,66,7,,,,,,,228,13,,,12,3,50,21,2562,23,,,,,325,5,,,8427,31,21,3,1848,15,68,6,,,22,15,542,9,,,2288,12,,,,,,,7,3,,,4,2,,,8,3,,,91,20,52,5,,,,,,,,,1338,2,,,,,251,5,,,,,,,15,3,566,42,344,28,,,,,6,4,,,,,21,2,56,15,,,,,,,5,6,,,,,,,53,10,,,,,,,,,8,6,,,,,22,6,,,,,,,,,,,,,1592,7,28,2,83,24,,,,,,,,,,,,,,,,,1404,9,,,,,282,19,,,107,9,1638,13,,,,,,,,,7,3,,,,,,,114,8,175,3,,,,,,,,,,,124,28,,,,,8,8,7,3,,,22,10,,,,,344,10,,,11,1,98,9,,,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,274,23
17,18,2181,24935,,,,,,,,,,,,,,,,,,,,,3,3,,,,,230,8,,,,,,,,,,,,,,,32,21,,,,,,,212,14,,,,,124,12,2007,29,,,,,191,8,,,8623,30,17,5,1129,21,209,3,10,9,,,168,23,,,1233,24,,,,,,,,,,,,,,,,,,,225,8,,,,,87,11,,,,,331,17,,,,,176,9,,,,,,,11,5,50,124,938,15,,,,,,,25,3,,,,,26,34,,,,,,,,,,,,,,,63,9,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,713,16,13,7,330,10,,,,,,,,,,,,,,,,,1593,6,,,,,305,18,,,198,5,2199,9,,,,,,,6,6,,,,,33,6,,,72,10,47,9,,,,,,,9,2,,,860,2,,,,,,,,,,,166,5,,,,,770,7,,,,,133,7,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327,6
18,19,25821,24605,,,,,,,,,,,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8027,5,,,,,,,,,1225,107,16,6,2820,11,,,,,,,,,,,7048,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816,2,,,,,,,,,,,,,,,,,,,,,,,,,,,39,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,1258,24375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,32,,,,,,,3762,18,,,,,,,,,20473,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
